시군명,음식점명,맛집전화번호,대표음식명,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
고양시,청정바지락칼국수,031-912-7676,천년초들깨수제비,10359,경기도 고양시 일산동구 일산로463번길 7,경기도 고양시 일산동구 정발산동 1148번지,37.6737966,126.7754243
고양시,쥐눈이 콩마을,031-965-5990,한정식,10292,경기도 고양시 덕양구 신촌길 81-15,경기도 고양시 덕양구 원당동 293-1번지,37.66995281,126.8554586
고양시,정통중화요리 남궁,031-911-3702,"해물고추짬뽕, 양장피잡채",10367,경기도 고양시 일산서구 일산로 682,경기도 고양시 일산서구 대화동 2101번지,37.68211454,126.7535463
고양시,야구장농원,031-964-2884,오리진흙구이,10313,경기도 고양시 일산동구 견달산로 351,경기도 고양시 일산동구 문봉동 102-1번지,37.69715209,126.819685
과천시,경마장 오리집,02-502-7500,오리구이,13823,경기도 과천시 궁말로 20-4,경기도 과천시 과천동 647-2번지,37.44107918,127.0104554
과천시,해원복집,02-504-1626,복지리,13837,경기도 과천시 별양상가로 2,경기도 과천시 별양동 1-15번지,37.42775142,126.9920513
광주시,고향매운탕,031-767-9693,"붕어찜, 매운탕",12708,경기도 광주시 남종면 산수로 1686,경기도 광주시 남종면 분원리 244-5번지,37.49929153,127.3027287
광주시,수와연,031-768-6446,산야초마늘밥,12708,경기도 광주시 남종면 산수로 1680,경기도 광주시 남종면 분원리 255-1번지,37.4988496,127.3025715
광주시,능골한우가,031-797-0255,"갈비탕, 한우",12773,경기도 광주시 오포로 147,경기도 광주시 능평동 146-6번지,37.34565862,127.1817498
광주시,맛있는 발효밥상궁뜰,031-766-0987,"간장제육발효밥상, 코다리발효밥상",12811,경기도 광주시 도척면 궁평하천길 38,경기도 광주시 도척면 궁평리 2-5번지,37.33983407,127.3356487
광주시,한마당,031-743-6602,"먹을 마정식, 우아할 한정식",12700,경기도 광주시 남한산성면 남한산성로792번길 17-1,경기도 광주시 남한산성면 산성리 1005번지,37.47718845,127.1821089
광주시,쇠뫼기,031-767-9852,청국장 정식,12711,경기도 광주시 퇴촌면 정영로 580-3,경기도 광주시 퇴촌면 도수리 93번지,37.47786486,127.3511585
김포시,풀잎속의생명,031-997-6003,"생명정식,풀잎정식",10111,경기도 김포시 사우로 3-12,경기도 김포시 사우동 895번지,37.62192276,126.7226239
김포시,나룻터숯불장어구이,031-981-1071,참숯불장어구이,10020,경기도 김포시 월곶면 김포대로3023번길 96,경기도 김포시 월곶면 포내리 7-8번지,37.73123433,126.5260318
김포시,남강메기매운탕,031-985-7764,(참게)메기매운탕,10072,경기도 김포시 김포대로 1535,경기도 김포시 장기동 14-4번지,37.65989395,126.6656657
남양주시,맷돌36 숯불갈비,031-593-1511,돼지갈비,12167,경기도 남양주시 화도읍 맷돌로 36,경기도 남양주시 화도읍 마석우리 514-13번지,37.65807852,127.2948607
남양주시,(주)광릉불고기,031-527-6631,숯불고기,12019,경기도 남양주시 진접읍 광릉내로82번길 40-1,경기도 남양주시 진접읍 팔야리 778-9번지,37.74500019,127.2079588
남양주시,남양주축협한우명가,031-511-8892,"명가탕, 스페셜모둠구이",12183,경기도 남양주시 화도읍 창현로 47-1,경기도 남양주시 화도읍 창현리 555-6번지,37.64630757,127.3058546
남양주시,광릉돌솥밥,031-527-3334,영양돌솥밥,12018,경기도 남양주시 진접읍 금강로1845번길 1,경기도 남양주시 진접읍 팔야리 732-6번지,37.7496438,127.2086784
남양주시,더 늘봄,031-572-4447,상추쌈샤브,12018,경기도 남양주시 진접읍 금강로 1845,경기도 남양주시 진접읍 팔야리 733-1번지,37.74931632,127.2074651
동두천시,대호숯불갈비,031-868-0092,"산채정식, 보약 산채밥상",11328,경기도 동두천시 중앙로265번길 19,경기도 동두천시 생연동 659-32번지,37.90524384,127.0526923
동두천시,그집순대국,031-863-2254,순대국,11317,경기도 동두천시 장고갯로 127,경기도 동두천시 생연동 225-9번지,37.9064955,127.0644014
동두천시,동동갈비,031-864-3093,"돼지갈비, 갈비탕",11330,경기도 동두천시 어수로101번길 13,경기도 동두천시 생연동 670-3번지,37.90295879,127.0538095
동두천시,아리랑갈비,031-868-2435,갈비,11356,경기도 동두천시 평화로2261번길 36,경기도 동두천시 지행동 736-2번지,37.89080184,127.0566124
동두천시,생연칼국수,031-865-2011,칼국수,11330,경기도 동두천시 생연로 124,경기도 동두천시 생연동 823-188번지,37.90353541,127.0513832
부천시,작동오리불고기,032-681-5292,오리,14476,경기도 부천시 역곡로344번길 16,경기도 부천시 작동 126-10번지,37.51474261,126.8138874
부천시,명가추어탕,032-678-1314,추어탕,14423,경기도 부천시 원종로86번길 7,경기도 부천시 원종동 291-1번지,37.52380397,126.8097303
부천시,황해도,032-672-5524,김치만두전골,14419,경기도 부천시 원종로51번길 64,경기도 부천시 원종동 273-10번지,37.52693602,126.8058649
부천시,조박사아구까치복,032-677-2100,복지리탕,14481,경기도 부천시 삼작로256번길 9,경기도 부천시 도당동 62-3번지,37.51982042,126.7900315
부천시,참맛진숯불갈비,032-325-6464,한우암소갈비살,14546,경기도 부천시 석천로177번길 16,경기도 부천시 중동 1163-11번지,37.50352368,126.7620258
부천시,우소보소 수련,032-329-9100,행복담은밥상,14530,경기도 부천시 옥산로 104,경기도 부천시 중동 1086번지,37.50303413,126.7805625
부천시,송도 숯불장어,032-221-0505,갯벌장어,14543,경기도 부천시 길주로 81,경기도 부천시 상동 534-9번지,37.50633295,126.7515325
성남시,두향,031-718-3344,순두부,13604,경기도 성남시 분당구 불곡남로 5,경기도 성남시 분당구 정자동 225번지,37.35892569,127.1230194
성남시,욕쟁이 장마담집,031-745-5700,"닭도가니, 묵은지볶음탕",13131,경기도 성남시 수정구 수정로 460-3,경기도 성남시 수정구 단대동 산164-3번지,37.46154815,127.1558057
성남시,북촌생태찌개,031-755-2707,생태찌개,13449,경기도 성남시 수정구 대왕판교로 907,경기도 성남시 수정구 시흥동 219번지,37.42123088,127.1016185
성남시,유명갈매기,031-752-2393,갈매기살,13433,경기도 성남시 중원구 양현로 469,경기도 성남시 중원구 여수동 584번지,37.41698328,127.1344363
성남시,고암남원추어탕,031-742-5666,한방추어탕,13134,경기도 성남시 수정구 산성대로 597,경기도 성남시 수정구 양지동 24번지,37.46307296,127.1689498
수원시,장터설렁탕,031-293-1006,설렁탕,16407,경기도 수원시 권선구 수인로 257,경기도 수원시 권선구 구운동 476-3번지,37.28089985,126.9737503
수원시,거진포생태도루묵,031-222-2381,생태탕,16482,경기도 수원시 팔달구 중부대로128번길 49,경기도 수원시 팔달구 인계동 953-11번지,37.27596033,127.029439
수원시,돌솥삼계탕,031-294-9600,삼계탕,16405,경기도 수원시 권선구 수인로 273,경기도 수원시 권선구 구운동 921-5번지,37.28178652,126.9724694
수원시,가보정,031-238-3883,양념갈비,16481,경기도 수원시 팔달구 장다리로 282,경기도 수원시 팔달구 인계동 958-1번지,37.27422678,127.0287166
수원시,송풍가든,031-252-4700,양념갈비,16300,경기도 수원시 장안구 경수대로 1013,경기도 수원시 장안구 송죽동 440-3번지,37.3062283,127.0006674
수원시,신라갈비,031-212-2354,생갈비,16518,경기도 수원시 영통구 동수원로 538,경기도 수원시 영통구 원천동 89-7번지,37.27377479,127.0492142
수원시,본수원갈비,031-211-5952,생갈비,16496,경기도 수원시 팔달구 중부대로223번길 41,경기도 수원시 팔달구 우만동 51-20번지,37.27802344,127.0406386
수원시,연포갈비,031-255-1337,양념갈비,16253,경기도 수원시 팔달구 정조로906번길 56-5,경기도 수원시 팔달구 북수동 25-3번지,37.28760009,127.0167087
수원시,바나나테이블,031-205-0008,푸팟퐁커리,16507,경기도 수원시 영통구 센트럴타운로 85,"경기도 수원시 영통구 이의동 1332번지 광교C1호반베르디움,SummitPlace광교",37.29156405,127.0504732
수원시,우리낙지한마당,031-226-2991,"산낙지연포탕,산낙지볶음",16461,경기도 수원시 팔달구 갓매산로 21,경기도 수원시 팔달구 매산로3가 106-3번지,37.26654531,127.0062078
수원시,명가정,031-255-9916,소양념갈비,16603,경기도 수원시 권선구 탑동로57번길 29,경기도 수원시 권선구 탑동 746-2번지,37.27306964,126.9723723
수원시,남촌,031-239-0411,홍어삼합,16571,경기도 수원시 권선구 권광로 123,경기도 수원시 권선구 권선동 1022-4번지,37.25877435,127.0303466
수원시,서윤한정식,031-273-2345,"행복 한정식, 서윤특선",16679,경기도 수원시 영통구 덕영대로1499번길 28,경기도 수원시 영통구 영통동 977-1번지,37.24689268,127.0557112
수원시,한국관,031-217-8889,수원양념왕갈비,16491,경기도 수원시 팔달구 권선로741번길 16-8,경기도 수원시 팔달구 인계동 1134-1번지,37.25818051,127.0328989
수원시,대유평,031-227-2358,한우암소꽃등심,16293,경기도 수원시 장안구 수일로 221,경기도 수원시 장안구 조원동 53-1번지,37.30694492,127.0147568
수원시,추미정남원추어탕,031-271-6400,"추어탕, 미꾸리튀김",16201,경기도 수원시 장안구 파장천로 123,경기도 수원시 장안구 파장동 343-2번지,37.31493907,127.0014675
