ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCLHTPO22N000000001,장소,관광지,10684323,영산만년교,,,60605,보물,4.87E+18,경상남도,창녕군,영산면,동리,433,4874038025,4874038000,,,,128.5298113,35.45363364,라마934180,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000002,장소,관광지,10684359,보각국사탑및비,,,60605,보물,4.77E+18,경상북도,군위군,삼국유사면,화북리,612,4772038022,4772038000,4.77E+11,삼국유사로,250,128.7793311,36.12779702,마마151930,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000003,장소,관광지,8269960,석조여래좌상,,,60605,보물,4.68E+18,전라남도,영암군,군서면,도갑리,8,4683036029,4683036000,4.68E+11,도갑사로,306,126.6638026,34.75394988,다라234402,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000004,장소,관광지,8270033,숭열당,,,60605,보물,4.72E+18,경상북도,영천시,성내동,,09월 02일,4723010900,4723052000,4.72E+11,숭렬당길,1,128.9289225,35.96640578,마마288753,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000005,장소,관광지,10684190,사적비,,,60605,보물,4.68E+18,전라남도,강진군,도암면,만덕리,247,4681034026,4681034000,,,,126.7475535,34.58776592,다라309217,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000006,장소,관광지,10684270,철불좌상,,,60605,보물,4.31E+18,충청북도,충주시,단월동,,455,4313010900,4313060500,,,,127.9007507,36.94676362,라바356832,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000007,장소,관광지,10684473,단속사지삼층석탑,,,60605,보물,4.89E+18,경상남도,산청군,단성면,운리,302,4886037025,4886037000,,,,127.8997427,35.32121298,라마363029,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000008,장소,관광지,8270321,12지상부도,,,60605,보물,3.11E+18,울산광역시,중구,학성동,,73,3111010100,3111051000,,,,129.3382079,35.55510696,마마666303,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000009,장소,관광지,10684318,창녕석빙고,,,60605,보물,4.87E+18,경상남도,창녕군,창녕읍,송현리,288,4874025021,4874025000,,,,128.4984255,35.54260287,라마905278,20220809,KT,KC_507_LLR_HISTST_2022,20220809
KCLHTPO22N000000010,장소,관광지,10684205,인조별서유기비,,,60605,보물,1.14E+18,서울특별시,은평구,역촌동,,08월 12일,1138010800,1138062500,,,,126.9166218,37.60874991,다사485567,20220809,KT,KC_507_LLR_HISTST_2022,20220809
