순위,분류,관련 키워드,언급건수
1,기타가족,가족,40237
2,친구,친구,39423
3,회사동료,직원,25027
4,싱글,혼자,22135
5,기타가족,엄마,19276
6,친구,친구들,17455
7,부모님,부모,16340
8,자녀,학생,16270
9,기타가족,가정,14832
10,자녀,자녀,13250
11,친구,지인,10863
12,부모님,부모님,10170
13,배우자,남편,9915
14,부모님,아빠,8733
15,기타가족,언니,8725
16,부모님,어머니,8529
17,자녀,아들,8238
18,기타가족,동생,7802
19,기타가족,오빠,7080
20,자녀,청소년,6783
21,회사동료,대리,6643
22,회사동료,직원들,5861
23,연인,커플,5765
24,기타가족,동서,5729
25,부모님,아버지,5637
26,기타가족,이모,5073
27,자녀,애들,5006
28,싱글,혼자서,4914
29,회사동료,동료,4817
30,배우자,아내,4698
31,학생,대학생,4029
32,연인,남자친구,3943
33,연인,연인,3932
34,배우자,부인,3824
35,부모님,할머니,3775
36,회사동료,임원,3556
37,회사동료,부장,3485
38,학생,초등학생,3194
39,자녀,딸,3113
40,싱글,홀로,3039
41,기타가족,장인,2994
42,배우자,배우자,2691
43,배우자,신랑,2600
44,배우자,신부,2555
45,친구,프렌,2547
46,기타가족,형제,2510
47,자녀,자식,2504
48,싱글,싱글,2470
49,연인,여자친구,2381
50,기타가족,누나,2116
51,부모님,어머님,2074
52,기타가족,조카,2023
53,학생,중학생,1984
54,기타가족,막내,1931
55,배우자,와이프,1864
56,학생,고등학생,1782
57,부모님,할아버지,1768
58,기타가족,자매,1751
59,싱글,나홀로,1733
60,기타가족,형,1725
61,기타가족,패밀리,1714
62,자녀,미성년자,1671
63,친구,칭구,1557
64,연인,남친,1541
65,부모님,엄마아빠,1435
66,기타가족,식구,1386
67,기타가족,효자,1378
68,친구,절친,1371
69,기타가족,여동생,1298
70,학생,고3,1257
71,학생,초딩,1230
72,배우자,남편이랑,1193
73,기타가족,사촌,1180
74,기타가족,이모님,1140
75,학생,고딩,1073
76,부모님,엄빠,1043
77,기타가족,친척,995
78,친구,동창,966
79,연인,애인,930
80,기타가족,손자,923
81,기타가족,형님,905
82,자녀,우리아이,842
83,회사동료,차장,832
84,기타가족,남동생,830
85,기타가족,삼촌,816
86,부모님,아버님,791
