순위,분류,관련 키워드,언급건수
1,기타가족,가족,39770
2,친구,친구,34121
3,싱글,혼자,22618
4,회사동료,직원,19409
5,친구,친구들,15980
6,기타가족,엄마,12960
7,배우자,신랑,12662
8,배우자,신부,12273
9,부모님,부모,12221
10,자녀,학생,12194
11,부모님,어머니,11227
12,회사동료,대리,11177
13,부모님,아버지,11046
14,기타가족,가정,10376
15,친구,지인,9145
16,부모님,부모님,8979
17,배우자,남편,7956
18,자녀,자녀,6776
19,자녀,애들,6586
20,기타가족,오빠,6363
21,싱글,혼자서,6233
22,부모님,아빠,5785
23,기타가족,언니,5769
24,자녀,청소년,5171
25,기타가족,동생,4877
26,자녀,자식,4835
27,자녀,아들,4419
28,회사동료,직원들,4287
29,연인,커플,4212
30,학생,대학생,3785
31,회사동료,차장,3464
32,기타가족,이모,3291
33,연인,남자친구,3205
34,배우자,아내,3116
35,회사동료,동료,3099
36,기타가족,동서,3089
37,부모님,할머니,3055
38,연인,연인,3003
39,배우자,부인,2544
40,부모님,어머님,2462
41,학생,초등학생,2322
42,싱글,나홀로,2054
43,싱글,홀로,1936
44,친구,프렌,1858
45,자녀,딸,1724
46,회사동료,임원,1679
47,기타가족,사위,1629
48,부모님,할아버지,1613
49,회사동료,부장,1588
50,배우자,서방,1541
51,기타가족,형제,1517
52,학생,고등학생,1505
53,기타가족,장인,1498
54,자녀,미성년자,1476
55,배우자,배우자,1417
56,기타가족,효자,1372
57,학생,중학생,1354
58,싱글,싱글,1351
59,연인,여자친구,1318
60,연인,남친,1236
61,기타가족,식구,1234
62,배우자,와이프,1227
63,기타가족,자매,1221
64,기타가족,막내,1119
65,친구,칭구,1098
66,기타가족,누나,1071
67,기타가족,형,1060
68,기타가족,조카,971
69,부모님,엄마아빠,924
70,배우자,남편이랑,911
71,기타가족,장모,851
72,학생,초딩,831
73,기타가족,친척,828
74,배우자,우리신랑,778
75,배우자,울신랑,777
76,기타가족,패밀리,767
77,기타가족,사촌,750
78,부모님,아버님,746
79,기타가족,손자,738
80,학생,고3,737
81,기타가족,이모님,736
82,부모님,엄빠,691
83,친구,동창,689
84,학생,고딩,639
85,부모님,장모님,631
86,배우자,집사람,606
87,기타가족,형님,589
88,기타가족,여동생,532
88,회사동료,사원,532
90,부모님,어무니,526
91,싱글,나혼자,499
92,기타가족,며느리,489
93,자녀,아드님,478
94,부모님,시어머니,474
95,기타가족,남동생,444
95,부모님,아부지,444
97,연인,여친,429
98,부모님,아비,428
99,회사동료,직장동료,424
100,연인,남친이,419
101,연인,애인,418
102,자녀,장남,411
103,기타가족,온가족,407
104,부모님,시부,387
105,학생,재수생,370
106,자녀,장녀,364
107,기타가족,시댁,363
108,기타가족,삼촌,362
109,기타가족,고모,361
110,기타가족,남매,346
111,친구,절친,345
112,학생,고2,343
113,부모님,모녀,342
114,부모님,할매,328
115,학생,중딩,323
116,부모님,장인어른,315
117,자녀,따님,282
118,부모님,시아버지,280
119,학생,중3,279
120,자녀,워킹맘,276
121,자녀,우리아이,267
122,학생,중2,263
123,기타가족,사촌동생,251
123,학생,중1,251
125,기타가족,태아,250
126,부모님,울엄마,238
127,기타가족,손녀,233
128,부모님,시모,230
129,기타가족,형부,216
130,친구,룸메,213
131,부모님,외할머니,204
132,기타가족,손주,196
133,부모님,친정엄마,184
134,기타가족,사돈,181
135,부모님,시부모,177
136,자녀,딸아이,170
137,부모님,시부모님,164
138,자녀,딸래미,163
139,자녀,딸내미,158
140,기타가족,이모님들,156
141,연인,예비신부,155
142,기타가족,가족모두,153
142,학생,초3,153
144,연인,예랑,150
145,부모님,할무니,147
146,기타가족,차남,140
147,학생,초6,135
148,부모님,할머님,134
149,기타가족,친지,129
150,자녀,외동,124
151,부모님,조부모,118
151,배우자,안사람,118
153,연인,예비신랑,117
154,배우자,예신,116
