순위,분류,관련 키워드,언급건수
1,친구,친구,65131
2,기타가족,가족,61411
3,회사동료,직원,53942
4,싱글,혼자,33190
5,친구,친구들,27548
6,기타가족,엄마,27222
7,부모님,부모,21089
8,친구,지인,20550
9,자녀,학생,17638
10,기타가족,가정,17388
11,배우자,남편,16500
12,부모님,부모님,15892
13,배우자,신랑,15828
14,배우자,신부,13950
15,기타가족,언니,13342
16,기타가족,오빠,12744
17,부모님,아빠,11525
18,기타가족,동생,11243
19,회사동료,직원들,10426
20,연인,커플,10253
21,기타가족,이모,8855
22,자녀,청소년,8849
23,회사동료,대리,8482
24,자녀,자녀,8466
25,자녀,아들,7703
26,연인,남자친구,7596
27,연인,연인,7242
28,싱글,혼자서,7018
29,자녀,애들,6860
30,부모님,어머니,6301
31,부모님,아버지,5643
32,회사동료,동료,5417
33,배우자,아내,5046
34,친구,프렌,4946
35,부모님,할머니,4822
36,학생,초등학생,4737
37,학생,대학생,4440
38,회사동료,부장,3785
39,배우자,부인,3459
40,연인,여자친구,3370
41,싱글,홀로,3217
42,싱글,싱글,3098
43,연인,남친,3036
44,자녀,딸,2996
45,회사동료,임원,2821
46,자녀,자식,2783
47,기타가족,장인,2755
48,기타가족,동서,2609
49,기타가족,자매,2562
50,배우자,남편이랑,2547
51,부모님,어머님,2531
51,친구,칭구,2531
53,기타가족,막내,2529
54,기타가족,형제,2375
55,기타가족,누나,2340
56,학생,초딩,2329
57,기타가족,이모님,2291
58,기타가족,장모,2223
59,배우자,배우자,2156
60,학생,고등학생,2147
61,배우자,와이프,2105
62,기타가족,조카,2103
63,부모님,할아버지,2093
64,기타가족,패밀리,1957
65,부모님,엄마아빠,1925
66,기타가족,사위,1922
66,기타가족,형,1922
68,학생,중학생,1825
69,기타가족,식구,1709
70,학생,고딩,1694
71,기타가족,사촌,1612
72,기타가족,여동생,1600
73,부모님,엄빠,1560
74,학생,중딩,1375
75,싱글,나홀로,1363
76,기타가족,효자,1332
77,기타가족,친척,1269
78,학생,고3,1251
79,부모님,아버님,1161
79,자녀,미성년자,1161
81,연인,남친이,1146
82,친구,동창,1110
83,기타가족,온가족,1094
84,회사동료,사원,1080
85,기타가족,형님,1018
86,부모님,모녀,965
87,자녀,따님,957
88,부모님,시부,928
89,부모님,아부지,923
90,기타가족,남동생,908
90,친구,절친,908
92,싱글,나혼자,893
93,연인,여친,858
94,기타가족,남매,854
95,배우자,우리신랑,850
96,회사동료,차장,849
97,부모님,장모님,846
98,기타가족,손자,832
99,기타가족,시댁,816
