순위,분류,관련 키워드,언급건수
1,친구,친구,67489
2,회사동료,직원,35654
3,기타가족,가족,35131
4,친구,친구들,29678
5,싱글,혼자,28253
6,기타가족,엄마,22856
7,자녀,학생,16351
8,기타가족,언니,14016
9,친구,지인,12551
10,부모님,부모,12458
11,연인,커플,10853
12,기타가족,동생,10791
13,부모님,아빠,10276
14,회사동료,대리,10014
15,기타가족,오빠,9728
16,기타가족,가정,9670
17,배우자,남편,9304
18,기타가족,동서,8750
19,부모님,부모님,8697
20,자녀,애들,7662
21,연인,연인,7282
22,연인,남자친구,7148
23,학생,대학생,7079
24,싱글,싱글,6150
25,기타가족,이모,5580
26,싱글,혼자서,5456
27,자녀,아들,5253
28,회사동료,직원들,5187
29,자녀,청소년,5176
30,회사동료,동료,4721
31,자녀,자녀,4654
32,부모님,할머니,4370
33,부모님,어머니,4362
34,배우자,아내,3672
35,회사동료,차장,3611
36,친구,프렌,3479
37,친구,칭구,3379
38,부모님,아버지,3284
39,연인,여자친구,3040
40,기타가족,장인,2898
41,연인,남친,2883
42,학생,초등학생,2827
43,배우자,신랑,2649
44,기타가족,막내,2643
45,자녀,자식,2591
46,싱글,홀로,2456
47,배우자,부인,2449
48,부모님,할아버지,2414
49,기타가족,누나,2135
50,자녀,딸,2082
51,기타가족,패밀리,2021
52,배우자,신부,2013
53,부모님,아비,1871
54,부모님,어머님,1720
55,부모님,엄마아빠,1713
56,학생,초딩,1652
57,회사동료,부장,1617
58,학생,고등학생,1614
59,기타가족,형제,1558
60,배우자,남편이랑,1516
61,기타가족,사촌,1483
62,부모님,엄빠,1458
63,기타가족,조카,1456
64,기타가족,형,1415
65,회사동료,임원,1386
66,학생,고딩,1330
67,배우자,배우자,1314
68,학생,중학생,1288
69,기타가족,이모님,1226
70,자녀,미성년자,1203
71,배우자,와이프,1191
72,연인,남친이,1185
73,싱글,나혼자,1167
74,기타가족,자매,1143
75,친구,절친,1133
76,학생,고3,1128
77,기타가족,식구,1109
78,친구,동창,1055
79,싱글,나홀로,1004
80,기타가족,효자,922
81,부모님,아부지,880
82,기타가족,친척,860
83,연인,여친,849
84,연인,애인,844
85,기타가족,남동생,807
86,기타가족,형님,768
87,친구,룸메,718
88,부모님,아버님,693
89,기타가족,여동생,682
90,기타가족,삼촌,646
91,회사동료,사원,629
92,기타가족,사위,602
93,부모님,모녀,586
94,기타가족,온가족,585
95,기타가족,사촌동생,571
95,학생,중딩,571
97,회사동료,직장동료,540
98,부모님,할매,539
99,기타가족,고모,537
100,부모님,어무니,509
101,기타가족,남매,492
102,학생,고2,467
103,부모님,울엄마,453
104,기타가족,시댁,452
105,기타가족,장모,429
106,자녀,아드님,428
107,부모님,외할머니,426
108,기타가족,손자,413
109,학생,중2,405
110,부모님,시부,400
111,부모님,할무니,397
112,기타가족,형부,390
112,학생,중3,390
114,자녀,워킹맘,371
115,학생,중1,368
116,자녀,장남,360
117,기타가족,태아,357
117,자녀,우리아이,357
119,자녀,딸래미,336
120,연인,예랑,308
121,자녀,따님,302
122,기타가족,손주,294
123,친구,베프,286
124,자녀,딸아이,280
125,기타가족,손녀,279
126,기타가족,며느리,277
127,기타가족,이모님들,273
128,기타가족,친지,257
129,연인,남치니,251
130,친구,룸메이트,248
131,자녀,딸내미,247
132,기타가족,막둥이,245
133,자녀,장녀,242
134,부모님,시부모,237
135,부모님,시어머니,230
136,기타가족,혈육,229
137,기타가족,가족모두,224
137,자녀,울애,224
139,부모님,시부모님,222
140,회사동료,회사사람,221
141,자녀,우리애,217
142,배우자,예랑이,215
142,부모님,조부모,215
144,부모님,친정엄마,211
145,자녀,우리딸,202
146,기타가족,효녀,200
147,자녀,딸램,196
148,자녀,울애기,190
149,부모님,할머님,187
150,배우자,남표니,179
151,연인,예비신부,177
152,연인,썸남,176
153,학생,재수생,175
154,배우자,서방,173
155,배우자,예신,162
156,부모님,엄니,160
157,배우자,집사람,155
158,부모님,장모님,152
159,회사동료,여직원,150
160,기타가족,울언니,143
161,자녀,외동,141
162,학생,초6,139
163,부모님,할배,134
164,기타가족,외삼촌,133
165,자녀,직장맘,129
166,학생,초4,128
167,자녀,큰딸,127
168,회사동료,회사동료,125
169,배우자,남편님,123
170,연인,남친님,122
171,부모님,할부지,121
172,학생,고삼,118
173,기타가족,덩생,116
174,자녀,우리아들,115
175,부모님,할아부지,114
175,자녀,큰아이,114
177,학생,초3,113
178,자녀,차녀,110
179,학생,초5,108
180,연인,여친님,107
181,친구,남사친,104
182,기타가족,시누,103
182,연인,약혼자,103
184,부모님,외할아버지,102
184,학생,초1,102
186,기타가족,차남,100
186,자녀,우리아이들,100
188,연인,예비신랑,99
189,자녀,큰애,98
190,자녀,큰아들,97
191,자녀,아들램,92
192,배우자,남푠,91
193,기타가족,손주들,86
193,부모님,시아버지,86
195,연인,남친몬,83
195,친구,프렌드,83
197,기타가족,새언니,82
198,기타가족,사돈,80
199,배우자,마누라,79
200,자녀,둥이들,78
201,부모님,시어머님,76
202,배우자,남펴니,75
202,기타가족,시누이,75
204,기타가족,장손,72
204,친구,여사친,72
206,학생,초2,70
207,부모님,장인어른,68
208,부모님,시모,67
209,연인,썸녀,65
209,자녀,첫째아이,65
211,자녀,아들내미,63
211,자녀,아들래미,63
211,기타가족,올케,63
214,자녀,외동딸,60
214,배우자,애엄마,60
216,자녀,우리애들,58
217,부모님,어무이,57
218,싱글,독신,55
219,자녀,둘째딸,53
220,자녀,둘째아이,51
221,부모님,할아버님,49
222,기타가족,숙모,48
222,회사동료,직장상사,48
224,배우자,마눌,46
224,기타가족,처제,46
224,자녀,첫아이,46
227,자녀,울아들,44
228,자녀,저희아이,42
228,배우자,안사람,42
230,배우자,마님,41
231,배우자,와이프님,39
231,기타가족,시댁식구,39
233,배우자,아자씨,37
233,자녀,저희딸,37
235,부모님,시아버님,35
236,기타가족,시댁식구들,34
