순위,분류,관련 키워드,언급건수
1,친구,친구,42164
2,기타가족,가족,32703
3,회사동료,직원,27888
4,싱글,혼자,19657
5,친구,친구들,18234
6,기타가족,엄마,15560
7,부모님,부모,12687
8,기타가족,가정,12367
9,자녀,학생,11411
10,친구,지인,11346
11,회사동료,대리,8743
12,부모님,부모님,8688
13,기타가족,언니,8685
14,배우자,남편,7750
15,부모님,아빠,6961
16,자녀,청소년,6725
17,기타가족,동생,6514
18,기타가족,오빠,6389
19,기타가족,이모,6135
20,회사동료,직원들,6119
21,자녀,자녀,5900
22,회사동료,동료,5629
23,자녀,아들,5501
24,연인,커플,5131
25,자녀,애들,4285
26,연인,남자친구,4037
27,부모님,어머니,3926
28,싱글,혼자서,3813
29,자녀,자식,3734
30,부모님,아버지,3610
31,연인,연인,3489
32,배우자,아내,3286
33,학생,대학생,3273
34,배우자,신부,3261
35,배우자,신랑,3255
36,부모님,할머니,2936
37,학생,초등학생,2855
38,친구,프렌,2762
39,배우자,부인,2570
40,기타가족,동서,2458
41,싱글,싱글,2162
42,싱글,홀로,2131
43,자녀,딸,2048
44,학생,고딩,2009
45,연인,여자친구,1969
46,기타가족,장인,1838
47,연인,남친,1802
48,기타가족,막내,1760
48,회사동료,부장,1760
50,기타가족,형제,1691
51,배우자,배우자,1527
51,부모님,어머님,1527
53,친구,칭구,1483
54,회사동료,임원,1406
55,부모님,할아버지,1368
56,배우자,와이프,1334
57,기타가족,누나,1278
58,학생,중학생,1240
59,기타가족,자매,1239
60,학생,고등학생,1234
61,기타가족,친척,1218
62,부모님,엄마아빠,1197
63,기타가족,형,1190
64,기타가족,조카,1162
65,배우자,남편이랑,1110
66,싱글,나홀로,1108
67,기타가족,패밀리,1092
68,기타가족,식구,1083
69,기타가족,이모님,1080
70,친구,동창,1004
71,기타가족,온가족,923
72,친구,절친,902
73,학생,초딩,894
74,회사동료,사원,873
75,기타가족,사촌,858
76,부모님,엄빠,846
77,연인,애인,841
78,부모님,친정엄마,821
79,기타가족,삼촌,793
80,자녀,미성년자,787
81,기타가족,효자,786
82,싱글,나혼자,772
83,회사동료,직장동료,702
84,기타가족,형님,688
85,연인,남친이,680
