순위,분류,관련 키워드,언급건수
1,친구,친구,18620
2,기타가족,가족,14663
3,회사동료,직원,14373
4,싱글,혼자,9933
5,기타가족,엄마,7688
6,친구,친구들,7286
7,기타가족,가정,7033
8,부모님,부모,6103
9,자녀,청소년,5752
10,자녀,학생,5366
11,회사동료,대리,4504
12,친구,지인,4404
13,부모님,부모님,4070
14,배우자,남편,4032
15,기타가족,언니,3860
16,기타가족,동생,3406
17,자녀,자녀,3293
18,자녀,아들,3247
19,회사동료,직원들,3246
20,부모님,아빠,3168
21,기타가족,오빠,2987
22,회사동료,동료,2835
23,부모님,어머니,2521
24,부모님,아버지,2446
25,연인,남자친구,2197
26,연인,커플,2174
27,기타가족,이모,2146
28,자녀,자식,2133
29,싱글,혼자서,2068
30,학생,초등학생,1936
31,자녀,애들,1871
32,학생,고딩,1791
33,배우자,아내,1712
34,기타가족,동서,1663
35,배우자,부인,1542
36,친구,프렌,1535
37,부모님,할머니,1517
38,연인,연인,1496
39,배우자,신랑,1482
40,학생,대학생,1233
41,싱글,홀로,1223
42,회사동료,부장,1078
43,기타가족,형제,999
44,자녀,딸,937
45,배우자,신부,930
46,기타가족,막내,917
47,연인,남친,916
48,회사동료,임원,912
49,부모님,어머님,871
50,기타가족,장인,870
51,연인,여자친구,851
52,싱글,싱글,774
53,부모님,할아버지,716
54,기타가족,이모님,700
55,기타가족,자매,688
56,친구,칭구,682
57,기타가족,누나,668
58,배우자,배우자,643
59,배우자,남편이랑,631
60,기타가족,조카,625
60,학생,고등학생,625
62,배우자,와이프,611
63,학생,중학생,608
64,싱글,나홀로,600
65,기타가족,형,566
66,기타가족,효자,547
67,부모님,엄마아빠,542
68,기타가족,패밀리,499
69,학생,고3,483
70,기타가족,식구,481
70,친구,동창,481
72,부모님,엄빠,453
73,학생,초딩,441
74,기타가족,친척,435
75,기타가족,손자,431
76,회사동료,직장동료,422
77,회사동료,사원,414
78,기타가족,사촌,402
79,기타가족,형님,387
80,부모님,아버님,366
81,연인,남친이,348
82,자녀,미성년자,347
83,회사동료,차장,343
84,연인,애인,336
85,기타가족,삼촌,319
86,부모님,아비,286
87,기타가족,온가족,285
88,기타가족,남동생,282
88,싱글,나혼자,282
90,배우자,서방,279
91,부모님,아부지,278
92,기타가족,사위,261
93,기타가족,시댁,256
94,자녀,장남,239
95,기타가족,여동생,236
96,자녀,아드님,229
97,기타가족,장모,224
98,기타가족,남매,220
99,학생,중딩,215
100,부모님,어무니,214
101,기타가족,고모,213
102,부모님,모녀,210
103,연인,여친,208
104,기타가족,태아,207
105,학생,중3,205
106,부모님,시부,201
106,회사동료,여직원,201
108,자녀,우리아이,199
109,학생,고2,198
110,자녀,따님,196
111,학생,중1,193
112,기타가족,며느리,178
113,기타가족,손녀,177
113,학생,중2,177
115,친구,절친,170
116,자녀,워킹맘,164
117,부모님,할매,160
118,회사동료,회사사람,155
119,부모님,울엄마,154
120,기타가족,손주,147
121,부모님,외할머니,142
122,부모님,시어머니,139
123,부모님,시부모,137
124,기타가족,형부,136
125,기타가족,친지,135
126,기타가족,가족모두,130
127,배우자,집사람,127
128,부모님,장모님,126
129,부모님,장인어른,121
130,기타가족,사촌동생,119
131,기타가족,이모님들,118
132,부모님,시부모님,116
133,배우자,남표니,113
134,회사동료,회사동료,107
135,자녀,외동,104
136,자녀,딸아이,101
137,부모님,할무니,100
137,자녀,딸래미,100
139,친구,룸메,99
140,기타가족,차남,98
141,부모님,친정엄마,91
141,자녀,딸내미,91
143,연인,남치니,83
144,연인,예랑,79
145,자녀,딸램,77
146,자녀,맏아들,75
146,자녀,우리아이들,75
148,기타가족,울언니,74
149,자녀,큰딸,72
149,배우자,안사람,72
151,기타가족,효녀,71
152,자녀,울애,70
152,친구,베프,70
154,자녀,큰아이,68
154,기타가족,외삼촌,68
156,자녀,장녀,67
157,학생,초3,63
158,자녀,우리애,62
158,자녀,울애기,62
160,부모님,조부모,61
160,부모님,할머님,61
162,기타가족,막둥이,59
162,학생,초6,59
164,배우자,예랑이,57
165,기타가족,사돈,54
165,자녀,우리딸,54
167,학생,초4,53
168,기타가족,혈육,51
168,학생,초1,51
170,학생,초5,50
171,자녀,큰아들,49
171,부모님,시어머님,49
173,배우자,남편님,48
173,회사동료,회사직원,48
175,배우자,남펴니,46
175,배우자,예신,46
177,부모님,할배,44
178,자녀,아들내미,43
178,기타가족,숙부,43
180,친구,프렌드,42
181,기타가족,시누,41
181,부모님,엄니,41
181,부모님,외할아버지,41
181,부모님,할부지,41
185,연인,예비신부,40
185,기타가족,올케,40
187,자녀,우리아들,39
188,배우자,마누라,38
189,싱글,독신,37
190,부모님,증조부,36
190,자녀,둘째아들,36
192,부모님,시아버지,35
193,기타가족,덩생,34
193,학생,재수생,34
193,자녀,아들래미,34
193,연인,남친님,34
197,기타가족,시누이,31
197,기타가족,처제,31
197,배우자,남푠,31
197,자녀,둥이들,31
201,친구,룸메이트,30
201,기타가족,새언니,30
203,자녀,직장맘,29
203,학생,고삼,29
203,자녀,큰애,29
206,부모님,할아부지,28
206,자녀,차녀,28
206,학생,초2,28
209,기타가족,손주들,27
209,배우자,우리신랑,27
211,기타가족,장손,26
211,배우자,마눌,26
211,연인,썸남,26
211,자녀,아들램,26
211,친구,남사친,26
216,부모님,어무이,25
216,연인,남친몬,25
218,자녀,울아들,24
218,자녀,외아들,24
220,기타가족,숙모,23
220,친구,여사친,23
220,기타가족,며늘,23
223,자녀,외동딸,22
224,연인,여친님,21
224,부모님,시아버님,21
226,자녀,큰놈,20
227,자녀,첫아이,19
227,기타가족,시동생,19
229,부모님,친정어머니,18
229,부모님,시모,18
231,부모님,할아버님,17
231,배우자,애엄마,17
233,배우자,마님,16
233,배우자,와이프님,16
233,연인,약혼녀,16
233,자녀,우리애들,16
233,배우자,주말부부,16
233,배우자,아자씨,16
233,배우자,울신랑,16
240,기타가족,외손자,15
240,자녀,둘째딸,15
240,기타가족,육촌,15
240,연인,썸녀,15
244,연인,예비신랑,14
244,자녀,아들녀석,14
244,자녀,첫째아이,14
244,배우자,마눌님,14
244,부모님,양가부모님,14
244,부모님,친정아버지,14
244,기타가족,손자들,14
251,자녀,외동아들,13
251,자녀,아들딸,13
253,자녀,초보엄마,12
253,자녀,손녀딸,12
253,자녀,삼둥이,12
256,배우자,영감님,11
256,기타가족,외손녀,11
256,자녀,첫째딸,11
256,부모님,어머니아버지,11
260,기타가족,친정식구,10
260,자녀,둘째아이,10
260,자녀,맏딸,10
260,연인,약혼자,10
260,기타가족,외손주,10
265,회사동료,직장상사,9
265,부모님,시엄마,9
265,자녀,저희애,9
265,자녀,초보맘,9
265,기타가족,맏며느리,9
265,회사동료,회사선배,9
271,기타가족,친정식구들,8
271,배우자,애아빠,8
271,자녀,저희딸,8
271,자녀,저희아이,8
271,자녀,여식,8
271,자녀,첫째아들,8
277,자녀,딸냄,7
277,자녀,울딸,7
277,배우자,새색시,7
277,기타가족,시댁식구,7
277,배우자,애기아빠,7
277,자녀,젖먹이,7
283,배우자,저희남편,6
283,자녀,울아이,6
283,부모님,할마,6
283,기타가족,시댁식구들,6
283,자녀,딸자식,6
283,부모님,시어미,6
289,배우자,남푠님,5
289,자녀,첫아들,5
289,기타가족,사돈댁,5
289,싱글,싱글족,5
289,자녀,저희아들,5
289,자녀,첫딸,5
289,자녀,전업맘,5
289,배우자,낭군님,5
289,부모님,친정아빠,5
289,기타가족,큰며느리,5
299,부모님,증조모,4
299,자녀,저희애들,4
299,부모님,예비시어머니,4
299,부모님,할멈,4
299,연인,피앙세,4
299,부모님,외할무니,4
305,자녀,작은놈,3
305,부모님,시엄니,3
305,회사동료,회사후배,3
305,배우자,애들아빠,3
305,기타가족,맏사위,3
305,부모님,외할매,3
305,기타가족,며늘아기,3
305,기타가족,손자손녀,3
305,싱글,싱글남,3
305,싱글,혼자남,3
305,배우자,남의편,3
305,배우자,영감탱이,3
305,부모님,외할배,3
318,부모님,친정맘,2
318,배우자,아내느님,2
318,부모님,친정아부지,2
318,친구,여자사람친구,2
318,친구,학교친구,2
318,연인,보이프렌드,2
318,부모님,함무니,2
318,자녀,우리집애,2
318,연인,피앙새,2
318,부모님,셤니,2
318,친구,여행친구,2
329,배우자,울랑,1
329,배우자,저희신랑,1
329,배우자,애들엄마,1
329,부모님,시아부지,1
329,부모님,할버지,1
329,연인,걸프렌드,1
329,배우자,아이아빠,1
329,자녀,둥이맘,1
329,자녀,쌍둥이맘,1
329,기타가족,막내사위,1
329,부모님,시아빠,1
329,부모님,예비시어머님,1
329,기타가족,막내며느리,1
329,배우자,우리와이프,1
329,싱글,혼행,1
329,자녀,첫아가,1
329,배우자,울서방,1
329,친구,남자사람친구,1
329,부모님,시어른,1
329,부모님,외함무니,1
329,싱글,나홀로족,1
329,배우자,우리마누라,1
329,자녀,울아이들,1
329,회사동료,사무실직원,1
329,싱글,싱글녀,1
329,자녀,셋째아이,1
