순위,분류,관련 키워드,언급건수
1,친구,친구,61641
2,기타가족,가족,43936
3,회사동료,직원,34692
4,싱글,혼자,33057
5,기타가족,엄마,27992
6,친구,친구들,26841
7,자녀,학생,19572
8,기타가족,언니,17633
9,부모님,부모,14560
10,기타가족,동생,12370
11,부모님,아빠,12347
12,친구,지인,12302
13,기타가족,가정,11279
14,기타가족,오빠,11169
15,부모님,부모님,10266
16,배우자,남편,10144
17,자녀,애들,9605
18,연인,커플,9491
19,자녀,청소년,9136
20,학생,대학생,8940
21,기타가족,이모,8696
22,자녀,아들,8003
23,부모님,할머니,7431
24,부모님,어머니,7264
25,친구,동창,7034
26,회사동료,직원들,6690
27,연인,남자친구,6443
28,회사동료,대리,6235
29,자녀,자녀,5983
30,싱글,혼자서,5643
31,부모님,아버지,5618
32,연인,연인,5530
33,배우자,아내,4917
34,연인,여자친구,4443
35,회사동료,동료,4329
36,친구,프렌,3940
37,기타가족,동서,3841
38,자녀,자식,3656
39,부모님,할아버지,3581
40,친구,칭구,3565
41,자녀,딸,3448
42,싱글,홀로,3380
43,배우자,부인,3300
44,연인,남친,3250
45,학생,초등학생,3238
46,기타가족,장인,3147
47,배우자,신랑,2881
48,기타가족,막내,2831
49,기타가족,누나,2828
50,배우자,신부,2658
51,싱글,싱글,2595
52,학생,고등학생,2562
53,부모님,어머님,2512
54,기타가족,형제,2452
55,기타가족,조카,2404
56,기타가족,사촌,2143
57,부모님,엄마아빠,2105
58,학생,초딩,2075
59,기타가족,패밀리,2070
60,기타가족,이모님,2067
61,기타가족,자매,1993
61,회사동료,부장,1993
63,부모님,엄빠,1918
64,연인,여친,1914
65,기타가족,장모,1811
66,학생,중학생,1789
67,회사동료,임원,1784
68,학생,고딩,1698
69,배우자,배우자,1691
70,기타가족,형,1684
71,기타가족,효자,1642
72,배우자,와이프,1637
73,기타가족,식구,1528
74,기타가족,친척,1425
75,배우자,남편이랑,1371
76,싱글,나홀로,1334
77,부모님,아버님,1288
78,기타가족,삼촌,1264
79,싱글,나혼자,1251
80,학생,고3,1243
81,부모님,할매,1199
82,기타가족,고모,1140
83,부모님,아부지,1131
84,연인,남친이,1130
85,기타가족,형님,1108
86,자녀,미성년자,954
87,기타가족,손자,940
88,기타가족,남동생,936
89,부모님,아비,896
90,연인,애인,884
91,회사동료,사원,854
92,기타가족,여동생,831
93,기타가족,며느리,830
94,친구,룸메,814
95,부모님,모녀,803
96,회사동료,차장,792
97,자녀,장남,788
98,기타가족,사촌동생,749
99,기타가족,남매,748
100,기타가족,형부,719
101,기타가족,사위,702
102,학생,중딩,701
103,친구,절친,687
104,부모님,외할머니,651
105,기타가족,온가족,647
106,부모님,어무니,645
107,학생,고2,641
108,부모님,울엄마,633
109,기타가족,시댁,631
110,부모님,시부,608
111,자녀,아드님,533
112,회사동료,직장동료,525
113,부모님,할무니,508
114,자녀,따님,499
115,기타가족,이모님들,493
116,기타가족,태아,461
117,부모님,시어머니,456
118,기타가족,막둥이,448
118,학생,중2,448
120,자녀,딸아이,446
121,자녀,울애,439
122,친구,베프,414
123,배우자,서방,408
123,자녀,딸래미,408
123,학생,중3,408
126,자녀,딸내미,389
127,자녀,울애기,382
128,기타가족,손녀,380
129,기타가족,손주,367
130,부모님,할머님,365
131,자녀,장녀,351
132,부모님,장모님,338
133,기타가족,외삼촌,332
134,부모님,시부모,321
135,학생,중1,305
136,배우자,남편님,296
137,기타가족,친지,293
138,부모님,시부모님,289
139,자녀,우리아이,287
140,기타가족,숙모,284
141,부모님,친정엄마,283
142,기타가족,차남,278
143,연인,예랑,273
144,부모님,시아버지,270
145,기타가족,효녀,259
145,학생,재수생,259
147,배우자,집사람,251
148,자녀,워킹맘,250
149,연인,남치니,246
150,자녀,큰아들,242
151,배우자,애엄마,238
152,학생,고삼,237
153,자녀,딸램,225
154,기타가족,혈육,221
155,부모님,외할아버지,217
156,회사동료,회사사람,212
156,기타가족,가족모두,212
158,부모님,엄니,209
159,부모님,할배,207
159,자녀,우리애,207
161,자녀,우리딸,198
162,배우자,애아빠,191
163,배우자,예랑이,190
164,자녀,외동,188
165,자녀,울아이,187
165,자녀,큰딸,187
165,학생,초3,187
168,기타가족,울언니,186
168,부모님,조부모,186
170,부모님,할부지,183
171,자녀,울아이들,180
172,회사동료,여직원,177
173,자녀,큰아이,171
174,부모님,장인어른,164
175,학생,초6,159
176,부모님,할아부지,158
177,배우자,예신,156
178,배우자,남표니,155
178,연인,예비신부,155
180,배우자,마누라,154
181,기타가족,덩생,151
182,기타가족,숙부,145
183,연인,썸남,141
183,친구,프렌드,141
185,학생,초4,140
186,자녀,차녀,135
187,연인,예비신랑,129
187,학생,초1,129
189,기타가족,시누,122
190,기타가족,사돈,120
191,회사동료,회사동료,118
192,친구,룸메이트,116
193,기타가족,새언니,113
194,연인,남친님,111
195,자녀,아들램,106
195,자녀,큰애,106
197,배우자,남펴니,105
198,기타가족,올케,104
198,학생,초5,104
200,기타가족,손주들,102
200,부모님,시모,102
202,싱글,독신,99
203,자녀,외동딸,95
204,부모님,어무이,94
204,학생,초2,94
206,자녀,우리아이들,93
207,배우자,마눌,91
207,자녀,외아들,91
209,부모님,시어머님,90
209,자녀,맏아들,90
211,기타가족,장손,89
212,부모님,할아버님,87
213,배우자,남푠,81
213,친구,남사친,81
215,기타가족,시누이,80
216,자녀,아들딸,78
217,기타가족,처제,76
217,연인,남친몬,76
219,자녀,아들내미,74
220,배우자,와이프님,70
221,자녀,아들래미,68
222,배우자,마눌님,65
223,배우자,마님,63
224,자녀,우리아들,61
225,친구,여사친,58
226,연인,썸녀,57
226,연인,약혼자,57
226,자녀,맏딸,57
226,배우자,아자씨,57
230,자녀,둘째아들,56
230,자녀,둥이들,56
232,배우자,안사람,55
233,부모님,증조부,52
233,자녀,울아들,52
233,자녀,큰놈,52
236,배우자,영감님,51
236,자녀,둘째딸,51
238,부모님,할멈,49
239,부모님,시아버님,48
239,부모님,친정어머니,48
241,자녀,우리애들,47
241,배우자,새색시,47
243,배우자,우리신랑,46
244,회사동료,회사직원,45
245,기타가족,손자들,44
246,기타가족,친정식구,43
247,자녀,손녀딸,42
247,기타가족,시동생,42
249,기타가족,외손녀,41
249,자녀,울딸,41
251,자녀,아들녀석,39
252,기타가족,친정식구들,38
253,배우자,주말부부,37
253,자녀,삼둥이,37
255,연인,약혼녀,35
255,자녀,저희아이,35
255,자녀,둘째아이,35
255,자녀,직장맘,35
259,부모님,양가부모님,34
259,기타가족,외손자,34
261,연인,여친님,33
262,부모님,친정아빠,30
262,기타가족,맏며느리,30
264,자녀,첫째딸,29
265,자녀,첫째아이,28
266,자녀,첫째아들,27
266,배우자,울신랑,27
266,부모님,외할무니,27
269,자녀,딸냄,25
269,자녀,첫아이,25
269,기타가족,시댁식구,25
272,부모님,친정아버지,24
272,자녀,저희딸,24
274,부모님,함무니,23
275,기타가족,시댁식구들,21
276,부모님,시엄마,20
276,부모님,증조모,20
276,부모님,할마,20
276,기타가족,육촌,20
280,부모님,시엄니,19
281,자녀,젖먹이,18
281,자녀,초보엄마,18
281,자녀,울애들,18
284,친구,학교친구,17
284,배우자,남의편,17
286,자녀,외동아들,16
287,기타가족,사돈댁,15
287,기타가족,며늘,15
287,배우자,낭군님,15
290,부모님,시어미,14
290,연인,보이프렌드,14
292,기타가족,큰며느리,13
292,기타가족,막내며느리,13
292,싱글,싱글족,13
295,기타가족,손자손녀,12
295,싱글,혼행,12
295,부모님,외할머님,12
295,싱글,혼자남,12
295,회사동료,직장상사,12
300,배우자,남푠님,11
300,연인,피앙세,11
300,자녀,초보맘,11
300,기타가족,외손주,11
304,자녀,저희애,10
304,자녀,첫아들,10
304,부모님,할버지,10
304,자녀,작은놈,10
308,자녀,전업맘,9
309,자녀,딸자식,8
309,자녀,저희아들,8
311,기타가족,맏사위,7
311,배우자,아이아빠,7
311,배우자,저희남편,7
311,부모님,셤니,7
311,배우자,애기아빠,7
311,친구,여행친구,7
311,회사동료,회사선배,7
318,부모님,시아부지,6
318,자녀,여식,6
318,자녀,쌍둥이맘,6
318,연인,걸프렌드,6
318,부모님,외할부지,6
323,싱글,싱글남,5
323,자녀,첫딸,5
323,부모님,예비시어머니,5
323,배우자,영감탱이,5
323,부모님,외할매,5
323,부모님,어머니아버지,5
323,배우자,저희신랑,5
323,자녀,둥이맘,5
331,자녀,우리집애,4
331,친구,남자사람친구,4
331,기타가족,며늘아기,4
331,기타가족,작은며느리,4
331,연인,피앙새,4
331,기타가족,며늘애,4
337,부모님,친정맘,3
337,기타가족,첫손주,3
337,배우자,울랑,3
337,배우자,애들아빠,3
337,배우자,울와이프,3
337,기타가족,시댁어른,3
337,배우자,우리와이프,3
337,자녀,작은녀석,3
337,싱글,나홀로족,3
337,부모님,시어른,3
337,친구,여자사람친구,3
337,배우자,마느님,3
337,자녀,울따님,3
337,자녀,저희애들,3
351,배우자,저희와이프,2
351,부모님,시아빠,2
351,부모님,할빠,2
351,자녀,첫아기,2
351,회사동료,사무실직원,2
351,자녀,제아이,2
351,자녀,울아드님,2
351,자녀,울집애,2
359,기타가족,막내사위,1
359,배우자,울랑이,1
359,자녀,첫아가,1
359,배우자,우리서방,1
359,부모님,기러기아빠,1
359,부모님,외할버지,1
359,자녀,일하는엄마,1
359,자녀,아들자식,1
359,부모님,친정엄니,1
359,기타가족,첫손녀,1
359,부모님,외할배,1
359,부모님,친정아부지,1
359,기타가족,첫손자,1
359,부모님,예비시어머님,1
359,싱글,싱글녀,1
359,배우자,아이들엄마,1
359,자녀,우리집아이,1
359,회사동료,회사상사,1
359,회사동료,회사후배,1
359,기타가족,며늘애기,1
359,배우자,울마눌,1
359,자녀,셋째아이,1
359,부모님,예비시아버지,1
