순위,분류,관련 키워드,언급건수
1,친구,친구,233627
2,회사동료,직원,126023
3,친구,친구들,100259
4,싱글,혼자,97506
5,기타가족,가족,91819
6,기타가족,엄마,68609
7,기타가족,언니,52818
8,친구,지인,43668
9,기타가족,오빠,35551
10,연인,커플,34805
11,기타가족,동생,34562
12,부모님,아빠,31990
13,부모님,부모,28823
14,자녀,학생,28088
15,자녀,애들,27650
16,기타가족,가정,27299
17,배우자,남편,27057
18,연인,남자친구,25679
19,연인,연인,23236
20,부모님,부모님,21885
21,기타가족,이모,19015
22,회사동료,직원들,18956
23,싱글,혼자서,18432
24,친구,프렌,18251
25,부모님,어머니,18155
26,배우자,신랑,17162
27,배우자,신부,16256
28,부모님,아버지,16142
29,학생,대학생,15494
30,자녀,아들,15362
31,회사동료,동료,15061
32,부모님,할머니,14948
33,회사동료,대리,14777
34,친구,칭구,14024
35,싱글,싱글,12890
36,자녀,자녀,10752
37,연인,남친,10451
38,자녀,청소년,9742
39,연인,여자친구,9679
40,배우자,아내,9132
41,기타가족,장인,8478
42,기타가족,막내,7466
43,자녀,자식,7307
44,싱글,홀로,7129
45,배우자,부인,6785
46,회사동료,부장,6711
47,기타가족,누나,6701
48,자녀,딸,6232
49,학생,초딩,5880
50,학생,초등학생,5571
51,부모님,할아버지,5406
52,기타가족,사촌,5386
53,부모님,어머님,5155
54,기타가족,조카,4922
55,부모님,엄빠,4846
56,부모님,엄마아빠,4826
57,기타가족,형제,4641
58,배우자,남편이랑,4625
59,학생,고등학생,4535
60,학생,고딩,4440
61,배우자,배우자,4274
62,연인,남친이,4132
63,배우자,와이프,4050
64,기타가족,형,3922
65,연인,애인,3826
66,기타가족,자매,3802
67,기타가족,식구,3720
68,회사동료,임원,3598
69,기타가족,동서,3586
70,싱글,나혼자,3584
71,부모님,아비,3568
72,기타가족,패밀리,3443
73,학생,중학생,3381
74,기타가족,이모님,3290
75,기타가족,효자,3213
76,연인,여친,3148
77,싱글,나홀로,3072
78,기타가족,장모,2877
79,학생,고3,2852
80,친구,동창,2815
81,부모님,아부지,2727
82,부모님,아버님,2643
83,기타가족,친척,2629
84,기타가족,형님,2496
85,기타가족,삼촌,2401
86,기타가족,고모,2297
87,회사동료,사원,2268
88,친구,절친,2208
89,기타가족,남동생,2152
90,기타가족,손자,2107
91,회사동료,차장,2062
92,기타가족,사촌동생,1998
93,친구,룸메,1940
94,학생,중딩,1922
95,기타가족,여동생,1844
96,기타가족,남매,1819
97,회사동료,직장동료,1729
98,부모님,울엄마,1706
99,자녀,미성년자,1624
100,기타가족,형부,1602
101,부모님,할매,1563
102,부모님,어무니,1510
103,부모님,할무니,1438
104,부모님,외할머니,1435
105,부모님,모녀,1433
106,학생,고2,1197
107,자녀,아들래미,1102
108,부모님,시부,1080
109,기타가족,시댁,1075
110,기타가족,며느리,1021
111,자녀,장남,1009
112,기타가족,온가족,997
113,학생,중2,987
114,친구,베프,986
115,연인,남치니,982
116,부모님,할머님,958
117,연인,예랑,956
118,기타가족,사위,954
119,학생,중3,913
120,자녀,울애,896
121,배우자,울신랑,874
122,기타가족,막둥이,872
123,배우자,우리신랑,857
