순위,분류,관련 키워드,언급건수
1,친구,친구,102825
2,회사동료,직원,81694
3,기타가족,가족,75396
4,싱글,혼자,58680
5,친구,친구들,44633
6,기타가족,엄마,37791
7,자녀,학생,35064
8,부모님,부모,32982
9,기타가족,가정,31854
10,친구,지인,30186
11,회사동료,대리,28675
12,자녀,자녀,26585
13,회사동료,부장,25177
14,배우자,남편,23357
15,배우자,부인,23101
16,기타가족,언니,21761
17,부모님,부모님,21516
18,자녀,아들,19980
19,회사동료,직원들,19213
20,기타가족,동생,18173
21,배우자,배우자,17387
22,부모님,아빠,16545
23,싱글,혼자서,16536
24,자녀,청소년,15590
25,기타가족,오빠,15239
26,연인,커플,13364
27,회사동료,동료,13284
28,부모님,아버지,13225
29,기타가족,이모,13076
30,연인,연인,12987
31,배우자,아내,12639
32,부모님,어머니,12209
33,자녀,애들,10828
34,학생,대학생,10672
35,연인,남자친구,10357
36,싱글,홀로,9370
37,친구,프렌,8904
38,부모님,할머니,8580
39,회사동료,임원,8463
40,자녀,딸,6731
41,자녀,미성년자,6592
42,자녀,자식,6077
43,회사동료,차장,6020
44,싱글,싱글,5929
45,연인,여자친구,5770
46,기타가족,장인,5580
47,기타가족,형,5388
48,학생,초등학생,5366
49,기타가족,형제,5336
50,기타가족,동서,5208
51,배우자,신부,5076
52,친구,칭구,5071
53,배우자,신랑,5041
54,기타가족,막내,4193
55,기타가족,누나,4191
56,연인,남친,4008
57,학생,고등학생,3866
58,기타가족,자매,3758
59,부모님,할아버지,3727
60,부모님,어머님,3565
61,배우자,와이프,3294
62,싱글,나홀로,3171
63,친구,동창,3155
64,학생,중학생,3024
65,기타가족,조카,3022
66,기타가족,식구,2803
67,기타가족,사촌,2748
68,기타가족,친척,2714
69,자녀,장남,2660
70,기타가족,패밀리,2588
71,부모님,엄마아빠,2583
72,학생,초딩,2516
73,기타가족,이모님,2442
74,기타가족,장모,2426
75,회사동료,사원,2365
76,배우자,남편이랑,2286
77,부모님,엄빠,2260
78,학생,고3,2200
79,기타가족,효자,1916
80,기타가족,남매,1850
81,기타가족,손자,1813
82,학생,고딩,1804
83,기타가족,남동생,1751
84,기타가족,여동생,1746
85,기타가족,형님,1742
86,회사동료,직장동료,1674
87,연인,애인,1656
88,기타가족,태아,1594
89,부모님,아버님,1578
90,연인,남친이,1561
91,싱글,나혼자,1513
92,부모님,아비,1511
93,부모님,모녀,1446
94,친구,절친,1441
95,기타가족,시댁,1439
96,부모님,시부,1418
97,연인,여친,1370
98,자녀,장녀,1295
99,기타가족,삼촌,1289
100,부모님,아부지,1279
101,기타가족,며느리,1270
102,기타가족,고모,1174
103,기타가족,차남,1171
