순위,분류,관련 키워드,언급건수
1,친구,친구,26724
2,기타가족,가족,23474
3,회사동료,직원,18827
4,싱글,혼자,14203
5,자녀,학생,12678
6,기타가족,엄마,12327
7,친구,친구들,12032
8,부모님,부모,10476
9,기타가족,가정,9309
10,친구,지인,7971
11,부모님,부모님,7403
12,배우자,남편,6389
13,자녀,청소년,5441
14,기타가족,언니,5234
15,부모님,아빠,5161
16,자녀,자녀,4829
17,기타가족,동생,4745
18,회사동료,대리,4466
19,자녀,아들,4136
20,기타가족,오빠,4133
21,연인,커플,3700
22,기타가족,이모,3673
23,회사동료,직원들,3644
24,부모님,어머니,3298
25,싱글,혼자서,3211
26,자녀,애들,2948
27,연인,남자친구,2892
28,학생,초등학생,2765
29,부모님,아버지,2699
30,연인,연인,2658
31,부모님,할머니,2479
32,회사동료,부장,2433
33,회사동료,동료,2382
34,배우자,아내,2287
35,학생,대학생,2261
36,배우자,부인,2065
37,친구,프렌,1949
38,배우자,신랑,1794
39,연인,여자친구,1633
40,싱글,홀로,1630
41,회사동료,임원,1570
42,싱글,싱글,1561
43,자녀,자식,1533
44,자녀,딸,1508
45,학생,중학생,1495
46,학생,고등학생,1476
47,기타가족,장인,1421
48,부모님,어머님,1407
49,기타가족,사위,1387
50,기타가족,막내,1366
51,기타가족,조카,1334
52,기타가족,장모,1331
53,기타가족,형제,1280
54,배우자,배우자,1227
55,학생,고3,1208
56,배우자,신부,1190
57,연인,남친,1166
58,기타가족,자매,1127
59,부모님,할아버지,1094
60,기타가족,누나,1079
61,기타가족,동서,1066
62,배우자,와이프,1013
63,기타가족,형,1009
63,배우자,남편이랑,1009
65,부모님,엄마아빠,950
66,기타가족,식구,929
67,학생,초딩,921
68,친구,칭구,908
69,싱글,나홀로,881
70,기타가족,사촌,865
71,기타가족,효자,777
72,학생,중3,770
73,기타가족,이모님,711
74,기타가족,패밀리,669
75,부모님,엄빠,657
76,학생,고딩,650
77,기타가족,남동생,639
78,자녀,미성년자,625
79,기타가족,친척,621
80,학생,고2,610
81,기타가족,여동생,590
82,부모님,아버님,583
83,기타가족,형님,577
84,친구,동창,529
85,학생,중1,503
86,기타가족,손자,502
87,기타가족,온가족,483
88,학생,중2,467
89,학생,중딩,448
90,자녀,우리아이,427
91,연인,남친이,411
92,부모님,모녀,410
93,연인,애인,401
94,기타가족,삼촌,399
95,회사동료,차장,391
96,친구,절친,384
97,부모님,아부지,383
98,싱글,나혼자,381
99,자녀,장남,369
100,연인,여친,368
101,학생,재수생,364
102,기타가족,남매,362
103,기타가족,시댁,360
104,기타가족,태아,350
105,기타가족,고모,336
106,부모님,시부,328
107,자녀,아드님,326
108,부모님,장모님,314
109,회사동료,사원,313
110,자녀,따님,297
111,부모님,아비,288
112,배우자,서방,285
113,자녀,워킹맘,282
114,자녀,딸아이,271
115,부모님,어무니,266
116,회사동료,직장동료,260
117,기타가족,며느리,256
118,부모님,시어머니,245
119,기타가족,사촌동생,233
120,기타가족,손녀,230
121,기타가족,형부,223
122,부모님,조부모,216
123,부모님,울엄마,212
123,연인,예랑,212
125,부모님,할매,207
126,부모님,외할머니,203
126,부모님,친정엄마,203
128,자녀,장녀,199
129,부모님,시부모,198
129,학생,초6,198
131,학생,초3,182
132,자녀,딸래미,176
133,기타가족,손주,174
134,부모님,시부모님,169
135,기타가족,친지,167
136,배우자,예신,164
137,부모님,할무니,162
137,학생,초1,162
139,배우자,예랑이,160
140,연인,예비신부,158
141,친구,룸메,152
142,기타가족,가족모두,146
143,기타가족,이모님들,145
144,자녀,딸내미,144
145,자녀,외동,140
146,기타가족,차남,133
147,자녀,큰아이,132
147,학생,초5,132
149,연인,남치니,131
150,기타가족,막둥이,128
150,학생,초4,128
152,기타가족,외삼촌,112
153,배우자,집사람,111
153,친구,베프,111
155,자녀,우리아이들,108
156,자녀,딸램,107
156,자녀,우리딸,107
158,자녀,울애,103
159,부모님,할머님,101
159,자녀,차녀,101
161,회사동료,여직원,97
162,기타가족,효녀,96
162,연인,예비신랑,96
162,회사동료,회사사람,96
165,학생,고삼,93
166,회사동료,회사동료,91
167,배우자,남표니,88
168,부모님,엄니,87
168,자녀,큰아들,87
170,자녀,우리애,86
171,싱글,독신,85
172,배우자,남편님,82
172,자녀,울애기,82
174,자녀,큰딸,80
174,자녀,우리아들,80
176,부모님,시어머님,74
177,배우자,남펴니,73
177,부모님,외할아버지,73
179,기타가족,혈육,72
180,부모님,시아버지,71
181,기타가족,사돈,68
181,자녀,둥이들,68
183,기타가족,울언니,65
183,학생,초2,65
185,자녀,아들램,64
186,기타가족,새언니,59
186,기타가족,숙부,59
186,부모님,증조부,59
189,부모님,시모,57
190,배우자,마누라,56
190,친구,프렌드,56
192,기타가족,시누,54
192,배우자,와이프님,54
192,자녀,큰애,54
195,자녀,삼둥이,53
196,자녀,외동아들,52
197,기타가족,손주들,50
197,부모님,장인어른,50
199,자녀,맏아들,48
199,자녀,아들래미,48
201,부모님,할부지,47
202,부모님,할아부지,46
203,연인,남친님,45
204,기타가족,장손,44
204,부모님,할배,44
206,기타가족,올케,43
207,배우자,마눌,42
207,부모님,양가부모님,42
207,부모님,어무이,42
207,자녀,외동딸,42
211,기타가족,처제,40
211,자녀,아들딸,40
213,친구,룸메이트,39
214,기타가족,숙모,38
215,배우자,마눌님,36
216,배우자,애엄마,35
216,부모님,시아버님,35
218,자녀,아들내미,34
219,기타가족,덩생,33
219,배우자,남푠,33
219,회사동료,회사직원,33
222,자녀,울아들,32
222,친구,남사친,32
224,기타가족,시누이,30
224,자녀,우리애들,30
224,자녀,울딸,30
224,자녀,저희아이,30
224,기타가족,친정식구,30
224,배우자,안사람,30
230,부모님,할아버님,29
230,연인,남친몬,29
230,자녀,첫째아이,29
