순위,분류,관련 키워드,언급건수
1,친구,친구,108409
2,회사동료,직원,76751
3,기타가족,가족,59927
4,싱글,혼자,50219
5,친구,친구들,45806
6,기타가족,엄마,43241
7,기타가족,언니,29053
8,친구,지인,22798
9,기타가족,오빠,21672
10,부모님,부모,20651
11,기타가족,동생,19903
12,부모님,아빠,19686
13,배우자,남편,18618
14,자녀,학생,18448
15,연인,커플,17774
16,기타가족,가정,16822
17,부모님,부모님,15904
18,자녀,애들,14203
19,연인,남자친구,14067
20,회사동료,직원들,13181
21,기타가족,이모,12919
22,회사동료,대리,12898
23,친구,프렌,10714
24,연인,연인,10463
25,회사동료,동료,9796
26,자녀,아들,9392
27,싱글,혼자서,8819
28,부모님,할머니,8670
29,자녀,청소년,8463
30,학생,대학생,8262
31,자녀,자녀,8085
32,부모님,어머니,8007
33,친구,칭구,6944
34,부모님,아버지,6637
35,배우자,아내,6205
36,배우자,신랑,6001
37,연인,남친,5848
38,배우자,신부,5739
39,기타가족,장인,5355
40,싱글,싱글,5284
41,기타가족,막내,5235
42,자녀,자식,5214
43,연인,여자친구,4925
44,싱글,홀로,4545
45,자녀,딸,4247
46,기타가족,누나,4169
47,배우자,부인,4048
48,회사동료,부장,3810
49,기타가족,사촌,3809
50,부모님,할아버지,3774
51,학생,초등학생,3704
52,부모님,어머님,3703
53,기타가족,동서,3642
54,학생,초딩,3409
55,회사동료,임원,3400
56,배우자,남편이랑,3363
57,부모님,엄빠,3347
58,기타가족,형제,3223
59,부모님,엄마아빠,3141
60,배우자,배우자,3123
61,기타가족,조카,3064
62,기타가족,이모님,3029
63,배우자,와이프,2897
64,학생,고딩,2784
65,학생,고등학생,2773
66,부모님,아비,2639
67,기타가족,패밀리,2607
68,학생,중딩,2606
69,기타가족,자매,2495
70,학생,중학생,2402
71,기타가족,장모,2382
72,연인,남친이,2320
73,기타가족,식구,2200
74,기타가족,형,2192
75,기타가족,친척,2085
76,싱글,나홀로,1992
77,기타가족,효자,1923
78,학생,고3,1917
79,싱글,나혼자,1861
80,기타가족,고모,1818
81,부모님,아부지,1775
82,회사동료,사원,1728
83,회사동료,차장,1718
84,부모님,아버님,1678
85,친구,동창,1638
86,기타가족,형님,1591
87,연인,여친,1569
88,기타가족,삼촌,1504
89,기타가족,남동생,1478
90,연인,애인,1474
91,기타가족,사위,1286
91,회사동료,직장동료,1286
93,기타가족,남매,1276
94,친구,절친,1267
95,기타가족,여동생,1262
96,연인,예랑,1191
97,기타가족,사촌동생,1186
98,자녀,미성년자,1185
99,부모님,울엄마,1140
100,기타가족,손자,1124
101,기타가족,형부,1101
102,부모님,어무니,1051
103,기타가족,시댁,1013
104,친구,룸메,967
105,부모님,시부,932
106,부모님,모녀,928
107,부모님,할매,916
108,기타가족,온가족,914
109,부모님,할무니,898
110,부모님,외할머니,839
111,기타가족,이모님들,832
112,자녀,장남,826
113,배우자,예신,821
114,배우자,예랑이,802
115,자녀,아드님,710
116,기타가족,며느리,683
117,학생,고2,660
118,친구,베프,612
119,회사동료,회사사람,606
120,자녀,딸래미,603
121,연인,남치니,589
122,부모님,장모님,570
123,부모님,시부모,563
124,부모님,시어머니,555
125,학생,중3,552
126,연인,예비신부,545
127,배우자,집사람,538
128,부모님,시부모님,529
129,학생,중2,528
130,자녀,장녀,523
131,기타가족,손녀,521
132,자녀,워킹맘,520
133,자녀,따님,509
134,기타가족,차남,508
135,자녀,울애,490
136,기타가족,손주,489
137,배우자,서방,475
138,학생,중1,463
139,기타가족,막둥이,448
140,자녀,딸아이,439
141,자녀,딸내미,429
142,기타가족,효녀,426
143,자녀,우리애,415
144,자녀,울애기,409
144,회사동료,회사동료,409
146,자녀,우리아이,399
147,부모님,친정엄마,392
148,회사동료,여직원,388
149,기타가족,태아,379
150,부모님,할머님,355
151,기타가족,친지,353
152,자녀,딸램,352
153,부모님,엄니,335
154,배우자,남표니,334
155,기타가족,혈육,331
156,기타가족,울언니,330
157,기타가족,외삼촌,323
158,배우자,남펴니,288
158,자녀,우리딸,288
160,연인,썸남,283
161,배우자,남편님,282
162,부모님,할부지,273
163,부모님,할배,259
164,부모님,조부모,256
165,기타가족,덩생,255
165,부모님,시어머님,255
167,학생,고삼,249
168,기타가족,처제,245
169,자녀,외동,243
170,기타가족,새언니,241
171,기타가족,시누,239
172,친구,프렌드,236
173,연인,예비신랑,234
174,부모님,외할아버지,233
174,자녀,아들램,233
176,연인,남친님,229
177,학생,재수생,227
178,부모님,할아부지,220
179,기타가족,가족모두,218
180,자녀,큰아이,205
181,자녀,큰딸,200
182,배우자,마누라,197
183,연인,남친몬,185
183,학생,초6,185
185,기타가족,시누이,181
185,친구,남사친,181
187,배우자,남푠,175
188,자녀,큰애,174
189,자녀,큰아들,171
190,친구,룸메이트,170
191,부모님,시모,168
192,학생,초1,166
193,부모님,장인어른,165
194,기타가족,사돈,152
194,기타가족,올케,152
196,학생,초3,150
197,자녀,우리아들,145
198,부모님,어무이,142
199,기타가족,숙모,137
199,자녀,아들래미,137
201,배우자,마눌,131
201,연인,여친님,131
201,학생,초5,131
204,부모님,시아버지,128
204,연인,썸녀,128
206,배우자,와이프님,126
207,자녀,차녀,124
208,자녀,우리아이들,123
209,배우자,안사람,121
210,부모님,양가부모님,119
211,학생,초4,118
212,배우자,애엄마,113
213,싱글,독신,110
214,배우자,주말부부,108
215,배우자,아자씨,102
216,자녀,아들내미,100
217,부모님,시아버님,99
218,학생,초2,97
219,자녀,우리애들,93
220,친구,여사친,92
221,기타가족,손주들,91
222,배우자,저희집사람,90
223,자녀,둥이들,88
224,자녀,외동딸,85
225,배우자,마님,84
225,자녀,삼둥이,84
225,회사동료,회사직원,84
228,부모님,할아버님,79
229,배우자,마눌님,76
229,회사동료,직장상사,76
231,자녀,큰놈,73
232,기타가족,외손자,72
232,기타가족,친정식구,72
234,기타가족,시댁식구,71
234,자녀,외아들,71
236,자녀,울아들,69
237,자녀,아들딸,68
238,기타가족,시동생,67
239,배우자,영감님,66
240,기타가족,시댁식구들,65
240,배우자,우리신랑,65
242,자녀,울딸,63
243,부모님,친정어머니,61
244,자녀,손녀딸,60
244,부모님,친정아버지,60
244,자녀,둘째딸,60
247,부모님,외할무니,59
248,기타가족,친정식구들,55
249,기타가족,장손,49
249,배우자,남의편,49
249,자녀,저희아이,49
252,부모님,시엄마,48
253,자녀,둘째아들,47
254,기타가족,숙부,46
254,배우자,새색시,46
254,배우자,울신랑,46
257,부모님,증조부,45
258,회사동료,회사선배,44
259,기타가족,손자들,43
259,기타가족,육촌,43
259,자녀,맏딸,43
259,자녀,젖먹이,43
263,자녀,첫째딸,42
263,자녀,딸냄,42
265,자녀,아들녀석,41
265,부모님,시엄니,41
265,자녀,맏아들,41
268,기타가족,외손주,39
268,자녀,첫아이,39
270,자녀,외동아들,38
271,부모님,할마,37
272,배우자,애아빠,35
272,연인,약혼녀,35
274,자녀,저희딸,34
275,연인,약혼자,33
275,자녀,첫째아이,33
277,연인,보이프렌드,32
277,자녀,둘째아이,32
279,배우자,낭군님,29
279,자녀,작은놈,29
279,싱글,싱글족,29
282,부모님,친정아빠,28
283,자녀,직장맘,27
284,기타가족,며늘,24
284,친구,학교친구,24
284,자녀,초보엄마,24
287,기타가족,외손녀,23
287,자녀,저희아들,23
289,자녀,저희애,20
290,부모님,예비시어머니,19
291,배우자,애기아빠,18
291,배우자,저희남편,18
293,기타가족,손자손녀,17
293,자녀,울애들,17
293,부모님,할멈,17
296,기타가족,맏사위,16
296,싱글,혼자남,16
296,회사동료,회사후배,16
296,부모님,함무니,16
296,부모님,셤니,16
296,기타가족,맏며느리,16
302,자녀,여식,15
302,자녀,초보맘,15
304,기타가족,사돈댁,14
305,부모님,시아부지,13
305,자녀,첫째아들,13
307,배우자,남푠님,12
307,연인,피앙세,12
307,부모님,외할머님,12
307,싱글,싱글남,12
307,부모님,할버지,12
307,자녀,우리집애,12
313,배우자,저희신랑,11
313,부모님,시어른,11
315,연인,피앙새,10
315,자녀,울아이,10
315,싱글,혼행,10
318,친구,여행친구,9
318,부모님,외할매,9
318,자녀,첫딸,9
318,기타가족,큰며느리,9
318,배우자,울랑,9
323,부모님,시아빠,8
323,부모님,외할부지,8
323,부모님,친정맘,8
326,배우자,영감탱이,7
326,자녀,울아이들,7
326,자녀,저희애들,7
326,연인,걸프렌드,7
326,자녀,전업맘,7
331,자녀,둥이맘,6
331,자녀,울둥이,6
331,기타가족,시댁어른,6
334,친구,남자사람친구,5
334,배우자,아이아빠,5
334,배우자,애들아빠,5
334,부모님,기러기아빠,5
334,부모님,시어미,5
334,부모님,친정아부지,5
334,부모님,예비시어머님,5
334,기타가족,막내며느리,5
334,싱글,나홀로족,5
334,자녀,쌍둥이맘,5
334,기타가족,며늘아기,5
345,부모님,증조모,4
345,자녀,첫아들,4
345,부모님,어머니아버지,4
345,부모님,친정엄니,4
345,회사동료,사무실직원,4
345,자녀,작은녀석,4
345,회사동료,회사상사,4
345,싱글,싱글녀,4
345,기타가족,작은며느리,4
345,부모님,외할버지,4
345,자녀,딸자식,4
345,배우자,마느님,4
345,자녀,제아이,4
345,배우자,아내느님,4
359,친구,여자사람친구,3
359,자녀,울아드님,3
359,배우자,우리와이프,3
359,배우자,울와이프,3
363,부모님,외할배,2
363,자녀,울집애,2
363,연인,울남친,2
363,기타가족,막내사위,2
367,기타가족,첫손자,1
367,자녀,첫째아기,1
367,자녀,셋째아이,1
367,배우자,우리서방,1
367,배우자,아이들아빠,1
367,친구,결혼한친구,1
367,배우자,와이프느님,1
367,배우자,애들엄마,1
367,자녀,첫아기,1
367,친구,트위터친구,1
367,기타가족,며늘애,1
367,기타가족,첫손주,1
367,배우자,마눌느님,1
367,자녀,첫아가,1
367,자녀,첫째아가,1
367,부모님,예비시엄마,1
367,싱글,싱글남자,1
367,연인,울여친,1
367,기타가족,첫손녀,1
367,배우자,제아내,1
