순위,분류,관련 키워드,언급건수
1,친구,친구,161937
2,회사동료,직원,108729
3,기타가족,가족,92671
4,싱글,혼자,74431
5,친구,친구들,69797
6,기타가족,엄마,65944
7,기타가족,언니,48576
8,부모님,아빠,31901
9,친구,지인,31628
10,기타가족,동생,31399
11,기타가족,오빠,31362
12,부모님,부모,31312
13,자녀,학생,30599
14,기타가족,가정,29463
15,배우자,남편,26809
16,자녀,애들,25022
17,연인,커플,24142
18,자녀,아들,23801
19,회사동료,직원들,23774
20,배우자,부인,20955
21,기타가족,이모,19540
22,부모님,부모님,19451
23,자녀,자녀,17191
24,연인,남자친구,17020
25,부모님,어머니,16561
26,부모님,아버지,15795
27,회사동료,대리,15336
28,부모님,할머니,15301
29,친구,프렌,14807
30,연인,연인,14722
31,회사동료,동료,14424
32,배우자,아내,14103
33,학생,대학생,14089
34,자녀,청소년,12673
35,친구,칭구,12227
36,싱글,혼자서,12046
37,싱글,싱글,11398
38,싱글,홀로,10998
39,회사동료,부장,10504
40,기타가족,동서,8933
41,배우자,배우자,8910
42,자녀,딸,8874
43,자녀,자식,8193
44,기타가족,막내,7938
45,기타가족,누나,7746
46,연인,남친,7648
47,기타가족,장인,7497
48,연인,여자친구,7247
49,부모님,할아버지,6937
50,회사동료,임원,6756
51,배우자,신부,6314
52,기타가족,조카,6268
53,기타가족,사촌,6207
54,학생,초등학생,5633
55,기타가족,형제,5622
56,회사동료,차장,5447
57,학생,초딩,5382
58,부모님,엄마아빠,5344
59,기타가족,형,5290
60,학생,고등학생,5220
61,부모님,엄빠,4979
62,배우자,신랑,4433
63,부모님,어머님,4376
64,학생,고딩,4186
65,기타가족,효자,4070
66,친구,절친,4065
67,기타가족,자매,4063
68,학생,중학생,3842
69,싱글,나홀로,3524
70,기타가족,패밀리,3509
71,기타가족,식구,3495
72,부모님,아비,3493
73,기타가족,친척,3436
74,싱글,나혼자,3239
75,친구,동창,3221
76,배우자,와이프,3192
77,배우자,남편이랑,3173
78,기타가족,여동생,2905
79,기타가족,형님,2879
80,회사동료,사원,2793
81,연인,애인,2744
82,부모님,아부지,2671
83,연인,남친이,2662
84,기타가족,남동생,2653
85,기타가족,고모,2621
86,기타가족,삼촌,2572
87,기타가족,이모님,2501
88,연인,여친,2483
89,학생,고3,2455
90,기타가족,손자,2362
91,배우자,서방,2358
92,자녀,장남,2316
93,부모님,아버님,2140
94,기타가족,장모,2080
95,기타가족,사촌동생,1998
96,자녀,미성년자,1935
97,기타가족,남매,1916
98,친구,룸메,1895
99,부모님,울엄마,1830
100,기타가족,며느리,1791
101,학생,중딩,1785
102,부모님,모녀,1782
103,부모님,시부,1729
104,부모님,외할머니,1657
105,기타가족,형부,1521
106,자녀,장녀,1487
107,기타가족,사위,1473
108,부모님,할무니,1448
109,부모님,어무니,1402
110,기타가족,손녀,1386
111,부모님,할매,1318
112,기타가족,온가족,1226
113,기타가족,시댁,1221
114,기타가족,친지,1162
115,학생,고2,1136
116,회사동료,직장동료,1019
117,기타가족,손주,954
118,학생,중3,915
119,친구,베프,904
120,기타가족,효녀,888
121,자녀,아드님,866
122,자녀,따님,821
123,자녀,우리아이,806
124,배우자,집사람,800
125,학생,중2,795
126,부모님,시어머니,787
127,기타가족,차남,773
128,기타가족,외삼촌,758
129,자녀,딸래미,752
130,자녀,울애,731
131,자녀,외동,729
132,자녀,아들딸,693
133,자녀,워킹맘,626
134,자녀,딸아이,622
135,학생,중1,620
136,연인,남치니,618
137,기타가족,막둥이,610
138,회사동료,여직원,605
139,자녀,우리애,600
140,연인,예랑,596
140,자녀,딸내미,596
140,회사동료,회사사람,596
143,자녀,울애기,591
144,기타가족,혈육,588
145,기타가족,울언니,579
146,친구,프렌드,575
147,부모님,할머님,562
148,부모님,외할아버지,542
149,기타가족,태아,540
150,기타가족,이모님들,534
150,부모님,시부모,534
152,부모님,할배,502
153,학생,고삼,492
154,자녀,차녀,485
155,연인,썸남,481
156,부모님,할부지,475
157,부모님,시부모님,470
158,부모님,조부모,464
159,부모님,장모님,455
160,기타가족,덩생,453
161,자녀,딸램,437
162,부모님,엄니,432
163,학생,재수생,428
164,배우자,예신,423
165,배우자,마누라,408
166,자녀,큰아들,398
167,배우자,예랑이,397
168,부모님,할아부지,388
169,자녀,외동딸,371
170,자녀,큰딸,351
171,자녀,맏아들,332
171,회사동료,회사동료,332
173,부모님,친정엄마,326
174,연인,예비신부,313
175,부모님,시모,302
176,자녀,우리딸,300
177,기타가족,가족모두,299
177,기타가족,사돈,299
177,부모님,시아버지,299
180,배우자,남편님,296
180,친구,남사친,296
180,친구,룸메이트,296
183,기타가족,새언니,295
184,배우자,남표니,282
185,학생,초6,271
186,기타가족,시누,270
187,연인,예비신랑,252
188,학생,초1,247
189,연인,남친님,243
190,기타가족,숙모,240
191,싱글,독신,238
191,학생,초3,238
193,기타가족,처제,233
194,자녀,아들램,230
195,부모님,어무이,223
196,연인,썸녀,216
197,배우자,남푠,212
198,배우자,주말부부,211
199,배우자,남펴니,208
199,싱글,싱글족,208
201,학생,초5,206
202,자녀,큰아이,201
203,부모님,시어머님,191
204,자녀,아들래미,189
205,기타가족,장손,188
206,연인,약혼녀,186
207,부모님,장인어른,182
208,기타가족,손주들,172
209,자녀,큰애,165
210,배우자,마눌,164
211,자녀,우리아이들,163
212,자녀,둘째딸,153
213,학생,초4,152
214,자녀,우리아들,151
215,배우자,아자씨,149
216,자녀,외아들,148
216,자녀,우리애들,148
218,연인,여친님,145
219,기타가족,시누이,143
220,배우자,애엄마,140
221,기타가족,올케,137
222,부모님,시아버님,135
222,친구,여사친,135
224,연인,남친몬,133
225,학생,초2,130
226,배우자,영감님,128
226,연인,약혼자,128
228,자녀,손녀딸,127
229,자녀,맏딸,123
230,자녀,아들내미,122
231,부모님,할아버님,121
232,부모님,증조부,120
233,자녀,삼둥이,118
234,기타가족,숙부,115
235,기타가족,외손자,109
236,배우자,마님,107
237,자녀,딸자식,105
238,자녀,둥이들,104
239,기타가족,손자들,97
239,배우자,안사람,97
239,자녀,첫째아이,97
242,자녀,둘째아들,94
243,자녀,둘째아이,93
243,배우자,와이프님,93
245,자녀,외동아들,90
246,부모님,외할무니,88
246,자녀,젖먹이,88
248,배우자,마눌님,86
249,기타가족,외손녀,85
250,부모님,친정어머니,81
251,자녀,울아들,79
252,회사동료,회사직원,78
253,기타가족,시동생,77
253,기타가족,맏며느리,77
255,자녀,큰놈,75
256,자녀,첫째딸,74
257,배우자,우리신랑,70
257,부모님,할마,70
259,기타가족,친정식구,69
260,연인,보이프렌드,61
261,배우자,울신랑,59
262,기타가족,친정식구들,57
262,기타가족,육촌,57
264,배우자,새색시,56
264,자녀,셋째아이,56
264,회사동료,회사선배,56
267,기타가족,손자손녀,54
268,기타가족,시댁식구,52
269,자녀,울애들,51
270,자녀,울딸,48
271,자녀,저희아이,46
272,부모님,양가부모님,45
273,자녀,첫아이,44
273,부모님,시엄니,44
275,배우자,남의편,43
275,기타가족,시댁식구들,43
277,자녀,첫째아들,42
277,자녀,딸냄,42
