순위,분류,관련 키워드,언급건수
1,친구,친구,24518
2,기타가족,가족,21355
3,회사동료,직원,13999
4,싱글,혼자,13696
5,기타가족,엄마,11981
6,친구,친구들,10751
7,부모님,부모,8435
8,자녀,학생,7399
9,기타가족,가정,6519
10,자녀,청소년,6277
11,부모님,부모님,6113
12,친구,지인,5497
13,기타가족,언니,5480
14,부모님,아빠,5069
15,배우자,남편,4953
16,회사동료,대리,4949
17,학생,대학생,4466
18,기타가족,오빠,4407
19,기타가족,동생,4369
20,연인,커플,3533
21,자녀,자녀,3480
22,기타가족,이모,3181
23,자녀,애들,3134
24,자녀,아들,3052
25,싱글,혼자서,2879
26,부모님,어머니,2842
27,부모님,할머니,2697
28,자녀,자식,2586
29,연인,남자친구,2437
30,회사동료,직원들,2414
31,연인,연인,2291
32,학생,초등학생,2240
33,기타가족,동서,2158
34,배우자,아내,2121
35,부모님,아버지,2054
36,회사동료,동료,2034
37,배우자,부인,1793
38,배우자,신랑,1474
39,연인,여자친구,1369
40,친구,프렌,1312
41,싱글,홀로,1262
42,부모님,어머님,1229
43,자녀,딸,1220
44,기타가족,형제,1167
45,부모님,엄마아빠,1139
46,친구,칭구,1130
47,부모님,할아버지,1098
48,회사동료,부장,1061
49,싱글,나홀로,1037
50,기타가족,누나,1016
51,연인,남친,994
52,배우자,신부,959
53,기타가족,막내,915
54,배우자,배우자,903
55,기타가족,장인,856
56,기타가족,조카,853
57,학생,고등학생,837
58,학생,중학생,814
59,배우자,와이프,810
60,배우자,남편이랑,806
61,기타가족,이모님,805
62,기타가족,형,799
63,싱글,싱글,785
64,기타가족,식구,783
64,기타가족,패밀리,783
66,기타가족,자매,708
67,부모님,엄빠,698
67,학생,초딩,698
69,학생,고딩,654
70,기타가족,사촌,652
71,기타가족,남매,599
72,기타가족,친척,581
73,부모님,아버님,566
74,기타가족,효자,565
75,친구,동창,527
76,회사동료,사원,511
77,회사동료,임원,498
78,자녀,미성년자,484
79,학생,고3,481
80,기타가족,온가족,447
81,기타가족,형님,429
82,기타가족,손자,416
83,부모님,아부지,415
84,연인,남친이,414
85,싱글,나혼자,402
86,기타가족,여동생,393
87,회사동료,직장동료,383
88,학생,중딩,376
89,기타가족,삼촌,362
90,부모님,어무니,359
91,기타가족,장모,350
92,연인,애인,348
93,기타가족,고모,341
94,연인,여친,328
95,기타가족,남동생,319
96,기타가족,시댁,308
97,부모님,모녀,301
98,부모님,시부,295
98,부모님,아비,295
100,자녀,아드님,294
101,자녀,우리아이,282
102,기타가족,태아,261
103,기타가족,형부,255
104,자녀,따님,242
105,회사동료,차장,241
106,기타가족,며느리,235
106,기타가족,사위,235
108,기타가족,사촌동생,233
108,자녀,장남,233
110,친구,절친,218
111,부모님,외할머니,217
112,부모님,울엄마,214
113,배우자,집사람,201
114,부모님,할매,199
115,부모님,조부모,192
116,친구,룸메,190
116,학생,중2,190
118,부모님,할무니,187
118,학생,중3,187
120,자녀,워킹맘,183
121,부모님,할머님,178
122,학생,고2,176
123,부모님,시부모,171
124,부모님,시어머니,165
125,자녀,딸래미,164
125,학생,중1,164
127,배우자,서방,162
128,기타가족,손주,161
129,기타가족,손녀,156
130,부모님,시부모님,153
131,부모님,친정엄마,150
132,연인,예랑,148
133,부모님,장모님,146
134,기타가족,이모님들,138
135,기타가족,가족모두,136
136,배우자,남표니,134
137,자녀,딸아이,128
138,자녀,딸내미,120
138,자녀,울애,120
140,연인,남치니,117
140,친구,베프,117
142,배우자,예랑이,111
143,기타가족,친지,107
144,자녀,외동,106
144,학생,재수생,106
146,자녀,장녀,103
146,기타가족,막둥이,103
148,자녀,딸램,100
149,기타가족,외삼촌,99
149,자녀,울애기,99
151,자녀,우리애,97
152,기타가족,효녀,96
153,학생,초1,95
154,배우자,예신,94
155,부모님,엄니,91
156,자녀,우리딸,90
157,회사동료,회사사람,87
158,기타가족,울언니,84
159,기타가족,차남,82
160,자녀,큰아들,81
161,자녀,아들램,77
161,자녀,우리아이들,77
163,자녀,둘째딸,73
164,연인,예비신부,72
165,학생,초3,70
166,자녀,큰아이,68
167,기타가족,혈육,67
167,부모님,시아버지,67
169,학생,고삼,66
170,학생,초6,65
170,친구,남사친,65
172,연인,예비신랑,63
173,배우자,안사람,62
174,배우자,남편님,61
175,기타가족,숙부,59
176,배우자,남푠,58
176,부모님,외할아버지,58
176,친구,여사친,58
179,자녀,큰딸,56
179,자녀,외동딸,56
179,자녀,우리아들,56
182,부모님,장인어른,55
183,회사동료,회사동료,53
184,부모님,할부지,52
184,회사동료,여직원,52
186,배우자,남펴니,51
187,배우자,마누라,50
187,자녀,큰애,50
189,기타가족,사돈,48
190,부모님,시어머님,47
190,기타가족,손주들,47
192,자녀,차녀,46
193,기타가족,올케,45
193,부모님,증조부,45
193,기타가족,덩생,45
193,부모님,할아부지,45
197,부모님,할배,44
198,기타가족,시누,43
198,친구,프렌드,43
200,학생,초4,42
201,기타가족,처제,41
201,싱글,독신,41
201,자녀,맏아들,41
204,부모님,시아버님,40
205,학생,초2,39
205,배우자,와이프님,39
207,부모님,할아버님,38
208,자녀,아들래미,37
208,자녀,제아이,37
210,배우자,마님,35
211,부모님,어무이,34
212,연인,썸남,33
213,기타가족,새언니,32
213,기타가족,친정식구,32
213,배우자,마눌,32
213,부모님,시모,32
217,자녀,아들내미,31
217,자녀,큰놈,31
219,연인,남친님,30
220,자녀,아들딸,27
221,자녀,둥이들,26
222,기타가족,시누이,25
222,기타가족,친정식구들,25
222,학생,초5,25
225,친구,룸메이트,24
226,기타가족,장손,23
226,배우자,마눌님,23
226,회사동료,회사직원,23
226,자녀,저희아이,23
226,배우자,남의편,23
231,배우자,애엄마,22
231,자녀,울아들,22
233,기타가족,숙모,21
233,기타가족,외손자,21
233,부모님,친정아버지,21
236,기타가족,시댁식구,20
236,배우자,아자씨,20
236,자녀,첫아이,20
236,부모님,양가부모님,20
240,기타가족,시댁식구들,19
240,자녀,둘째아들,19
242,자녀,손녀딸,18
242,기타가족,육촌,18
242,연인,여친님,18
245,배우자,주말부부,17
245,부모님,친정어머니,17
245,자녀,외아들,17
248,기타가족,손자들,16
248,자녀,삼둥이,16
248,자녀,우리애들,16
248,자녀,저희딸,16
248,부모님,친정아빠,16
248,연인,남친몬,16
248,자녀,첫째아이,16
255,자녀,둘째아이,15
255,배우자,영감님,15
257,기타가족,시동생,14
258,자녀,딸냄,13
258,자녀,울딸,13
258,배우자,새색시,13
261,싱글,싱글족,12
261,자녀,초보엄마,12
261,기타가족,외손녀,12
261,배우자,낭군님,12
261,배우자,울신랑,12
261,자녀,직장맘,12
261,배우자,우리신랑,12
261,연인,썸녀,12
269,자녀,맏딸,11
269,기타가족,손자손녀,11
269,자녀,첫째딸,11
272,연인,약혼자,10
272,연인,약혼녀,10
272,기타가족,맏며느리,10
272,부모님,외할무니,10
272,자녀,첫째아들,10
277,자녀,아들녀석,9
277,자녀,초보맘,9
277,자녀,여식,9
277,부모님,시엄마,9
277,자녀,울아이,9
277,배우자,애아빠,9
283,배우자,남푠님,8
283,자녀,외동아들,8
283,부모님,시엄니,8
283,부모님,할마,8
287,배우자,저희신랑,7
287,회사동료,직장상사,7
287,배우자,저희남편,7
287,기타가족,외손주,7
291,자녀,둥이맘,6
291,기타가족,맏사위,6
291,부모님,외할머님,6
291,자녀,울애들,6
291,연인,보이프렌드,6
296,기타가족,사돈댁,5
296,부모님,할멈,5
296,자녀,젖먹이,5
296,싱글,싱글남,5
296,자녀,저희애,5
296,기타가족,며늘,5
302,부모님,할버지,4
302,부모님,함무니,4
302,자녀,딸자식,4
302,자녀,작은놈,4
302,싱글,혼자남,4
302,자녀,셋째아이,4
302,자녀,첫아들,4
302,자녀,저희아들,4
310,부모님,시아부지,3
310,부모님,외할매,3
310,부모님,증조모,3
310,부모님,친정맘,3
310,배우자,아이아빠,3
310,배우자,애들아빠,3
310,배우자,애기아빠,3
310,부모님,셤니,3
310,부모님,시어른,3
310,부모님,친정아부지,3
310,부모님,시아빠,3
310,기타가족,첫손주,3
310,자녀,첫딸,3
323,회사동료,회사상사,2
323,배우자,울와이프,2
323,부모님,친정엄니,2
323,자녀,울아이들,2
323,배우자,울랑,2
323,부모님,기러기아빠,2
323,자녀,전업맘,2
323,친구,여행친구,2
323,부모님,외할부지,2
323,싱글,나홀로족,2
323,친구,학교친구,2
323,회사동료,회사선배,2
323,부모님,외할아버님,2
323,자녀,저희애들,2
323,자녀,울집애,2
338,배우자,우리영감,1
338,부모님,예비시어머니,1
338,기타가족,큰며느리,1
338,친구,여자사람친구,1
338,배우자,울서방,1
338,부모님,예비시아버지,1
338,연인,걸프렌드,1
338,자녀,알파맘,1
338,자녀,울둥이,1
338,자녀,첫째아가,1
338,친구,남자사람친구,1
338,배우자,우리부인,1
338,자녀,작은녀석,1
338,기타가족,막내며느리,1
338,자녀,일하는엄마,1
338,부모님,어머니아버지,1
338,자녀,첫째아기,1
338,자녀,울따님,1
338,배우자,마느님,1
338,연인,피앙세,1
338,기타가족,시댁어른,1
338,부모님,외할버지,1
338,연인,울남친,1
338,자녀,첫아기,1
338,배우자,애들엄마,1
338,배우자,저희와이프,1
338,배우자,제아내,1
338,싱글,싱글남자,1
338,싱글,혼행,1
338,싱글,싱글녀,1
338,기타가족,며늘아기,1
338,회사동료,회사후배,1
