순위,업소명,주소,분류,현지인 검색 수
1,동화가든본점,강원 강릉시 초당순두부길77번길 15-0,한식,21870
2,테라로사커피공장강릉본점,강원 강릉시 현천길 7-0,카페/찻집,13016
3,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,한식,11391
4,카페툇마루,강원 강릉시 난설헌로 232-0,카페/찻집,11097
5,곳,강원 강릉시 진리해변길 143-0,카페/찻집,8330
6,갤러리밥스,강원 강릉시 난설헌로 144-0,한식,7397
7,순두부젤라또2호점,강원 강릉시 경강로 2642-0,카페/찻집,5332
8,벌집,강원 강릉시 경강로2069번길 15-0,한식,5252
9,현대장칼국수,강원 강릉시 임영로182번길 7-1,한식,4964
10,테라로사경포호수점,강원 강릉시 난설헌로 145-0,카페/찻집,4897
11,염전횟집,강원 강릉시 염전길 147-0,전문음식,4896
12,엔드투앤드,강원 강릉시 창해로 245-0,카페/찻집,4641
13,차현희순두부청국장본점,강원 강릉시 초당순두부길 98-0,한식,4426
14,초당두부마을,강원 강릉시,음식점기타,4059
15,강릉감자바우,강원 강릉시 금성로35번길 4-0,한식,3902
16,테라로사사천점,강원 강릉시 순포안길 6-0,카페/찻집,3515
17,학산시골밥상,강원 강릉시 범일로 131-0,한식,3336
18,풍년갈비,강원 강릉시 강릉대로587번길 10-5,한식,3330
19,형제칼국수,강원 강릉시 강릉대로204번길 2-0,한식,3295
20,강릉빵다방본점,강원 강릉시 남강초교1길 24-0,간이음식,3183
21,바우카페본점,강원 강릉시 진리해변길 109-1,카페/찻집,3182
22,금성해장국,강원 강릉시 남문길 27-1,한식,3178
23,만석닭강정안목직영점,강원 강릉시 창해로2번길 32-0,간이음식,3136
24,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식,3104
25,삼교리동치미막국수본점,강원 강릉시 범일로 364-0,한식,3028
26,장안횟집,강원 강릉시 진리항구길 51-0,전문음식,2867
27,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페/찻집,2764
28,광덕식당본점,강원 강릉시 경강로 2403-0,한식,2744
29,동해기정떡,강원 강릉시 교동광장로 29-0,간이음식,2601
30,보사노바커피로스터스,강원 강릉시 창해로14번길 28-0,카페/찻집,2590
31,초당비스트로,강원 강릉시 초당순두부길 19-0,외국식,2584
32,원조강릉교동반점본점 [중식],강원 강릉시 강릉대로 205-0,외국식,2562
33,보헤미안로스터즈박이추커피공장,강원 강릉시 해안로 1107-0,카페/찻집,2549
