순위,업소명,주소,분류,현지인 검색 수
1,바다정원,강원 고성군 버리깨길 23-0,카페/찻집,9901
2,백촌막국수,강원 고성군 백촌1길 10-0,한식,5931
3,더엠브로시아소노펠리체델피노,강원 고성군 미시령옛길 1153-0,카페/찻집,2352
4,동루골막국수,강원 고성군 성대로 188-0,한식,2119
5,에이프레임,강원 고성군 가향길 20-1,카페/찻집,1892
6,베짱이문어국밥,강원 고성군 천학정길 12-0,한식,1888
7,녹원식당,강원 고성군 교암길 60-0,전문음식,1628
8,거진항어촌계활어회센터,강원 고성군 거진항1길 62-0,전문음식,1575
9,장미경양식,강원 고성군 거진길 37-0,전문음식,1469
10,초원의집,강원 고성군 광포호길 15-0,음식점기타,1463
11,봉포항활어센터,강원 고성군 토성로 44-12,전문음식,1402
12,봉포머구리집고성점,강원 고성군 천진해변길 46-0,전문음식,1342
13,오미냉면,강원 고성군 아야진해변길 73-0,한식,1324
14,온더버튼,강원 고성군 괘진길 53-7,카페/찻집,1311
15,교암막국수,강원 고성군 교암1길 42-0,한식,1254
16,아야트커피,강원 고성군 아야진해변길 137-0,카페/찻집,1235
17,커피고,강원 고성군 토성로 84-0,카페/찻집,1208
18,스퀘어루트카페,강원 고성군 가향길 2-7,카페/찻집,1163
19,수제비집,강원 고성군 교암길 47-0,한식,1140
20,스위밍터틀,강원 고성군 아야진해변길 192-0,카페/찻집,1075
21,태시트,강원 고성군 청간정길 25-2,카페/찻집,1054
22,영순네횟집,강원 고성군 봉포해변길 99-0,전문음식,1033
23,이스트사이드바이브클럽,강원 고성군 광포길 31-0,카페/찻집,979
24,백도막국수,강원 고성군 동해대로 5845-0,한식,956
25,소울브릿지,강원 고성군 천진해변길 33-0,카페/찻집,925
26,동해반점[중식],강원 고성군 한나루로 52-0,외국식,912
27,금화정막국수,강원 고성군 화원길 42-21,한식,873
28,화진포박포수가든,강원 고성군 화진포서길 76-0,전문음식,826
29,노메드,강원 고성군 청간정길 43-0,카페/찻집,806
30,잿놀이[한식],강원 고성군 잼버리동로 383-0,한식,796
31,고식당,강원 고성군 교암길 80-0,전문음식,781
32,고성부부횟집,강원 고성군 가진해변길 88-0,전문음식,780
33,창바위식당,강원 고성군 원암학사평길 28-0,한식,657
34,가진항활어회센터,강원 고성군 가진해변길 123-0,전문음식,620
35,글라스하우스,강원 고성군 천진해변길 43-0,카페/찻집,612
