순위,업소명,주소,분류,현지인 검색 수
1,황정숙막국수,강원 동해시 중앙로 42-0,한식,2022
2,소복소복,강원 동해시 평원5길 8-5,외국식,1244
3,현상소,강원 동해시 노봉안길 20-0,카페/찻집,1242
4,거동탕수육,강원 동해시 일출로 83-0,외국식,1162
5,오뚜기칼국수,강원 동해시 일출로 10-1,한식,1126
6,동해제빵소,강원 동해시 한섬로 126-1,간이음식,969
7,담다[한식],강원 동해시 청운3길 56-1,한식,883
8,덕취원[중식],강원 동해시 대동로 118-0,외국식,869
9,카페클램,강원 동해시 동해대로 6270-37,카페/찻집,802
10,할리스동해묵호점,강원 동해시 해안로 368-0,카페/찻집,769
11,부흥횟집,강원 동해시 일출로 93-0,전문음식,747
12,나인비치37이에스,강원 동해시 동해대로 6218-0,카페/찻집,740
13,룽성동해점 [중식],강원 동해시 감추2길 21-0,외국식,733
14,피아노,강원 동해시 동해대로 6270-18,외국식,708
15,어향,강원 동해시 중앙시장길 24-0,한식,589
16,초당쫄면순두부,강원 동해시 해안로 515-1,한식,568
17,동해러시아대게마을,강원 동해시 추암택지길 2-0,전문음식,559
18,카페코스타,강원 동해시 해안로 77-0,카페/찻집,542
19,홍대포,강원 동해시 감추로 6-1,전문음식,523
20,동해돌짜장[중식],강원 동해시 청운2길 64-0,외국식,502
21,삼교리동치미막국수동해점,강원 동해시 초원1길 6-0,한식,500
22,광개토왕족발보쌈,강원 동해시 감추3길 17-1,전문음식,500
23,대우칼국수,강원 동해시 일출로 10-0,한식,476
24,임계한우타운2호점,강원 동해시 평원1길 120-0,한식,474
25,묵호물회본점,강원 동해시 샘실3길 24-0,전문음식,442
26,만강홍[중식],강원 동해시 평원로 20-0,외국식,437
27,뜰안에한정식[한식],강원 동해시 평원1길 104-0,한식,432
28,광천막국수,강원 동해시 가마골길 20-11,한식,426
29,은미감자탕,강원 동해시 감추2길 14-0,한식,424
30,산장가든,강원 동해시 초구길 62-3,전문음식,402
31,오부자횟집,강원 동해시 일출로 151-0,전문음식,372
32,묵호항활어판매센터,강원 동해시 일출로 60-0,전문음식,372
33,숟가락젓가락,강원 동해시 감추7길 18-0,한식,358
34,천곡해물탕,강원 동해시 한섬로 111-1,한식,352
35,지구인커피,강원 동해시 동해대로 6270-16,카페/찻집,348
36,황해횟집,강원 동해시 일출로 189-0,전문음식,344
37,삿뽀루[일식],강원 동해시 감추6길 25-3,외국식,340
38,묵호287,강원 동해시 해맞이길 287-0,카페/찻집,336
39,로스테리아,강원 동해시 청운로 95-4,전문음식,334
40,삼송갈비,강원 동해시 송정로 39-0,한식,334
41,선창횟집,강원 동해시 일출로 233-0,전문음식,333
42,나모,강원 동해시 감추6길 23-0,음식점기타,329
43,방일해장국,강원 동해시 한섬로 138-1,한식,320
44,화로상회동해점,강원 동해시 효자남길 33-34,한식,313
45,카페히든,강원 동해시 삼화로 253-9,카페/찻집,311
46,카페한결,강원 동해시 일출로 195-0,카페/찻집,311
47,마이씨,강원 동해시 대진항길 29-1,카페/찻집,310
48,딸부자막국수,강원 동해시 동해대로 4766-0,한식,309
49,묵호떡볶이동해점,강원 동해시 하평로 100-0,간이음식,301
50,청년마카롱,강원 동해시 감추4길 40-4,간이음식,277
51,열이네식육식당,강원 동해시 감추로 40-0,한식,270
52,세일막국수,강원 동해시 전천로 144-0,한식,266
53,마끼스시[일식],강원 동해시 평릉1길 34-0,외국식,255
54,12월22일동해점,강원 동해시 촛대바위길 26-0,카페/찻집,251
55,동해성지해물순두부,강원 동해시 용정로 95-0,한식,244
56,장터생선구이,강원 동해시 중앙시장길 10-0,전문음식,232
57,플레이뱅크,강원 동해시 청운1길 29-0,간이음식,231
58,알마레,강원 동해시 감추6길 40-0,카페/찻집,225
59,동북횟집,강원 동해시 일출로 95-0,전문음식,224
60,수제돈가스매니아,강원 동해시 동해항2길 10-0,전문음식,222
61,청해수산,강원 동해시 일출로 103-0,전문음식,218
62,차이나웍[중식],강원 동해시 평원5길 12-0,외국식,217
63,동해빵명장,강원 동해시 해안로 378-0,간이음식,215
64,냉면권가,강원 동해시 중앙로 236-0,한식,214
65,신교동짬뽕[중식],강원 동해시 감추6길 25-4,외국식,214
66,수제돈까스야,강원 동해시 청운로 77-0,전문음식,212
67,수림,강원 동해시 발한로 220-10,한식,209
68,동해당,강원 동해시 청운1길 64-0,간이음식,204
69,피오레,강원 동해시 평원1길 120-0,간이음식,201
70,삐삐라떼,강원 동해시 전천로 235-21,카페/찻집,194
71,능나도회냉면,강원 동해시 중앙로 160-0,한식,192
72,논골카페,강원 동해시 논골1길 20-0,카페/찻집,189
73,회생각포차,강원 동해시 충혼길 3-0,전문음식,185
74,경성한우국밥동해천곡점,강원 동해시 동굴로 148-1,한식,181
75,두꺼비국밥집,강원 동해시 오일장길 17-1,한식,179
76,명가왕족발,강원 동해시 청운2길 34-0,전문음식,178
77,정애돼지갈비,강원 동해시 평원1길 69-5,한식,173
78,진모래횟집,강원 동해시 일출로 125-1,전문음식,172
79,일출백반,강원 동해시 감추4길 40-1,한식,169
80,우보갈비,강원 동해시 송정로 41-0,한식,168
81,고향의맛손칼국수감자옹심이,강원 동해시 중앙시장길 12-13,한식,167
82,굴뚝촌[한식],강원 동해시 삼화로 253-6,한식,165
83,장군시오야끼,강원 동해시 천곡로 86-2,한식,156
84,칠형제곰치국,강원 동해시 일출로 131-1,전문음식,155
85,해와달막국수,강원 동해시 초원2길 12-0,한식,154
86,37.5동해점,강원 동해시 효자남길 26-0,전문음식,153
87,다이버구이,강원 동해시 일출로 91-0,전문음식,147
88,동백식당,강원 동해시 일출로 67-4,한식,144
89,24시전주명가콩나물국밥동해점,강원 동해시 한섬로 126-0,한식,143
90,다옴,강원 동해시 평원로 24-1,간이음식,141
