순위,업소명,주소,분류,현지인 검색 수
1,청초수물회속초본점,강원 속초시 엑스포로 12-36,전문음식,13275
2,봉브레드,강원 속초시 동해대로 4344-1,간이음식,12795
3,칠성조선소,강원 속초시 중앙로46번길 45-0,카페/찻집,12489
4,속초751샌드위치,강원 속초시 교동로 75-1,간이음식,8505
5,봉포머구리집,강원 속초시 영랑해안길 223-0,전문음식,8472
6,만석닭강정본점,강원 속초시 청초호반로 72-0,간이음식,8466
7,강릉동화가든짬뽕순두부속초점,강원 속초시 관광로 433-0,한식,7105
8,88생선구이,강원 속초시 중앙부두길 71-0,한식,6511
9,베이커리가루속초점,강원 속초시 청초호반로 208-0,간이음식,5553
10,한성칼국수,강원 속초시 밤골5길 19-0,한식,5508
11,오복식당,강원 속초시 먹거리2길 13-0,한식,4821
12,완도회식당,강원 속초시 먹거리4길 21-0,전문음식,4728
13,감자바우,강원 속초시 청초호반로 242-0,한식,4467
14,김영애할머니순두부본점,강원 속초시 원암학사평길 183-0,한식,4430
15,보사노바커피로스터스속초점,강원 속초시 해오름로 161-0,카페/찻집,4133
16,속초먹거리단지,강원 속초시,음식점기타,4017
17,대청마루[한식],강원 속초시 관광로 430-0,한식,3895
18,바람꽃해녀마을속초본점,강원 속초시 바람꽃마을길 37-0,전문음식,3789
19,강릉불고기속초점,강원 속초시 엑스포로 135-9,한식,3621
20,속초항아리물회,강원 속초시 해오름로 137-0,전문음식,3545
21,시드누아속초점,강원 속초시 바람꽃마을1길 38-0,카페/찻집,3413
22,아쿠아딜리버리,강원 속초시 만천3길 14-0,전문음식,3270
23,이모네식당,강원 속초시 영랑해안6길 16-0,한식,3253
24,카페긷,강원 속초시 원암학사평길 60-0,카페/찻집,3055
25,단천식당,강원 속초시 아바이마을길 17-0,한식,3003
26,남경막국수,강원 속초시 동해대로 3888-0,한식,2885
27,아바이회국수,강원 속초시 청호로 115-12,전문음식,2680
28,카페 설악산로,강원 속초시 설악산로 108-0,카페/찻집,2562
29,낙천회관,강원 속초시 수복로 128-0,한식,2556
30,미가,강원 속초시 신흥2길 41-0,한식,2424
31,교동짬뽕[중식],강원 속초시 중앙로 59-0,외국식,2409
32,옛날수제비,강원 속초시 교동로 67-0,한식,2349
33,세렝게티커피,강원 속초시 교동로7길 8-0,카페/찻집,2316
34,사돈집,강원 속초시 영랑해안1길 8-0,한식,2219
35,메이트힐로스터리카페,강원 속초시 청대로351번길 18-0,카페/찻집,2187
36,홍익돈까스속초점,강원 속초시 엑스포로2길 45-0,전문음식,2166
37,금이야옥이야,강원 속초시 새마을길 53-0,한식,2109
38,모녀가리비,강원 속초시 대포항희망길 53-0,전문음식,2070
39,섭죽마을,강원 속초시 관광로 352-0,한식,1984
40,키친온유,강원 속초시 영랑로2길 22-0,외국식,1933
41,공가네감자옹심이속초점,강원 속초시 엑스포로2길 33-0,한식,1932
42,라또래요,강원 속초시 동해대로 3938-1,간이음식,1850
43,속초오징어짬뽕[중식],강원 속초시 엑스포로2길 43-0,외국식,1836
44,설빙속초점,강원 속초시 엑스포로2길 45-0,카페/찻집,1770
45,후포식당,강원 속초시 중앙로108번길 22-0,한식,1764
46,이목리막국수,강원 속초시 이목로 104-43,한식,1748
47,과자의성,강원 속초시 미시령로 3010-0,간이음식,1708
48,매자식당,강원 속초시 번영로105번길 17-0,외국식,1690
49,신다신,강원 속초시 아바이마을길 22-0,한식,1679
50,동명항생선숯불구이,강원 속초시 번영로129번길 21-0,한식,1661
51,정든식당,강원 속초시 번영로105번길 39-0,간이음식,1621
52,스테이오롯이,강원 속초시 관광로408번길 42-0,카페/찻집,1613
53,솔밭막국수,강원 속초시 부월1길 17-0,한식,1595
54,앤커피스토리,강원 속초시 엑스포로 129-0,카페/찻집,1587
55,황가네찜,강원 속초시 영랑해안길 95-0,한식,1586
56,만석닭강정시장1호점,강원 속초시 중앙로147번길 16-0,간이음식,1576
57,왕왕숯불갈비,강원 속초시 엑스포로2길 16-4,한식,1557
58,치커리생구이,강원 속초시 미시령로3389번길 22-0,전문음식,1551
59,할리스속초영랑해변점,강원 속초시 영랑해안길 205-0,카페/찻집,1550
60,왕가수라청[한식],강원 속초시 신흥2길 40-0,한식,1385
61,육반장속초점,강원 속초시 먹거리2길 36-0,한식,1374
62,할머니감자탕,강원 속초시 청초호반로 186-0,한식,1371
63,바다담다,강원 속초시 영랑해안길 14-0,카페/찻집,1366
64,감나무집,강원 속초시 중앙시장로 110-8,한식,1351
65,이조면옥,강원 속초시 동해대로 3887-0,한식,1335
66,돈우마을,강원 속초시 청초호반로 56-0,한식,1301
67,조롱박,강원 속초시 수복로 107-2,간이음식,1290
68,중앙순대국,강원 속초시 먹거리5길 15-0,한식,1287
69,송정희어머니순두부,강원 속초시 원암학사평길 192-0,한식,1279
70,우미동,강원 속초시 먹거리4길 39-1,외국식,1266
71,설악본가설렁탕,강원 속초시 미시령로 3143-0,한식,1261
72,돈까스렛,강원 속초시 미시령로3337번길 6-20,전문음식,1257
73,콩서리,강원 속초시 관광로 394-0,한식,1246
74,엄지네포장마차속초점,강원 속초시 청초호반로 323-0,한식,1226
75,속초문어국밥,강원 속초시 중앙로147번길 43-0,한식,1214
76,어나더블루,강원 속초시 장사항해안길 61-0,카페/찻집,1209
77,그리운보리밥,강원 속초시 법대로 34-0,한식,1205
78,화진호이선장네,강원 속초시 먹거리4길 18-1,전문음식,1197
79,범바위막국수,강원 속초시 척산양지말길 47-14,한식,1194
80,왱왱해물촌,강원 속초시 엑스포로 121-13,전문음식,1185
81,속초생대구,강원 속초시 영랑해안3길 14-0,한식,1166
82,송도물회,강원 속초시 중앙부두길 63-0,전문음식,1163
83,라이픈커피,강원 속초시 만천5길 5-0,카페/찻집,1161
84,중앙닭강정엑스포직영점,강원 속초시 엑스포로 135-5,간이음식,1143
85,조개상회속초본점,강원 속초시 영랑해안길 255-0,전문음식,1142
86,탱자솥밥,강원 속초시 동해대로 4220-1,한식,1098
87,마카오박,강원 속초시 중앙로129번길 4-0,간이음식,1088
88,왕박골식당,강원 속초시 중앙로 431-1,한식,1079
89,함흥냉면옥,강원 속초시 청초호반로 299-0,한식,1055
90,우동당,강원 속초시 새마을길 38-0,외국식,1036
91,신유네회박스포장,강원 속초시 번영로 200-0,전문음식,1035
