순위,업소명,주소,분류,현지인 검색 수
1,스톤크릭,강원 원주시 지정로 1101-0,카페/찻집,11517
2,허니포레스트,강원 원주시 서곡길 255-0,카페/찻집,10604
3,사니다카페,강원 원주시 칠봉로 109-128,카페/찻집,9155
4,로톤다,강원 원주시 조엄로 56-3,카페/찻집,8165
5,수가성순두부,강원 원주시 남원로612번길 1-0,한식,6848
6,까치둥지,강원 원주시 치악로 1731-0,한식,6795
7,라뜰리에김가원주점,강원 원주시 행구로 314-0,카페/찻집,5977
8,박순례손말이고기산정집원주본점,강원 원주시 원일로 148-3,한식,5377
9,보릿고개본점 [한식],강원 원주시 혁신로 19-0,한식,5110
10,신촌막국수,강원 원주시 치악로 1325-12,한식,4846
11,봉화산설렁탕단계본점,강원 원주시 장미공원길 71-2,한식,4667
12,보릿고개원주시청점,강원 원주시 시청로 15-1,한식,4468
13,소복소복[일식],강원 원주시 왕건로 163-0,외국식,4290
14,수피아카페,강원 원주시 황골로 219-17,카페/찻집,4040
15,소담본점,강원 원주시 하황골길 45-17,한식,4007
16,홍익돈까스원주점,강원 원주시 행구로 305-0,전문음식,3946
17,부엉이커피,강원 원주시 용수골길 140-1,카페/찻집,3811
18,회산막국수,강원 원주시 원문로 336-0,한식,3781
19,마크빈원주혁신도시점,강원 원주시 섭재삼보길 155-8,카페/찻집,3744
20,사진정원,강원 원주시 황골로 426-0,카페/찻집,3635
21,베이커리궁,강원 원주시 행구로 307-0,간이음식,3622
22,횡성더덕밥김가[한식],강원 원주시 행구로 238-0,한식,3583
23,뼈대있는짬뽕본점 [중식],강원 원주시 삼광1길 10-0,외국식,3353
24,착한낙지원주단계점,강원 원주시 서원대로86번길 27-0,전문음식,3344
25,사운드오브사일런스,강원 원주시 지정로 912-0,카페/찻집,3314
26,강민주의들밥오크밸리월송점,강원 원주시 정골길 10-0,한식,3254
27,월송커피,강원 원주시 월송석화로 428-17,카페/찻집,3231
28,인더키친원주혁신점,강원 원주시 미래로 15-0,전문음식,3183
29,갈촌126,강원 원주시 갈촌길 126-0,카페/찻집,3130
30,평창한우마을봉화산점,강원 원주시 서원대로86번길 32-2,한식,3041
31,카쿠레가[일식],강원 원주시 능라동길 48-1,외국식,2930
32,자매제과서곡점,강원 원주시 내남송길 3-0,카페/찻집,2923
33,미가일식당,강원 원주시 북원로 2852-0,한식,2876
34,바다회명가해원,강원 원주시 양지로 64-0,전문음식,2772
35,대왕염소탕영양탕,강원 원주시 유만길 43-0,한식,2743
36,간현돈까스칼국수본점,강원 원주시 간현로 155-0,전문음식,2736
37,다이닝원본점,강원 원주시 능라동길 59-0,전문음식,2730
38,올리앤원주점,강원 원주시 동부순환로 288-0,외국식,2717
39,예지현[중식],강원 원주시 남원로612번길 3-0,외국식,2661
40,제물포해물칼국수,강원 원주시 황소마을길 20-6,한식,2597
41,향교막국수,강원 원주시 명륜로 10-0,한식,2558
42,길카페,강원 원주시 행구로 493-0,카페/찻집,2446
43,에이젤,강원 원주시 보통안길 71-7,카페/찻집,2429
44,영랑애가,강원 원주시 영랑길 111-10,한식,2398
45,항아리보쌈돌돌이김치본점,강원 원주시 서원대로 121-7,전문음식,2390
46,르브레노,강원 원주시 봉산로 96-18,카페/찻집,2370
47,미소손짜장[중식],강원 원주시 도말리길 47-0,외국식,2350
48,볼타커피,강원 원주시 앙월길 10-1,카페/찻집,2348
49,마이테라스,강원 원주시 백간길 25-0,카페/찻집,2320
50,카페지,강원 원주시 범골길 45-9,카페/찻집,2279
51,스푼더마켓원주혁신점,강원 원주시 양지로 80-0,전문음식,2243
52,무튼,강원 원주시 월송석화로 428-10,전문음식,2230
53,김가네보리밥전문점,강원 원주시 북원로 1507-2,한식,2203
54,그남자의파스타,강원 원주시 바우골길 8-0,외국식,2188
55,윤가함흥냉면,강원 원주시 매봉길 16-13,한식,2119
56,조가네갑오징어원주점,강원 원주시 내남송길 98-7,전문음식,2084
57,카페553,강원 원주시 꽃밭머리길 86-17,카페/찻집,2080
58,금룡[중식],강원 원주시 남원로 26-0,외국식,2061
59,소담촌원주무실점,강원 원주시 능라동길 47-0,전문음식,2052
60,기호네돌김치찌개,강원 원주시 북원로 3163-0,한식,2046
61,숨숲아무르,강원 원주시 칠봉로 840-74,카페/찻집,2036
62,방이샤브샤브칼국수원주점,강원 원주시 서원대로86번길 32-4,한식,1987
63,아우어스위츠,강원 원주시 전망길 16-0,간이음식,1972
64,진원소우원주단구점,강원 원주시 남원로534번길 64-0,한식,1929
65,아기사자,강원 원주시 오얏길 56-0,카페/찻집,1923
66,훈이꽃게장,강원 원주시 조엄로 186-0,한식,1921
67,스시남,강원 원주시 서원대로 121-12,외국식,1917
68,토지옹심이,강원 원주시 토지길 9-5,한식,1912
69,안432,강원 원주시 버들만이길 12-0,전문음식,1904
70,오렌치,강원 원주시 소방서길 10-1,한식,1891
71,샤브마니아원주행구점,강원 원주시 행구로 158-0,전문음식,1887
72,커피은석씨,강원 원주시 신평안터길 6-0,카페/찻집,1877
73,엄나무집삼계탕원주본점,강원 원주시 치악로 1472-6,한식,1872
74,용수골가든,강원 원주시 용수골길 335-0,한식,1864
75,이우철한방누룽지삼계탕원주점,강원 원주시 행구로 201-0,한식,1842
76,네이키드 베이커리,강원 원주시 남원로 441-14,간이음식,1827
77,도두카페,강원 원주시 판부신촌길 152-53,카페/찻집,1810
78,상원목장,강원 원주시 행구로 246-0,한식,1807
79,라라코스트원주무실점,강원 원주시 능라동길 74-0,전문음식,1799
80,대운정,강원 원주시 원문로 274-0,한식,1770
