순위,업소명,주소,분류,현지인 검색 수
1,용대회관,강원 인제군 미시령로 1233-0,한식,2308
2,용바위식당,강원 인제군 진부령로 107-0,전문음식,2058
3,38선 휴게소식당,강원 인제군 설악로 1129-0,한식,1620
4,송희식당,강원 인제군 원통로 298-0,한식,1496
5,신남돈까스,강원 인제군 신남로 34-0,전문음식,1460
6,산악회관식당,강원 인제군 내린천로 3898-0,한식,1432
7,번418EAST,강원 인제군 설악로 851-0,카페/찻집,1405
8,38COFFEE,강원 인제군 설악로 1135-0,카페/찻집,1400
9,백합식당,강원 인제군 신풍길 48-0,한식,1325
10,옛날원대막국수,강원 인제군 자작나무숲길 1113-0,한식,1291
11,용대리황태마을,강원 인제군,음식점기타,1228
12,숲속의빈터방동막국수,강원 인제군 조침령로 496-0,한식,1086
13,고향집,강원 인제군 조침령로 115-0,한식,981
14,대성횟집,강원 인제군 내린천로 3987-0,전문음식,961
15,산마을,강원 인제군 미시령로 1205-20,한식,878
16,백담황태구이,강원 인제군 백담로 24-0,한식,662
17,대흥식당,강원 인제군 빙어마을길 28-0,한식,615
18,동갈보대,강원 인제군 설악로 913-0,한식,605
19,카페하추리,강원 인제군 하추로 187-0,카페/찻집,592
20,신남원조화로구이,강원 인제군 설악로 425-0,한식,580
21,뜨레돌체,강원 인제군 설악로 3220-0,카페/찻집,544
22,예당막국수식당,강원 인제군 백담로 7-3,한식,490
23,부흥식당,강원 인제군 황태길 367-0,한식,490
24,인제재래식손두부,강원 인제군 인제로178번길 52-10,한식,465
25,커피홀베이커리인제스테이점,강원 인제군 내린천로 6759-0,카페/찻집,459
26,합강막국수,강원 인제군 인제로291번길 15-0,한식,407
27,백담폭포송어횟집,강원 인제군 만해로 224-9,전문음식,388
28,남북면옥,강원 인제군 인제로178번길 24-0,한식,388
29,인제막국수,강원 인제군 인제로168번길 48-4,한식,373
30,종호반점[중식],강원 인제군 신남로 80-0,외국식,350
31,신의주순대국밥,강원 인제군 윗남교길 13-0,한식,342
32,황태사랑,강원 인제군 미시령로 1364-0,한식,340
33,산골황태3대식당,강원 인제군 미시령로 1368-0,한식,326
34,메가커피인제신남점,강원 인제군 신남로 28-0,카페/찻집,320
35,다리골식당,강원 인제군 미시령로 1281-0,한식,314
36,피아시추어탕매운탕,강원 인제군 내린천로 3611-0,한식,291
37,견로당,강원 인제군 자작나무숲길 1061-5,카페/찻집,290
38,미산민박식당,강원 인제군 내린천로 2076-0,한식,288
39,진부령식당,강원 인제군 진부령로 100-0,한식,270
40,백담순두부,강원 인제군 백담로 19-0,한식,256
41,자작자작식당,강원 인제군 자작나무숲길 932-0,한식,254
42,창바위맛집,강원 인제군 미시령로 1272-0,한식,242
43,산채촌,강원 인제군 어두원길 25-0,한식,236
44,청정골,강원 인제군 어두원길 8-0,한식,234
45,일미반점[중식],강원 인제군 비봉로7번길 5-0,외국식,229
46,자작나무집,강원 인제군 자작나무숲길 1169-0,한식,229
47,카사데인제,강원 인제군 신남로 17-101,한식,225
48,신남순대국,강원 인제군 신남로58번길 7-0,한식,225
49,통큰갈비인제원통점,강원 인제군 원통로 231-0,한식,218
50,매바위식당,강원 인제군 진부령로 65-0,한식,218
51,슈네화덕피자,강원 인제군 만해로 163-11,간이음식,218
52,대복순두부,강원 인제군 설악로 1575-0,한식,217
53,경주반점[중식],강원 인제군 원통로174번길 14-0,외국식,216
54,매화촌해장국,강원 인제군 내린천로 3412-0,한식,212
55,인더가든,강원 인제군 삼팔선로 2115-0,카페/찻집,210
56,산장가든,강원 인제군 갈골로2길 21-1,한식,206
57,가배다마,강원 인제군 진부령로 69-9,카페/찻집,202
58,라종호의황태세상,강원 인제군 미시령로 1347-0,한식,192
59,말복이네가보자토종순대국,강원 인제군 원통로 77-0,한식,170
60,종로식당,강원 인제군 금강로17번길 15-0,한식,170
61,방태천막국수,강원 인제군 조침령로 167-0,한식,167
62,로즈마리가든,강원 인제군 장수터길 20-0,한식,166
63,쌍다리쉼터,강원 인제군 고원통로 400-0,한식,162
64,제1짬뽕[중식],강원 인제군 원통로147번길 21-2,외국식,160
65,설마루,강원 인제군 설악로 29-0,한식,160
66,소류정,강원 인제군 가넷고개길 48-8,한식,160
67,대운차이나[중식],강원 인제군 원통로174번길 17-0,외국식,160
68,삼호숯불갈비,강원 인제군 비봉로16번길 9-0,한식,158
69,인제골,강원 인제군 비봉로30번길 42-0,한식,156
70,부자네해물찜,강원 인제군 원통로 92-0,한식,156
71,미향각[중식],강원 인제군 신남로46번길 4-0,외국식,140
72,하늘마당,강원 인제군 어론길 4-0,한식,135
73,다들림막국수,강원 인제군 이평로 212-0,한식,134
74,메가커피인제현리점,강원 인제군 내린천로 4018-0,카페/찻집,133
75,아웅감자,강원 인제군 상남로47번길 6-0,한식,132
76,필례식당,강원 인제군 필례약수길 21-0,한식,131
77,이레식당,강원 인제군 설악로 513-0,한식,125
78,늘푸른식당,강원 인제군 설악로 1459-0,한식,125
79,미소숯불닭갈비,강원 인제군 인제로 322-0,전문음식,125
80,서저울,강원 인제군 원통로 36-0,카페/찻집,124
81,인제순대국,강원 인제군 비봉로40번길 25-0,한식,119
82,카페지오,강원 인제군 원통로177번길 165-0,카페/찻집,118
83,황태마을식당,강원 인제군 진부령로 307-0,한식,112
84,카페뒤란,강원 인제군 내린천로 2554-0,카페/찻집,108
85,33떡볶이인제기린점,강원 인제군 기린로 71-1,간이음식,107
86,정원식당,강원 인제군 삼팔선로 2115-0,전문음식,105
87,메가커피인제원통점,강원 인제군 원통로147번길 37-0,카페/찻집,102
88,더덕식당,강원 인제군 진부령로 41-0,한식,102
89,십이선녀탕쉼터식당,강원 인제군 십이선녀탕길 83-0,한식,100
90,심방터송어횟집,강원 인제군 만해로 224-0,전문음식,98
91,미산막국수,강원 인제군 내린천로 1691-0,한식,97
92,수아네식당,강원 인제군 원통로174번길 4-0,한식,96
93,원박달서리막국수,강원 인제군 대내로 273-8,한식,95
94,감자네매운탕,강원 인제군 덕산로 84-0,한식,93
95,갈골순대국,강원 인제군 갈골로 54-0,한식,90
