순위,업소명,주소,분류,현지인 검색 수
1,승포회관,강원 철원군 두루미로 41-0,한식,4605
2,삼성회관,강원 철원군 자등로 611-1,음식점기타,3484
3,철원막국수,강원 철원군 명성로158번길 13-0,한식,2644
4,솔향기,강원 철원군 금학로 31-10,한식,2165
5,필승회관[한식],강원 철원군 수피령로 2300-0,한식,1811
6,뜰,강원 철원군 동온동길 185-0,전문음식,1715
7,기와물결,강원 철원군 와수로110번안길 18-1,카페/찻집,1712
8,투썸플레이스와수점,강원 철원군 와수로 152-1,카페/찻집,1612
9,내대막국수,강원 철원군 내대1길 29-10,한식,1426
10,민통선한우촌,강원 철원군 호국로 4987-0,한식,1301
11,와수리커피,강원 철원군 아리랑로37번길 19-0,카페/찻집,1240
12,인경화이트하우스,강원 철원군 두루미로 118-0,카페/찻집,1172
13,연사랑[한식],강원 철원군 금학로339번길 12-28,한식,1143
14,한탄강빵명장,강원 철원군 한탄강길 28-0,간이음식,1135
15,포항식당,강원 철원군 자등로 579-0,한식,1120
16,기와집,강원 철원군 갈말로 369-0,한식,1072
17,카페은하수,강원 철원군 한탄강길 112-0,카페/찻집,1065
18,철원와수리양평해장국본점,강원 철원군 무금로 7-0,한식,980
19,롯데리아철원와수,강원 철원군 와수로 186-0,간이음식,940
20,평이담백뼈칼국수철원점,강원 철원군 태봉로 1833-0,한식,738
21,롯데리아철원동송점,강원 철원군 금학로 229-0,간이음식,654
22,전주꺼꾸로콩나물국밥,강원 철원군 삼부연로17번길 3-7,한식,569
23,프로방스카페,강원 철원군 순담길 299-0,카페/찻집,543
24,카페논에,강원 철원군 태봉로 2081-0,카페/찻집,530
24,장수촌해물칼국수,강원 철원군 상사로 93-0,한식,530
26,철원청정한우촌,강원 철원군 명성로 207-0,한식,510
27,풍전막국수,강원 철원군 풍전길 7-0,한식,505
28,철원칼국수,강원 철원군 자등로 552-0,한식,504
29,채반,강원 철원군 금학로210번길 7-14,간이음식,475
30,삼정콩마을가마솥두부집,강원 철원군 태봉로 1834-0,한식,474
30,동주산성,강원 철원군 호국로 4507-0,한식,474
32,한솔가든[한식],강원 철원군 순담길 178-0,한식,467
33,산내들가든,강원 철원군 연동길 54-0,한식,463
34,바잘트38.1,강원 철원군 드르니길 119-31,카페/찻집,441
34,한탄강매운탕,강원 철원군 호국로 4910-0,한식,441
36,개성할매전통육개장,강원 철원군 갈말로 53-3,한식,439
37,밤나무골양어장,강원 철원군 자등로 199-1,전문음식,428
38,한탄강어부네,강원 철원군 갈말로 140-0,한식,421
39,드르니국수철원본점,강원 철원군 드르니길 119-31,한식,417
40,어랑손만두국,강원 철원군 태봉로 1831-0,한식,416
41,소풍길,강원 철원군 신술3길 13-0,전문음식,380
42,돌기와&소뚜레,강원 철원군 갈말로 97-20,한식,358
43,오대오리,강원 철원군 창동로 2413-0,전문음식,335
44,메가커피철원문혜리점,강원 철원군 태봉로 1532-0,카페/찻집,323
45,철원오대갈비,강원 철원군 이평2로17번길 15-0,한식,316
46,무이무,강원 철원군 명성로139번안길 3-0,카페/찻집,306
47,카페두루미,강원 철원군 이평1로 94-0,카페/찻집,302
48,배터지는돈까스,강원 철원군 금학로187번길 2-1,전문음식,276
48,배스킨라빈스철원와수점,강원 철원군 와수로146번길 1-0,간이음식,276
50,남대천황가네매운탕,강원 철원군 군탄로 41-0,한식,270
51,갓냉이국수,강원 철원군 자등로 611-0,한식,268
52,소풍온쭈꾸미,강원 철원군 삼부연로17번길 3-9,전문음식,266
53,정원본가,강원 철원군 와수1로 44-6,한식,260
54,지동관[중식],강원 철원군 두루미로 429-0,외국식,255
55,박원명초밥집,강원 철원군 금학로 222-1,외국식,254
56,자등숯불갈비,강원 철원군 태봉로 468-0,한식,252
57,푸라닭철원와수점,강원 철원군 와수로 170-0,간이음식,244
