순위,업소명,주소,분류,현지인 검색 수
1,금수강산막국수,강원 홍천군 한치골길 785-0,한식,15320
2,네네치킨시동점,강원 홍천군 시동안로321번길 34-6,간이음식,14670
3,평창한우마을홍천대명점,강원 홍천군 한치골길 692-0,한식,6744
4,양지말화로구이,강원 홍천군 양지말길 17-4,한식,5902
5,황구생각,강원 홍천군 시동안로201번길 2-0,한식,5860
6,홍천메밀가막국수비발디파크점,강원 홍천군 한치골길 759-0,한식,5540
7,위켄드74,강원 홍천군 남노일로 1123-0,카페/찻집,4665
8,약이되는밥상,강원 홍천군 한치골길 956-0,한식,4012
9,장모님영양탕,강원 홍천군 설악로 198-6,한식,3570
10,홍천사랑말한우홍천점,강원 홍천군 홍천로 13-5,한식,3516
11,테라스의아침카페,강원 홍천군 팔봉강변길 217-0,카페/찻집,3480
12,쿠실,강원 홍천군 팔봉강변길 117-0,카페/찻집,3056
13,먹골촌,강원 홍천군 한서로 2051-6,한식,2808
14,홍천원조화로구이비발디파크점,강원 홍천군 한서로 2167-0,한식,2804
15,홍천재래식손두부,강원 홍천군 한서로 862-0,한식,2668
16,탑골숯불닭갈비홍천대명점,강원 홍천군 한치골길 966-0,전문음식,2560
17,춘설,강원 홍천군 장락동길 80-3,한식,2480
18,본토,강원 홍천군 한치골길 700-0,전문음식,2468
19,탑골가든홍천직영점,강원 홍천군 팔봉산로 1241-0,전문음식,2352
20,카페이서,강원 홍천군 한치골길 957-0,카페/찻집,2300
21,일송식당,강원 홍천군 홍천로 119-0,한식,2239
22,뚜레한우홍천본점,강원 홍천군 한계길 110-0,한식,2100
23,홍천화로구이2호점,강원 홍천군 한치골길621번길 25-0,한식,2084
24,느티나무,강원 홍천군 한치골길 759-0,전문음식,1996
25,장락가든,강원 홍천군 장락동길 39-0,한식,1888
26,설국장작불설렁탕,강원 홍천군 한서로 2221-0,한식,1748
27,메밀꽃닭갈비막국수,강원 홍천군 한치골길 69-0,한식,1716
28,마운틴카페,강원 홍천군 한치골길 952-0,카페/찻집,1680
29,홍천조박사화로구이본점,강원 홍천군 한서로 2080-0,한식,1572
30,권바우부대찌개,강원 홍천군 한치골길 702-0,전문음식,1556
31,홍천농가맛집[한식],강원 홍천군 한치골길 748-37,한식,1536
31,이모네집,강원 홍천군 한서로 2221-0,한식,1536
33,본가춘천닭갈비비발디파크점,강원 홍천군 한서로 2076-0,전문음식,1532
34,970,강원 홍천군 한치골길 970-0,한식,1488
35,비발디송어골,강원 홍천군 한치골길 75-6,전문음식,1444
36,명가춘천닭갈비막국수,강원 홍천군 팔봉산로 1145-0,전문음식,1432
37,들꽃가든,강원 홍천군 한서로 2045-0,한식,1340
38,오동나무집,강원 홍천군 한치골길 1033-0,한식,1216
39,여명양평해장국,강원 홍천군 한서로 2092-0,한식,1108
39,로즈,강원 홍천군 상귀량길 4-0,카페/찻집,1108
41,노걸대감자탕&짜글이홍천비발디파크점,강원 홍천군 한서로 2219-0,한식,1052
42,테샤로바,강원 홍천군 홍천로 548-0,카페/찻집,1040
43,팔봉산용궁불쭈꾸미,강원 홍천군 한치골길 963-0,전문음식,1016
44,노다지식당,강원 홍천군 한서로 469-0,한식,992
