순위,업소명,주소,분류,현지인 검색 수
1,횡성축협한우프라자본점,강원 횡성군 횡성로 337-0,한식,2038
2,안흥찐빵마을,강원 횡성군,음식점기타,1899
3,광암막국수,강원 횡성군 경강로 2887-0,한식,1011
4,횡성한우마을,강원 횡성군 수남로 348-0,한식,1008
5,노랑공장,강원 횡성군 태기로 488-0,카페/찻집,975
6,한우무한리필라오니아,강원 횡성군 고원로398번길 6-0,한식,800
7,저문강에삽을씻고,강원 횡성군 화성로 104-0,전문음식,715
8,용둔막국수,강원 횡성군 경강로 2883-0,한식,712
9,화수목,강원 횡성군 경강로 4699-0,한식,709
10,뼈짬뽕[중식],강원 횡성군 경강로둔방10길 14-1,외국식,703
11,새말토종순대,강원 횡성군 우항새말길 20-16,한식,697
11,운동장해장국,강원 횡성군 삼일로 79-0,한식,697
13,풍년가든,강원 횡성군 옥계9길 35-0,한식,679
14,태기산막국수,강원 횡성군 둔내로 73-0,한식,672
14,진소매운탕,강원 횡성군 주천강로안흥2길 19-10,한식,672
16,남매카페,강원 횡성군 횡성로 51-0,카페/찻집,671
17,면사무소앞안흥찐빵,강원 횡성군 안흥로 30-0,간이음식,670
18,호수길133,강원 횡성군 전재호수길 133-0,카페/찻집,601
19,통나무집,강원 횡성군 고원로 173-0,한식,594
20,횡성순한우본점,강원 횡성군 수남로 386-0,한식,540
21,하누성횡성본점,강원 횡성군 고원로 215-0,한식,511
22,횡성한우피아,강원 횡성군 고원로 141-0,한식,509
23,수지막국수,강원 횡성군 문화체육로 64-0,한식,506
24,1765삽교,강원 횡성군 삽교로 386-0,카페/찻집,470
25,풍수원식당,강원 횡성군 경강로 173-0,한식,467
26,이리가든,강원 횡성군 석화이리길 25-0,한식,460
27,웰리반점,강원 횡성군 고원로 429-0,외국식,455
28,조은곰탕,강원 횡성군 경강로 463-0,한식,432
29,태양집,강원 횡성군 강변로 939-0,한식,428
30,둔내막국수둔내점,강원 횡성군 둔내로 30-0,한식,423
31,들꽃피는언덕[한식],강원 횡성군 고원로 158-27,한식,410
32,박현자네더덕밥,강원 횡성군 횡성로 59-0,한식,395
33,소잡는날,강원 횡성군 서원서로 854-0,한식,385
34,둔내민속촌,강원 횡성군 둔내로47번길 47-0,한식,369
35,채림의정원,강원 횡성군 정포로 34-0,한식,366
36,함밭식당,강원 횡성군 섬강로 88-0,한식,363
37,이디야커피강원둔내점,강원 횡성군 둔방로3번길 3-0,카페/찻집,360
37,서원산장,강원 횡성군 서원서로 10-0,한식,360
39,횡성한우프라자새말점,강원 횡성군 한우로 1401-0,한식,354
40,카페오드레요,강원 횡성군 고원로 216-0,카페/찻집,346
40,투썸플레이스횡성점,강원 횡성군 앞들서3로 5-0,카페/찻집,346
42,힐링스페이스카페,강원 횡성군 봉덕로299번길 67-0,카페/찻집,333
43,해내리식당,강원 횡성군 고원로412번길 6-0,한식,321
43,심순녀안흥찐빵,강원 횡성군 서동로 1029-0,간이음식,321
45,둔내역한우,강원 횡성군 고원로 117-0,한식,318
46,엘크카페,강원 횡성군 태기로 975-0,카페/찻집,308
46,롯데리아횡성점,강원 횡성군 문정로 25-0,간이음식,308
46,자매식당,강원 횡성군 둔내로51번길 14-0,한식,308
49,소소반,강원 횡성군 옥계9길 119-0,한식,303
50,소문난식당,강원 횡성군 두원길 1-0,한식,301
51,두부사랑,강원 횡성군 고원로 212-0,한식,295
52,우와담,강원 횡성군 화성로 81-16,한식,290
53,카페시골편지,강원 횡성군 실미송한길 24-72,카페/찻집,288
54,하대리막국수,강원 횡성군 한우로 1344-0,한식,286
55,태경식당,강원 횡성군 한우로우항5길 7-0,한식,283
56,지구촌전통가마솥설렁탕,강원 횡성군 경강로 4543-0,한식,277
57,단골식당[한식],강원 횡성군 둔내로51번길 20-0,한식,267
58,고네미막국수,강원 횡성군 한우로 765-2,한식,261
59,횡성한우백화점횡성본점,강원 횡성군 수남로 346-0,한식,249
60,명품장어한우,강원 횡성군 서원서로 440-12,한식,248
61,맛미소쌈밥,강원 횡성군 경강로유현13길 13-3,한식,245
62,윤가이가,강원 횡성군 큰고시길 41-0,한식,232
63,차이원[중식],강원 횡성군 앞들서2로 35-0,외국식,229
64,숲속의짬뽕나라[중식],강원 횡성군 서동로 1123-0,외국식,228
65,우천막국수,강원 횡성군 한우로우항5길 23-0,한식,224
66,상하이루[중식],강원 횡성군 한우로 1406-0,외국식,220
67,횡성한우곰탕,강원 횡성군 문화체육로 40-0,한식,218
67,우천해장국,강원 횡성군 수남로 367-0,한식,218
67,횡성한우국밥,강원 횡성군 문화체육로 46-0,한식,218
70,명륜진사갈비강원횡성점,강원 횡성군 중앙로 45-12,한식,206
71,다래막국수,강원 횡성군 한우로우항7길 9-0,한식,201
72,둔내한우백화점,강원 횡성군 고원로 212-0,한식,200
72,장수더덕정식,강원 횡성군 경강로 266-0,한식,200
74,횡성축협한우프라자우천점,강원 횡성군 우항3길 6-0,한식,197
75,빅브라더스,강원 횡성군 묵계로 37-0,전문음식,185
76,횡성한우촌,강원 횡성군 수남로 379-0,한식,184
77,감토가든,강원 횡성군 서원서로 540-0,한식,183
78,코티지생운,강원 횡성군 덕고로535번길 26-0,카페/찻집,181
79,능이백숙석화촌,강원 횡성군 신평석화로 885-2,한식,179
80,횡성더덕순대,강원 횡성군 한우로 215-0,한식,177
81,파리바게뜨강원둔내점,강원 횡성군 둔내로 48-0,간이음식,176
82,산더미숯불구이,강원 횡성군 둔내로47번길 40-19,한식,175
83,언덕위에장독대,강원 횡성군 둔내로 93-12,한식,172
84,웅이네,강원 횡성군 청태산로 89-0,한식,163
85,도미노피자횡성점,강원 횡성군 문정로 57-0,간이음식,161
85,숲카페,강원 횡성군 읍하로 47-0,카페/찻집,161
87,고기나라,강원 횡성군 서원로 41-0,한식,158
88,파리바게뜨횡성점,강원 횡성군 삼일로 3-0,간이음식,153
88,횡성축협한우프라자둔내점,강원 횡성군 경강로 4531-0,한식,153
88,이가본때,강원 횡성군 실미송한길 46-18,간이음식,153
91,횡성먹거리단지,강원 횡성군 횡성로 52-0,음식점기타,151
92,팜스프링,강원 횡성군 전재로 435-26,전문음식,149
93,한일막국수,강원 횡성군 한우로우항7길 15-0,한식,142
94,장미산장,강원 횡성군 전재로 234-0,한식,141
95,황소해장국,강원 횡성군 문화체육로 38-0,한식,134
96,용천각[중식],강원 횡성군 화성로 103-0,외국식,130
97,둔내한우명가본점,강원 횡성군 고원로 153-0,한식,128
98,교촌치킨횡성점,강원 횡성군 삼일로 9-2,간이음식,124
99,강림순대집,강원 횡성군 주천강로강림5길 37-0,한식,120
100,함포고복,강원 횡성군 월송석화로 53-0,한식,118
