순위,업소명,주소,분류,현지인 검색 수
1,가평양떼목장,경기 가평군 유명로 1209-0,카페/찻집,5582
2,리버레인,경기 가평군 북한강로 2141-2,카페/찻집,3456
3,청평호반닭갈비막국수청평본점,경기 가평군 강변로 45-7,전문음식,3124
4,골든트리,경기 가평군 북한강변로 326-124,카페/찻집,2770
5,수성가든,경기 가평군 비룡로 2088-0,한식,2766
6,산골농원,경기 가평군 어비산길99번길 75-7,한식,2462
7,청평돌짜장[중식],경기 가평군 북한강로 2040-0,외국식,2277
8,스타벅스남이섬점,경기 가평군 북한강변로 1054-0,카페/찻집,2197
9,신숙희진골막국수,경기 가평군 청군로 628-0,한식,2070
10,자잠157,경기 가평군 자잠로 157-0,카페/찻집,1910
11,소양강가든,경기 가평군 비룡로 2240-17,전문음식,1884
12,금강막국수,경기 가평군 음동길 23-0,한식,1846
13,나인블럭가평점,경기 가평군 한서로268번길 157-0,카페/찻집,1812
14,설악막국수 춘천닭갈비,경기 가평군 신천중앙로 161-0,전문음식,1709
15,가평달맞이빵,경기 가평군 수목원로 123-0,간이음식,1591
16,유명숯불닭갈비,경기 가평군 신천중앙로 15-0,전문음식,1577
17,한촌설렁탕가평설악점,경기 가평군 유명로 1600-0,한식,1542
18,나무아래오후N2호점,경기 가평군 수목원로 204-0,카페/찻집,1533
19,르봉뺑,경기 가평군 석봉로 200-0,간이음식,1497
20,카페코미호미,경기 가평군 호반로 1646-0,카페/찻집,1455
21,유명산흥부네솥뚜껑닭볶음탕,경기 가평군 어비산길99번길 67-13,한식,1430
22,설악한우마을,경기 가평군 신천중앙로 101-0,한식,1416
23,LX22베이커리&카페가평점,경기 가평군 유명로 1419-0,카페/찻집,1414
24,풍년가든,경기 가평군 비룡로 2042-0,한식,1385
25,원조장작불곰탕,경기 가평군 경춘로 980-0,한식,1380
26,유일닭강정,경기 가평군 가화로 122-0,간이음식,1364
27,네자매평강막국수,경기 가평군 한서로 87-0,한식,1352
28,파주닭국수가평점,경기 가평군 가화로 383-0,한식,1339
29,제빵소덤대성리점,경기 가평군 경춘로 266-0,간이음식,1294
30,언덕마루가평잣두부집,경기 가평군 수목원로 248-0,한식,1289
31,솥뚜껑닭볶음탕,경기 가평군 어비산길 130-18,한식,1253
32,안반지닭갈비,경기 가평군 북한강변로 1061-0,전문음식,1234
33,금강막국수숯불닭갈비본점,경기 가평군 수목원로 16-0,전문음식,1223
34,송원,경기 가평군 수목원로 72-0,한식,1215
35,해븐지버거,경기 가평군 미사리로 267-293,간이음식,1209
36,칠오숯불닭갈비본점,경기 가평군 수목원로 68-0,전문음식,1208
37,캠프부대찌개,경기 가평군 운악청계로 168-0,전문음식,1186
38,소문난닭갈비,경기 가평군 수목원로 218-0,전문음식,1132
39,카페아우라,경기 가평군 유명로 2312-0,카페/찻집,1115
