순위,업소명,주소,분류,현지인 검색 수
1,강강술래늘봄농원점,경기 고양시 덕양구 호국로 1526-3,한식,25211
2,일산칼국수본점,경기 고양시 일산동구 경의로 467-0,한식,22523
3,가나안덕일산본점,경기 고양시 일산동구 애니골길 62-0,전문음식,19270
4,행주산성원조국수집,경기 고양시 덕양구 행주로17번길 10-0,한식,17666
5,미덕원일산점,경기 고양시 일산동구 애니골길43번길 17-1,전문음식,16524
6,다람쥐마을누룽지백숙,경기 고양시 일산동구 애니골길43번길 48-0,한식,16418
7,포레스트아웃팅스일산본점,경기 고양시 일산동구 고양대로 1124-0,카페/찻집,15533
8,주막보리밥서오릉본점,경기 고양시 덕양구 용두로47번길 133-0,한식,14018
9,임가네한우마을,경기 고양시 덕양구 흥도로 443-12,한식,12715
10,지향한우마을,경기 고양시 덕양구 대주로107번길 61-10,한식,12386
11,등촌샤브칼국수일산본점,경기 고양시 일산동구 무궁화로 118-0,한식,12125
12,빠르끄,경기 고양시 일산동구 고양대로 916-0,카페/찻집,11394
13,장어사냥,경기 고양시 덕양구 호수로 89-1,전문음식,10298
14,신호등장작구이서오릉본점,경기 고양시 덕양구 서오릉로 396-14,전문음식,10122
15,전민규의황제누룽지탕일산본점,경기 고양시 일산동구 애니골길 6-0,한식,10058
16,양수면옥,경기 고양시 일산동구 애니골길 34-0,한식,9346
17,명가원설농탕,경기 고양시 일산동구 일산로 438-0,한식,8823
18,임가네한우마을풍동점,경기 고양시 일산동구 애니골길43번길 17-1,한식,8062
19,비비하우스,경기 고양시 일산동구 백마로 506-0,카페/찻집,8038
20,카페몬타나,경기 고양시 일산서구 덕산로312번길 124-0,카페/찻집,7935
21,명장텐,경기 고양시 일산서구 하이파크로 145-0,간이음식,7641
22,철원양평해장국,경기 고양시 일산동구 장항로 145-0,한식,7588
23,일산교자본점,경기 고양시 덕양구 원당로 289-0,한식,7268
24,고자리냉면칼만두,경기 고양시 덕양구 호국로 915-45,한식,7133
25,덕이동주막,경기 고양시 일산서구 하이파크3로 10-0,한식,7077
26,디스케이프,경기 고양시 덕양구 대장길 99-0,카페/찻집,6930
27,부페파크일산점,경기 고양시 일산동구 정발산로 43-20,전문음식,6600
