순위,업소명,주소,분류,현지인 검색 수
1,카페몬타나,경기 고양시 일산서구 덕산로312번길 124-0,카페/찻집,7935
2,스타벅스일산덕이DT점,경기 고양시 일산서구 탄중로 106-0,카페/찻집,7867
3,명장텐,경기 고양시 일산서구 하이파크로 145-0,간이음식,7641
4,덕이동주막,경기 고양시 일산서구 하이파크3로 10-0,한식,7077
5,맥도날드강선점,경기 고양시 일산서구 대산로 113-0,간이음식,6433
6,박승광최강해물손칼국수덕이직영점,경기 고양시 일산서구 장자길118번길 105-73,한식,5037
7,평양손만두2호점,경기 고양시 일산서구 구산로54번길 241-0,한식,4588
8,버거킹고양덕이DT점,경기 고양시 일산서구 경의로 850-0,간이음식,4363
9,맥도날드탄현,경기 고양시 일산서구 일현로 56-0,간이음식,4279
10,파스쿠찌일산DI점,경기 고양시 일산서구 일산로 646-0,카페/찻집,3834
11,일산소바[일식],경기 고양시 일산서구 대화로 362-0,외국식,3754
12,밍차이[중식],경기 고양시 일산서구 킨텍스로 255-0,외국식,3674
13,망향비빔국수일산점,경기 고양시 일산서구 대화로 22-0,한식,3127
14,스타벅스일산가구단지점,경기 고양시 일산서구 하이파크2로 67-0,카페/찻집,2933
15,이도옥설렁탕,경기 고양시 일산서구 강성로 256-0,한식,2812
16,을밀대일산점,경기 고양시 일산서구 일산로803번길 82-17,한식,2790
17,본가갈비,경기 고양시 일산서구 덕이로 84-14,한식,2771
18,굴토리,경기 고양시 일산서구 호수로856번길 7-13,전문음식,2713
19,양촌리아구,경기 고양시 일산서구 대화2로 152-0,한식,2633
20,청담추어정,경기 고양시 일산서구 경의로 932-0,한식,2578
21,유일설렁탕,경기 고양시 일산서구 일청로 129-0,한식,2558
22,아웃백스테이크하우스일산원마운트점,경기 고양시 일산서구 한류월드로 300-0,전문음식,2531
23,봉이바지락손칼국수본점,경기 고양시 일산서구 후곡로 12-0,한식,2493
24,커피팩토리일산,경기 고양시 일산서구 하이파크3로 19-0,카페/찻집,2487
25,오실장강남면옥탄현점,경기 고양시 일산서구 현중로26번길 45-2,한식,2486
26,금화왕돈까스덕이점,경기 고양시 일산서구 경의로 951-0,전문음식,2435
27,육대장일산대화점,경기 고양시 일산서구 일산로 727-0,한식,2422
28,장어미식가,경기 고양시 일산서구 하이파크3로 34-0,전문음식,2319
29,버거킹주엽역점,경기 고양시 일산서구 중앙로 1443-0,간이음식,2286
30,갈비도락탄현점,경기 고양시 일산서구 탄현로 120-0,한식,2278
31,버거킹일산산들SK DT점,경기 고양시 일산서구 고양대로 717-0,간이음식,2272
32,스타벅스일산탄현제니스점,경기 고양시 일산서구 일현로 97-11,카페/찻집,2247
33,서동관,경기 고양시 일산서구 호수로856번길 7-7,한식,2168
34,마이갈비탄현본점,경기 고양시 일산서구 산현로 106-0,한식,2066
35,남궁[중식],경기 고양시 일산서구 일산로 682-0,외국식,2012
36,가야밀면돼지국밥일산본점,경기 고양시 일산서구 호수로856번길 8-11,한식,1975
37,윤세원의일송정[한식],경기 고양시 일산서구 법곳길 40-0,한식,1974
38,토담순대국,경기 고양시 일산서구 대산로226번길 8-2,한식,1959
39,장충동털보족발,경기 고양시 일산서구 주화로 76-0,전문음식,1911
40,카페베네일산탄현역점,경기 고양시 일산서구 일현로 41-0,카페/찻집,1819
41,훼미리부대찌개&삼겹일산대화점,경기 고양시 일산서구 성저로38번길 61-0,전문음식,1786
42,KFC주엽점,경기 고양시 일산서구 중앙로 1419-0,간이음식,1782
43,스타벅스일산가로수길R점,경기 고양시 일산서구 주엽로 80-0,카페/찻집,1774
44,스타벅스일산후곡점,경기 고양시 일산서구 일산로 541-0,카페/찻집,1715
45,우리집김밥,경기 고양시 일산서구 주화로 7-0,간이음식,1687
