순위,업소명,주소,분류,현지인 검색 수
1,돼지집,경기 광명시 기아로 56-0,한식,8528
2,명장시대,경기 광명시 범안로 930-0,간이음식,7809
3,구름산추어탕,경기 광명시 범안로 964-5,한식,7011
4,산촌신쭈꾸미,경기 광명시 오리로 467-21,전문음식,6754
5,명가원[한식],경기 광명시 원노온사로 82-0,한식,4647
6,매화쌈밥광명점,경기 광명시 밤일로 36-0,한식,4462
7,강남면옥광명점,경기 광명시 범안로 868-0,한식,3564
8,청담본갈비광명점,경기 광명시 밤일로 4-0,한식,3159
9,온누리장작구이광명점,경기 광명시 범안로 849-13,전문음식,3057
10,돈까스인생,경기 광명시 밤일안로 1-0,전문음식,2917
11,긴자광명점 [일식],경기 광명시 밤일안로 41-0,외국식,2753
12,소올투베이커리,경기 광명시 가학로85번길 6-6,간이음식,2751
13,소하고택,경기 광명시 신촌북로 7-0,카페/찻집,2537
14,홍익돈까스광명점,경기 광명시 밤일안로 19-0,전문음식,2392
15,소통한우,경기 광명시 가학로 144-0,한식,2314
16,또와요짬뽕[중식],경기 광명시 가학로 39-0,외국식,2252
17,양평골,경기 광명시 범안로 857-0,한식,2185
18,거북명태,경기 광명시 범안로 856-0,한식,2136
19,담원한정식[한식],경기 광명시 밤일로 26-0,한식,2100
20,빵명장,경기 광명시 밤일로 38-0,간이음식,1961
21,가나안덕광명점,경기 광명시 밤일로 83-0,전문음식,1894
22,소들녘광명점,경기 광명시 오리로876번길 6-0,한식,1877
23,샤브향밤일점,경기 광명시 밤일안로 27-0,전문음식,1857
24,장수촌광명점,경기 광명시 밤일로 37-0,한식,1816
25,경복궁,경기 광명시 밤일로 42-0,한식,1784
26,촌장골광명점,경기 광명시 소하로109번길 16-0,한식,1781
27,고창복의낙지세상광명점,경기 광명시 범안로 893-0,전문음식,1755
28,소담촌,경기 광명시 오리로 518-0,전문음식,1753
29,애기능농장,경기 광명시 범안로 753-0,한식,1733
30,신선화로광명점,경기 광명시 범안로 868-11,한식,1703
31,푸주옥,경기 광명시 밤일로 22-0,한식,1695
32,송도갈매기광명점,경기 광명시 양지로 16-0,한식,1660
33,아리랑[한식],경기 광명시 오리로619번길 28-0,한식,1625
34,망향비빔국수광명점,경기 광명시 광명로 423-5,한식,1615
35,보리밥전문점보릿골,경기 광명시 오리로619번길 27-0,한식,1547
36,가마솥밥상철산본점 [한식],경기 광명시 안양천로 459-0,한식,1534
37,신농한우,경기 광명시 밤일안로 8-0,한식,1514
38,교동짬뽕[중식],경기 광명시 한내일로 37-0,외국식,1463
39,상상초월,경기 광명시 영당로 14-0,한식,1431
40,담원두부마을,경기 광명시 밤일로 27-0,한식,1426
41,매화곤드레밥광명점 [한식],경기 광명시 밤일로 63-0,한식,1359
42,대한농장,경기 광명시 광명로 390-0,한식,1315
43,마로치노,경기 광명시 밤일로 34-0,카페/찻집,1313
44,카페자호,경기 광명시 밤일안로 41-3,카페/찻집,1297
45,포항물회,경기 광명시 안재로2번길 33-0,전문음식,1294
46,서울경복궁,경기 광명시 양달로 8-0,한식,1249
47,밤일마을제주흑돈본점,경기 광명시 오리로 115-0,한식,1228
48,한마음정육식당광명점,경기 광명시 오리로619번길 17-0,한식,1147
49,광명APT형 공단-광명 시범 공단,경기 광명시 하안로 228-0,음식점기타,1144
50,라띠에라,경기 광명시 구름산로 10-0,카페/찻집,1130
51,주재근베이커리본점,경기 광명시 철산로 27-0,간이음식,1114
52,아이엠베이글테이크호텔,경기 광명시 신기로 20-0,전문음식,1104
53,늘봄해물찜&칼국수,경기 광명시 범안로 861-0,한식,1104
54,추오정남원추어탕하안점,경기 광명시 밤일로 10-0,한식,1080
55,광명가마솥곰탕,경기 광명시 범안로 883-0,한식,1063
56,더쉐프한식뷔페,경기 광명시 새빛공원로 67-0,전문음식,1050
57,마초쉐프광명점,경기 광명시 소하로 94-0,전문음식,1045
58,돼지집별관 [한식],경기 광명시 기아로62번길 4-13,한식,1034
59,우리소,경기 광명시 밤일안로 41-11,한식,1005
60,백금당광명점,경기 광명시 일직로99번길 27-0,카페/찻집,967
61,청아옥밤일마을점,경기 광명시 밤일로 20-0,한식,950
62,돈까스클럽광명점,경기 광명시 오리로 115-0,전문음식,941
63,쏘렌토밤일마을점,경기 광명시 밤일안로 16-0,외국식,903
64,광명토성,경기 광명시 밤일로 106-0,전문음식,900
65,남해바다장어민물장어참숯불구이,경기 광명시 밤일로 18-0,전문음식,894
66,광명족발,경기 광명시 하안로 112-0,전문음식,879
67,팔각도광명역점,경기 광명시 신기로 20-0,전문음식,876
68,서원안동국시,경기 광명시 가학로85번길 44-0,한식,875
69,금천한우타운,경기 광명시 가학로 177-0,한식,860
70,스시메이진소하점,경기 광명시 소하로 94-0,외국식,849
71,까치카페,경기 광명시 오리로619번길 32-0,카페/찻집,836
72,원조생고기두루치기전문,경기 광명시 영우로 16-0,한식,831
73,담원바베큐&쭈꾸미,경기 광명시 광명로 521-15,전문음식,829
74,조선곰탕광명점,경기 광명시 원노온사로 1-0,한식,822
75,항아리보쌈광명점,경기 광명시 소하일로52번길 13-0,전문음식,810
76,김수언스시,경기 광명시 소하로 81-0,외국식,810
77,용천원두막,경기 광명시 오리로 282-41,한식,795
78,기찬스시,경기 광명시 소하로 109-0,외국식,792
79,밤일장작구이,경기 광명시 밤일안로 12-0,한식,782
80,내조삼계탕,경기 광명시 밤일로 32-0,한식,782
81,이비가짬뽕광명밤일마을점 [중식],경기 광명시 밤일로 3-0,외국식,780
82,담원쌈밥,경기 광명시 밤일로 26-0,한식,778
83,전주콩뿌리콩나물국밥본점,경기 광명시 오리로 619-0,한식,778
84,스시웨이광명점,경기 광명시 가림일로 80-0,외국식,776
85,가야냉밀면,경기 광명시 일직로12번길 21-0,한식,776
86,채선당플러스철산역점,경기 광명시 철산로 36-0,전문음식,768
87,처비핑거스,경기 광명시 일직로99번길 26-0,간이음식,765
88,라퓨엔테,경기 광명시 밤일로 56-0,카페/찻집,762
89,시드니램1901,경기 광명시 밤일로 8-0,한식,749
