순위,업소명,주소,분류,현지인 검색 수
1,어로프슬라이스피스퇴촌점,경기 광주시 정영로 946-8,카페/찻집,13158
2,먹보한우광주점,경기 광주시 청석로 252-0,한식,10143
3,해와달[한식],경기 광주시 이배재로 493-0,한식,9223
4,장군수산,경기 광주시 창뜰아랫길 31-0,전문음식,8545
5,포사이,경기 광주시 정영로 574-0,외국식,8313
6,나인블럭중대동점,경기 광주시 경충대로 1969-0,카페/찻집,7942
7,카페인신현리,경기 광주시 새말길167번길 68-0,카페/찻집,7221
8,원조최미자소머리국밥본관,경기 광주시 도척로 58-0,한식,7123
9,이배재제빵소,경기 광주시 이배재로 247-0,카페/찻집,5886
10,본프롬테라본점,경기 광주시 벌원길 4-0,전문음식,5879
11,홍익돈까스경기광주점,경기 광주시 현산안길 7-0,전문음식,5863
12,통보장어마을,경기 광주시 장지9길 45-0,전문음식,5725
13,스시어왕태전점,경기 광주시 고불로 62-5,외국식,5696
14,다미정,경기 광주시 설월길 29-0,한식,5574
15,장지리가마솥해장국본점,경기 광주시 순암로 150-0,한식,5119
16,오라운트,경기 광주시 양벌로 320-4,카페/찻집,4979
17,동동국수본점,경기 광주시 도척로 20-0,한식,4920
18,숙아채콩나물국밥,경기 광주시 새말길 21-0,한식,4654
19,취룡[중식],경기 광주시 이배재로 308-0,외국식,4602
20,강마을다람쥐,경기 광주시 태허정로 556-0,전문음식,4415
21,스멜츠,경기 광주시 신현로 103-0,카페/찻집,4330
22,델리프랑스,경기 광주시 태성로 130-60,간이음식,4220
23,먹보한우광주2호점,경기 광주시 새말길 78-0,한식,4176
24,낙선재[한식],경기 광주시 불당길 101-0,한식,4021
25,예전한정식[한식],경기 광주시 천진암로 515-14,한식,4010
26,해누리동산들밥[한식],경기 광주시 광여로 305-0,한식,3970
27,건업리보리밥,경기 광주시 광여로 841-0,한식,3969
28,최미자소머리국밥1관,경기 광주시 경충대로 540-0,한식,3961
29,명동칼국수경기광주본점,경기 광주시 현산로 289-0,한식,3856
30,들밥[한식],경기 광주시 양벌로 131-20,한식,3846
31,카페슈샤,경기 광주시 문형산길 163-0,카페/찻집,3781
32,수레실가든,경기 광주시 수레실길 129-0,한식,3738
33,해누리[한식],경기 광주시 경충대로 1305-11,한식,3700
34,윤씨보쌈,경기 광주시 청석로 264-0,전문음식,3530
35,송유향[중식],경기 광주시 순암로 270-0,외국식,3312
36,브런치빈경기광주점,경기 광주시 문화로 43-0,전문음식,3272
37,신주옥미,경기 광주시 순암로 44-0,한식,3261
38,거궁광주점 [한식],경기 광주시 경충대로 1362-0,한식,3119
39,제주제빵소,경기 광주시 오포로 481-0,간이음식,3092
40,37.5경기광주점,경기 광주시 경안로 117-0,카페/찻집,3052
41,장지리막국수,경기 광주시 고불로 7-0,한식,3030
42,대복식당불고기가게,경기 광주시 정영로 776-0,한식,3024
43,강민주의들밥,경기 광주시 현산로385번길 51-0,한식,3007
44,레반트,경기 광주시 현산로 193-0,전문음식,2936
45,퇴촌돌짜장,경기 광주시 산수로 894-0,외국식,2883
46,퍼들하우스,경기 광주시 경충대로 1337-74,카페/찻집,2764
47,도그런,경기 광주시 새말길 214-3,한식,2764
48,청석가든,경기 광주시 파발로 61-0,한식,2654
49,오대오바지락칼국수,경기 광주시 신현로 25-0,한식,2625
50,궁평식당,경기 광주시 도척윗로 188-0,한식,2604
51,추자리막국수,경기 광주시 오포로859번길 6-0,한식,2598
52,초월보리밥[한식],경기 광주시 경충대로184번길 24-1,한식,2521
53,카페산,경기 광주시 검복길 82-0,카페/찻집,2517
54,브릭,경기 광주시 새말길 305-0,외국식,2516
55,라꾸에스타,경기 광주시 경충대로 278-0,카페/찻집,2505
56,팔당샤브손칼국수코다리막국수,경기 광주시 신현로 28-0,한식,2432
57,공감플랫폼,경기 광주시 오포로 761-0,카페/찻집,2392
58,푸주옥본점,경기 광주시 신현로 53-0,한식,2365
59,몽쥬이에,경기 광주시 남한산성로 227-31,카페/찻집,2352
60,오픈앨리,경기 광주시 창뜰윗길6번길 21-0,카페/찻집,2341
61,백년가짬뽕곤지암직영점 [중식],경기 광주시 경충대로 888-0,외국식,2332
62,백년가짬뽕광주본점 [중식],경기 광주시 경충대로 1879-0,외국식,2327
63,월미당경기광주점,경기 광주시 순암로 16-34,외국식,2309
64,궁뜰맛있는발효밥상[한식],경기 광주시 궁평하천길 38-0,한식,2303
65,위드댕댕이,경기 광주시 고산길 54-0,카페/찻집,2289
66,원조할매보리밥,경기 광주시 새말길 328-0,한식,2264
67,임성근국가공인진갈비광주점,경기 광주시 경충대로 1439-0,한식,2169
68,어시장,경기 광주시 송정로 62-0,전문음식,2155
69,가나안덕태전점,경기 광주시 태성로 130-39,전문음식,2093
70,카페추자리,경기 광주시 오포로 695-0,카페/찻집,2089
71,시래마루,경기 광주시 경충대로 661-0,한식,2089
72,카페엔트로피,경기 광주시 포돌이로 52-0,카페/찻집,2086
73,수양농장가든,경기 광주시 경충대로295번길 110-3,한식,2065
74,흙토담골퇴촌점,경기 광주시 석둔길 3-0,한식,2049
75,구리시골식당경기광주점,경기 광주시 순암로 236-0,한식,2041
76,경성빵공장남한산성점,경기 광주시 남한산성로 714-0,간이음식,2038
77,티파니가든,경기 광주시 보뚱치길 25-0,카페/찻집,1963
78,그때그시절,경기 광주시 고산길 197-3,한식,1926
79,숲속장어촌,경기 광주시 새말길 230-0,전문음식,1921
80,우해정,경기 광주시 곤지암천로 248-0,한식,1910
81,밀토랑바지락칼국수,경기 광주시 경충대로 1286-0,한식,1900
82,위베이크,경기 광주시 남한산성로 59-3,간이음식,1894
83,구일가든,경기 광주시 광여로4번길 10-0,한식,1885
84,카페엔소파,경기 광주시 마루들길 46-12,카페/찻집,1871
85,배연정소머리국밥곤지암본점,경기 광주시 도척로 12-0,한식,1870
86,보리밥짓는사랑방[한식],경기 광주시 경충대로 187-4,한식,1862
87,부영장어,경기 광주시 고불로 73-75,전문음식,1840
