순위,업소명,주소,분류,현지인 검색 수
1,강창구찹쌀진순대본점,경기 구리시 검배로 74-0,한식,7321
2,잉꼬칼국수,경기 구리시 체육관로171번길 11-4,한식,5890
3,강창구찹쌀진순대토평점,경기 구리시 벌말로 81-10,한식,4385
4,가드니아제빵소본점,경기 구리시 동구릉로460번길 114-0,간이음식,4163
5,별미지교구리점,경기 구리시 벌말로 67-10,전문음식,3686
6,오늘제빵소,경기 구리시 벌말로128번길 13-0,카페/찻집,3486
7,지호한방삼계탕구리직영점,경기 구리시 벌말로80번길 82-0,한식,3458
8,레이지데이스,경기 구리시 장자호수길 32-0,카페/찻집,3050
9,묘향만두,경기 구리시 아차산로 63-0,한식,2953
10,토평메주콩,경기 구리시 벌말로 77-0,한식,2661
11,양촌리구리점,경기 구리시 경춘로244번길 12-0,한식,2123
12,파스타아미고,경기 구리시 벌말로70번길 67-0,외국식,2047
13,아리랑갈비구리점,경기 구리시 아차산로 479-0,한식,1881
14,큰집돌솥설렁탕,경기 구리시 안골로 51-0,한식,1856
15,유래등[중식],경기 구리시 동구릉로 239-0,외국식,1786
16,어랑추,경기 구리시 동구릉로 145-0,한식,1784
17,할리스구리수택점,경기 구리시 검배로 73-0,카페/찻집,1778
18,옥화식당,경기 구리시 검배로 69-0,한식,1696
19,갈매골순두부,경기 구리시 갈매길 18-0,전문음식,1579
20,망향비빔국수구리점,경기 구리시 아차산로 348-0,한식,1511
21,카페비니,경기 구리시 아치울길 17-0,카페/찻집,1509
22,범표원두갈매점,경기 구리시 갈매순환로204번길 51-14,카페/찻집,1479
23,모던기와,경기 구리시 아차산로 37-0,카페/찻집,1377
24,양평해장국,경기 구리시 아차산로 188-4,한식,1373
25,우리나라별내점,경기 구리시 금강로6번길 3-0,한식,1359
26,소담촌수택점,경기 구리시 이문안로 147-0,한식,1340
27,서옹메밀막국수,경기 구리시 경춘로 73-0,한식,1338
28,천지연구리워커힐점,경기 구리시 아차산로 47-0,한식,1333
29,귀품찬숯불갈비구리직영점,경기 구리시 벌말로 78-0,한식,1329
30,공도동춘옥[중식],경기 구리시 동구릉로 185-0,외국식,1291
31,본추어탕갈매점,경기 구리시 갈매길 153-13,한식,1254
32,백년가짬뽕토평직영점 [중식],경기 구리시 벌말로 102-0,외국식,1215
33,카페앤아더,경기 구리시 아차산로 294-0,전문음식,1161
34,두메골[한식],경기 구리시 동구릉로 335-0,한식,1150
35,방일해장국본점,경기 구리시 벌말로 64-0,한식,1124
36,돈까스클럽구리교문점,경기 구리시 아차산로 338-0,전문음식,1104
37,굿윌스토어밀알구리점,경기 구리시 장자호수길 62-0,카페/찻집,1076
38,동원한방족발,경기 구리시 안골로 61-0,전문음식,1069
39,안다미로스시,경기 구리시 경춘로266번길 10-0,외국식,1052
40,강가네한다리이향갈비본점,경기 구리시 아차산로 302-0,한식,1043
41,제주은희네해장국구리점,경기 구리시 벌말로 102-1,한식,1040
42,수갈비탕,경기 구리시 경춘로227번길 42-0,한식,1022
43,시골식당,경기 구리시 검배로15번길 25-0,한식,1019
44,자연에서온추어탕,경기 구리시 우미내길 4-1,한식,1002
45,양지쌈밥,경기 구리시 동구릉로459번길 6-0,한식,966
46,길목감자탕,경기 구리시 아차산로 379-0,한식,962
47,착한낙지구리점,경기 구리시 벌말로 74-0,전문음식,948
48,청해진동태찜,경기 구리시 벌말로147번길 17-0,한식,942
49,수택농원,경기 구리시 수택천로33번길 9-0,전문음식,901
50,조선화로집구리점,경기 구리시 벌말로 145-0,한식,881
51,옹기종기동태탕,경기 구리시 경춘로242번길 31-13,한식,868
52,다인한정식[한식],경기 구리시 벌말로 98-0,한식,863
53,소담촌구리갈매점,경기 구리시 갈매순환로 194-0,전문음식,825
54,파차 베이커피 카페,경기 구리시 동구릉로460번길 96-30,카페/찻집,818
55,산아11,경기 구리시 아차산로405번길 130-0,전문음식,806
56,힐라비카페,경기 구리시 금강로199번길 112-0,카페/찻집,803
57,캡틴횟집,경기 구리시 동구릉로136번길 90-0,전문음식,803
