순위,업소명,주소,분류,현지인 검색 수
1,홍종흔베이커리앤카페,경기 군포시 번영로 252-0,간이음식,12632
2,주막보리밥군포점,경기 군포시 속달로 108-0,한식,12038
3,수리산두꺼비집,경기 군포시 속달로 286-2,한식,9664
4,맥도날드군포산본DT점,경기 군포시 고산로 715-0,간이음식,5572
5,웅이네오돌뼈닭발도금정점,경기 군포시 금정로42번길 48-0,전문음식,5364
6,온리쭈꾸미군포본점,경기 군포시 군포로 201-24,전문음식,4564
7,좋은아침페스츄리시그니처점,경기 군포시 송부로22번길 2-0,간이음식,4353
8,맥도날드군포당동SK DT점,경기 군포시 고산로 259-0,간이음식,3908
9,비숲,경기 군포시 둔대로 28-0,카페/찻집,3674
10,군포식당,경기 군포시 군포로556번길 6-0,한식,2641
11,이학갈비산본점,경기 군포시 산본천로 56-0,한식,2596
12,수리산채,경기 군포시 속달로110번길 6-0,한식,2394
13,카페속달로,경기 군포시 속달로 286-4,카페/찻집,2334
14,버거킹산본점,경기 군포시 산본로 382-0,간이음식,2023
15,예전각설렁탕,경기 군포시 번영로 624-0,한식,1922
16,반월호수온도,경기 군포시 호수로 120-0,카페/찻집,1914
17,참고기,경기 군포시 속달로 130-0,한식,1774
18,디마인커피로스터즈반월점,경기 군포시 둔대로 8-7,카페/찻집,1642
19,일품맛소본점,경기 군포시 한세로 44-0,한식,1548
20,식도락,경기 군포시 속달로110번길 16-0,한식,1546
21,한길가든,경기 군포시 둔대로 20-0,한식,1490
22,허니듀,경기 군포시 호수로 124-9,카페/찻집,1464
23,도미노피자군포점,경기 군포시 금당로 23-0,간이음식,1431
24,스타벅스산본사거리점,경기 군포시 고산로 701-0,카페/찻집,1421
25,악토버나인,경기 군포시 속달로 297-0,카페/찻집,1368
26,한우만,경기 군포시 공단로 350-0,한식,1346
27,어부네코다리조림군포본점,경기 군포시 용호1로2번길 15-0,한식,1289
28,미사리밀빛초계국수반월호수점,경기 군포시 호수로 124-3,한식,1234
29,바다향왕코다리군포점,경기 군포시 번영로 184-0,한식,1170
30,순이네시골밥상,경기 군포시 속달로 205-0,한식,1152
31,대성농장생오리,경기 군포시 군포로609번안길 22-0,전문음식,1145
32,플로렌스군포산본점,경기 군포시 고산로 599-0,전문음식,1099
33,조셉파리,경기 군포시 삼성로20번길 14-0,간이음식,1056
34,신세계푸드트레이더스베이커리군포점,경기 군포시 삼성로 74-0,간이음식,1035
35,스타벅스금정AK점,경기 군포시 엘에스로 143-0,카페/찻집,994
36,교촌치킨군포산본역점,경기 군포시 산본로323번길 10-34,간이음식,917
37,케익드라마,경기 군포시 공단로 141-0,간이음식,912
38,3대메밀막국수,경기 군포시 둔대로 8-15,한식,894
39,방일해장국당정점,경기 군포시 고산로151번길 7-0,한식,888
40,강원도막국수,경기 군포시 한세로56번길 15-0,한식,813
41,태을봉,경기 군포시 둔대로 7-0,한식,794
42,우정식당,경기 군포시 번영로610번길 13-0,한식,759
43,웰스커피,경기 군포시 둔대로15번길 19-0,카페/찻집,756
44,원조설악추어탕군포점,경기 군포시 용호1로1번길 8-0,한식,746
45,이백,경기 군포시 속달로 129-49,카페/찻집,740
46,산본우동,경기 군포시 수리산로 42-0,외국식,711
47,만복순대국산본점,경기 군포시 산본로386번길 93-1,한식,707
48,둥근상시골집 갈치밥상본점,경기 군포시 송부로22번길 3-20,한식,691
49,이정래식당금정점,경기 군포시 군포로719번길 1-0,한식,661
50,목구멍군포점,경기 군포시 삼성로8번길 4-5,한식,641
51,LS군포R&D센터,경기 군포시 공단로140번길 27-0,음식점기타,639
52,명짬뽕[중식],경기 군포시 삼성로 5-0,외국식,629
53,쉐프돈까스,경기 군포시 고산로 515-0,전문음식,623
54,롯데리아산본중앙,경기 군포시 산본로343번길 21-0,간이음식,605
55,둔터매운탕,경기 군포시 둔대로 4-0,한식,586
56,토담길,경기 군포시 둔대로 21-8,한식,580
57,언양집,경기 군포시 군포로 79-0,한식,574
58,전주감자탕당동점,경기 군포시 군포로456번길 6-0,한식,573
59,초막골생태공원카페,경기 군포시 초막골길 216-0,카페/찻집,550
60,아리랑,경기 군포시 고산로185번길 21-0,한식,549
61,한판하이소1KG,경기 군포시 용호1로1번길 8-1,한식,541
62,나오리장작구이군포점,경기 군포시 고산로 144-0,전문음식,534
63,안양컨트리클럽티하우스,경기 군포시 군포로 364-0,카페/찻집,526
64,뽕잎사랑군포본점,경기 군포시 당정역로 82-0,한식,521
65,스타피스,경기 군포시 호수로 355-0,한식,516
66,나능이능이버섯백숙군포점,경기 군포시 삼성로20번길 16-14,한식,508
67,스타벅스산본점,경기 군포시 산본로343번길 9-0,카페/찻집,504
68,KFC군포산본점,경기 군포시 고산로 681-0,간이음식,495
69,나의집,경기 군포시 둔대로 33-21,한식,494
70,굴다리숯불구이본가,경기 군포시 용호1로1번길 10-0,한식,492
71,스타벅스산본동점,경기 군포시 산본로 398-0,카페/찻집,487
72,애슐리퀸즈롯데피트인산본점,경기 군포시 번영로 485-0,전문음식,486
73,수리골[한식],경기 군포시 속달로 283-0,한식,484
74,백청우칼국수군포점,경기 군포시 용호1로60번길 14-0,한식,477
75,일품등심,경기 군포시 곡란로8번길 42-0,한식,470
76,도미노피자산본점,경기 군포시 산본로431번안길 3-7,간이음식,464
76,복아구해물찜,경기 군포시 군포로707번길 20-0,한식,464
78,요요연연,경기 군포시 산본천로 18-0,간이음식,443
79,취애루[중식],경기 군포시 산본로197번길 3-1,외국식,433
79,쿠우쿠우산본점,경기 군포시 산본로323번길 16-30,전문음식,433
81,교촌치킨군포부곡점,경기 군포시 번영로28번길 37-20,간이음식,429
82,커피인더스트리1호점,경기 군포시 고산로151번길 4-0,카페/찻집,425
83,그물에걸린바다,경기 군포시 금당로22번길 36-0,전문음식,419
84,좋구만군포송정점,경기 군포시 송부로74번길 3-10,한식,417
85,상무초밥산본점,경기 군포시 번영로 515-0,외국식,415
86,국제갈비군포당동점,경기 군포시 용호1로1번길 4-0,한식,407
87,좋구만,경기 군포시 당동로7번길 6-0,한식,404
88,투썸플레이스금정역점,경기 군포시 엘에스로 153-18,카페/찻집,391
89,투썸플레이스산본역점,경기 군포시 산본로323번길 27-0,카페/찻집,387
90,쿠모쿠모베이커리,경기 군포시 산본로432번길 4-0,간이음식,378
91,배스킨라빈스군포당동점,경기 군포시 고산로250번길 1-0,간이음식,375
92,빈체로파스타군포송정점,경기 군포시 송부로34번길 29-0,전문음식,374
93,SUBWAY산본사거리점,경기 군포시 고산로 694-0,간이음식,373
94,베이징스토리[중식],경기 군포시 용호1로 10-0,외국식,364
95,정담기지떡군포의왕점,경기 군포시 송부로34번길 9-10,간이음식,360
96,이디야커피산본학원가점,경기 군포시 산본로 390-0,카페/찻집,357
97,파리바게뜨군포당정역점,경기 군포시 고산로211번길 31-0,간이음식,351
97,파리바게뜨당동우체국점,경기 군포시 군포로 492-0,간이음식,351
97,이디야커피군포송정지구점,경기 군포시 송부로33번길 3-13,카페/찻집,351
100,투썸플레이스군포당동점,경기 군포시 용호2로 63-8,카페/찻집,350
