순위,업소명,주소,분류,현지인 검색 수
1,키스톤스피시즈,경기 남양주시 경춘로 1104-1,카페/찻집,31080
2,장어의꿈,경기 남양주시 순화궁로 492-6,전문음식,31028
3,목향원[한식],경기 남양주시 덕릉로1071번길 34-12,한식,15539
4,어랑손만두국,경기 남양주시 경춘로 1084-25,한식,15024
5,보나리베,경기 남양주시 불암산로39번길 9-2,간이음식,14267
6,고메스퀘어별내점,경기 남양주시 별내중앙로 34-0,전문음식,11711
7,라온숨,경기 남양주시 북한강로 1146-0,카페/찻집,11660
8,소리소,경기 남양주시 진건우회로 95-1,카페/찻집,11374
9,초대한정식[한식],경기 남양주시 강변북로632번길 6-45,한식,11139
10,동동국수집,경기 남양주시 경강로 908-0,한식,11121
11,덕소숯불고기,경기 남양주시 수레로 213-0,한식,11039
12,카페대너리스,경기 남양주시 북한강로 914-0,카페/찻집,10903
13,닉센,경기 남양주시 불암산로59번길 16-15,카페/찻집,10166
14,온누리장작구이팔당본점,경기 남양주시 경강로 890-0,전문음식,9808
15,미음나루음식문화거리,경기 남양주시,음식점기타,9172
16,달빛새베이커리앤카페,경기 남양주시 금강로782번길 292-21,카페/찻집,8934
17,소유,경기 남양주시 순화궁로 729-11,카페/찻집,8313
18,팽현숙의옛날순대국남양주점,경기 남양주시 월문천로 174-0,한식,7940
19,베이커리씨어터,경기 남양주시 경춘로2696번길 4-15,카페/찻집,7798
20,대왕가든,경기 남양주시 진벌로 179-0,한식,7732
21,광릉불고기본점,경기 남양주시 광릉내로82번길 40-1,한식,7503
22,비루개,경기 남양주시 용암비루개길 219-88,카페/찻집,7284
23,용암천카페거리,경기 남양주시 송산로 356-0,음식점기타,7095
24,오드리,경기 남양주시 순화궁로 492-15,외국식,7022
25,일호갈비탕,경기 남양주시 묵현로 105-1,한식,6715
26,홍익돈까스별내점,경기 남양주시 송산로 180-0,전문음식,6660
27,뚜레한우남양주점,경기 남양주시 마치로 315-0,한식,6631
28,어나더쥬얼리,경기 남양주시 강변북로632번길 41-16,카페/찻집,6589
29,북한강막국수닭갈비,경기 남양주시 북한강로 908-0,전문음식,6369
30,폴콘리버가든팔당,경기 남양주시 경강로926번길 66-0,간이음식,6325
31,김삿갓밥집본점 [한식],경기 남양주시 경춘로 2483-0,한식,6197
32,남양주한우마을,경기 남양주시 송산로 102-0,한식,5893
33,포러데이,경기 남양주시 경강로926번길 8-7,카페/찻집,5882
34,산아래[한식],경기 남양주시 송산로 226-40,한식,5814
35,화도수산,경기 남양주시 경춘로2515번길 10-0,한식,5788
36,트윈트리,경기 남양주시 고산로126번길 33-8,카페/찻집,5782
37,골목안채,경기 남양주시 다산중앙로82번안길 131-32,전문음식,5615
38,바닐라브릭,경기 남양주시 궁촌로 167-7,카페/찻집,5437
39,약수촌,경기 남양주시 금강로1521번길 70-0,전문음식,5431
40,전주장작불곰탕,경기 남양주시 경춘북로 736-0,한식,5373
41,봉커피,경기 남양주시 천마산로 110-0,카페/찻집,5321
42,세보수산남양주점,경기 남양주시 경춘로 934-0,전문음식,5295
43,감자옹심이,경기 남양주시 진관로501번길 14-0,한식,5293
44,끼리한우정육식당,경기 남양주시 안골로25번길 21-47,한식,5236
45,나인블럭뷰팔당점,경기 남양주시 다산로 56-0,카페/찻집,5147
46,팔당제빵소본점,경기 남양주시 경강로 872-0,간이음식,5131
47,기와집순두부조안본점,경기 남양주시 북한강로 133-0,한식,5092
48,대청마루,경기 남양주시 북한강로 1697-0,한식,5092
49,태릉허참갈비,경기 남양주시 불암산로 30-0,한식,5063
50,모밥[한식],경기 남양주시 북한강로1461번길 17-8,한식,5060
51,배양리두루치기본점,경기 남양주시 진관로 283-0,한식,5023
52,베이커리씨어터이석영광장점,경기 남양주시 경춘로 946-0,간이음식,4902
53,별미지교본점,경기 남양주시 비룡로 171-0,전문음식,4899
54,카펜트리,경기 남양주시 경복대로198번길 48-0,카페/찻집,4897
55,태능맥갈비,경기 남양주시 송산로 489-1,한식,4885
56,팔당초계국수본점,경기 남양주시 다산로 43-0,한식,4691
57,망향비빔국수별내점,경기 남양주시 불암로 307-0,한식,4570
58,삼봉푸줏간,경기 남양주시 북한강로 863-0,한식,4448
59,시가올비빔국수,경기 남양주시 고산로 196-0,한식,4416
60,쌍둥이해장국,경기 남양주시 경춘로 2026-0,한식,4365
61,스테이564,경기 남양주시 불암로 59-0,전문음식,4272
62,고모네콩탕,경기 남양주시 사릉로적성길 16-0,한식,4243
63,삼대째손두부,경기 남양주시 진건오남로 531-0,한식,4212
64,더하이브,경기 남양주시 경춘로2180번길 24-10,카페/찻집,4154
65,별내옥설농탕,경기 남양주시 송산로 294-7,한식,4040
66,새벽카페호르,경기 남양주시 청학로54번길 183-10,카페/찻집,4035
67,하백북한강점,경기 남양주시 북한강로 1136-0,카페/찻집,4017
68,장우가든,경기 남양주시 금강로 1586-0,한식,3995
69,철원양평해장국,경기 남양주시 경춘로 666-0,한식,3983
70,수인씨의마당,경기 남양주시 덕릉로 1115-49,한식,3914
71,버치,경기 남양주시 식송1로 19-0,전문음식,3914
72,생선시절,경기 남양주시 순화궁로 500-0,한식,3908
73,더늘봄,경기 남양주시 금강로 1845-0,한식,3843
74,브레드쏭,경기 남양주시 경강로926번길 15-0,카페/찻집,3829
75,살롱드팔당,경기 남양주시 경강로926번길 8-1,카페/찻집,3802
76,더베이커스가든화도본점,경기 남양주시 묵현로 178-0,간이음식,3758
77,돼지마을순대국,경기 남양주시 진벌로 57-0,한식,3688
78,개성집,경기 남양주시 경강로 876-0,한식,3652
79,강마을다람쥐덕소점,경기 남양주시 경강로 754-0,한식,3651
80,마약부대찌개,경기 남양주시 송산로 196-4,전문음식,3648
