순위,업소명,주소,분류,현지인 검색 수
1,진미옥설렁탕,경기 동두천시 생연로 185-1,한식,20264
2,호수식당부대찌개본점,경기 동두천시 중앙로 312-0,전문음식,11160
3,일미담,경기 동두천시 동광로 73-0,한식,9504
4,황주생고기,경기 동두천시 생연로 142-0,한식,5576
5,태화관[중식],경기 동두천시 생연로 171-0,외국식,3512
6,스타벅스동두천DT점,경기 동두천시 평화로 2254-0,카페/찻집,3475
7,맥도날드동두천지행DT점,경기 동두천시 평화로 2290-0,간이음식,3049
8,파인힐커피하우스,경기 동두천시 안흥로 65-34,카페/찻집,2906
9,아리랑갈비,경기 동두천시 평화로2261번길 36-0,한식,2628
10,충남칼국수,경기 동두천시 정장로 17-0,한식,2469
11,버거킹동두천DT점,경기 동두천시 평화로2261번길 2-0,간이음식,2397
12,그집순대국,경기 동두천시 장고갯로 157-0,한식,2385
13,미식,경기 동두천시 신천로231번길 35-11,한식,1977
14,핫피자,경기 동두천시 중앙로353번길 22-8,간이음식,1696
15,롯데리아동두천점,경기 동두천시 중앙로 270-0,간이음식,1584
16,올트커피,경기 동두천시 강변로430번길 10-0,카페/찻집,1520
17,할매우동,경기 동두천시 중앙로274번길 12-0,외국식,1456
18,오름,경기 동두천시 천보산로 675-22,카페/찻집,1434
19,산속비버스,경기 동두천시 쇠목길 378-0,전문음식,1426
20,빨간풍차과자점,경기 동두천시 동광로78번길 4-0,간이음식,1408
21,송월관,경기 동두천시 큰시장로 28-10,한식,1380
22,예지원,경기 동두천시 삼육사로 1142-0,한식,1308
23,굴사냥동두천점,경기 동두천시 거북마루로 1-0,한식,1224
24,중한반점[중식],경기 동두천시 생연로 157-2,외국식,1192
25,유정부대찌개,경기 동두천시 평화로 2718-0,전문음식,1188
26,동태한그릇,경기 동두천시 생연로 155-0,전문음식,1168
27,오도독,경기 동두천시 삼육사로 1324-25,전문음식,1164
28,거북이삼겹살,경기 동두천시 생연로 175-0,한식,1152
29,이담양평해장국,경기 동두천시 중앙로264번길 14-0,한식,1064
30,메가커피동두천점,경기 동두천시 중앙로 277-1,카페/찻집,992
31,도너츠윤동두천본점,경기 동두천시 벌마들로 26-24,간이음식,985
32,텍사스바베큐본점,경기 동두천시 중앙로 366-0,전문음식,920
33,하루방,경기 동두천시 중앙로 359-0,한식,888
34,이가만두전골,경기 동두천시 중앙로33번길 67-5,한식,883
35,왕방지기,경기 동두천시 탑동가산로 3-0,카페/찻집,750
36,동동갈비,경기 동두천시 어수로101번길 13-0,한식,746
37,삼복회집,경기 동두천시 생연로 188-0,전문음식,744
38,이디야커피동두천중앙역점,경기 동두천시 중앙로 278-0,카페/찻집,728
39,별별장어,경기 동두천시 강변서로 343-0,전문음식,670
40,나목,경기 동두천시 탑신로 222-0,카페/찻집,665
41,에버노크,경기 동두천시 평화로2349번길 43-0,카페/찻집,652
42,돈까스클럽동두천점,경기 동두천시 평화로 2150-0,전문음식,650
43,약수산장[한식],경기 동두천시 천보산로 619-0,한식,641
44,소요담,경기 동두천시 장고갯로 134-0,한식,635
45,으뜸만두분식,경기 동두천시,간이음식,584
46,올리앤동두천점,경기 동두천시 평화로2313번길 7-10,외국식,583
47,SUBWAY동두천점,경기 동두천시 지행로 81-0,간이음식,546
48,브레드타임,경기 동두천시 강변서로 339-30,간이음식,542
49,느티나무,경기 동두천시 지행로 175-5,한식,509
50,스타벅스지행역점,경기 동두천시 지행로 55-0,카페/찻집,503
51,커피폴,경기 동두천시 중앙로 279-0,카페/찻집,496
52,멜팅,경기 동두천시 천보산로 628-0,카페/찻집,477
53,신진부대찌개,경기 동두천시 중앙로 318-0,전문음식,472
54,어센틱,경기 동두천시 천보산로 697-0,카페/찻집,467
55,매초산성,경기 동두천시 삼육사로 1324-15,전문음식,454
56,라구,경기 동두천시 중앙로7번길 14-0,전문음식,449
57,둘리곱창,경기 동두천시 중앙로273번길 10-0,전문음식,448
58,생연식당,경기 동두천시 어수로 105-3,한식,447
59,행복한찜닭동두천점,경기 동두천시 장고갯로 100-0,전문음식,443
60,파리바게뜨동두천,경기 동두천시 중앙로 271-0,간이음식,440
61,항아리짬뽕[중식],경기 동두천시 중앙로33번길 52-0,외국식,439
62,오륙하우스,경기 동두천시 상패로 210-9,전문음식,436
63,평남면옥,경기 동두천시 생연로 127-0,한식,429
64,바다수퍼해물천하조개구이동두천점,경기 동두천시 평화로2313번길 17-2,전문음식,426
65,그집쭈꾸미,경기 동두천시 동우로 117-0,전문음식,402
66,핫피자앤버거,경기 동두천시 상패로216번길 16-0,간이음식,385
67,춘하추동,경기 동두천시 평화로 2413-8,한식,383
68,우리칼국수,경기 동두천시 중앙로298번길 6-9,한식,376
69,최강해물칼국수,경기 동두천시 평화로 2210-0,한식,372
70,우진보리골,경기 동두천시 아차노리로 88-0,한식,370
71,어사랑,경기 동두천시 평화로2349번길 18-7,전문음식,369
72,우다다,경기 동두천시 삼육사로1262번길 9-0,카페/찻집,367
73,어수정국수집본점,경기 동두천시 생연로 31-0,한식,358
74,마마스홈,경기 동두천시 중앙로33번길 97-13,외국식,344
75,개성집동두천점,경기 동두천시 신천로 133-0,한식,315
76,조선곰탕동두천점,경기 동두천시 강변로 890-0,한식,299
77,도미노피자동두천점,경기 동두천시 삼육사로 945-0,간이음식,298
77,별미냉면,경기 동두천시 거북마루로11번길 11-0,한식,298
79,투썸플레이스동두천지행역점,경기 동두천시 지행로 53-0,카페/찻집,292
80,카페동화,경기 동두천시 평화로 3008-0,카페/찻집,285
81,청수면옥,경기 동두천시 삼육사로 1043-0,한식,280
82,아가페해물칼국수손만두국,경기 동두천시 중앙로33번길 67-22,한식,270
82,파인힐다이닝하우스,경기 동두천시 안흥로 65-36,전문음식,270
84,원터부대찌개,경기 동두천시 생연로 173-1,전문음식,256
85,통큰갈비,경기 동두천시 장고갯로 44-0,한식,254
86,토가,경기 동두천시 평화로 2914-24,한식,253
87,광어의전설,경기 동두천시 지행로 12-0,전문음식,251
88,화로상회지행역점,경기 동두천시 평화로 2303-0,한식,247
89,한식뷔페담은,경기 동두천시 어수로106번길 32-0,전문음식,245
90,금락회참치[일식],경기 동두천시 평화로2313번길 50-0,외국식,243
91,항아리보쌈동두천점,경기 동두천시 평화로2313번길 7-26,전문음식,242
92,흙집,경기 동두천시 동광로 38-0,한식,240
93,다솜,경기 동두천시 안흥로270번길 140-0,한식,232
94,왕방명가,경기 동두천시 탑신로 124-0,한식,227
95,실비집,경기 동두천시 어수로 91-0,전문음식,221
96,신천한우마을,경기 동두천시 생연로19번길 32-17,한식,220
97,왕방산풀장가든,경기 동두천시 삼육사로 1662-9,한식,217
98,나능이버섯백숙지행점,경기 동두천시 평화로 2307-0,한식,209
99,킵인터치,경기 동두천시 이담로 151-13,카페/찻집,207
100,3일소고기국밥지행점,경기 동두천시 중앙로 134-22,한식,205
