순위,업소명,주소,분류,현지인 검색 수
1,케이헤밍웨이베이커리카페다이닝,경기 성남시 분당구 대왕판교로34번길 21-0,카페/찻집,49593
2,도넛드로잉,경기 성남시 분당구 대왕판교로 103-0,카페/찻집,43659
3,유치회관분당직영점,경기 성남시 분당구 대왕판교로 140-0,한식,39621
4,모아니,경기 성남시 분당구 쇳골로 116-0,카페/찻집,35547
5,구좌리얼크니손칼국수분당금곡직영점,경기 성남시 분당구 쇳골로 25-0,한식,23937
6,윤밀원,경기 성남시 분당구 백현로 154-0,전문음식,15288
7,장수천한방민물장어,경기 성남시 분당구 대왕판교로 282-0,전문음식,13761
8,헬로오드리,경기 성남시 분당구 석운로202번길 12-0,전문음식,13033
9,장모밥상[한식],경기 성남시 분당구 하오개로344번길 5-0,한식,12797
10,돈까스클럽분당금곡점,경기 성남시 분당구 대왕판교로 158-0,전문음식,12687
11,분당동치미막국수,경기 성남시 분당구 대왕판교로 110-0,한식,12609
12,감미옥본점,경기 성남시 분당구 탄천로 181-0,한식,12107
13,영동설렁탕,경기 성남시 분당구 대왕판교로 194-0,한식,11892
14,여기풍천민물장어,경기 성남시 분당구 대왕판교로 266-0,전문음식,11784
15,서현궁,경기 성남시 분당구 안골로 24-0,한식,10732
16,수래옥,경기 성남시 분당구 대왕판교로 275-0,한식,10458
17,능라도본점,경기 성남시 분당구 산운로32번길 12-0,한식,9323
18,그린그라스,경기 성남시 분당구 석운로202번길 1-0,카페/찻집,9210
19,입큰메기매운탕,경기 성남시 분당구 대왕판교로 104-0,한식,9189
20,파네트리 제과명장 김영모,경기 성남시 수정구 설개로14번길 23-0,간이음식,9091
21,청담추어정,경기 성남시 수정구 여수대로56번길 3-0,한식,8906
22,포크너분당점,경기 성남시 분당구 정자일로 21-0,외국식,8664
23,사카나야[일식],경기 성남시 분당구 쇳골로17번길 19-0,외국식,8580
24,뿅의전설야탑직영점 [중식],경기 성남시 분당구 야탑로139번길 2-0,외국식,8214
25,돌다방,경기 성남시 중원구 광명로 256-0,카페/찻집,8064
26,마키노차야판교점,경기 성남시 분당구 판교역로 145-0,전문음식,7862
27,카페랄로판교점,경기 성남시 분당구 하오개로 246-0,카페/찻집,7756
28,두향,경기 성남시 분당구 불곡남로 5-0,한식,7578
29,백현동카페거리,경기 성남시 분당구,음식점기타,7383
30,식구,경기 성남시 분당구 쇳골로 50-0,카페/찻집,7314
31,수미원[한식],경기 성남시 분당구 대왕판교로 350-0,한식,7137
32,카랑코에,경기 성남시 분당구 쇳골로 70-1,카페/찻집,6783
33,블루샹하이[중식],경기 성남시 분당구 정자일로 197-0,외국식,6570
34,백나예김밥,경기 성남시 분당구 돌마로 478-0,간이음식,6438
35,허연우의해누리한정식[한식],경기 성남시 분당구 대왕판교로 306-0,한식,6417
36,지글분당정자직영점,경기 성남시 분당구 정자일로 135-0,전문음식,6372
37,우설화판교점,경기 성남시 분당구 판교로 185-0,한식,6357
38,한소반쭈꾸미,경기 성남시 수정구 청계산로 589-0,전문음식,6230
39,앙토낭카렘,경기 성남시 분당구 불정로 380-0,간이음식,6093
40,축산삼다가,경기 성남시 분당구 대왕판교로 288-0,한식,6031
41,청계산장,경기 성남시 수정구 청계산로 442-0,한식,5822
42,여수바다장어,경기 성남시 분당구 궁내로7번길 15-0,전문음식,5805
43,청담추어정분당점,경기 성남시 분당구 판교로552번길 2-0,한식,5770
44,버터핑거팬케익스분당점,경기 성남시 분당구 정자일로 239-0,전문음식,5742
