순위,업소명,주소,분류,현지인 검색 수
1,스타벅스단대오거리역점,경기 성남시 중원구 산성대로 340-1,카페/찻집,13120
2,돌다방,경기 성남시 중원구 광명로 256-0,카페/찻집,8064
3,스타벅스성남모란DT점,경기 성남시 중원구 둔촌대로 131-0,카페/찻집,6029
4,스타벅스남한산성입구역점,경기 성남시 중원구 산성대로426번길 2-0,카페/찻집,2613
5,옥동갈비탕,경기 성남시 중원구 산성대로 332-2,한식,2512
6,뿅의전설본점 [중식],경기 성남시 중원구 광명로 300-0,외국식,2405
7,중동왕족발,경기 성남시 중원구 광명로256번길 6-0,전문음식,2384
8,롯데리아성남도촌점,경기 성남시 중원구 도촌로26번길 3-0,간이음식,1246
9,라드독,경기 성남시 중원구 마지로 130-5,카페/찻집,1025
10,유명갈매기,경기 성남시 중원구 양현로 469-0,한식,979
11,보통골식당,경기 성남시 중원구 보통골로 10-0,한식,930
12,정원숯불한우,경기 성남시 중원구 산성대로 136-0,한식,907
13,조마루감자탕성남점,경기 성남시 중원구 금상로 28-1,한식,881
14,태능골,경기 성남시 중원구 둔촌대로 269-0,한식,829
15,메가커피성남제일초교점,경기 성남시 중원구 시민로 66-0,카페/찻집,704
16,덕원생고기,경기 성남시 중원구 둔촌대로 305-0,한식,656
17,오대오바지락칼국수,경기 성남시 중원구 순환로 467-0,한식,585
18,맛찬들왕소금구이모란점,경기 성남시 중원구 둔촌대로101번길 16-7,한식,550
19,덕발장,경기 성남시 중원구 도촌로7번길 3-13,외국식,521
20,SUBWAY성남시청점,경기 성남시 중원구 성남대로997번길 51-20,간이음식,507
21,도미노피자성남수진점,경기 성남시 중원구 산성대로 200-0,간이음식,499
22,피어몬트,경기 성남시 중원구 둔촌대로64번길 4-7,카페/찻집,483
23,힘난다버거신흥점,경기 성남시 중원구 시민로 66-0,간이음식,480
24,오와스시성남시청점,경기 성남시 중원구 성남대로997번길 25-7,외국식,473
25,카페베네성남수진역점,경기 성남시 중원구 산성대로 208-0,카페/찻집,437
26,철뚝집본점,경기 성남시 중원구 공원로320번길 22-0,한식,424
27,빽다방단대오거리역점,경기 성남시 중원구 산성대로 354-0,카페/찻집,384
28,국가대표생바지락칼국수,경기 성남시 중원구 여수울로15번길 4-4,한식,379
29,이디야커피성남skn테크노파크점,경기 성남시 중원구 사기막골로 124-0,카페/찻집,375
30,등촌샤브칼국수모란점,경기 성남시 중원구 광명로42번길 15-0,전문음식,371
31,시골산장,경기 성남시 중원구 마지로 120-0,한식,360
32,BBQ성남중앙점,경기 성남시 중원구 광명로 242-3,간이음식,352
32,파리바게뜨성남중동점,경기 성남시 중원구 산성대로 352-0,간이음식,352
34,수타손짬뽕고수[중식],경기 성남시 중원구 성남대로997번길 51-4,외국식,347
35,홍갈비,경기 성남시 중원구 희망로 404-0,한식,324
36,히든오아시스,경기 성남시 중원구 둔촌대로 181-0,카페/찻집,315
37,홍콩중화요리[중식],경기 성남시 중원구 광명로 62-0,외국식,310
38,배스킨라빈스성남도촌점,경기 성남시 중원구 도촌로7번길 3-3,간이음식,304
39,모젤온더테이블,경기 성남시 중원구 둔촌대로64번길 4-3,카페/찻집,303
40,도원성남점,경기 성남시 중원구 둔촌대로 464-0,외국식,300
41,한주칼국수,경기 성남시 중원구 둔촌대로 249-0,한식,284
42,SUBWAY성남단대오거리역점,경기 성남시 중원구 산성대로372번길 10-0,간이음식,281
43,김서방족발,경기 성남시 중원구 둔촌대로 403-0,전문음식,279
44,투썸플레이스성남시청점,경기 성남시 중원구 양현로 409-0,카페/찻집,267
44,도미노피자성남상대원점,경기 성남시 중원구 금상로 27-0,간이음식,267
46,화리화리성남시청점,경기 성남시 중원구 성남대로997번길 27-18,한식,265
47,원두막,경기 성남시 중원구 마지로 284-0,한식,261
48,보릿고개분당점,경기 성남시 중원구 성남대로997번길 51-0,한식,253
49,롯데리아성남테크노밸리점,경기 성남시 중원구 사기막골로 124-0,간이음식,251
50,돈사돈경기본점,경기 성남시 중원구 제일로 25-0,한식,244
51,종가대박집금광점,경기 성남시 중원구 금상로112번길 2-0,한식,241
52,파리바게뜨성남도촌점,경기 성남시 중원구 도촌로 8-0,간이음식,235
53,연수식당,경기 성남시 중원구 마지로 148-1,한식,234
54,이디야커피성남동점,경기 성남시 중원구 둔촌대로 115-0,카페/찻집,226
55,맘모스제과,경기 성남시 중원구 둔촌대로526번길 8-0,간이음식,223
56,피자헛남한산성2호점,경기 성남시 중원구 산성대로472번길 1-0,간이음식,220
57,수진분식성남중앙지하쇼핑몰점,경기 성남시 중원구 산성대로 지하 204-5,간이음식,219
58,애디아플라워,경기 성남시 중원구 여수울로15번길 22-2,카페/찻집,217
59,앞뜰,경기 성남시 중원구 성남대로1048번길 36-8,전문음식,213
60,대장부모란점,경기 성남시 중원구 둔촌대로113번길 13-0,외국식,211
61,정가네어죽마을본점,경기 성남시 중원구 산성대로 414-0,한식,208
62,친절생고기전문점,경기 성남시 중원구 광명로 25-1,한식,198
63,고려왕족발,경기 성남시 중원구 제일로35번길 56-0,전문음식,196
64,뚜레쥬르남한산성역,경기 성남시 중원구 산성대로 474-0,간이음식,192
64,자가제빵선명희피자성남중앙점,경기 성남시 중원구 산성대로 330-4,간이음식,192
66,신사골옛날감자탕대원점,경기 성남시 중원구 희망로 315-0,한식,191
67,교정앞분식도촌점,경기 성남시 중원구 도촌로7번길 4-1,간이음식,189
68,이성범베이커리,경기 성남시 중원구 금상로 80-0,간이음식,188
69,롯데리아성남상대원점,경기 성남시 중원구 희망로 348-0,간이음식,187
70,탐앤탐스을지대점,경기 성남시 중원구 산성대로 556-0,카페/찻집,183
71,뚱뚜루성남시청본점,경기 성남시 중원구 성남대로997번길 25-11,한식,179
72,이차돌단대오거리점,경기 성남시 중원구 산성대로 346-0,한식,176
73,두부진미본점,경기 성남시 중원구 성남대로997번길 51-5,전문음식,174
74,등갈비달인모란본점,경기 성남시 중원구 제일로35번길 52-0,한식,170
75,뚜레쥬르모란역점,경기 성남시 중원구 성남대로 1132-0,간이음식,163
76,막썰어횟집,경기 성남시 중원구 산성대로 326-2,전문음식,160
77,떡볶이닷컴,경기 성남시 중원구 원터로106번길 2-0,간이음식,158
78,장군보쌈족발모란점,경기 성남시 중원구 둔촌대로 101-0,전문음식,157
79,인스앤슬라임성남점,경기 성남시 중원구 도촌남로 37-0,카페/찻집,155
80,던킨성남하대원점,경기 성남시 중원구 둔촌대로 274-0,간이음식,154
81,스시미니,경기 성남시 중원구 산성대로 470-0,외국식,153
82,세가지,경기 성남시 중원구 둔촌대로64번길 4-4,카페/찻집,148
83,김과장고깃집,경기 성남시 중원구 성남대로1130번길 21-0,한식,145
84,카페정순,경기 성남시 중원구 제일로35번길 37-0,카페/찻집,141
84,철뚝집성남본점,경기 성남시 중원구 광명로 95-0,한식,141
86,난능이넌옻닭,경기 성남시 중원구 둔촌대로113번길 2-0,한식,139
87,명륜진사갈비성남은행점,경기 성남시 중원구 은이로 6-0,한식,138
88,가마솥전통백암순대성남본점,경기 성남시 중원구 산성대로350번길 7-0,한식,136
88,BHC성남중앙동점,경기 성남시 중원구 산성대로334번길 8-1,간이음식,136
90,정가네황제손짬뽕[중식],경기 성남시 중원구 둔촌대로64번길 4-6,외국식,134
91,군산회관,경기 성남시 중원구 광명로 81-0,한식,131
92,삼천포횟집,경기 성남시 중원구 성남대로997번길 27-15,전문음식,129
92,무봉리토종순대국,경기 성남시 중원구 둔촌대로 196-0,한식,129
94,면통단,경기 성남시 중원구 성남대로997번길 51-2,간이음식,125
94,카페라리성남시청점,경기 성남시 중원구 양현로405번길 13-0,카페/찻집,125
96,대령숙수추어탕본점,경기 성남시 중원구 둔촌대로 369-0,한식,123
96,설빙모란점,경기 성남시 중원구 광명로 4-0,카페/찻집,123
98,한촌설렁탕성남시청점,경기 성남시 중원구 양현로405번길 14-0,한식,120
98,단정숯불갈비,경기 성남시 중원구 마지로 286-0,한식,120
100,다맛식당한라시그마밸리 본점,경기 성남시 중원구 둔촌대로 545-0,한식,118
