순위,업소명,주소,분류,현지인 검색 수
1,맥도날드수원정자DT점,경기 수원시 장안구 수성로 267-0,간이음식,11324
2,스타벅스북수원IC DT점,경기 수원시 장안구 경수대로 1038-0,카페/찻집,6818
3,이학순베이커리수원점,경기 수원시 장안구 경수대로 1252-0,간이음식,6371
4,길림성[중식],경기 수원시 장안구 송원로 2-0,외국식,5868
5,스타벅스수원천천점,경기 수원시 장안구 덕영대로535번길 46-0,카페/찻집,4860
6,북문유치회관,경기 수원시 장안구 수성로340번길 59-0,한식,4616
7,맥도날드북수원DT점,경기 수원시 장안구 경수대로 991-0,간이음식,4358
8,백세삼계탕본점,경기 수원시 장안구 경수대로 1200-0,한식,4352
9,스타벅스수원정자사거리DT점,경기 수원시 장안구 수성로 291-0,카페/찻집,4218
10,본만두,경기 수원시 장안구 정자로 16-0,한식,3528
11,제철쌈밥[한식],경기 수원시 장안구 파장천로44번길 28-0,한식,3184
12,돈까스클럽북수원점,경기 수원시 장안구 경수대로1107번길 6-0,전문음식,3101
13,우리동네스시신조,경기 수원시 장안구 만석로19번길 25-5,외국식,3060
14,팔당냉면수원정자점,경기 수원시 장안구 대평로 140-0,한식,3034
15,강남면옥수원점,경기 수원시 장안구 이목로74번길 17-0,한식,2995
16,폴바셋북수원IC DT점,경기 수원시 장안구 경수대로 1121-0,카페/찻집,2977
17,홍익돈까스천천점,경기 수원시 장안구 정자로41번길 13-0,전문음식,2942
18,산이내린밥상곤드레밥집[한식],경기 수원시 장안구 장안로346번길 8-0,한식,2704
19,백세짬뽕[중식],경기 수원시 장안구 경수대로 1196-3,외국식,2542
20,신사강정육점식당,경기 수원시 장안구 정조로1088번길 11-0,한식,2487
20,스타벅스수원연무DT점,경기 수원시 장안구 창룡대로 171-0,카페/찻집,2487
22,보영만두북문본점,경기 수원시 장안구 팔달로 271-0,한식,2399
23,버거킹수원정자점,경기 수원시 장안구 이목로 24-3,간이음식,2288
24,버거킹송죽DT점,경기 수원시 장안구 경수대로 992-0,간이음식,2166
25,소담촌수원정자점,경기 수원시 장안구 정자천로 171-0,한식,2108
26,용성통닭만석공원직영점,경기 수원시 장안구 만석로 169-0,간이음식,2060
27,커피빈수원송죽DT점,경기 수원시 장안구 경수대로 989-0,카페/찻집,2031
28,도미노피자율천점,경기 수원시 장안구 하률로 3-0,간이음식,1888
29,풍어생선구이정식,경기 수원시 장안구 천천로210번길 17-12,한식,1832
30,사강식당,경기 수원시 장안구 팔달로 301-0,한식,1768
31,돈수백북수원점,경기 수원시 장안구 경수대로 880-0,한식,1730
32,김경자소문난대구왕뽈찜본점,경기 수원시 장안구 경수대로973번길 13-17,한식,1622
33,북수원화로,경기 수원시 장안구 천천로 233-0,한식,1527
33,백세삼계탕수원조원점,경기 수원시 장안구 경수대로 851-0,한식,1527
35,서동진의커피랩본점,경기 수원시 장안구 경수대로878번길 10-24,카페/찻집,1440
36,초장집정자점,경기 수원시 장안구 수성로 331-0,전문음식,1423
37,리틀본수원갈비집,경기 수원시 장안구 정조로933번길 20-0,한식,1391
38,예전각설렁탕본점,경기 수원시 장안구 경수대로 813-0,한식,1362
39,그집쭈꾸미볶음,경기 수원시 장안구 만석로 183-0,전문음식,1314
40,하한정수원점,경기 수원시 장안구 경수대로994번길 8-0,한식,1301
41,뚜레쥬르수원정자점,경기 수원시 장안구 대평로 80-0,간이음식,1296
42,그집해장국,경기 수원시 장안구 송정로 142-0,한식,1276
43,스타벅스수원성균관대점,경기 수원시 장안구 서부로 2131-0,카페/찻집,1258
44,형제농원,경기 수원시 장안구 광교산로 537-13,한식,1223
45,우전옥간장게장수원본점,경기 수원시 장안구 파장천로 94-0,전문음식,1210
46,이학순베이커리대유평공원점,경기 수원시 장안구 수성로 195-0,간이음식,1207
47,SUBWAY수원천천점,경기 수원시 장안구 만석로19번길 11-2,간이음식,1192
48,낙원갈비집북수원점,경기 수원시 장안구 경수대로 1036-2,한식,1185
49,청담생고기,경기 수원시 장안구 광교산로 18-0,한식,1104
50,천포천천점,경기 수원시 장안구 덕영대로511번길 29-15,전문음식,1094
51,굴섬,경기 수원시 장안구 송원로86번길 53-0,전문음식,1086
51,맥도날드수원성균관대점,경기 수원시 장안구 서부로 2127-0,간이음식,1086
53,백운농장,경기 수원시 장안구 광교산로 564-0,한식,1080
54,떡먹기좋은날,경기 수원시 장안구 장안로103번길 32-0,간이음식,1066
55,고기 굽는 혀누네,경기 수원시 장안구 장안로 342-0,한식,1057
56,파리바게뜨정자동신점,경기 수원시 장안구 장안로 232-0,간이음식,1044
57,남원추어탕,경기 수원시 장안구 장안로 353-0,한식,1030
58,투썸플레이스북수원정자타운점,경기 수원시 장안구 정자천로 171-0,카페/찻집,1029
59,까삐네손칼국수,경기 수원시 장안구 송정로 161-0,한식,996
60,롯데리아수원정자점,경기 수원시 장안구 정자천로173번길 17-0,간이음식,990
61,유유진진,경기 수원시 장안구 덕영대로497번길 14-17,카페/찻집,978
