순위,업소명,주소,분류,현지인 검색 수
1,가보정갈비본관(1관),경기 수원시 팔달구 장다리로 282-0,한식,14309
2,유치회관본점,경기 수원시 팔달구 효원로292번길 67-0,한식,13775
3,본수원갈비본점,경기 수원시 팔달구 중부대로223번길 41-0,한식,7408
4,긴자수원인계점 [일식],경기 수원시 팔달구 경수대로 494-0,외국식,4733
5,버거킹수원인계DT점,경기 수원시 팔달구 경수대로 501-0,간이음식,4198
6,맥도날드수원인계DT점,경기 수원시 팔달구 권광로 261-0,간이음식,4032
7,고등반점[중식],경기 수원시 팔달구 팔달로52번길 43-0,외국식,3894
8,이나경송탄부대찌개,경기 수원시 팔달구 효원로307번길 47-0,전문음식,3793
9,스타벅스수원인계DT점,경기 수원시 팔달구 인계로94번길 3-0,카페/찻집,3749
10,맥도날드수원화성DT점,경기 수원시 팔달구 경수대로 676-0,간이음식,3490
11,마포본가본점,경기 수원시 팔달구 경수대로519번길 10-0,한식,3025
12,스타벅스동수원DT점,경기 수원시 팔달구 중부대로 161-0,카페/찻집,2889
13,커피스미스 드래프트수원인계점,경기 수원시 팔달구 효원로265번길 54-0,카페/찻집,2853
14,VIPS아주대점,경기 수원시 팔달구 중부대로 233-0,전문음식,2683
15,진미통닭,경기 수원시 팔달구 정조로800번길 21-0,간이음식,2667
16,이모네손칼국수,경기 수원시 팔달구 중부대로223번길 20-7,한식,2545
17,오리대가,경기 수원시 팔달구 경수대로565번길 27-0,전문음식,2316
18,로마경양식,경기 수원시 팔달구 경수대로 549-0,전문음식,2280
19,달보드레[한식],경기 수원시 팔달구 월드컵로 310-0,한식,2279
20,양평해장국수원본점,경기 수원시 팔달구 경수대로466번길 51-0,한식,2258
21,매향통닭,경기 수원시 팔달구 창룡대로 12-0,간이음식,2245
22,평장원본점,경기 수원시 팔달구 인계로108번길 23-0,한식,2220
23,백청우칼국수,경기 수원시 팔달구 장다리로 253-0,한식,2183
24,스타벅스수원경수인계DT점,경기 수원시 팔달구 경수대로 499-0,카페/찻집,2128
25,어반벨리801,경기 수원시 팔달구 인계로94번길 39-22,카페/찻집,2110
26,연포갈비,경기 수원시 팔달구 정조로906번길 56-1,한식,1885
27,옥동이[중식],경기 수원시 팔달구 장다리로 231-0,외국식,1824
28,KFC수원인계DT점,경기 수원시 팔달구 인계로 98-0,간이음식,1700
29,강원도막국수,경기 수원시 팔달구 갓매산로 70-0,한식,1696
30,스타벅스수원KBS DT점,경기 수원시 팔달구 권광로 265-0,카페/찻집,1666
31,짬뽕지존인계점 [중식],경기 수원시 팔달구 권광로207번길 10-0,외국식,1620
32,태화장본점,경기 수원시 팔달구 아주로13번길 22-0,한식,1618
33,플로렌스파티하우스수원점,경기 수원시 팔달구 효원로 295-0,전문음식,1617
34,용성통닭,경기 수원시 팔달구 정조로800번길 15-0,간이음식,1552
35,가보정갈비2관,경기 수원시 팔달구 장다리로 281-0,한식,1543
36,엔제리너스수원인계점,경기 수원시 팔달구 권광로 187-0,카페/찻집,1532
37,크리스피크림도넛수원인계점,경기 수원시 팔달구 권광로 200-0,간이음식,1531
38,광명수산수원역점,경기 수원시 팔달구 갓매산로 38-0,전문음식,1483
