순위,업소명,주소,분류,현지인 검색 수
1,아웃백스테이크하우스안산고잔점,경기 안산시 단원구 당곡로 11-0,전문음식,28616
2,다이닝원안산점,경기 안산시 단원구 고잔2길 41-0,전문음식,23952
3,경복궁안산점,경기 안산시 단원구 광덕대로 250-0,한식,18512
4,맥도날드안산고잔DT점,경기 안산시 단원구 광덕3로 145-3,간이음식,18398
5,영월애곤드레안산점 [한식],경기 안산시 단원구 당곡로 33-0,한식,17624
6,소담촌안산중앙역점,경기 안산시 단원구 고잔1길 16-0,전문음식,15216
7,정든닭발안산본점,경기 안산시 단원구 고잔1길 57-0,전문음식,14408
8,스타벅스안산고잔센트럴타워점,경기 안산시 단원구 고잔로 72-0,카페/찻집,13168
9,버거킹안산중앙역점,경기 안산시 단원구 중앙대로 927-0,간이음식,12296
10,맥도날드안산,경기 안산시 단원구 당곡로 12-0,간이음식,10080
11,더퍼스트클래스파티하우스안산점,경기 안산시 단원구 고잔2길 41-0,전문음식,9872
12,고구려안산점,경기 안산시 단원구 광덕대로 250-0,한식,9136
13,마이어스안산점,경기 안산시 단원구 화랑로 260-0,전문음식,8523
14,상무초밥안산중앙점,경기 안산시 단원구 당곡로 10-0,외국식,8518
15,스타벅스안산중앙역점,경기 안산시 단원구 중앙대로 907-0,카페/찻집,8432
16,스타벅스안산중앙점,경기 안산시 단원구 고잔로 102-0,카페/찻집,8360
17,삿뽀로안산점,경기 안산시 단원구 광덕대로 250-0,외국식,8240
18,KFC안산중앙점,경기 안산시 단원구 고잔1길 16-0,간이음식,6200
19,그릴룸,경기 안산시 단원구 당곡로 33-0,한식,5744
20,발리다,경기 안산시 단원구 구봉타운길 57-0,카페/찻집,5336
21,라라코스트안산중앙점,경기 안산시 단원구 고잔2길 41-0,전문음식,4992
22,노성일참치,경기 안산시 단원구 당곡로 33-0,전문음식,4920
23,김가네낙지전문점,경기 안산시 단원구 당곡로 33-0,전문음식,4752
24,북경[중식],경기 안산시 단원구 화랑로 402-0,외국식,4736
25,장수촌,경기 안산시 단원구 쑥개길 21-1,한식,4261
26,24시맵돈,경기 안산시 단원구 고잔1길 53-0,한식,4160
27,디어라이,경기 안산시 단원구 예술대학로3길 18-0,카페/찻집,4072
28,한짬뽕신길점 [중식],경기 안산시 단원구 신길중앙로5길 2-0,외국식,3949
29,별난곱창,경기 안산시 단원구 고잔2길 73-0,전문음식,3944
30,맛찬들3.5왕소금구이안산중앙점,경기 안산시 단원구 중앙대로 895-0,한식,3472
31,포도밭할머니손칼국수전문점,경기 안산시 단원구 대부황금로 1396-0,한식,3330
32,서가앤쿡안산중앙점,경기 안산시 단원구 고잔1길 17-0,전문음식,3320
33,신선설농탕안산중앙점,경기 안산시 단원구 당곡로 12-0,한식,3301
34,빈체로고잔본점,경기 안산시 단원구 당곡로 11-0,외국식,3296
35,조선갈비안산선부점,경기 안산시 단원구 선부광장로 77-0,한식,3059
36,야자수브런치베이커리카페,경기 안산시 단원구 시화호수로841번길 6-10,전문음식,2836
37,데미안,경기 안산시 단원구 중앙대로 194-0,간이음식,2812
38,인더비엣,경기 안산시 단원구 광덕대로 174-0,외국식,2726
39,명장시대안산점,경기 안산시 단원구 원포공원2로 6-0,간이음식,2723
40,모다이노칩,경기 안산시 단원구 동산로27번길 42-7,음식점기타,2641
41,돈까스클럽안산선부점,경기 안산시 단원구 금화로 12-0,전문음식,2620
42,스타벅스안산상공회의소점,경기 안산시 단원구 적금로 120-0,카페/찻집,2400
43,낙원타코안산중앙점,경기 안산시 단원구 고잔2길 45-0,외국식,2368
44,카페유일,경기 안산시 단원구 꽃우물1길 16-4,카페/찻집,2358
45,뽁식당고잔점,경기 안산시 단원구 광덕대로 151-0,전문음식,2340
46,화련[중식],경기 안산시 단원구 고잔로 54-0,외국식,2290
47,대부옥수수찐빵,경기 안산시 단원구 대선로 275-0,간이음식,2241
48,신화장어,경기 안산시 단원구 달미로 138-0,전문음식,2212
49,마루샤브안산고잔점,경기 안산시 단원구 광덕대로 130-0,전문음식,2204
50,배터지는집,경기 안산시 단원구 구봉길 6-0,한식,2093
51,스시일기,경기 안산시 단원구 고잔1길 69-0,외국식,2088
52,영의정[한식],경기 안산시 단원구 광덕대로 138-0,한식,2065
53,16호원조할머니손칼국수,경기 안산시 단원구 대선로 10-0,한식,2023
