순위,업소명,주소,분류,현지인 검색 수
1,약수터식당,경기 안성시 만세로 667-0,전문음식,4478
2,안성장터국밥,경기 안성시 구례골길 170-17,한식,4322
3,스타벅스안성석정DT점,경기 안성시 중앙로 308-0,카페/찻집,4126
4,보나카바안성점,경기 안성시 보개원삼로 165-20,전문음식,4075
5,무대베이커리카페,경기 안성시 샛터길 106-12,카페/찻집,3846
6,안일옥본점,경기 안성시 중앙로411번길 20-0,한식,3748
7,버거킹안성공도DT점,경기 안성시 서동대로 4294-0,간이음식,3536
8,카이로스,경기 안성시 반제호수길 40-0,카페/찻집,3042
9,로스터스정진원의커피볶는집,경기 안성시 만세로 1113-0,카페/찻집,2851
10,소나무향기,경기 안성시 안성맞춤대로 2184-5,한식,2797
11,두리봉시골청국장,경기 안성시 보삼로 102-0,한식,2794
12,그루터기,경기 안성시 덕봉서원로 265-0,한식,2772
13,스타벅스안성계동DT점,경기 안성시 안성맞춤대로 803-0,카페/찻집,2730
14,삼동소바안성평택점,경기 안성시 만세로 1294-11,외국식,2644
15,백제갈비평택점,경기 안성시 만세로 1443-8,한식,2599
16,파크엘림,경기 안성시 주래본죽로 124-26,한식,2550
17,에메랄드그린,경기 안성시 칠곡호수길 22-0,카페/찻집,2534
18,홍익돈까스안성점,경기 안성시 중앙로 134-0,전문음식,2446
19,청류재커피,경기 안성시 동문이길 14-17,카페/찻집,2327
20,맛집막국수,경기 안성시 안성대로 2126-0,한식,2242
21,웬디의하루,경기 안성시 상마정길 49-0,카페/찻집,2158
21,궁중해물탕양성본점,경기 안성시 만세로 673-0,한식,2158
23,카페멜멜,경기 안성시 칠곡호수길 67-5,카페/찻집,2123
24,스타벅스안성공도DT점,경기 안성시 서동대로 4489-0,카페/찻집,2065
25,안성한우축산물프라자,경기 안성시 안성맞춤대로 833-0,한식,2059
26,태웅이네막국수,경기 안성시 안성맞춤대로 2289-11,한식,2041
27,고삼묵밥,경기 안성시 무수개울말길 21-0,한식,1955
28,로스가든카페앤비노,경기 안성시 미리내성지로 299-8,카페/찻집,1896
29,삼은40,경기 안성시 삼은길 40-0,카페/찻집,1888
30,장안면옥,경기 안성시 중앙로371번길 54-0,한식,1808
31,진아짬뽕[중식],경기 안성시 덕봉서원로 310-0,외국식,1779
32,모스트417,경기 안성시 만세로 959-3,카페/찻집,1773
33,칠곡해물손칼국수,경기 안성시 만세로 1090-0,한식,1746
34,백년손님서서갈비공도직영점,경기 안성시 서동대로 4499-1,한식,1710
35,하루평택점,경기 안성시 대소길 16-0,외국식,1668
36,개성상황버섯삼계탕,경기 안성시 안성맞춤대로 838-0,한식,1666
37,파주옥미리내직영점,경기 안성시 안성맞춤대로 2289-11,한식,1662
38,남포동직화쭈꾸미본점,경기 안성시 문터길 16-6,전문음식,1658
39,모박사부대찌개본점,경기 안성시 서동대로 4653-0,전문음식,1657
40,머크일렉트로닉머티리얼즈,경기 안성시 협동단지길 50-14,음식점기타,1543
41,로스터스정진원의커피볶는집해링턴점,경기 안성시 진건중길 114-77,카페/찻집,1527
42,길쉐프베이커리,경기 안성시 공도2로 3-5,간이음식,1524
43,세영이네[한식],경기 안성시 녹배길 111-4,한식,1518
44,노곡정육점식당,경기 안성시 안성맞춤대로 2277-0,한식,1427
45,이소가든,경기 안성시 양성로 135-0,한식,1423
46,고기요기,경기 안성시 관산길 14-1,전문음식,1418
47,거목산장,경기 안성시 도곡길 34-15,전문음식,1413
48,대림동산컨벤션웨딩홀,경기 안성시 대림동산길 51-0,전문음식,1406
