순위,업소명,주소,분류,현지인 검색 수
1,마벨리에평촌점,경기 안양시 동안구 관평로 175-0,전문음식,17856
2,맥도날드안양비산DT점,경기 안양시 동안구 경수대로 839-0,간이음식,9925
3,맥도날드평촌호계,경기 안양시 동안구 평촌대로 137-0,간이음식,7192
4,버거킹평촌금성GS점,경기 안양시 동안구 시민대로 325-0,간이음식,6703
5,M365,경기 안양시 동안구 시민대로365번길 21-0,카페/찻집,5696
6,스타벅스평촌역DT점,경기 안양시 동안구 시민대로 373-0,카페/찻집,5627
7,스타벅스안양비산DT점,경기 안양시 동안구 경수대로 821-0,카페/찻집,5400
8,인덕원비빔국수안양본점,경기 안양시 동안구 안양판교로 25-0,한식,5256
9,아웃백스테이크하우스안양평촌점,경기 안양시 동안구 시민대로 214-0,전문음식,4963
10,스타벅스안양운동장사거리DT점,경기 안양시 동안구 관악대로 234-0,카페/찻집,4918
11,VIPS프리미어비산점,경기 안양시 동안구 관악대로 201-0,전문음식,4091
12,장수옥설렁탕,경기 안양시 동안구 경수대로 499-0,한식,4049
13,스타벅스안양호계DT점,경기 안양시 동안구 엘에스로 27-0,카페/찻집,4015
14,크래버대게나라안양점,경기 안양시 동안구 관평로 186-0,전문음식,3722
15,경복궁평촌점 [한식],경기 안양시 동안구 시민대로 260-0,한식,3484
16,비소원,경기 안양시 동안구 관악대로 415-0,한식,3376
17,버거킹평촌학원가점,경기 안양시 동안구 평촌대로 112-0,간이음식,3345
18,스타벅스안양석수DT점,경기 안양시 만안구 경수대로 1397-0,카페/찻집,3256
19,스타벅스평촌호계점,경기 안양시 동안구 평촌대로 123-0,카페/찻집,3240
20,팔덕식당안양본점,경기 안양시 동안구 관양로 81-0,한식,3127
21,던킨안양공장,경기 안양시 동안구 엘에스로91번길 32-0,간이음식,2834
22,진라이평촌점 [중식],경기 안양시 동안구 관평로 186-0,외국식,2814
23,정성담안양점,경기 안양시 동안구 관악대로 249-0,한식,2774
24,하츠베이커리안양점,경기 안양시 동안구 관악대로 450-0,간이음식,2758
25,홍익돈까스안양점,경기 안양시 동안구 평촌대로476번길 44-0,전문음식,2705
26,에버그린,경기 안양시 동안구 인덕원로 29-16,전문음식,2616
27,쌈도둑,경기 안양시 만안구 삼막로 67-0,한식,2606
28,채선당플러스안양시청점,경기 안양시 동안구 시민대로 230-0,전문음식,2528
29,버거킹안양관양점,경기 안양시 동안구 관악대로 312-0,간이음식,2333
30,건강밥상심마니평촌점,경기 안양시 동안구 시민대로 260-0,한식,2310
31,소담촌평촌직영점,경기 안양시 동안구 흥안대로 467-0,전문음식,2301
32,백년지기삼계탕평촌점,경기 안양시 동안구 갈산로44번길 44-0,한식,2299
33,관악관,경기 안양시 동안구 평촌대로 367-0,한식,2296
34,평촌먹거리촌,경기 안양시 동안구,음식점기타,2235
35,흥부가[한식],경기 안양시 만안구 삼막로 34-15,한식,2211
36,스타벅스안양덕현DT점,경기 안양시 동안구 흥안대로 139-0,카페/찻집,2138
37,삿뽀로평촌점 [일식],경기 안양시 동안구 시민대로 260-0,외국식,2118
38,송도갈비안양점,경기 안양시 동안구 관악대로 263-0,한식,2083
39,위스크,경기 안양시 동안구 시민대로327번길 12-6,전문음식,2070
40,시그니쳐로스터스,경기 안양시 동안구 평촌대로127번길 88-0,카페/찻집,2068
41,화진가든,경기 안양시 만안구 안양로 468-0,한식,2062
42,우루루[중식],경기 안양시 동안구 학의로 196-0,외국식,2037
43,분분,경기 안양시 동안구 동편로27번길 17-0,외국식,1977
44,더베로니스,경기 안양시 동안구 벌말로 126-0,전문음식,1919
45,삼막칡냉면,경기 안양시 만안구 삼막로39번길 39-0,한식,1881
46,양촌리만안점,경기 안양시 만안구 안양로 204-0,한식,1858
47,부산복칼국수,경기 안양시 동안구 귀인로190번길 61-21,한식,1852
48,베베앙쥬 베이비카페,경기 안양시 동안구 시민대로 272-0,카페/찻집,1844
49,브런치빈안양평촌점,경기 안양시 동안구 시민대로 230-0,전문음식,1820
49,두꺼비부대찌개,경기 안양시 만안구 안양로147번길 11-0,전문음식,1820
51,곰이네고래빵,경기 안양시 동안구 동편로49번길 19-0,간이음식,1799
52,긴자안양인덕원점 [일식],경기 안양시 동안구 흥안대로 402-0,외국식,1795
53,산마을민속촌[한식],경기 안양시 동안구 평촌대로476번길 56-0,한식,1732
54,천지연인덕원점,경기 안양시 동안구 흥안대로 402-0,한식,1694
55,이학순베이커리평촌점,경기 안양시 동안구 평촌대로 107-0,간이음식,1678
56,스타벅스평촌로데오점,경기 안양시 동안구 관평로 182-0,카페/찻집,1674
57,한송정평촌점,경기 안양시 동안구 부림로 156-0,한식,1669
58,정통춘천닭갈비,경기 안양시 동안구 귀인로190번길 39-43,전문음식,1665
59,여자수산비산점,경기 안양시 동안구 관악대로 76-0,전문음식,1661
60,비산누룽지백숙,경기 안양시 동안구 평촌대로 474-0,한식,1647
61,보리수[한식],경기 안양시 만안구 예술공원로103번길 91-0,한식,1613
62,만복순대국,경기 안양시 만안구 양화로 159-0,한식,1612
63,두루터,경기 안양시 만안구 병목안로 286-0,한식,1585
64,한스평촌점,경기 안양시 동안구 관평로170번길 43-0,간이음식,1572
65,희래등호계점 [중식],경기 안양시 동안구 경수대로 588-0,외국식,1570
66,팥선생,경기 안양시 동안구 동안로 263-0,간이음식,1562
67,외길수산,경기 안양시 동안구 시민대로 272-0,전문음식,1546
68,송도갈비인덕원점,경기 안양시 동안구 흥안대로 402-0,한식,1542
69,명륜진사갈비안양평촌점,경기 안양시 동안구 관평로170번길 33-0,한식,1528
70,스팀하우스관양점,경기 안양시 동안구 인덕원로 19-2,외국식,1526
71,포항물회,경기 안양시 동안구 경수대로 829-0,한식,1516
72,롯데리아평촌주공공이점,경기 안양시 동안구 관평로170번길 33-0,간이음식,1514
73,황도바지락칼국수,경기 안양시 동안구 경수대로 695-1,한식,1475
74,원조장어가,경기 안양시 동안구 관양로 111-0,전문음식,1464
75,우당,경기 안양시 동안구 관악대로 82-0,전문음식,1451
76,롯데리아안양석수DT점,경기 안양시 만안구 경수대로 1401-0,간이음식,1444
77,파스타하우스,경기 안양시 동안구 귀인로172번길 64-0,전문음식,1438
77,옹기해장국미성옥,경기 안양시 동안구 관양로 75-0,한식,1438
79,궁잔기지떡안양평촌점,경기 안양시 동안구 평촌대로107번길 27-0,간이음식,1428
80,멘부쿠제면소,경기 안양시 동안구 동편로 47-0,외국식,1426
81,돈까스파크,경기 안양시 동안구 평촌대로476번길 80-0,전문음식,1423
82,모수차미,경기 안양시 만안구 박달우회로 188-0,한식,1413
83,소청[일식],경기 안양시 동안구 시민대로 230-0,외국식,1400
84,싼타루치아,경기 안양시 동안구 시민대로 230-0,외국식,1394
85,KFC관양1점,경기 안양시 동안구 관악대로 302-0,간이음식,1376
86,뚜레쥬르안양범계역직영,경기 안양시 동안구 평촌대로217번길 45-0,간이음식,1370
87,한근집,경기 안양시 만안구 경수대로 1364-0,한식,1344
88,착한낙지안양직영점,경기 안양시 동안구 부림로 182-0,전문음식,1334
89,유성통닭,경기 안양시 동안구 인덕원로24번길 41-15,간이음식,1328
90,배스킨라빈스평촌학원가점,경기 안양시 동안구 평촌대로 141-0,간이음식,1326
91,KFC안양호계점,경기 안양시 동안구 평촌대로 135-0,간이음식,1320
92,키에라코트,경기 안양시 동안구 동편로183번길 10-0,카페/찻집,1318
93,낙지섬,경기 안양시 만안구 삼막로39번길 11-0,전문음식,1308
94,삼막커피,경기 안양시 만안구 삼막로 100-0,카페/찻집,1294
95,스타벅스평촌아크로점,경기 안양시 동안구 시민대로 230-0,카페/찻집,1262
96,호주식월남쌈정원,경기 안양시 동안구 삼현로 12-0,전문음식,1243
97,본가청기와뼈감자탕안양직영점,경기 안양시 동안구 경수대로 813-0,한식,1241
98,백합칼국수,경기 안양시 만안구 오리로34번길 7-17,한식,1235
99,파리바게뜨평촌어바인퍼스트점,경기 안양시 동안구 경수대로 585-0,간이음식,1220
100,브라운핸즈서원풍력점,경기 안양시 동안구 학의로 260-0,카페/찻집,1209
101,한맛,경기 안양시 동안구 갈산로44번길 62-0,한식,1208
102,팟팟,경기 안양시 동안구 귀인로190번길 39-34,외국식,1195
103,도미노피자안양석수점,경기 안양시 만안구 경수대로 1213-0,간이음식,1192
104,방일해장국,경기 안양시 동안구 귀인로190번길 100-0,한식,1188
105,스타벅스명학역점,경기 안양시 만안구 안양로 96-0,카페/찻집,1180
106,옥류관,경기 안양시 동안구 시민대로 266-0,한식,1170
107,쿠우쿠우평촌범계점,경기 안양시 동안구 평촌대로223번길 52-0,전문음식,1164
108,본가나주곰탕,경기 안양시 동안구 관악대로 368-0,한식,1158
109,수복담본점,경기 안양시 만안구 병목안로 273-0,한식,1156
110,복호두안양평촌점,경기 안양시 동안구 귀인로190번길 140-9,간이음식,1124
111,커피볶는정본점,경기 안양시 만안구 삼막로96번길 19-0,카페/찻집,1119
112,피자나라치킨공주안양관양점,경기 안양시 동안구 관악대로404번길 19-15,간이음식,1118
113,명신수산,경기 안양시 동안구 흥안대로 313-0,전문음식,1116
114,촌놈집관양점,경기 안양시 동안구 부림로 166-0,한식,1093
115,해조[일식],경기 안양시 동안구 관평로186번길 23-0,외국식,1090
116,심스카페,경기 안양시 동안구 동편로183번길 12-0,카페/찻집,1076
117,맛나제과,경기 안양시 동안구 평촌대로99번길 20-0,간이음식,1066
118,스타벅스평촌역사거리점,경기 안양시 동안구 시민대로 311-0,카페/찻집,1064
119,아톨,경기 안양시 동안구 동편로183번길 86-0,카페/찻집,1054
120,스타벅스인덕원역점,경기 안양시 동안구 흥안대로 519-0,카페/찻집,1053
121,복무춘[중식],경기 안양시 만안구 안양로398번길 9-0,외국식,822
122,그레이스가든,경기 안양시 만안구 병목안로 338-0,카페/찻집,809
123,사이숲,경기 안양시 만안구 예술공원로131번길 31-0,카페/찻집,796
124,추오정남원추어탕안양석수점,경기 안양시 만안구 삼막로 35-0,한식,777
125,원차우관악점 [중식],경기 안양시 만안구 삼막로39번길 5-0,외국식,764
126,이산찰누룽지닭백숙&부대찌개안양본점,경기 안양시 만안구 삼막로 49-0,한식,720
127,만복순대국,경기 안양시 만안구 박달로 412-0,한식,713
128,방일해장국안양점,경기 안양시 만안구 박달우회로 140-0,한식,708
129,한양갈비,경기 안양시 만안구 삼막로24번길 115-0,한식,697
130,얼룩말식당,경기 안양시 만안구 안양로329번길 23-0,음식점기타,681
131,삼덕갈비,경기 안양시 만안구 병목안로 45-0,한식,672
132,맥도날드안양점,경기 안양시 만안구 안양로292번길 22-0,간이음식,667
133,수누리안양만안점,경기 안양시 만안구 수리산로 31-0,한식,660
134,마녀주방엔터식스안양역점,경기 안양시 만안구 만안로 232-0,외국식,655
134,금수강산,경기 안양시 만안구 예술공원로208번길 72-0,전문음식,655
136,KUTH,경기 안양시 만안구 예술공원로 168-0,카페/찻집,631
137,드래곤차이,경기 안양시 만안구 안양로314번길 18-0,외국식,609
138,댕리단길,경기 안양시 만안구 양화로72번길 53-15,음식점기타,594
139,스타벅스안양역R점,경기 안양시 만안구 만안로 230-0,카페/찻집,589
140,구포잔치국수,경기 안양시 만안구 삼막로 21-0,간이음식,575
141,굿윌스토어안양점,경기 안양시 만안구 안양로 200-0,카페/찻집,574
142,동터,경기 안양시 만안구 화창로 97-0,한식,573
142,투썸플레이스박달사거리점,경기 안양시 만안구 박달로 517-0,카페/찻집,573
144,투썸플레이스안양석수점,경기 안양시 만안구 충훈로 70-0,카페/찻집,567
145,명륜진사갈비안양관악역점,경기 안양시 만안구 안양로 511-0,한식,563
146,가야밀면,경기 안양시 만안구 문예로36번길 15-0,한식,553
147,프랭크버거안양아이에스비즈타워점,경기 안양시 만안구 덕천로152번길 25-0,간이음식,537
148,손수다,경기 안양시 만안구 삼막로96번길 26-0,카페/찻집,536
149,도미노피자안양중앙점,경기 안양시 만안구 만안로 284-0,간이음식,524
149,할머니추어탕,경기 안양시 만안구 안양로 462-0,한식,524
149,함평한우촌,경기 안양시 만안구 삼막로24번길 84-0,한식,524
152,봉암식당,경기 안양시 만안구 예술공원로245번길 15-0,한식,519
153,소담촌안양직영점,경기 안양시 만안구 안양로 316-0,한식,511
154,촌놈집삼덕공원점,경기 안양시 만안구 병목안로 35-0,한식,510
155,담은샤브칼국수,경기 안양시 만안구 삼막로 77-0,전문음식,507
156,허서방추어탕메기매운탕,경기 안양시 만안구 예술공원로 118-0,한식,506
157,롯데리아안양박달DI,경기 안양시 만안구 박달로 432-0,간이음식,486
158,화룡짬뽕전문점본점 [중식],경기 안양시 만안구 양화로14번길 29-0,외국식,480
159,창박골원조보리밥,경기 안양시 만안구 창박로41번길 21-0,한식,461
160,황옥작품전라도옛맛손팥칼국수본점,경기 안양시 만안구 삼막로 42-0,한식,457
161,개성면옥박달점,경기 안양시 만안구 박달로 579-0,한식,451
161,장어1번가안양본점,경기 안양시 만안구 삼막로24번길 89-0,전문음식,451
163,덕천족발덕천본점,경기 안양시 만안구 관악대로 50-0,전문음식,439
164,서경한우,경기 안양시 만안구 박달로 582-0,한식,437
165,더테라스,경기 안양시 만안구 예술공원로103번길 4-0,전문음식,435
166,싸리골,경기 안양시 만안구 예술공원로131번길 6-33,한식,430
167,오로지짬뽕,경기 안양시 만안구 안양로148번길 10-0,외국식,421
168,두부사랑,경기 안양시 만안구,한식,417
169,들꽃칡수제비,경기 안양시 만안구 박달로578번길 10-21,한식,405
170,투썸플레이스안양덕천점,경기 안양시 만안구 태평로60번길 42-0,카페/찻집,401
171,더홈,경기 안양시 만안구 삼막로 43-0,카페/찻집,399
171,이디야커피안양석수역점,경기 안양시 만안구 연현로 101-0,카페/찻집,399
173,본가장수촌삼막사점,경기 안양시 만안구 삼막로39번길 29-0,한식,398
174,투썸플레이스안양예술공원점,경기 안양시 만안구 예술공원로131번길 8-0,카페/찻집,390
175,스태그커피,경기 안양시 만안구 안양로319번길 22-0,카페/찻집,389
176,메리어케이크,경기 안양시 만안구 양화로72번길 83-3,간이음식,387
