순위,업소명,주소,분류,현지인 검색 수
1,스타벅스안양석수DT점,경기 안양시 만안구 경수대로 1397-0,카페/찻집,3256
2,쌈도둑,경기 안양시 만안구 삼막로 67-0,한식,2606
3,흥부가[한식],경기 안양시 만안구 삼막로 34-15,한식,2211
4,화진가든,경기 안양시 만안구 안양로 468-0,한식,2062
5,삼막칡냉면,경기 안양시 만안구 삼막로39번길 39-0,한식,1881
6,양촌리만안점,경기 안양시 만안구 안양로 204-0,한식,1858
7,두꺼비부대찌개,경기 안양시 만안구 안양로147번길 11-0,전문음식,1820
8,보리수[한식],경기 안양시 만안구 예술공원로103번길 91-0,한식,1613
9,만복순대국,경기 안양시 만안구 양화로 159-0,한식,1612
10,두루터,경기 안양시 만안구 병목안로 286-0,한식,1585
11,롯데리아안양석수DT점,경기 안양시 만안구 경수대로 1401-0,간이음식,1444
12,모수차미,경기 안양시 만안구 박달우회로 188-0,한식,1413
13,한근집,경기 안양시 만안구 경수대로 1364-0,한식,1344
14,낙지섬,경기 안양시 만안구 삼막로39번길 11-0,전문음식,1308
15,삼막커피,경기 안양시 만안구 삼막로 100-0,카페/찻집,1294
16,백합칼국수,경기 안양시 만안구 오리로34번길 7-17,한식,1235
17,도미노피자안양석수점,경기 안양시 만안구 경수대로 1213-0,간이음식,1192
18,스타벅스명학역점,경기 안양시 만안구 안양로 96-0,카페/찻집,1180
19,수복담본점,경기 안양시 만안구 병목안로 273-0,한식,1156
20,커피볶는정본점,경기 안양시 만안구 삼막로96번길 19-0,카페/찻집,1119
21,복무춘[중식],경기 안양시 만안구 안양로398번길 9-0,외국식,822
22,그레이스가든,경기 안양시 만안구 병목안로 338-0,카페/찻집,809
23,사이숲,경기 안양시 만안구 예술공원로131번길 31-0,카페/찻집,796
24,추오정남원추어탕안양석수점,경기 안양시 만안구 삼막로 35-0,한식,777
25,원차우관악점 [중식],경기 안양시 만안구 삼막로39번길 5-0,외국식,764
26,이산찰누룽지닭백숙&부대찌개안양본점,경기 안양시 만안구 삼막로 49-0,한식,720
27,만복순대국,경기 안양시 만안구 박달로 412-0,한식,713
28,방일해장국안양점,경기 안양시 만안구 박달우회로 140-0,한식,708
29,한양갈비,경기 안양시 만안구 삼막로24번길 115-0,한식,697
30,얼룩말식당,경기 안양시 만안구 안양로329번길 23-0,음식점기타,681
31,삼덕갈비,경기 안양시 만안구 병목안로 45-0,한식,672
32,맥도날드안양점,경기 안양시 만안구 안양로292번길 22-0,간이음식,667
33,수누리안양만안점,경기 안양시 만안구 수리산로 31-0,한식,660
34,마녀주방엔터식스안양역점,경기 안양시 만안구 만안로 232-0,외국식,655
34,금수강산,경기 안양시 만안구 예술공원로208번길 72-0,전문음식,655
36,KUTH,경기 안양시 만안구 예술공원로 168-0,카페/찻집,631
37,드래곤차이,경기 안양시 만안구 안양로314번길 18-0,외국식,609
38,댕리단길,경기 안양시 만안구 양화로72번길 53-15,음식점기타,594
39,스타벅스안양역R점,경기 안양시 만안구 만안로 230-0,카페/찻집,589
40,구포잔치국수,경기 안양시 만안구 삼막로 21-0,간이음식,575
41,굿윌스토어안양점,경기 안양시 만안구 안양로 200-0,카페/찻집,574
42,동터,경기 안양시 만안구 화창로 97-0,한식,573
42,투썸플레이스박달사거리점,경기 안양시 만안구 박달로 517-0,카페/찻집,573
44,투썸플레이스안양석수점,경기 안양시 만안구 충훈로 70-0,카페/찻집,567
45,명륜진사갈비안양관악역점,경기 안양시 만안구 안양로 511-0,한식,563
46,가야밀면,경기 안양시 만안구 문예로36번길 15-0,한식,553
47,프랭크버거안양아이에스비즈타워점,경기 안양시 만안구 덕천로152번길 25-0,간이음식,537
48,손수다,경기 안양시 만안구 삼막로96번길 26-0,카페/찻집,536
49,함평한우촌,경기 안양시 만안구 삼막로24번길 84-0,한식,524
49,할머니추어탕,경기 안양시 만안구 안양로 462-0,한식,524
49,도미노피자안양중앙점,경기 안양시 만안구 만안로 284-0,간이음식,524
52,봉암식당,경기 안양시 만안구 예술공원로245번길 15-0,한식,519
53,소담촌안양직영점,경기 안양시 만안구 안양로 316-0,한식,511
54,촌놈집삼덕공원점,경기 안양시 만안구 병목안로 35-0,한식,510
55,담은샤브칼국수,경기 안양시 만안구 삼막로 77-0,전문음식,507
56,허서방추어탕메기매운탕,경기 안양시 만안구 예술공원로 118-0,한식,506
57,롯데리아안양박달DI,경기 안양시 만안구 박달로 432-0,간이음식,486
58,화룡짬뽕전문점본점 [중식],경기 안양시 만안구 양화로14번길 29-0,외국식,480
59,창박골원조보리밥,경기 안양시 만안구 창박로41번길 21-0,한식,461
60,황옥작품전라도옛맛손팥칼국수본점,경기 안양시 만안구 삼막로 42-0,한식,457
61,개성면옥박달점,경기 안양시 만안구 박달로 579-0,한식,451
61,장어1번가안양본점,경기 안양시 만안구 삼막로24번길 89-0,전문음식,451
63,덕천족발덕천본점,경기 안양시 만안구 관악대로 50-0,전문음식,439
64,서경한우,경기 안양시 만안구 박달로 582-0,한식,437
65,더테라스,경기 안양시 만안구 예술공원로103번길 4-0,전문음식,435
66,싸리골,경기 안양시 만안구 예술공원로131번길 6-33,한식,430
67,오로지짬뽕,경기 안양시 만안구 안양로148번길 10-0,외국식,421
68,두부사랑,경기 안양시 만안구,한식,417
69,들꽃칡수제비,경기 안양시 만안구 박달로578번길 10-21,한식,405
70,투썸플레이스안양덕천점,경기 안양시 만안구 태평로60번길 42-0,카페/찻집,401
71,더홈,경기 안양시 만안구 삼막로 43-0,카페/찻집,399
71,이디야커피안양석수역점,경기 안양시 만안구 연현로 101-0,카페/찻집,399
73,본가장수촌삼막사점,경기 안양시 만안구 삼막로39번길 29-0,한식,398
74,투썸플레이스안양예술공원점,경기 안양시 만안구 예술공원로131번길 8-0,카페/찻집,390
75,스태그커피,경기 안양시 만안구 안양로319번길 22-0,카페/찻집,389
76,메리어케이크,경기 안양시 만안구 양화로72번길 83-3,간이음식,387
76,구복스시,경기 안양시 만안구 삼막로 34-7,외국식,387
78,카페쉼,경기 안양시 만안구 안양로 180-0,카페/찻집,377
79,폭포수식당,경기 안양시 만안구 예술공원로 234-0,한식,364
80,동흥관수타짜장[중식],경기 안양시 만안구 삼막로39번길 20-0,외국식,359
80,배스킨라빈스안양박달점,경기 안양시 만안구 양화로 115-0,간이음식,359
82,목구멍안양점,경기 안양시 만안구 안양로329번길 37-0,한식,358
83,골목추어탕안양본점,경기 안양시 만안구 장내로 81-1,한식,344
84,수지동태전문점,경기 안양시 만안구 안양로 571-0,한식,334
84,뽕나무집,경기 안양시 만안구 삼막로 5-0,한식,334
86,바비큐파크,경기 안양시 만안구 태평로52번길 21-0,전문음식,332
87,둥근상시골집박달점,경기 안양시 만안구 오리로 37-0,한식,324
88,시오도메안양삼막점,경기 안양시 만안구 삼막로 51-0,외국식,322
89,하르방두부고을,경기 안양시 만안구 삼막로 68-0,한식,321
90,중화반점,경기 안양시 만안구 박달로 462-0,외국식,317
91,숨맑은집명학포레스트점,경기 안양시 만안구 전파로44번길 56-0,카페/찻집,315
92,안양감자탕안양일번가점,경기 안양시 만안구 장내로 145-0,한식,314
93,남부식당,경기 안양시 만안구 장내로150번길 32-0,한식,311
94,홍가네영양센타,경기 안양시 만안구 장내로140번길 11-13,한식,299
95,백년회관서서갈비삼막사점,경기 안양시 만안구 삼막로 45-0,한식,298
96,털보꽃게아구해물탕,경기 안양시 만안구 안양로 454-0,한식,290
97,굴따세,경기 안양시 만안구 안양로 349-0,전문음식,289
98,파스쿠찌안양예술공원점,경기 안양시 만안구 예술공원로 153-18,카페/찻집,286
99,동해오징어보쌈,경기 안양시 만안구 장내로139번길 56-12,전문음식,284
99,차오벨라,경기 안양시 만안구 삼막로 61-0,음식점기타,284
