순위,업소명,주소,분류,현지인 검색 수
1,마벨리에평촌점,경기 안양시 동안구 관평로 175-0,전문음식,17856
2,맥도날드안양비산DT점,경기 안양시 동안구 경수대로 839-0,간이음식,9925
3,맥도날드평촌호계,경기 안양시 동안구 평촌대로 137-0,간이음식,7192
4,버거킹평촌금성GS점,경기 안양시 동안구 시민대로 325-0,간이음식,6703
5,M365,경기 안양시 동안구 시민대로365번길 21-0,카페/찻집,5696
6,스타벅스평촌역DT점,경기 안양시 동안구 시민대로 373-0,카페/찻집,5627
7,스타벅스안양비산DT점,경기 안양시 동안구 경수대로 821-0,카페/찻집,5400
8,인덕원비빔국수안양본점,경기 안양시 동안구 안양판교로 25-0,한식,5256
9,아웃백스테이크하우스안양평촌점,경기 안양시 동안구 시민대로 214-0,전문음식,4963
10,스타벅스안양운동장사거리DT점,경기 안양시 동안구 관악대로 234-0,카페/찻집,4918
11,VIPS프리미어비산점,경기 안양시 동안구 관악대로 201-0,전문음식,4091
12,장수옥설렁탕,경기 안양시 동안구 경수대로 499-0,한식,4049
13,스타벅스안양호계DT점,경기 안양시 동안구 엘에스로 27-0,카페/찻집,4015
14,크래버대게나라안양점,경기 안양시 동안구 관평로 186-0,전문음식,3722
15,경복궁평촌점 [한식],경기 안양시 동안구 시민대로 260-0,한식,3484
16,비소원,경기 안양시 동안구 관악대로 415-0,한식,3376
17,버거킹평촌학원가점,경기 안양시 동안구 평촌대로 112-0,간이음식,3345
18,스타벅스평촌호계점,경기 안양시 동안구 평촌대로 123-0,카페/찻집,3240
19,팔덕식당안양본점,경기 안양시 동안구 관양로 81-0,한식,3127
20,던킨안양공장,경기 안양시 동안구 엘에스로91번길 32-0,간이음식,2834
21,진라이평촌점 [중식],경기 안양시 동안구 관평로 186-0,외국식,2814
22,정성담안양점,경기 안양시 동안구 관악대로 249-0,한식,2774
23,하츠베이커리안양점,경기 안양시 동안구 관악대로 450-0,간이음식,2758
24,홍익돈까스안양점,경기 안양시 동안구 평촌대로476번길 44-0,전문음식,2705
25,에버그린,경기 안양시 동안구 인덕원로 29-16,전문음식,2616
26,채선당플러스안양시청점,경기 안양시 동안구 시민대로 230-0,전문음식,2528
27,버거킹안양관양점,경기 안양시 동안구 관악대로 312-0,간이음식,2333
28,건강밥상심마니평촌점,경기 안양시 동안구 시민대로 260-0,한식,2310
29,소담촌평촌직영점,경기 안양시 동안구 흥안대로 467-0,전문음식,2301
30,백년지기삼계탕평촌점,경기 안양시 동안구 갈산로44번길 44-0,한식,2299
31,관악관,경기 안양시 동안구 평촌대로 367-0,한식,2296
32,평촌먹거리촌,경기 안양시 동안구,음식점기타,2235
33,스타벅스안양덕현DT점,경기 안양시 동안구 흥안대로 139-0,카페/찻집,2138
34,삿뽀로평촌점 [일식],경기 안양시 동안구 시민대로 260-0,외국식,2118
35,송도갈비안양점,경기 안양시 동안구 관악대로 263-0,한식,2083
36,위스크,경기 안양시 동안구 시민대로327번길 12-6,전문음식,2070
37,시그니쳐로스터스,경기 안양시 동안구 평촌대로127번길 88-0,카페/찻집,2068
38,우루루[중식],경기 안양시 동안구 학의로 196-0,외국식,2037
39,분분,경기 안양시 동안구 동편로27번길 17-0,외국식,1977
40,더베로니스,경기 안양시 동안구 벌말로 126-0,전문음식,1919
41,부산복칼국수,경기 안양시 동안구 귀인로190번길 61-21,한식,1852
42,베베앙쥬 베이비카페,경기 안양시 동안구 시민대로 272-0,카페/찻집,1844
43,브런치빈안양평촌점,경기 안양시 동안구 시민대로 230-0,전문음식,1820
44,곰이네고래빵,경기 안양시 동안구 동편로49번길 19-0,간이음식,1799
45,긴자안양인덕원점 [일식],경기 안양시 동안구 흥안대로 402-0,외국식,1795
46,산마을민속촌[한식],경기 안양시 동안구 평촌대로476번길 56-0,한식,1732
47,천지연인덕원점,경기 안양시 동안구 흥안대로 402-0,한식,1694
48,이학순베이커리평촌점,경기 안양시 동안구 평촌대로 107-0,간이음식,1678
49,스타벅스평촌로데오점,경기 안양시 동안구 관평로 182-0,카페/찻집,1674
50,한송정평촌점,경기 안양시 동안구 부림로 156-0,한식,1669
51,정통춘천닭갈비,경기 안양시 동안구 귀인로190번길 39-43,전문음식,1665
52,여자수산비산점,경기 안양시 동안구 관악대로 76-0,전문음식,1661
53,비산누룽지백숙,경기 안양시 동안구 평촌대로 474-0,한식,1647
54,한스평촌점,경기 안양시 동안구 관평로170번길 43-0,간이음식,1572
55,희래등호계점 [중식],경기 안양시 동안구 경수대로 588-0,외국식,1570
56,팥선생,경기 안양시 동안구 동안로 263-0,간이음식,1562
57,외길수산,경기 안양시 동안구 시민대로 272-0,전문음식,1546
58,송도갈비인덕원점,경기 안양시 동안구 흥안대로 402-0,한식,1542
59,명륜진사갈비안양평촌점,경기 안양시 동안구 관평로170번길 33-0,한식,1528
60,스팀하우스관양점,경기 안양시 동안구 인덕원로 19-2,외국식,1526
61,포항물회,경기 안양시 동안구 경수대로 829-0,한식,1516
62,롯데리아평촌주공공이점,경기 안양시 동안구 관평로170번길 33-0,간이음식,1514
63,황도바지락칼국수,경기 안양시 동안구 경수대로 695-1,한식,1475
64,원조장어가,경기 안양시 동안구 관양로 111-0,전문음식,1464
65,우당,경기 안양시 동안구 관악대로 82-0,전문음식,1451
66,파스타하우스,경기 안양시 동안구 귀인로172번길 64-0,전문음식,1438
66,옹기해장국미성옥,경기 안양시 동안구 관양로 75-0,한식,1438
68,궁잔기지떡안양평촌점,경기 안양시 동안구 평촌대로107번길 27-0,간이음식,1428
69,멘부쿠제면소,경기 안양시 동안구 동편로 47-0,외국식,1426
70,돈까스파크,경기 안양시 동안구 평촌대로476번길 80-0,전문음식,1423
71,소청[일식],경기 안양시 동안구 시민대로 230-0,외국식,1400
72,싼타루치아,경기 안양시 동안구 시민대로 230-0,외국식,1394
73,KFC관양1점,경기 안양시 동안구 관악대로 302-0,간이음식,1376
74,뚜레쥬르안양범계역직영,경기 안양시 동안구 평촌대로217번길 45-0,간이음식,1370
75,착한낙지안양직영점,경기 안양시 동안구 부림로 182-0,전문음식,1334
76,유성통닭,경기 안양시 동안구 인덕원로24번길 41-15,간이음식,1328
77,배스킨라빈스평촌학원가점,경기 안양시 동안구 평촌대로 141-0,간이음식,1326
78,KFC안양호계점,경기 안양시 동안구 평촌대로 135-0,간이음식,1320
79,키에라코트,경기 안양시 동안구 동편로183번길 10-0,카페/찻집,1318
80,스타벅스평촌아크로점,경기 안양시 동안구 시민대로 230-0,카페/찻집,1262
81,호주식월남쌈정원,경기 안양시 동안구 삼현로 12-0,전문음식,1243
82,본가청기와뼈감자탕안양직영점,경기 안양시 동안구 경수대로 813-0,한식,1241
83,파리바게뜨평촌어바인퍼스트점,경기 안양시 동안구 경수대로 585-0,간이음식,1220
84,브라운핸즈서원풍력점,경기 안양시 동안구 학의로 260-0,카페/찻집,1209
85,한맛,경기 안양시 동안구 갈산로44번길 62-0,한식,1208
86,팟팟,경기 안양시 동안구 귀인로190번길 39-34,외국식,1195
87,방일해장국,경기 안양시 동안구 귀인로190번길 100-0,한식,1188
88,옥류관,경기 안양시 동안구 시민대로 266-0,한식,1170
89,쿠우쿠우평촌범계점,경기 안양시 동안구 평촌대로223번길 52-0,전문음식,1164
90,본가나주곰탕,경기 안양시 동안구 관악대로 368-0,한식,1158
91,복호두안양평촌점,경기 안양시 동안구 귀인로190번길 140-9,간이음식,1124
92,피자나라치킨공주안양관양점,경기 안양시 동안구 관악대로404번길 19-15,간이음식,1118
93,명신수산,경기 안양시 동안구 흥안대로 313-0,전문음식,1116
94,촌놈집관양점,경기 안양시 동안구 부림로 166-0,한식,1093
95,해조[일식],경기 안양시 동안구 관평로186번길 23-0,외국식,1090
96,심스카페,경기 안양시 동안구 동편로183번길 12-0,카페/찻집,1076
97,맛나제과,경기 안양시 동안구 평촌대로99번길 20-0,간이음식,1066
98,스타벅스평촌역사거리점,경기 안양시 동안구 시민대로 311-0,카페/찻집,1064
99,아톨,경기 안양시 동안구 동편로183번길 86-0,카페/찻집,1054
100,스타벅스인덕원역점,경기 안양시 동안구 흥안대로 519-0,카페/찻집,1053
