순위,업소명,주소,분류,현지인 검색 수
1,최미삼순대국오산점,경기 오산시 경기동로 131-14,한식,20584
2,청담집,경기 오산시 동부대로 602-0,한식,14312
3,천지연오산시청점,경기 오산시 경기대로 290-0,한식,10856
4,골드헤겔,경기 오산시 외삼미로 162-32,카페/찻집,9952
5,짬뽕지존오산점 [중식],경기 오산시 경기대로 470-0,외국식,9456
6,우설화오산시청점,경기 오산시 경기대로 290-0,한식,8792
7,우장군아싸갈비오산직영점,경기 오산시 부산동길 10-0,한식,8160
8,황금장수촌,경기 오산시 부산동길 12-6,한식,8024
9,메르오르카페,경기 오산시 남부대로 36-0,전문음식,7569
10,미가정숯불갈비,경기 오산시 경기대로339번길 14-0,한식,7456
11,개성집오산점,경기 오산시 동부대로568번길 21-2,한식,7384
12,서해해물칼국수,경기 오산시 동부대로568번길 10-5,한식,7216
13,장가네손칼국수,경기 오산시 시장길 20-13,한식,7184
14,두부마을,경기 오산시 동부대로568번길 21-0,한식,6152
15,북극해고등어,경기 오산시 경기대로 845-0,한식,5930
16,새말해장국,경기 오산시 현충로 95-0,한식,5402
17,롤링핀오산점,경기 오산시 오산로190번길 35-0,간이음식,5238
18,민들레화로,경기 오산시 외삼미로 7-0,한식,4672
19,이비가짬뽕오산시청점 [중식],경기 오산시 경기동로 131-16,외국식,4360
20,천지연오산세교점,경기 오산시 경기대로636번길 11-0,한식,4099
21,안중아구찜오산직영점,경기 오산시 성호대로93번길 41-0,한식,3968
22,홍매화쌈밥오산점 [한식],경기 오산시 큰말길 79-0,한식,3893
23,명장시대오산점,경기 오산시 서동로 174-2,카페/찻집,3893
24,카페엘토브,경기 오산시 문시로 110-35,카페/찻집,3884
25,오산할머니집,경기 오산시 오산로300번길 3-0,한식,3520
26,카페스티빈,경기 오산시 삼미로47번길 81-14,카페/찻집,3257
27,부용식당,경기 오산시 오산로278번길 11-0,한식,3040
28,콩마당[한식],경기 오산시 독산성로 225-0,한식,2992
29,오줌장군,경기 오산시 궐동로 22-0,한식,2928
30,육풍오산점,경기 오산시 운천로 73-1,한식,2872
31,화성민속제과,경기 오산시 경기대로333번길 24-0,간이음식,2784
32,보나카바,경기 오산시 외삼미로152번길 57-29,전문음식,2712
33,통큰갈비오산시티자이점,경기 오산시 부산동길 49-0,한식,2616
34,한촌설렁탕오산점,경기 오산시 운천로 71-0,한식,2544
35,별법동태탕오산점,경기 오산시 경기대로333번길 18-0,한식,2528
36,행복한콩박사,경기 오산시 양산로398번길 8-11,한식,2464
37,예찬[한식],경기 오산시 독산성로270번길 96-32,한식,2447
38,속초코다리냉면,경기 오산시 동부대로 528-0,한식,2392
39,써브웨이오산대역점,경기 오산시 내삼미로 89-0,간이음식,2319
40,도르프커피,경기 오산시 독산성로 205-0,카페/찻집,2281
41,본죽&비빔밥cafe오산시청점,경기 오산시 성호대로 123-0,간이음식,2232
42,광명홍두깨칼국수,경기 오산시 성호새싹길 44-0,한식,2232
43,장우정,경기 오산시 독산성로449번길 55-0,전문음식,2211
44,24시얼큰한뼈해장국,경기 오산시 궐리사로46번길 60-14,한식,2204
45,도씨네홍어,경기 오산시 오산로300번길 16-0,전문음식,2200
46,삼대설렁탕,경기 오산시 경기동로 183-0,한식,2176
47,설빙오산운암점,경기 오산시 운천로 80-5,카페/찻집,2160
48,강남묵호등대,경기 오산시 부산동길 12-6,전문음식,2152
49,백세삼계탕동탄오산점,경기 오산시 문시로 124-0,한식,2134
50,하이난[중식],경기 오산시 경기동로 191-0,외국식,2016
51,본만두오산점,경기 오산시 운천로 95-0,한식,2006
52,수본오산본점,경기 오산시 동부대로 384-0,한식,1997
53,봄설,경기 오산시 외삼미로 162-34,한식,1965
54,운암명가부대찌개철판구이전문점,경기 오산시 대원로 65-0,전문음식,1941
55,본가왕뼈감자탕오산세교점,경기 오산시 수청로 55-0,한식,1866
56,운암회관,경기 오산시 운천로 61-0,한식,1789
57,샤브마니아오산점,경기 오산시 청호로 6-0,전문음식,1713
58,장강[중식],경기 오산시 독산성로449번길 52-0,외국식,1680
59,청수식당,경기 오산시 성호새싹길 58-0,한식,1664
60,공룡국수,경기 오산시 경기대로148번길 16-0,간이음식,1646
61,삼대째손두부오산점,경기 오산시 동부대로 347-0,한식,1625
62,장어섬,경기 오산시 오산로 123-10,전문음식,1563
63,스시명장,경기 오산시 경기대로 233-0,외국식,1557
64,샤브마니아오산세교점,경기 오산시 경기대로 853-0,전문음식,1530
65,푸주옥오산점,경기 오산시 원동로 62-0,한식,1530
66,취풍덕[중식],경기 오산시 독산성로 384-0,외국식,1511
67,초가집,경기 오산시 경기대로658번길 69-8,한식,1509
68,오리향,경기 오산시 운천로 74-0,전문음식,1504
69,청수식당운암,경기 오산시 경기동로8번길 19-0,한식,1488
70,오와스시오산점,경기 오산시 운천로 75-0,외국식,1488
71,왕부정[중식],경기 오산시 경기대로 461-0,외국식,1470
72,우설화오산세교점 [한식],경기 오산시 경기대로636번길 11-0,한식,1423
73,포레스트오늘숲오산세교수청점,경기 오산시 내삼미로80번길 12-16,외국식,1418
74,낙원갈비집오산점,경기 오산시 오산로 392-0,한식,1416
75,청도생고기,경기 오산시 오산로290번길 23-0,한식,1352
76,월남쌈김상사오산점,경기 오산시 경기대로 154-0,외국식,1339
77,황제갈비오산점,경기 오산시 운천로 79-0,한식,1320
78,용궁갈비,경기 오산시 외삼미로152번길 57-29,한식,1300
79,정담명가남원추어탕,경기 오산시 외삼미로 162-4,한식,1292
80,무진장갈비,경기 오산시 경기대로658번길 19-0,한식,1288
81,구수옥,경기 오산시 외삼미로 162-26,한식,1271
82,히든패쓰,경기 오산시 대호로 156-14,카페/찻집,1257
83,들밥집,경기 오산시 부원로 67-25,한식,1255
