순위,업소명,주소,분류,현지인 검색 수
1,스타벅스용인김량장DT점,경기 용인시 처인구 백옥대로 1174-0,카페/찻집,55248
2,기로띠,경기 용인시 처인구 명지로 222-0,카페/찻집,26208
3,산으로간고등어,경기 용인시 수지구 고기로 126-0,한식,21372
4,맥도날드용인수지DT점,경기 용인시 수지구 신수로 677-0,간이음식,20487
5,스타벅스용인처인구청점,경기 용인시 처인구 금령로 60-0,카페/찻집,19072
6,본수원갈비용인점,경기 용인시 처인구 중부대로 1387-0,한식,18656
7,대덕골보쌈칼국수,경기 용인시 처인구 금령로71번길 16-0,전문음식,17808
8,꽃피는화덕피자D485용인점,경기 용인시 처인구 명지로 225-0,간이음식,17480
9,재벌집,경기 용인시 처인구 학산로 36-0,한식,16136
10,월남쌈김상사용인남동점,경기 용인시 처인구 백옥대로 954-0,외국식,14080
11,대성부대고기전문,경기 용인시 처인구 금령로90번길 3-6,한식,14048
12,고기리막국수,경기 용인시 수지구 이종무로 157-0,한식,13927
13,만수정본점,경기 용인시 기흥구 신정로 135-0,전문음식,11688
14,칼리오페,경기 용인시 처인구 성산로170번길 23-1,전문음식,11452
15,죽전카페거리,경기 용인시 기흥구 죽전로15번길 11-2,음식점기타,11084
16,미가훠궈양고기,경기 용인시 수지구 풍덕천로140번길 15-0,외국식,10391
17,타임투비,경기 용인시 수지구 성복1로281번길 11-0,카페/찻집,10285
18,김순남청국장,경기 용인시 처인구 백옥대로 885-0,한식,10168
19,먹보한우용인처인점,경기 용인시 처인구 백옥대로 1168-0,한식,10104
20,맥도날드용인시청DT점,경기 용인시 처인구 중부대로 1166-0,간이음식,10051
21,이화수전통육개장용인남동점,경기 용인시 처인구 백옥대로 941-0,한식,9880
22,엘리펀트빌리지,경기 용인시 기흥구 언동로71번길 51-0,전문음식,9834
23,어로프슬라이스피스,경기 용인시 처인구 백령로 47-0,카페/찻집,9595
24,스타벅스수지성복DT점,경기 용인시 수지구 성복2로 55-0,카페/찻집,8885
25,엄마손칼국수,경기 용인시 처인구 금학로 343-0,한식,8816
26,춘천닭갈비,경기 용인시 처인구 금령로27번길 6-4,전문음식,8776
27,푸름피크닉카페,경기 용인시 처인구 명지로 216-0,카페/찻집,8488
28,카페신기로,경기 용인시 처인구 신기로 106-30,카페/찻집,8240
29,나인블럭신갈점,경기 용인시 기흥구 용구대로2145번길 31-0,카페/찻집,8216
30,맥도날드용인점,경기 용인시 처인구 금령로 97-0,간이음식,8176
31,물레방아,경기 용인시 기흥구 지삼로250번길 27-0,한식,7955
32,본누벨베이커리,경기 용인시 수지구 수지로 20-0,간이음식,7935
33,맥도날드용인동백DT점,경기 용인시 기흥구 어정로 106-0,간이음식,7908
34,맥도날드용인DT점,경기 용인시 처인구 백옥대로 1176-0,간이음식,7624
35,어가본점,경기 용인시 수지구 신봉1로301번길 3-0,한식,7277
36,신포리쭈꾸미볶음,경기 용인시 기흥구 이현로29번길 54-20,전문음식,7270
37,맥도날드용인신갈DT점,경기 용인시 기흥구 중부대로 266-0,간이음식,7222
38,도미노피자용인점,경기 용인시 처인구 금령로12번길 6-1,간이음식,6960
39,교촌치킨용인1호점,경기 용인시 처인구 중부대로 1355-0,간이음식,6672
40,맥도날드용인마북DT점,경기 용인시 기흥구 용구대로 2420-0,간이음식,6613
41,본가왕뼈감자탕용인중앙점,경기 용인시 처인구 중부대로 1403-0,한식,6544
42,맥도날드용인보라DT점,경기 용인시 기흥구 용구대로 1861-0,간이음식,6447
43,풍경한우,경기 용인시 수지구 성복2로 376-0,한식,6297
44,명륜진사갈비용인 김량장점,경기 용인시 처인구 중부대로 1395-0,한식,6240
45,주막보리밥고기동점,경기 용인시 수지구 동천로 624-0,한식,6158
46,탑골순대국,경기 용인시 수지구 수지로342번길 42-0,한식,6081
47,스타벅스용인보정DT점,경기 용인시 기흥구 용구대로2469번길 165-0,카페/찻집,5989
48,수누리감자탕용인본점,경기 용인시 처인구 중부대로 1425-0,한식,5648
49,뚝배기양평해장국용인점,경기 용인시 처인구 백옥대로 937-0,한식,5640
50,본구이캠프,경기 용인시 처인구 중부대로 1947-0,한식,5566
51,가보정4관,경기 용인시 수지구 수풍로 103-0,한식,5488
51,호접몽[중식],경기 용인시 처인구 명지로 125-0,외국식,5488
53,올데이크리스마스,경기 용인시 수지구 신봉1로347번길 12-0,카페/찻집,5425
54,삼동소바,경기 용인시 기흥구 이현로29번길 54-3,외국식,5411
55,라미르,경기 용인시 처인구 원양로 426-0,카페/찻집,5399
56,동백궁,경기 용인시 기흥구 동백죽전대로 489-0,한식,5316
57,화덕위에고등어,경기 용인시 기흥구 용구대로 2181-0,한식,5207
58,스타벅스용인마북DT점,경기 용인시 기흥구 용구대로 2330-0,카페/찻집,5142
59,쭈꾸미킹용인점,경기 용인시 처인구 유림로147번길 55-2,전문음식,5134
60,일호점미역[한식],경기 용인시 수지구 고기로 157-0,한식,5109
61,큰마당감자탕,경기 용인시 기흥구 한보라1로 5-0,한식,5027
62,쿠우쿠우수지동천점,경기 용인시 수지구 신수로 767-0,전문음식,4945
63,총각손칼국수,경기 용인시 기흥구 신구로12번길 6-0,한식,4866
64,미젠한정식[한식],경기 용인시 수지구 신봉1로 330-0,한식,4790
65,스타벅스용인보라DT점,경기 용인시 기흥구 용구대로 1877-0,카페/찻집,4772
66,강쇠낙지마을,경기 용인시 처인구 명지로 314-0,전문음식,4760
67,토박이네,경기 용인시 기흥구 중부대로 313-0,한식,4742
68,스타벅스용인동백DT점,경기 용인시 기흥구 어정로 102-0,카페/찻집,4719
69,산사랑[한식],경기 용인시 수지구 샘말로89번길 9-0,한식,4658
70,스타벅스용인시청DT점,경기 용인시 처인구 중부대로 1130-0,카페/찻집,4632
71,투썸플레이스처인구청점,경기 용인시 처인구 금령로 64-0,카페/찻집,4600
72,헤밍웨이베이커리카페&다이닝양지점,경기 용인시 처인구 남평로 59-5,카페/찻집,4591
73,가오리와방패연[한식],경기 용인시 기흥구 하갈로 98-0,한식,4569
74,쿠우쿠우용인점,경기 용인시 처인구 명지로40번길 9-0,전문음식,4545
75,그린웨일,경기 용인시 처인구 어진로 771-0,카페/찻집,4520
76,남이섬,경기 용인시 처인구 백옥대로 1013-0,전문음식,4504
77,커피테이너,경기 용인시 처인구 명지로 168-0,카페/찻집,4496
78,카페랄로용인점,경기 용인시 수지구 신봉1로369번길 5-0,카페/찻집,4449
79,서울24시감자탕,경기 용인시 기흥구 평촌2로1번길 4-9,한식,4448
80,감치래,경기 용인시 수지구 고기로 104-0,한식,4368
81,도나스데이,경기 용인시 기흥구 구성로 160-0,간이음식,4250
82,고철상김량장직영점,경기 용인시 처인구 중부대로 1409-0,한식,4240
83,미야자키,경기 용인시 처인구 명지로 269-0,한식,4208
84,산뜨락[한식],경기 용인시 수지구 신봉2로 180-0,한식,4116
85,교동짬뽕[중식],경기 용인시 처인구 중부대로 1403-0,외국식,4096
86,예송원,경기 용인시 수지구 동천로448번길 39-0,카페/찻집,4048
87,고매커피,경기 용인시 기흥구 원고매로2번길 85-2,카페/찻집,4025
88,민속촌24시감자탕,경기 용인시 처인구 금령로 118-1,한식,4024
89,SUBWAY김량장점,경기 용인시 처인구 금령로71번길 3-0,간이음식,3992
90,참우돈가,경기 용인시 기흥구 청마로17번길 3-0,한식,3987
91,큰손식당,경기 용인시 기흥구 공세로 243-0,한식,3970
92,메밀래,경기 용인시 기흥구 용구대로2145번길 23-0,전문음식,3960
93,버거킹수지GS점,경기 용인시 수지구 신수로 781-0,간이음식,3936
94,스타벅스수지동천점,경기 용인시 수지구 손곡로 103-0,카페/찻집,3898
95,원평시골장터순대국밥,경기 용인시 기흥구 공세로 10-0,한식,3877
96,프랭크커핀바용인점,경기 용인시 처인구 금령로117번길 7-0,카페/찻집,3856
97,살살녹소,경기 용인시 기흥구 석현로12번길 44-0,한식,3851
98,송정갈비,경기 용인시 수지구 신봉1로330번길 10-0,한식,3834
99,산골항아리바베큐본점,경기 용인시 수지구 이종무로170번길 12-0,전문음식,3829
100,밀토랑바지락칼국수,경기 용인시 처인구 한터로 18-0,한식,3747
101,교동짬뽕신갈점 [중식],경기 용인시 기흥구 용구대로 2143-0,외국식,3696
102,송도갈비용인민속촌점,경기 용인시 기흥구 사은로84번길 6-0,한식,3682
103,구성커피로스터스,경기 용인시 기흥구 이현로29번길 81-1,카페/찻집,3641
104,소담촌용인동백점,경기 용인시 기흥구 동백중앙로 265-0,전문음식,3626
105,오월식당,경기 용인시 수지구 동천로 411-0,한식,3593
106,콩게미,경기 용인시 기흥구 공세로 20-0,한식,3583
107,스타벅스한국민속촌DT점,경기 용인시 기흥구 사은로 110-0,카페/찻집,3577
108,호수앉기,경기 용인시 기흥구 한일로15번길 33-0,카페/찻집,3564
109,어반리프,경기 용인시 기흥구 공세로 191-0,간이음식,3557
110,황금오리,경기 용인시 기흥구 지삼로250번길 12-0,전문음식,3519
111,롯데리아용인보라점,경기 용인시 기흥구 한보라2로 5-0,간이음식,3492
112,나주집,경기 용인시 기흥구 흥덕4로 25-0,한식,3470
113,농우본수원갈비,경기 용인시 기흥구 흥덕4로15번길 8-0,한식,3433
114,카페톤,경기 용인시 처인구 초부로 192-0,카페/찻집,3432
115,몽르베,경기 용인시 수지구 이종무로203번길 6-5,카페/찻집,3408
116,황소고집본점,경기 용인시 처인구 능원로 74-0,한식,3363
117,카페피아체레,경기 용인시 수지구 동천로448번길 31-0,카페/찻집,3349
118,카페코울러,경기 용인시 수지구 샘말로 2-0,카페/찻집,3346
119,이당비스트로용인점,경기 용인시 기흥구 용구대로 2382-8,외국식,3282
120,고향보리밥,경기 용인시 처인구 유림로 173-0,한식,3273
121,자주오리돌판구이,경기 용인시 처인구 금령로40번길 13-0,전문음식,3256
122,소플러스수지동천점,경기 용인시 수지구 동천로 339-0,한식,3228
122,빵샘제빵소용인점,경기 용인시 수지구 도마치로 111-0,간이음식,3228
124,돈까스잔치마성점,경기 용인시 처인구 석성로 862-0,전문음식,3187
125,언톨드,경기 용인시 처인구 죽양대로 2269-0,카페/찻집,3138
126,홍종흔베이커리수지점,경기 용인시 수지구 동천로 311-0,간이음식,3135
127,소나무가있는풍경,경기 용인시 기흥구 중부대로 397-0,한식,3112
128,라임그라스,경기 용인시 처인구 한터로 529-9,카페/찻집,3106
129,봉산짬뽕[중식],경기 용인시 처인구 백옥대로 1048-0,외국식,3104
130,오뜨아르,경기 용인시 기흥구 기흥단지로121번길 9-0,전문음식,3060
131,남사커피,경기 용인시 처인구 경기동로518번길 58-0,카페/찻집,3039
132,자작나무갈비용인동백점,경기 용인시 기흥구 동백죽전대로 557-0,한식,3030
133,돈까스클럽신갈점,경기 용인시 기흥구 용구대로2145번길 7-0,전문음식,3013
134,형근씨갑오징어짬뽕,경기 용인시 처인구 성산로 447-0,전문음식,3003
135,무한조개용인점,경기 용인시 처인구 금령로72번길 6-3,전문음식,3000
136,마이플레이버용인,경기 용인시 기흥구 동백죽전대로527번길 98-8,간이음식,2992
137,양지석쇠불고기[한식],경기 용인시 처인구 양지로 116-0,한식,2967
