순위,업소명,주소,분류,현지인 검색 수
1,만수정본점,경기 용인시 기흥구 신정로 135-0,전문음식,11688
2,죽전카페거리,경기 용인시 기흥구 죽전로15번길 11-2,음식점기타,11084
3,엘리펀트빌리지,경기 용인시 기흥구 언동로71번길 51-0,전문음식,9834
4,나인블럭신갈점,경기 용인시 기흥구 용구대로2145번길 31-0,카페/찻집,8216
5,물레방아,경기 용인시 기흥구 지삼로250번길 27-0,한식,7955
6,맥도날드용인동백DT점,경기 용인시 기흥구 어정로 106-0,간이음식,7908
7,신포리쭈꾸미볶음,경기 용인시 기흥구 이현로29번길 54-20,전문음식,7270
8,맥도날드용인신갈DT점,경기 용인시 기흥구 중부대로 266-0,간이음식,7222
9,맥도날드용인마북DT점,경기 용인시 기흥구 용구대로 2420-0,간이음식,6613
10,맥도날드용인보라DT점,경기 용인시 기흥구 용구대로 1861-0,간이음식,6447
11,스타벅스용인보정DT점,경기 용인시 기흥구 용구대로2469번길 165-0,카페/찻집,5989
12,삼동소바,경기 용인시 기흥구 이현로29번길 54-3,외국식,5411
13,동백궁,경기 용인시 기흥구 동백죽전대로 489-0,한식,5316
14,화덕위에고등어,경기 용인시 기흥구 용구대로 2181-0,한식,5207
15,스타벅스용인마북DT점,경기 용인시 기흥구 용구대로 2330-0,카페/찻집,5142
16,큰마당감자탕,경기 용인시 기흥구 한보라1로 5-0,한식,5027
17,총각손칼국수,경기 용인시 기흥구 신구로12번길 6-0,한식,4866
18,스타벅스용인보라DT점,경기 용인시 기흥구 용구대로 1877-0,카페/찻집,4772
19,토박이네,경기 용인시 기흥구 중부대로 313-0,한식,4742
20,스타벅스용인동백DT점,경기 용인시 기흥구 어정로 102-0,카페/찻집,4719
21,가오리와방패연[한식],경기 용인시 기흥구 하갈로 98-0,한식,4569
22,서울24시감자탕,경기 용인시 기흥구 평촌2로1번길 4-9,한식,4448
23,도나스데이,경기 용인시 기흥구 구성로 160-0,간이음식,4250
24,고매커피,경기 용인시 기흥구 원고매로2번길 85-2,카페/찻집,4025
25,참우돈가,경기 용인시 기흥구 청마로17번길 3-0,한식,3987
26,큰손식당,경기 용인시 기흥구 공세로 243-0,한식,3970
27,메밀래,경기 용인시 기흥구 용구대로2145번길 23-0,전문음식,3960
28,원평시골장터순대국밥,경기 용인시 기흥구 공세로 10-0,한식,3877
29,살살녹소,경기 용인시 기흥구 석현로12번길 44-0,한식,3851
30,교동짬뽕신갈점 [중식],경기 용인시 기흥구 용구대로 2143-0,외국식,3696
31,송도갈비용인민속촌점,경기 용인시 기흥구 사은로84번길 6-0,한식,3682
32,구성커피로스터스,경기 용인시 기흥구 이현로29번길 81-1,카페/찻집,3641
33,소담촌용인동백점,경기 용인시 기흥구 동백중앙로 265-0,전문음식,3626
34,콩게미,경기 용인시 기흥구 공세로 20-0,한식,3583
35,스타벅스한국민속촌DT점,경기 용인시 기흥구 사은로 110-0,카페/찻집,3577
36,호수앉기,경기 용인시 기흥구 한일로15번길 33-0,카페/찻집,3564
37,어반리프,경기 용인시 기흥구 공세로 191-0,간이음식,3557
38,황금오리,경기 용인시 기흥구 지삼로250번길 12-0,전문음식,3519
39,롯데리아용인보라점,경기 용인시 기흥구 한보라2로 5-0,간이음식,3492
40,나주집,경기 용인시 기흥구 흥덕4로 25-0,한식,3470
41,농우본수원갈비,경기 용인시 기흥구 흥덕4로15번길 8-0,한식,3433
42,이당비스트로용인점,경기 용인시 기흥구 용구대로 2382-8,외국식,3282
43,소나무가있는풍경,경기 용인시 기흥구 중부대로 397-0,한식,3112
44,오뜨아르,경기 용인시 기흥구 기흥단지로121번길 9-0,전문음식,3060
45,자작나무갈비용인동백점,경기 용인시 기흥구 동백죽전대로 557-0,한식,3030
46,돈까스클럽신갈점,경기 용인시 기흥구 용구대로2145번길 7-0,전문음식,3013
47,마이플레이버용인,경기 용인시 기흥구 동백죽전대로527번길 98-8,간이음식,2992
48,나인블럭기흥점,경기 용인시 기흥구 공세로 34-0,카페/찻집,2960
49,스타벅스수원IC DT점,경기 용인시 기흥구 중부대로 56-0,카페/찻집,2942
50,더노벰버라운지용인서천점,경기 용인시 기흥구 서천로172번길 31-0,카페/찻집,2936
51,마북173,경기 용인시 기흥구 마북로 141-0,간이음식,2887
52,수담보라민속촌점,경기 용인시 기흥구 용구대로1900번길 3-0,한식,2881
53,동백식탁,경기 용인시 기흥구 동백중앙로 283-0,외국식,2877
54,버거킹용인신갈점,경기 용인시 기흥구 중부대로 375-0,간이음식,2875
55,떼레노시떼,경기 용인시 기흥구 기흥단지로 81-1,카페/찻집,2857
56,어반런드렛 더 테라스,경기 용인시 기흥구 용구대로2469번길 47-0,카페/찻집,2844
57,만미정,경기 용인시 기흥구 신정로 210-0,전문음식,2839
58,롤링트라이브,경기 용인시 기흥구 신정로 221-0,카페/찻집,2831
59,민속가야밀면,경기 용인시 기흥구 지삼로17번길 2-22,한식,2744
60,타짜오리하우스용인점,경기 용인시 기흥구 청명산로 97-1,전문음식,2719
61,스타벅스용인흥덕DT점,경기 용인시 기흥구 흥덕1로 85-0,카페/찻집,2695
62,홍익돈까스용인기흥점,경기 용인시 기흥구 어정로 134-24,전문음식,2641
63,스타벅스용인언남점,경기 용인시 기흥구 구성로 120-0,카페/찻집,2626
64,폴바셋수원컨트리클럽점,경기 용인시 기흥구 중부대로 495-1,카페/찻집,2603
65,양평해장국기흥IC점,경기 용인시 기흥구 원고매로 48-0,한식,2590
66,메이란본점 [중식],경기 용인시 기흥구 동백죽전대로527번길 98-4,외국식,2586
67,제주은희네해장국용인구성점,경기 용인시 기흥구 구성로 129-0,한식,2532
68,장수한우프라자용인점,경기 용인시 기흥구 흥덕4로15번길 2-0,한식,2527
69,커스텀커피본점,경기 용인시 기흥구 평촌1로7번길 6-1,카페/찻집,2465
70,유성손칼국수,경기 용인시 기흥구 구성로64번길 7-0,한식,2446
71,한국관기흥점,경기 용인시 기흥구 기흥단지로 8-0,한식,2416
72,버거킹용인동백점,경기 용인시 기흥구 동백5로 23-0,간이음식,2403
73,스타벅스용인상하DT점,경기 용인시 기흥구 중부대로 771-0,카페/찻집,2401
74,콩사랑청국장[한식],경기 용인시 기흥구 석성로521번길 14-1,한식,2326
75,교동면옥용인영덕점,경기 용인시 기흥구 석현로12번길 30-0,한식,2322
76,허대감,경기 용인시 기흥구 용구대로1890번길 1-0,한식,2283
77,망향비빔국수용인점,경기 용인시 기흥구 어정로 134-28,한식,2251
78,홍록기파티하우스수원점,경기 용인시 기흥구 흥덕1로 13-0,전문음식,2203
79,한정식로움[한식],경기 용인시 기흥구 청명산로 115-0,한식,2155
80,멍스토리,경기 용인시 기흥구 공세로82번길 32-0,카페/찻집,2142
81,몽키그릴,경기 용인시 기흥구 지삼로 227-0,한식,2074
82,운봉소갈비살전문점,경기 용인시 기흥구 중부대로746번길 96-0,한식,2064
83,수담,경기 용인시 기흥구 죽전로27번길 14-6,한식,2059
84,고봉삼계탕,경기 용인시 기흥구 동백3로11번길 47-0,한식,2058
85,스타벅스용인기흥구청점,경기 용인시 기흥구 구갈로 71-18,카페/찻집,2011
86,수진옥,경기 용인시 기흥구 석성로521번길 6-0,한식,1952
87,낙지보감동백점,경기 용인시 기흥구 평촌2로2번길 11-8,전문음식,1930
88,성남숯불갈매기살,경기 용인시 기흥구 이현로29번길 19-0,한식,1908
89,라필로스,경기 용인시 기흥구 동백2로 94-26,카페/찻집,1898
90,천지연기흥동탄IC점,경기 용인시 기흥구 삼성2로96번길 29-45,한식,1847
91,더담아,경기 용인시 기흥구 공세로 24-0,한식,1844
92,도원[중식],경기 용인시 기흥구 용구대로 1859-0,외국식,1842
93,호생원,경기 용인시 기흥구 기흥단지로 58-0,한식,1838
94,황소고집3호점,경기 용인시 기흥구 지삼로 26-0,한식,1815
95,방자네바지락칼국수,경기 용인시 기흥구 어정로 134-4,한식,1812
96,카페테이너,경기 용인시 기흥구 마북로 170-0,카페/찻집,1808
97,곤드레예찬,경기 용인시 기흥구 용구대로2145번길 5-0,한식,1760
98,삼부자갈비경희대점,경기 용인시 기흥구 덕영대로 1811-2,한식,1757
99,만우정본점,경기 용인시 기흥구 신정로 169-0,전문음식,1750
100,팔당냉면구성점,경기 용인시 기흥구 용구대로 2391-0,한식,1726
