순위,업소명,주소,분류,현지인 검색 수
1,스타벅스용인김량장DT점,경기 용인시 처인구 백옥대로 1174-0,카페/찻집,55248
2,기로띠,경기 용인시 처인구 명지로 222-0,카페/찻집,26208
3,스타벅스용인처인구청점,경기 용인시 처인구 금령로 60-0,카페/찻집,19072
4,본수원갈비용인점,경기 용인시 처인구 중부대로 1387-0,한식,18656
5,대덕골보쌈칼국수,경기 용인시 처인구 금령로71번길 16-0,전문음식,17808
6,꽃피는화덕피자D485용인점,경기 용인시 처인구 명지로 225-0,간이음식,17480
7,재벌집,경기 용인시 처인구 학산로 36-0,한식,16136
8,월남쌈김상사용인남동점,경기 용인시 처인구 백옥대로 954-0,외국식,14080
9,대성부대고기전문,경기 용인시 처인구 금령로90번길 3-6,한식,14048
10,칼리오페,경기 용인시 처인구 성산로170번길 23-1,전문음식,11452
11,김순남청국장,경기 용인시 처인구 백옥대로 885-0,한식,10168
12,먹보한우용인처인점,경기 용인시 처인구 백옥대로 1168-0,한식,10104
13,맥도날드용인시청DT점,경기 용인시 처인구 중부대로 1166-0,간이음식,10051
14,이화수전통육개장용인남동점,경기 용인시 처인구 백옥대로 941-0,한식,9880
15,어로프슬라이스피스,경기 용인시 처인구 백령로 47-0,카페/찻집,9595
16,엄마손칼국수,경기 용인시 처인구 금학로 343-0,한식,8816
17,춘천닭갈비,경기 용인시 처인구 금령로27번길 6-4,전문음식,8776
18,푸름피크닉카페,경기 용인시 처인구 명지로 216-0,카페/찻집,8488
19,카페신기로,경기 용인시 처인구 신기로 106-30,카페/찻집,8240
20,맥도날드용인점,경기 용인시 처인구 금령로 97-0,간이음식,8176
21,맥도날드용인DT점,경기 용인시 처인구 백옥대로 1176-0,간이음식,7624
22,도미노피자용인점,경기 용인시 처인구 금령로12번길 6-1,간이음식,6960
23,교촌치킨용인1호점,경기 용인시 처인구 중부대로 1355-0,간이음식,6672
24,본가왕뼈감자탕용인중앙점,경기 용인시 처인구 중부대로 1403-0,한식,6544
25,명륜진사갈비용인 김량장점,경기 용인시 처인구 중부대로 1395-0,한식,6240
26,수누리감자탕용인본점,경기 용인시 처인구 중부대로 1425-0,한식,5648
27,뚝배기양평해장국용인점,경기 용인시 처인구 백옥대로 937-0,한식,5640
28,본구이캠프,경기 용인시 처인구 중부대로 1947-0,한식,5566
29,호접몽[중식],경기 용인시 처인구 명지로 125-0,외국식,5488
30,라미르,경기 용인시 처인구 원양로 426-0,카페/찻집,5399
31,쭈꾸미킹용인점,경기 용인시 처인구 유림로147번길 55-2,전문음식,5134
32,강쇠낙지마을,경기 용인시 처인구 명지로 314-0,전문음식,4760
33,스타벅스용인시청DT점,경기 용인시 처인구 중부대로 1130-0,카페/찻집,4632
34,투썸플레이스처인구청점,경기 용인시 처인구 금령로 64-0,카페/찻집,4600
35,헤밍웨이베이커리카페&다이닝양지점,경기 용인시 처인구 남평로 59-5,카페/찻집,4591
36,쿠우쿠우용인점,경기 용인시 처인구 명지로40번길 9-0,전문음식,4545
37,그린웨일,경기 용인시 처인구 어진로 771-0,카페/찻집,4520
38,남이섬,경기 용인시 처인구 백옥대로 1013-0,전문음식,4504
39,커피테이너,경기 용인시 처인구 명지로 168-0,카페/찻집,4496
40,고철상김량장직영점,경기 용인시 처인구 중부대로 1409-0,한식,4240
41,미야자키,경기 용인시 처인구 명지로 269-0,한식,4208
42,교동짬뽕[중식],경기 용인시 처인구 중부대로 1403-0,외국식,4096
43,민속촌24시감자탕,경기 용인시 처인구 금령로 118-1,한식,4024
44,SUBWAY김량장점,경기 용인시 처인구 금령로71번길 3-0,간이음식,3992
45,프랭크커핀바용인점,경기 용인시 처인구 금령로117번길 7-0,카페/찻집,3856
46,밀토랑바지락칼국수,경기 용인시 처인구 한터로 18-0,한식,3747
47,카페톤,경기 용인시 처인구 초부로 192-0,카페/찻집,3432
48,황소고집본점,경기 용인시 처인구 능원로 74-0,한식,3363
49,고향보리밥,경기 용인시 처인구 유림로 173-0,한식,3273
50,자주오리돌판구이,경기 용인시 처인구 금령로40번길 13-0,전문음식,3256
51,돈까스잔치마성점,경기 용인시 처인구 석성로 862-0,전문음식,3187
52,언톨드,경기 용인시 처인구 죽양대로 2269-0,카페/찻집,3138
53,라임그라스,경기 용인시 처인구 한터로 529-9,카페/찻집,3106
54,봉산짬뽕[중식],경기 용인시 처인구 백옥대로 1048-0,외국식,3104
55,남사커피,경기 용인시 처인구 경기동로518번길 58-0,카페/찻집,3039
56,형근씨갑오징어짬뽕,경기 용인시 처인구 성산로 447-0,전문음식,3003
57,무한조개용인점,경기 용인시 처인구 금령로72번길 6-3,전문음식,3000
58,양지석쇠불고기[한식],경기 용인시 처인구 양지로 116-0,한식,2967
59,제철그륵,경기 용인시 처인구 명지로 269-0,외국식,2928
60,시로이,경기 용인시 처인구 백옥대로 1104-0,전문음식,2912
61,서봉수참치,경기 용인시 처인구 금령로71번길 9-0,전문음식,2896
62,순두부마을,경기 용인시 처인구 중부대로1392번길 18-7,한식,2872
63,스타벅스용인마평DT점,경기 용인시 처인구 금령로 188-0,카페/찻집,2871
64,탐앤탐스용인중앙점,경기 용인시 처인구 중부대로1353번길 1-0,카페/찻집,2816
65,몽뻬르베이커리카페,경기 용인시 처인구 능원로132번길 2-0,간이음식,2724
66,제일식당,경기 용인시 처인구 백암로201번길 11-0,전문음식,2696
67,조마루감자탕용인점,경기 용인시 처인구 중부대로 1421-0,한식,2664
68,태봉산한터오리골,경기 용인시 처인구 주북로 440-0,전문음식,2603
69,북극해고등어용인역북점,경기 용인시 처인구 성산로 104-0,한식,2602
70,카페8794용인점,경기 용인시 처인구 경기동로785번길 50-2,카페/찻집,2576
71,자연의밥로송묵리본점 [한식],경기 용인시 처인구 한덕로 19-0,한식,2530
72,경자국밥,경기 용인시 처인구 낙은로 120-0,한식,2508
73,코드라인,경기 용인시 처인구 한터로 687-22,카페/찻집,2506
74,루나리치용인명지대점,경기 용인시 처인구 명지로 217-0,외국식,2496
75,해누리용인점,경기 용인시 처인구 능원로 54-0,한식,2489
76,인더트립,경기 용인시 처인구 금령로12번길 6-0,전문음식,2472
77,춘향골남원추어탕용인점,경기 용인시 처인구 금령로12번길 20-1,한식,2464
78,오와스시처인구점,경기 용인시 처인구 금령로85번길 3-0,외국식,2456
79,학성정육점식당,경기 용인시 처인구 백옥대로 853-0,한식,2445
80,팔당냉면용인시청점,경기 용인시 처인구 중부대로 1175-0,한식,2422
81,롯데리아용인천리점,경기 용인시 처인구 백옥대로 641-0,간이음식,2379
82,풍뎅이,경기 용인시 처인구 경안천로 260-0,한식,2363
83,묵리459,경기 용인시 처인구 이원로 484-0,카페/찻집,2341
84,경복궁개성손만두용인점,경기 용인시 처인구 중부대로 1396-0,한식,2296
84,무네미골,경기 용인시 처인구 백옥대로 882-0,한식,2296
86,송정누룽지백숙,경기 용인시 처인구 에버랜드로 74-0,한식,2271
87,삼미당막국수,경기 용인시 처인구 석성로 886-0,한식,2233
88,백년짬뽕[중식],경기 용인시 처인구 석성로888번길 37-14,외국식,2218
89,한터시골농장,경기 용인시 처인구 한터로 690-0,전문음식,2197
90,뜰안애,경기 용인시 처인구 백옥대로 805-18,한식,2150
91,설봄,경기 용인시 처인구 명지로 317-0,한식,2112
92,희락보리,경기 용인시 처인구 포곡로234번길 10-0,한식,2105
93,짬뽕지존남사점 [중식],경기 용인시 처인구 경기동로 81-0,외국식,2067
94,자연의밥로송한터점 [한식],경기 용인시 처인구 한터로 536-0,한식,2064
95,수제갈비진상,경기 용인시 처인구 에버랜드로 71-0,한식,2041
96,에그로커피,경기 용인시 처인구 백옥대로1082번길 10-0,카페/찻집,2008
97,국빈장[중식],경기 용인시 처인구 금령로13번길 5-0,외국식,2000
98,정담명가남원추어탕,경기 용인시 처인구 백옥대로 948-0,한식,1992
98,설빙용인처인구점,경기 용인시 처인구 금령로 65-0,카페/찻집,1992
100,소담촌용인역북점,경기 용인시 처인구 명지로60번길 8-14,한식,1986
