순위,업소명,주소,분류,현지인 검색 수
1,봉덕칼국수,경기 의왕시 징계골길 9-0,한식,11668
2,선일목장정육식당,경기 의왕시 백운안길 49-0,한식,7236
3,rrroh,경기 의왕시 백운중앙로4길 54-0,카페/찻집,4111
4,명장시대백운호수점,경기 의왕시 백운로 415-0,카페/찻집,3714
5,백운재[한식],경기 의왕시 학현로 170-22,한식,3486
6,베이커리 카페 리코,경기 의왕시 왕송못서길 26-1,간이음식,3394
7,37.5의왕왕송호수점,경기 의왕시 왕송못서길 116-0,카페/찻집,3373
8,자연그리고어반,경기 의왕시 바라산로 83-0,한식,3341
9,조가네갑오징어왕송호수점,경기 의왕시 왕송못서길 107-0,전문음식,3202
10,뜰안채2[한식],경기 의왕시 양지편로 39-18,한식,2997
11,정원칼국수,경기 의왕시 능안길 146-0,한식,2846
12,백운한정식[한식],경기 의왕시 능안길 27-0,한식,2776
13,청이당,경기 의왕시 청계로 167-6,카페/찻집,2654
14,조가네갑오징어백운호수점,경기 의왕시 문화예술로 161-0,전문음식,2635
15,복진면의왕본점,경기 의왕시 독정이길 28-0,전문음식,2633
16,그린플래그커피,경기 의왕시 백운로 404-0,카페/찻집,2526
17,카페인더뷰,경기 의왕시 왕송못서길 72-0,카페/찻집,2522
18,홍익돈까스의왕왕송호수점,경기 의왕시 왕소나무길 23-1,전문음식,2512
19,산앤들,경기 의왕시 옥박골동길 12-0,한식,2371
20,OLA2,경기 의왕시 의일로 25-0,외국식,2267
21,육전국밥왕송호수점,경기 의왕시 왕송못서길 8-1,한식,2164
22,커피트레인,경기 의왕시 왕송못서길 32-0,카페/찻집,2096
23,청운누룽지백숙,경기 의왕시 의일로 11-0,한식,2028
24,카페라붐,경기 의왕시 학현로 170-86,카페/찻집,2018
25,도래샘,경기 의왕시 오매기백운산길 67-0,한식,1988
26,둥근상시골집,경기 의왕시 왕송못동로 215-0,한식,1978
27,정성담의왕점,경기 의왕시 고산로 1-0,한식,1968
28,명가,경기 의왕시 솔고개길 23-0,한식,1929
29,제주은희네해장국의왕포일점,경기 의왕시 양지편로 2-0,한식,1857
30,푼푼,경기 의왕시 왕곡로 236-0,전문음식,1824
31,와우리장작구이백운호수점,경기 의왕시 백운로 394-0,전문음식,1820
32,이학순베이커리백운호수점,경기 의왕시 학현로 170-23,카페/찻집,1789
33,한상차림코다리명가백운호수점,경기 의왕시 백운로 497-3,전문음식,1761
34,송이향[한식],경기 의왕시 백운로 413-0,한식,1705
35,콩지팥찌,경기 의왕시 독정이길 26-0,한식,1652
36,자연콩[한식],경기 의왕시 문화예술로 163-0,한식,1641
37,파라디조,경기 의왕시 왕송못서길 38-0,전문음식,1622
38,산촌,경기 의왕시 백운로 140-10,한식,1588
39,청계누룽지백숙,경기 의왕시 학현로 170-82,한식,1556
40,백운애꽃,경기 의왕시 한직골남로 18-0,한식,1545
41,청운누룽지백숙2호점,경기 의왕시 뒷골길 19-0,한식,1541
42,백운호수한정식사계[한식],경기 의왕시 학현로 170-42,한식,1531
43,에스타시온,경기 의왕시 초평로 201-0,전문음식,1516
44,황토장어본점,경기 의왕시 능안길 2-0,전문음식,1471
45,도깨비반점[중식],경기 의왕시 부곡시장4길 8-0,외국식,1464
46,가나안덕백운호수점,경기 의왕시 학현로 170-13,전문음식,1422
47,기와,경기 의왕시 백운로 481-0,전문음식,1412
48,남현골,경기 의왕시 학현로 170-21,한식,1408
49,전복촌[한식],경기 의왕시 의일로 7-0,한식,1405
50,뒤란,경기 의왕시 왕곡로 227-0,카페/찻집,1398
51,가온길왕송호수본점,경기 의왕시 왕송못서길 149-0,한식,1392
52,임학순원주추어탕본점,경기 의왕시 안양판교로 119-0,한식,1362
53,코코테로,경기 의왕시 능안길 85-0,간이음식,1352
54,청계흑염소,경기 의왕시 성고개로 27-0,한식,1313
55,초평가배,경기 의왕시 왕송못서길 52-0,카페/찻집,1284
56,이우철한방누룽지삼계탕백운호수점,경기 의왕시 학현로 170-52,한식,1282
57,카페막시왕송호수점,경기 의왕시 왕송못동로 280-0,카페/찻집,1272
58,백운동,경기 의왕시 백운로 505-0,외국식,1261
59,장수촌,경기 의왕시 청계로 183-1,전문음식,1215
60,정가네숯불갈비,경기 의왕시 부곡공원길 7-0,한식,1210
61,온누리장작구이백운호수점,경기 의왕시 능안길 13-6,전문음식,1207
62,약초산,경기 의왕시 교동길 19-0,한식,1204
63,산나래한정식[한식],경기 의왕시 능안길 151-0,한식,1199
64,카페흙과나무,경기 의왕시 백운로 496-0,카페/찻집,1186
65,가배정원,경기 의왕시 초평로 49-0,카페/찻집,1126
66,이대가장수촌,경기 의왕시 왕송못서길 198-0,한식,1082
67,영산강민물장어백운호수2호점,경기 의왕시 학현로 272-0,전문음식,1068
68,일품명가,경기 의왕시 윗새우대북길 32-0,한식,1064
69,민속두부마을의왕점,경기 의왕시 오봉산길 17-0,한식,1059
70,은미정,경기 의왕시 벌모루길 1-0,한식,1056
71,열두대문계절쌈밥백운호수점,경기 의왕시 학현로 210-0,한식,1051
72,초평골편백찜샤브샤브,경기 의왕시 천왕골길 22-0,전문음식,1045
73,전라도팥바지락칼국수,경기 의왕시 안양판교로 379-0,한식,1016
74,포가백운호수점,경기 의왕시 한직골남로 11-0,외국식,1015
75,전복명가,경기 의왕시 학현로 158-0,전문음식,1008
76,수예몽,경기 의왕시 뒷골길 27-0,카페/찻집,1008
77,탑해물칼국수,경기 의왕시 안양판교로 264-0,한식,1007
78,37.5백운호수점,경기 의왕시 학현로 104-0,전문음식,980
79,CaffeLotus,경기 의왕시 왕송못서길 80-0,카페/찻집,978
80,라따,경기 의왕시 백운로 393-0,외국식,976
81,청초수물회섭국백운호수점,경기 의왕시 백운로 411-0,전문음식,963
82,부연편백찜샤브샤브,경기 의왕시 고고리길 8-0,전문음식,956
83,온누리쭈꾸미백운호수점,경기 의왕시 능안길 19-0,전문음식,956
84,강남면옥백운호수점,경기 의왕시 의일로 15-0,한식,893
85,짬뽕지존청계점,경기 의왕시 안양판교로 248-0,외국식,890
86,굼터,경기 의왕시 원터윗길 16-0,한식,886
87,바다상회해물칼국수,경기 의왕시 초평로 182-0,한식,880
88,손커피연구소본점,경기 의왕시 부곡중앙남7길 27-0,카페/찻집,878
89,손커피연구소왕송호수점,경기 의왕시 초평로 182-0,카페/찻집,873
90,카페아란,경기 의왕시 학현로 53-0,카페/찻집,863
91,마당기픈집,경기 의왕시 오봉로 292-0,한식,836
92,선비묵집[한식],경기 의왕시 학현로 170-70,한식,827
93,농군의집,경기 의왕시 오매기백운산길 54-13,전문음식,820
94,천만애능이백숙,경기 의왕시 오매기가운데말길 7-0,한식,802
95,농업회사법인봉농,경기 의왕시 징계골길 43-0,음식점기타,770
96,새우대농장,경기 의왕시 왕송못서길 141-0,한식,768
97,옛날보리밥집,경기 의왕시 손골길 17-0,한식,768
