순위,업소명,주소,분류,현지인 검색 수
1,파크프리베,경기 의정부시 동일로192번길 28-27,카페/찻집,14567
2,우리나라,경기 의정부시 동일로128번길 11-0,한식,13040
3,밀가마국시집,경기 의정부시 호국로1723번길 28-0,한식,10499
4,아나키아,경기 의정부시 잔돌길 22-0,카페/찻집,8468
5,나크타,경기 의정부시 망월로28번길 137-0,카페/찻집,7233
6,솔가원,경기 의정부시 호국로 1769-5,한식,7160
7,제주은희네해장국의정부고산점,경기 의정부시 산꽃길 11-0,한식,7043
8,착한낙지의정부본점,경기 의정부시 동일로 856-0,전문음식,6818
9,오뎅식당본점,경기 의정부시 호국로1309번길 7-0,전문음식,6177
10,송추가마골의정부점,경기 의정부시 청사로6번길 11-0,한식,5854
11,달리온,경기 의정부시 송산로915번길 123-0,카페/찻집,5364
12,카페아를,경기 의정부시 동일로 204-0,카페/찻집,5131
13,여민락,경기 의정부시 민락로 220-0,한식,4921
14,구끼구끼민락본점,경기 의정부시 새롬안길 1-0,한식,4815
15,평양면옥의정부본점,경기 의정부시 평화로439번길 7-0,한식,4655
16,약초원,경기 의정부시 범골로 47-0,한식,4486
17,오리타운,경기 의정부시 민락로445번길 5-0,전문음식,4342
18,오크힐커피,경기 의정부시 동일로150번길 114-0,카페/찻집,4166
19,스시히로미,경기 의정부시 발곡로 24-0,외국식,4129
20,잠실감자탕의정부점,경기 의정부시 신흥로 233-0,한식,3991
21,아사랑[중식],경기 의정부시 둔야로17번길 32-0,외국식,3748
22,정직한제빵소,경기 의정부시 민락로 475-0,간이음식,3734
23,예닮채,경기 의정부시 충의로 83-1,전문음식,3499
24,강경불고기장암본점,경기 의정부시 서계로 91-0,한식,3469
25,오형제손짜장의정부본점 [중식],경기 의정부시 시민로 348-0,외국식,3421
26,망향비빔국수의정부민락점,경기 의정부시 민락로 239-0,한식,3329
27,카페리브로,경기 의정부시 범골로35번길 69-6,카페/찻집,3325
28,마이야르,경기 의정부시 민락로445번길 22-0,카페/찻집,3299
29,돈까스잔치의정부녹양점,경기 의정부시 동일로 852-0,전문음식,3234
30,돈까스클럽용현점,경기 의정부시 시민로 458-0,전문음식,3233
31,경원식당본점,경기 의정부시 둔야로49번길 21-0,전문음식,3207
32,고산떡갈비,경기 의정부시 평화로562번길 13-0,한식,3195
33,매화당생갈비의정부점,경기 의정부시 신흥로 178-0,한식,3127
34,짬뽕타임플러스의정부점 [중식],경기 의정부시 충의로 99-0,외국식,3088
35,파머스빌리지플러스호원점,경기 의정부시 범골로35번길 78-0,카페/찻집,3079
36,백세삼계탕의정부점,경기 의정부시 서부로 747-0,한식,3048
37,투앤디,경기 의정부시 호국로 1982-0,카페/찻집,2992
