순위,업소명,주소,분류,현지인 검색 수
1,홍익돈까스송탄점,경기 평택시 추담로 13-0,전문음식,46784
2,투썸플레이스평택석정점,경기 평택시 돌우물길 1-0,카페/찻집,42848
3,스타벅스평택이충DT점,경기 평택시 청원로 1388-0,카페/찻집,42616
4,천지연평택고덕지구점,경기 평택시 돌우물길 15-0,한식,39912
5,최미삼순대국서정점,경기 평택시 서정로268번길 35-0,한식,35480
6,우설화평택고덕지구점,경기 평택시 돌우물길 17-0,한식,35208
7,진원소우평택이충점,경기 평택시 서정역로36번길 88-0,한식,32088
8,불난버섯집[한식],경기 평택시 고덕북로 63-0,한식,30007
9,차순옥,경기 평택시 경기대로 1114-0,한식,26536
10,미스진햄버거송탄본점,경기 평택시 쇼핑로 3-1,간이음식,26496
11,장강[중식],경기 평택시 서정역로 6-0,외국식,26336
12,더부페,경기 평택시 경기대로 1033-0,전문음식,25840
13,게으쭈루,경기 평택시 정암로 126-49,전문음식,25648
14,감자옹심이메밀칼국수,경기 평택시 추담로 56-13,한식,25280
15,할리스평택이충DT점,경기 평택시 추담로 30-0,카페/찻집,24840
16,맥도날드평택세교 DT점,경기 평택시 경기대로 570-0,간이음식,22752
17,착한낙지평택송탄점,경기 평택시 청원로 1285-0,전문음식,21216
18,푸릴리평택점,경기 평택시 추담로 56-8,한식,19304
19,돈까스클럽송탄점,경기 평택시 청원로 1373-0,전문음식,18984
20,스시노백쉐프평택송탄43호점,경기 평택시 정암로 126-30,외국식,18880
21,메인스트리트,경기 평택시 포승산단로13번길 37-21,카페/찻집,18271
22,항아리보쌈송탄이충점,경기 평택시 청원로 1340-0,전문음식,18104
23,빵과당신,경기 평택시 만세로 1720-4,간이음식,17682
24,훈장골평택점,경기 평택시 비전3로 157-0,한식,17515
25,아카이브카페,경기 평택시 강변로 468-0,카페/찻집,17371
26,종가갈비본점,경기 평택시 정암로 104-23,한식,17152
27,만세해장국밥,경기 평택시 만세로 1754-8,한식,16636
28,오성숯불갈비,경기 평택시 서정역로36번길 97-0,한식,16344
29,스타벅스평택세교DT점,경기 평택시 경기대로 625-0,카페/찻집,15479
30,김네집,경기 평택시 중앙시장로25번길 15-0,전문음식,15244
31,버거킹평택고덕신도시GS점,경기 평택시 고덕국제2로 54-0,간이음식,14323
32,밥심,경기 평택시 효덕새싹길 120-23,한식,13183
33,프리퍼,경기 평택시 지산로140번길 243-0,카페/찻집,13134
34,고등어명품이되다본점,경기 평택시 만세로 1678-0,한식,12649
35,마루밥상[한식],경기 평택시 경기대로 1060-0,한식,12200
36,카페포문,경기 평택시,카페/찻집,10656
37,우담채,경기 평택시 송탄로 35-0,한식,10640
38,송탄두꺼비식당,경기 평택시 목천로25번길 92-0,한식,10470
39,신청담동부페,경기 평택시 경기대로 1048-10,전문음식,9776
40,버거킹평택죽백DT점,경기 평택시 만세로 1709-0,간이음식,9322
41,스타벅스평택고덕점,경기 평택시 고덕여염9길 38-0,카페/찻집,8956
42,메종쇼당평택프리미엄아울렛점,경기 평택시 경기대로 945-0,카페/찻집,8896
43,스타벅스평택죽백DT점,경기 평택시 만세로 1707-0,카페/찻집,8564
44,소플러스송탄점,경기 평택시 추담로 58-13,한식,8384
45,쿠우쿠우송탄점,경기 평택시 경기대로 1407-0,전문음식,8262
46,파리바게뜨평택장당점,경기 평택시 송탄로40번길 63-10,간이음식,7840
47,꽃마름평택소사벌점,경기 평택시 평남로 941-0,전문음식,7839
48,집밥한식뷔페,경기 평택시 경기대로 1084-7,전문음식,7816
48,대왕탕,경기 평택시 서정역로25번길 23-5,한식,7816
50,명산장어,경기 평택시 청원로 1287-0,전문음식,7648
51,추오정남원추어탕이충점,경기 평택시 청원로 1287-0,한식,7608
52,스타벅스평택안중DT점,경기 평택시 서동대로 1459-0,카페/찻집,7581
53,육하원칙송탄점,경기 평택시 추담로 58-27,한식,7536
54,최네집부대찌개본점,경기 평택시 경기대로 1401-0,전문음식,7492
55,밥보다국시,경기 평택시 청원로 1359-0,한식,7432
56,조리고본점,경기 평택시 만세로 1686-0,한식,7200
57,쌍흥원[중식],경기 평택시 이충로100번길 45-0,외국식,7040
58,개성집송탄점,경기 평택시 돌우물길 2-0,한식,6824
59,스시다이닝준베스트원점,경기 평택시 경기대로 945-0,외국식,6792
60,고덕진곰탕이충본점,경기 평택시 청원로 1324-0,한식,6752
61,피자헛평택이충점,경기 평택시 이충로35번길 28-7,간이음식,6680
62,염소야,경기 평택시 정암로 126-34,한식,6667
