순위,업소명,주소,분류,현지인 검색 수
1,맥도날드포천DT점,경기 포천시 호국로 894-0,간이음식,7703
2,어가길베이커리,경기 포천시 어가길 72-0,간이음식,6241
3,무봉리토종순대국본점,경기 포천시 호국로 475-0,한식,5412
4,스타벅스포천DT점,경기 포천시 호국로 925-0,카페/찻집,4552
5,금강산매운갈비찜,경기 포천시 수입로 348-0,한식,4458
6,폴콘포천점,경기 포천시 부흥로 692-0,간이음식,3964
7,장인더카페,경기 포천시 호국로 1578-0,카페/찻집,3907
8,숲속의제빵소,경기 포천시 틀못이길 29-0,간이음식,3414
9,브릭스퀘어,경기 포천시 화동로1890번길 67-53,카페/찻집,3142
10,동이손만두,경기 포천시 광릉수목원로 700-5,한식,2690
11,고향나들이,경기 포천시 깊이울로 103-0,전문음식,2562
12,갈비1987포천이동본점,경기 포천시 화동로 2065-1,한식,2496
13,송추가마골송우점,경기 포천시 송우로 93-0,한식,2471
14,이동정원갈비,경기 포천시 화동로 1970-0,한식,2422
15,어느달,경기 포천시 마전길 237-1,전문음식,2336
16,옹기골만찬,경기 포천시 수입로 12-0,한식,2312
17,포천이동갈비촌,경기 포천시,음식점기타,2286
18,진흥식당,경기 포천시 화동로 1577-0,한식,2258
19,모내기[한식],경기 포천시 포천로 1495-0,한식,2185
20,원조이동김미자할머니갈비집본점,경기 포천시 화동로 2087-0,한식,2176
21,버거킹축석휴게소FS점,경기 포천시 호국로 56-0,간이음식,2062
22,쭈꾸미킹광릉수목원점,경기 포천시 광릉수목원로 1104-0,전문음식,2037
23,우목정,경기 포천시 화동로 1974-0,한식,2035
24,투썸플레이스포천고모호수점,경기 포천시 죽엽산로 438-0,카페/찻집,2033
25,산정호수빵명장,경기 포천시 산정호수로 826-25,간이음식,1895
26,내고향돌솥순대국본점,경기 포천시 호국로 1323-0,한식,1876
27,망향비빔국수포천직영점,경기 포천시 호국로 893-0,한식,1845
28,갈비장터,경기 포천시 솔모루로58번길 4-1,한식,1823
29,욕쟁이할머니집[한식],경기 포천시 죽엽산로 425-0,한식,1710
30,카페숨,경기 포천시 죽엽산로 502-61,카페/찻집,1696
31,포옥,경기 포천시 죽엽산로 685-20,카페/찻집,1527
32,미미향[중식],경기 포천시 화동로 2061-1,외국식,1454
33,올리앤포천직영점,경기 포천시 태봉로 16-0,외국식,1438
34,바위섬가든,경기 포천시 성장로 1156-40,한식,1404
35,뜰안에밥상,경기 포천시 광릉수목원로 724-23,한식,1394
36,스타벅스포천호국로DT점,경기 포천시 호국로 246-0,카페/찻집,1393
37,곰터먹촌,경기 포천시 내촌로 169-0,한식,1373
38,가비가배,경기 포천시 산정호수로 849-130,카페/찻집,1361
39,홍두깨국시집,경기 포천시 정문동길 24-0,한식,1351
40,벚골도토리막국수,경기 포천시 숯골길 325-0,한식,1338
41,철원생고기집,경기 포천시 삼육사로 2154-10,한식,1306
42,샤브마니아광릉수목원점,경기 포천시 광릉수목원로 1090-14,전문음식,1295
