순위,업소명,주소,분류,현지인 검색 수
1,맥도날드하남시청DT점,경기 하남시 대청로 25-0,간이음식,27928
2,스타벅스하남황산사거리점,경기 하남시 조정대로 65-0,카페/찻집,16154
3,만두집미사점,경기 하남시 미사대로 672-0,한식,16152
4,쿠우쿠우미사점,경기 하남시 미사강변동로 127-0,전문음식,12826
5,스타벅스하남미사DT점,경기 하남시 미사강변남로 35-0,카페/찻집,11853
6,팔당원조칼제비칼국수,경기 하남시 검단산로 348-0,한식,9960
7,지호한방삼계탕하남직영점,경기 하남시 하남대로 995-0,한식,9580
8,하남돼지집풍산직영점,경기 하남시 미사강변중앙로 43-0,한식,9477
9,달마당,경기 하남시 덕풍천서로 87-0,전문음식,9470
10,갈비도락미사본점,경기 하남시 미사대로 584-0,한식,9459
11,한채당[한식],경기 하남시 미사동로 38-0,한식,9156
12,훈장골하남점,경기 하남시 신평로 162-0,한식,8996
13,버거킹하남미사점,경기 하남시 미사강변대로 48-0,간이음식,8570
14,연남추어탕,경기 하남시 천현로 84-0,한식,7885
15,송추가마골하남미사점,경기 하남시 미사대로 438-0,한식,7745
16,꽃누리들밥[한식],경기 하남시 검단로 71-0,한식,7542
17,마방집[한식],경기 하남시 하남대로 674-0,한식,7435
18,정온,경기 하남시 신평로168번길 124-0,외국식,7413
19,소진담,경기 하남시 미사동로40번길 178-42,카페/찻집,7367
20,창모루,경기 하남시 검단산로 301-0,한식,7210
21,독불장군,경기 하남시 초일로 10-0,한식,6445
22,몽촌토성보리밥손칼국수,경기 하남시 월호로 48-7,한식,6272
23,거궁하남점 [한식],경기 하남시 미사대로 456-0,한식,6260
24,푸주옥,경기 하남시 풍초로 8-0,한식,6078
25,고창복낙지세상하남점,경기 하남시 미사대로 624-0,전문음식,6035
26,털보네바베큐미사동본점,경기 하남시 미사동로 49-0,한식,5794
27,남다른감자탕하남미사점,경기 하남시 미사대로 616-1,한식,5706
28,팔당냉면본점,경기 하남시 미사대로 520-0,한식,5647
29,카페웨더,경기 하남시 검단산로 228-8,카페/찻집,5463
30,오형제손짜장하남점 [중식],경기 하남시 하남대로 999-0,외국식,5322
31,일호점미역하남미사점,경기 하남시 미사강변한강로 155-0,한식,5202
32,미사리밀빛초계국수본점,경기 하남시 미사대로 608-0,한식,5067
33,디딤돌숨두부집미사리본점 [한식],경기 하남시 미사대로 616-0,한식,5064
34,도미노피자하남미사점,경기 하남시 미사강변서로 30-0,간이음식,5024
35,천지연하남미사점,경기 하남시 미사대로 430-0,한식,4900
36,하늘사다리,경기 하남시 하남대로801번길 40-0,간이음식,4866
37,조마루감자탕하남점,경기 하남시 하남대로776번길 31-0,한식,4858
38,공가네한우국밥전문점,경기 하남시 미사대로 572-0,한식,4553
39,촌놈집미사점,경기 하남시 미사강변대로 70-0,한식,4548
40,그린플레이트하남점,경기 하남시 덕풍동로 111-33,전문음식,4441
41,소나무집,경기 하남시 검단산로 342-13,한식,4336
42,오늘도웃자두루치기본점,경기 하남시 서하남로 569-0,한식,4298
43,브런치빈미사점,경기 하남시 미사강변중앙로 173-0,전문음식,4160
44,아빠찜,경기 하남시 월호로 60-0,한식,4046
45,소플러스미사점,경기 하남시 미사동로 50-0,한식,4041
46,이옥진시인마을베이커리카페,경기 하남시 미사동로40번길 74-0,카페/찻집,3884
47,방태막국수본점직영점,경기 하남시 미사대로 596-0,한식,3860
48,스시이안,경기 하남시 미사강변중앙로 174-0,외국식,3853
49,더노벰버라운지하남풍산역점,경기 하남시 미사강변한강로 420-0,카페/찻집,3834
50,아초원하남점,경기 하남시 감일남로52번길 21-29,외국식,3679
51,시어머니청국장,경기 하남시 이성로41번길 217-0,한식,3603
52,소담촌하남신장점,경기 하남시 신장동로 35-0,전문음식,3600
53,별난버섯집본점,경기 하남시 초광로 74-0,한식,3547
54,망향비빔국수미사리점,경기 하남시 하남대로 426-0,한식,3519
55,스타벅스하남미사점,경기 하남시 미사강변북로30번길 130-0,카페/찻집,3514
56,한우1번지,경기 하남시 미사대로 680-0,한식,3512
57,드로게리아,경기 하남시 미사동로 102-17,카페/찻집,3396
58,하남숯불닭갈비미사본점,경기 하남시 미사동로40번길 130-0,전문음식,3380
59,수우하남본점,경기 하남시 신장동로29번안길 25-0,카페/찻집,3338
60,은성수산,경기 하남시 하남대로 1043-36,전문음식,3228
61,갑산면옥,경기 하남시 월호로 62-0,한식,3196
62,자작나무갈비하남미사점,경기 하남시 미사동로 72-0,한식,3163
63,홍종흔베이커리미사한강점,경기 하남시 미사동로 52-5,간이음식,3077
64,미사장,경기 하남시 미사동로40번길 176-0,카페/찻집,2970
65,본스테이크,경기 하남시 미사강변중앙로111번길 5-0,전문음식,2926
66,먹보한우하남점,경기 하남시 월호로 48-6,한식,2878
