순위,업소명,주소,분류,현지인 검색 수
1,시티베이,경남 창원시 마산회원구 무역로 111-0,카페/찻집,2723
2,맥도날드창원내서DT점,경남 창원시 마산회원구 광려천서로 77-0,간이음식,1435
3,스타벅스마산봉암로DT점,경남 창원시 마산회원구 봉양로 118-0,카페/찻집,1414
4,쿠우쿠우마산점,경남 창원시 마산회원구 용마로 130-0,전문음식,1326
5,스타벅스창원호계DT점,경남 창원시 마산회원구 호원로 315-0,카페/찻집,1272
6,고유커피,경남 창원시 마산회원구 신감길 13-14,카페/찻집,1266
7,버거킹마산회원FS점,경남 창원시 마산회원구 3·15대로 522-0,간이음식,770
8,스타벅스마산역DT점,경남 창원시 마산회원구 3·15대로 715-0,카페/찻집,742
9,라상떼베이커리카페,경남 창원시 마산회원구 제2금강산길 135-0,간이음식,714
10,약수터가든,경남 창원시 마산회원구 회성서1길 11-0,한식,680
11,카페모드니,경남 창원시 마산회원구 광려천서로 199-0,카페/찻집,664
12,거창가든,경남 창원시 마산회원구 송평로 170-0,전문음식,595
13,오리하우스,경남 창원시 마산회원구 호원로 382-0,한식,593
14,평양냉면,경남 창원시 마산회원구 양덕옛2길 73-0,한식,449
14,강변횟집,경남 창원시 마산회원구 석전동16길 25-0,전문음식,449
16,팔봉돼지국밥,경남 창원시 마산회원구 호계본동1길 17-0,한식,439
17,스타벅스창원내서점,경남 창원시 마산회원구 광려천서로 81-0,카페/찻집,427
18,자갈커피,경남 창원시 마산회원구 북성로 516-0,카페/찻집,424
19,홍연고택,경남 창원시 마산회원구 안계길 8-0,카페/찻집,410
20,VIPS마산롯데마트점,경남 창원시 마산회원구 삼호로 80-0,전문음식,402
21,하동식육식당,경남 창원시 마산회원구 석전동5길 51-0,한식,399
22,케빈의정원,경남 창원시 마산회원구 쌀재길 689-0,카페/찻집,397
23,부산이화양곱창,경남 창원시 마산회원구 양덕북18길 35-0,전문음식,345
24,김충기꽃삼겹창원내서점,경남 창원시 마산회원구 삼풍로 107-0,한식,342
24,키다리횟집,경남 창원시 마산회원구 석전동16길 27-0,전문음식,342
26,맥도날드마산석전DT점,경남 창원시 마산회원구 3·15대로 601-0,간이음식,328
27,투썸플레이스마산삼계점,경남 창원시 마산회원구 경남대로 909-0,카페/찻집,321
28,황금명태본가마산점,경남 창원시 마산회원구 광려천북로 198-2,한식,315
29,명륜진사갈비마산회원점,경남 창원시 마산회원구 3·15대로 490-0,한식,304
30,24시 남양돼지국밥,경남 창원시 마산회원구 합포로 286-0,한식,300
31,던킨마산양덕점,경남 창원시 마산회원구 율림교로 6-0,간이음식,280
32,컨트리맨즈마산점,경남 창원시 마산회원구 율림교로 6-0,외국식,274
33,스타벅스창원NC파크R점,경남 창원시 마산회원구 삼호로 63-0,카페/찻집,273
34,롯데리아마산내서점,경남 창원시 마산회원구 경남대로 915-0,간이음식,264
