순위,업소명,주소,분류,현지인 검색 수
1,해플스팜사이더리,경남 거창군 갈지2길 192-8,카페/찻집,1583
2,창성[중식],경남 거창군 죽전4길 132-15,외국식,1336
3,외양간구시,경남 거창군 상동2길 70-0,한식,811
4,이수미팜베리농가레스토랑&카페,경남 거창군 갈지길 261-40,카페/찻집,620
4,도감어가,경남 거창군 금원산길 166-0,한식,620
6,마리반점[중식],경남 거창군 송계로 300-0,외국식,537
7,거창축협한우팰리스,경남 거창군 거함대로 3178-0,한식,536
8,다우리밥상[한식],경남 거창군 송계로 441-0,한식,523
9,비룡[중식],경남 거창군 공수들6길 17-0,외국식,485
10,투썸플레이스경남거창점,경남 거창군 거열로4길 35-0,카페/찻집,483
11,우담,경남 거창군 밭들길 87-0,한식,478
12,카페라핀,경남 거창군 방촌길 46-0,카페/찻집,429
13,구구추어탕,경남 거창군 강남로 164-0,한식,406
14,동바리해장국,경남 거창군 강남로 196-0,한식,397
15,경원해물찜,경남 거창군 소만3길 36-20,한식,348
16,가조가마솥육개장순두부,경남 거창군 가조가야로 1129-0,한식,337
17,버거킹경남거창점,경남 거창군 거열로 106-0,간이음식,327
18,카페금원산갤러리,경남 거창군 덕거길 39-0,카페/찻집,321
19,삼산이수,경남 거창군 내학길 35-4,한식,263
20,베지나랑키친,경남 거창군 대야길 69-17,한식,257
21,마리해물칼국수,경남 거창군 거안로 854-0,한식,256
22,병곡횟집,경남 거창군 병곡길 512-0,전문음식,191
23,대산명가,경남 거창군 동동4길 46-0,한식,188
24,어림지거창점,경남 거창군 강남로 146-0,한식,184
25,핸즈커피거창점,경남 거창군 강남로1길 94-90,카페/찻집,178
26,교촌치킨거창1호점,경남 거창군 공수들3길 38-0,간이음식,177
27,운정골,경남 거창군 운정1길 114-0,한식,174
28,모든식당,경남 거창군 마상3길 7-0,한식,167
29,보약장어왕메기가조본점,경남 거창군 월포1길 141-269,전문음식,165
30,장고개식당,경남 거창군 공수들2길 5-0,한식,164
31,엔제리너스경남거창점,경남 거창군 강변로 121-0,카페/찻집,160
32,대구회가든,경남 거창군 병곡길 447-11,전문음식,156
33,쌍쌍식육식당,경남 거창군 가조가야로 1096-0,한식,154
34,월성계곡산장,경남 거창군 덕유월성로 1588-45,한식,153
35,롯데리아거창점,경남 거창군 아림로 20-1,간이음식,152
36,두레한정식[한식],경남 거창군 공수들6길 8-10,한식,144
37,더무그,경남 거창군 강변로 127-0,간이음식,140
38,하고리,경남 거창군 소곡2길 9-5,카페/찻집,138
39,대전식당,경남 거창군 주곡로 504-20,한식,135
40,소반한정식[한식],경남 거창군 온천길 162-0,한식,130
40,리시안3호점,경남 거창군 중촌2길 89-0,카페/찻집,130
