순위,업소명,주소,분류,현지인 검색 수
1,대동할매국수,경남 김해시 동남로45번길 8-0,한식,7563
2,배가네흥동수제비흥동점,경남 김해시 흥동로 142-0,한식,6718
3,김덕규과자점내동점,경남 김해시 구지로 20-0,간이음식,6089
4,밀양돼지국밥,경남 김해시 인제로 91-0,한식,6033
5,봄내,경남 김해시 율하카페길 1-0,한식,4941
6,빈인더바스켓,경남 김해시 율하7로 31-0,카페/찻집,4682
7,올오버베이커리&커피,경남 김해시 율하로 515-0,간이음식,3998
8,코지하우스김해점,경남 김해시 김해대로2324번길 32-0,외국식,3772
9,외식명가오립스,경남 김해시 김해대로1765번길 14-0,전문음식,3746
10,어방동핏제리아,경남 김해시 인제로 45-0,간이음식,3556
11,파우제앤숨,경남 김해시 동남로41번길 94-0,카페/찻집,3553
12,라포레이팝,경남 김해시 서부로1638번길 64-1,카페/찻집,3352
13,로담,경남 김해시 동남로 636-0,한식,3349
14,샤브20김해봉황점,경남 김해시 김해대로2272번안길 37-0,전문음식,3329
15,초원랜드,경남 김해시 대청계곡길 313-21,전문음식,3280
16,더부엌,경남 김해시 율하카페길 97-17,한식,3122
17,더도이종가집돼지국밥김해점,경남 김해시 분성로 152-0,한식,2968
18,솟대마을,경남 김해시 식만로348번길 21-0,전문음식,2766
19,산정[한식],경남 김해시 가야로 347-30,한식,2742
20,착한낙지김해점,경남 김해시 대청계곡길 195-8,전문음식,2739
21,영진돼지국밥장유점,경남 김해시 내덕로7번길 19-3,한식,2724
22,라인25,경남 김해시 식만로 354-63,카페/찻집,2688
23,카사벨라,경남 김해시 율하로346번길 41-0,전문음식,2609
24,수백당돼지국밥김해점,경남 김해시 인제로 109-0,한식,2603
25,일공공샤브김해주촌점,경남 김해시 선지로27번길 8-2,전문음식,2455
26,갑오삼계탕본점,경남 김해시 삼문로 6-0,한식,2446
27,국수가,경남 김해시 덕정로 156-0,한식,2333
28,에븐,경남 김해시 대청계곡길 188-35,카페/찻집,2294
29,김씨화덕,경남 김해시 율하카페길 85-9,전문음식,2285
30,한림칼국수,경남 김해시 한림로 417-0,한식,2279
31,서부커피로스터스봉황점,경남 김해시 봉황대길 43-0,카페/찻집,2279
32,곤지곤지장유점 [한식],경남 김해시 계동로 129-17,한식,2205
33,구산동돼지국밥,경남 김해시 해반천로 42-0,한식,2130
34,가얏골감자탕본점,경남 김해시 인제로39번길 12-23,한식,2121
35,다담뜰한식뷔페김해점,경남 김해시 금관대로 1158-0,전문음식,2120
36,카페위드자연과함께,경남 김해시 대동로 852-88,카페/찻집,2057
37,팥고방,경남 김해시 대청계곡길 44-13,카페/찻집,2042
38,가야밀면젤미,경남 김해시 번화1로44번길 20-0,전문음식,2040
39,수라상[한식],경남 김해시 강동로 51-0,한식,2039
40,못난이가마솥순두부,경남 김해시 월산로 162-0,한식,2015
41,세인즈가든,경남 김해시 대청계곡길 195-102,전문음식,1991
42,연지가든,경남 김해시 김해대로1902번길 12-134,전문음식,1988
43,착한쭈꾸미,경남 김해시 인제로 440-0,전문음식,1971
44,올오버키친,경남 김해시 율하로 515-0,외국식,1952
45,알베로,경남 김해시 동남로49번길 93-14,카페/찻집,1938
46,비오동,경남 김해시 관동로 58-0,전문음식,1894
47,정은이네,경남 김해시 함박로101번길 8-0,간이음식,1891
48,더파티김해점,경남 김해시 김해대로 2352-0,전문음식,1883
49,무봉리토종순대국장유점,경남 김해시 내덕로 46-0,한식,1874
50,보름달[일식],경남 김해시 율하카페길 71-13,외국식,1871
51,신라가든,경남 김해시 진영로 464-0,한식,1843
52,아제돼지국밥김해율하점,경남 김해시 율하1로81번길 4-5,한식,1829
53,해이담커피,경남 김해시 분성로 287-14,카페/찻집,1817
54,천하장사,경남 김해시 대청계곡길 242-0,전문음식,1815
55,오가네본점,경남 김해시 내외중앙로 98-0,전문음식,1814
56,금동가,경남 김해시 가야로157번길 26-10,전문음식,1813
57,플로라620,경남 김해시 인제로 620-0,카페/찻집,1795
58,하이브레드,경남 김해시 김해대로 364-1,간이음식,1770
59,에디스키친,경남 김해시 대청계곡길 46-0,전문음식,1762
60,백프로갈비,경남 김해시 활천로186번길 28-0,한식,1740
61,더세하,경남 김해시 대청계곡길 257-39,카페/찻집,1722
62,푸주옥,경남 김해시 분성로 545-0,한식,1699
63,옥이네뒷고기,경남 김해시 금관대로1204번길 24-0,한식,1667
64,김덕규과자점,경남 김해시 활천로 32-0,간이음식,1648
65,무남정[한식],경남 김해시 관동로27번길 4-17,한식,1644
66,카페달리아,경남 김해시 인제로 433-0,카페/찻집,1640
67,코지하우스진영점,경남 김해시 김해대로 386-32,전문음식,1634
68,효돈까스김해직영점,경남 김해시 관동로27번길 30-0,전문음식,1615
69,딥밀,경남 김해시 장유로149번길 12-0,카페/찻집,1602
70,한우천따지,경남 김해시 관동로71번길 3-0,한식,1591
71,멍프리,경남 김해시 한림로343번길 47-199,카페/찻집,1586
72,450도고등어,경남 김해시 인제로 424-0,한식,1584
73,두총각닭갈비율하점,경남 김해시 율하카페길 31-10,전문음식,1573
74,가야마루,경남 김해시 인제로51번길 6-0,한식,1570
75,김해맛집장인갈비,경남 김해시 내외중앙로 106-0,한식,1561
76,연기나는집,경남 김해시 신안계곡길 8-0,한식,1548
77,정성별미국수,경남 김해시 삼계로69번길 22-23,한식,1547
