순위,업소명,주소,분류,현지인 검색 수
1,힙한식,경남 남해군 동부대로 2-0,한식,2597
2,우리식당,경남 남해군 동부대로1876번길 7-0,한식,1531
3,더풀,경남 남해군 남서대로1517번길 50-0,간이음식,1239
4,헐스밴드,경남 남해군 남서대로1517번길 44-0,카페/찻집,1035
5,미조식당,경남 남해군 미조로 232-0,전문음식,980
6,카페유자,경남 남해군 동부대로 1423-0,카페/찻집,956
7,동천식당,경남 남해군 동부대로 1286-0,한식,920
8,복만식당,경남 남해군 남면로 1743-0,전문음식,888
9,은성쌈밥,경남 남해군 동부대로 1305-0,한식,885
10,할로브리즈,경남 남해군 동부대로1122번길 131-6,카페/찻집,861
11,남해전복물회,경남 남해군 남해대로 2436-0,전문음식,829
12,재두식당,경남 남해군 남해대로 918-6,한식,825
13,시골할매막걸리,경남 남해군 남면로679번길 17-37,한식,814
14,램스하우스,경남 남해군 동부대로 1078-0,전문음식,803
15,부어스트라덴,경남 남해군 독일로 33-0,전문음식,746
16,다랭이맛집,경남 남해군 남면로679번길 31-10,한식,743
17,완벽한인생,경남 남해군 독일로 30-0,외국식,710
18,남해의숲,경남 남해군 독일로 152-8,카페/찻집,708
19,남해정식당,경남 남해군 화전로122번가길 7-0,한식,657
20,달반늘,경남 남해군 죽방로 99-0,전문음식,645
21,남해라운지32,경남 남해군 남서대로 539-0,카페/찻집,643
22,부산횟집,경남 남해군 남서대로 1727-15,전문음식,639
23,남해향촌[한식],경남 남해군 동부대로 1278-0,한식,639
24,풍운정,경남 남해군 동부대로 1587-0,한식,638
25,백년유자2호점,경남 남해군 남서대로 768-0,카페/찻집,629
26,행복베이커리,경남 남해군 화전로 87-0,간이음식,602
27,카페샌드,경남 남해군 남면로1229번길 36-7,카페/찻집,596
28,돌창고프로젝트,경남 남해군 스포츠로 487-0,카페/찻집,556
29,카페톨,경남 남해군 남면로679번길 17-27,카페/찻집,550
30,배가네멸치쌈밥,경남 남해군 동부대로 1773-0,한식,549
31,남해촌집화소반,경남 남해군 상주로74번길 6-0,카페/찻집,527
32,남해시장회센터,경남 남해군 화전로96번가길 11-1,전문음식,506
33,난향,경남 남해군 남서대로 195-0,한식,505
34,당케슈니첼,경남 남해군 독일로 27-0,전문음식,460
35,초전집,경남 남해군 동부대로 9-0,한식,446
36,한촌설렁탕남해점,경남 남해군 스포츠로 12-1,한식,431
37,일식면예찬,경남 남해군 남서대로 743-0,외국식,430
38,돌창고,경남 남해군 봉화로 538-1,카페/찻집,429
39,남해그집,경남 남해군 남해대로 2551-0,한식,428
40,박원숙의커피앤스토리다랭이마을점,경남 남해군 남면로679번길 28-1,카페/찻집,406
41,쿤스트라운지,경남 남해군 독일로 34-0,전문음식,397
42,모스트커피화덕피자남해독일점,경남 남해군 독일로 152-8,간이음식,396
43,호원정,경남 남해군 동부대로 1946-0,전문음식,391
44,주란식당,경남 남해군 남서대로 770-0,한식,388
