순위,업소명,주소,분류,현지인 검색 수
1,스타벅스밀양DT점,경남 밀양시 밀양대로 1792-0,카페/찻집,2821
2,행랑채,경남 밀양시 산외로 731-0,한식,2619
3,맥도날드밀양DT점,경남 밀양시 밀양대로 1872-0,간이음식,2205
4,다원정,경남 밀양시 율전안길 29-0,한식,1794
5,고가식당,경남 밀양시 산외로 714-0,한식,1308
6,하마돈까스,경남 밀양시 미리벌로2길 17-0,전문음식,1264
7,암새들,경남 밀양시 용평로5길 184-0,한식,1247
8,설봉돼지국밥,경남 밀양시 노상하3길 9-0,한식,1222
9,밀양189,경남 밀양시 용평로5길 282-0,카페/찻집,1120
10,카페남포리,경남 밀양시 삼랑진로 1514-5,카페/찻집,1058
11,바래미바네사,경남 밀양시 만어로 440-0,카페/찻집,1041
12,카페그로브,경남 밀양시 퇴로로 326-5,카페/찻집,1030
13,여울목,경남 밀양시 표충로 645-0,한식,1029
14,1919봄,경남 밀양시 산외로 191-0,카페/찻집,952
15,단장면커피로스터스,경남 밀양시 표충로 679-0,카페/찻집,936
16,뜰마당[한식],경남 밀양시 퇴로3길 2-0,한식,886
17,홍두깨칼국수,경남 밀양시 예림서원로 108-15,한식,861
18,메나쥬,경남 밀양시 금천2길 23-34,카페/찻집,800
19,장사부밀양본점 [중식],경남 밀양시 남천강변로3길 9-1,외국식,776
20,다담뜰한식뷔페밀양점,경남 밀양시 역앞광장로 14-15,전문음식,687
21,산촌농원,경남 밀양시 금산5길 18-0,전문음식,650
22,부산집,경남 밀양시,한식,649
23,두근두근,경남 밀양시 미리벌로2길 10-0,한식,636
24,카페삼랑,경남 밀양시 삼랑진로 101-0,카페/찻집,622
25,태화루[중식],경남 밀양시 북성로 59-0,외국식,618
25,사포뚝소,경남 밀양시 송포로 152-10,한식,618
27,산그늘능이오리,경남 밀양시 산외로 309-6,전문음식,587
28,투썸플레이스밀양점,경남 밀양시 남천강변로 41-0,카페/찻집,584
29,아랑장어구이,경남 밀양시 상동로 231-0,전문음식,580
30,단골집,경남 밀양시 상설시장3길 18-16,한식,570
31,장사부밀양직영점 [중식],경남 밀양시 해천길 50-0,외국식,559
32,카페달리아삼랑진,경남 밀양시 천태로 359-0,카페/찻집,551
32,3대째가마솥추어탕,경남 밀양시 초하로 720-0,한식,551
34,밀양할매메기탕,경남 밀양시 용평로 438-0,한식,544
35,파스쿠찌밀양점,경남 밀양시 밀양대로 1753-27,카페/찻집,524
36,삼랑진 짬뽕[중식],경남 밀양시 삼랑진로 130-0,외국식,516
37,향촌갈비,경남 밀양시 내일상가1길 10-0,한식,514
38,대설면옥,경남 밀양시 창밀로 3569-3,한식,490
39,도연정,경남 밀양시 행곡로 472-1,한식,484
40,여물통한우,경남 밀양시 단장로 693-1,한식,480
41,동부식육식당,경남 밀양시 서부1길 3-0,한식,479
42,달구돼지국밥,경남 밀양시 예림2길 10-0,한식,478
43,채선당자연한가득밀양점,경남 밀양시 밀양대로 1745-12,전문음식,466
44,소문난수산국수,경남 밀양시 수산복개길 28-0,한식,450
45,어셈블커피로스터스,경남 밀양시 삼랑진로 32-0,카페/찻집,443
46,굴림당,경남 밀양시 남천강변로3길 7-0,한식,438
47,라라코스트밀양삼문점,경남 밀양시 미리벌중앙로 63-0,전문음식,414
48,어서이곳,경남 밀양시 산내용전1길 22-13,카페/찻집,396
49,오로라힐스,경남 밀양시 검암4길 96-46,전문음식,386
50,밀양인삼돼지국밥,경남 밀양시 백민로 83-0,한식,384
51,명사십리,경남 밀양시 예림서원로 82-0,카페/찻집,382
51,밀양봉쥬르,경남 밀양시 창밀로 3085-0,전문음식,382
53,솔밭만두,경남 밀양시 밀양대로 2362-0,한식,378
54,산아래휴,경남 밀양시 국전로 496-5,카페/찻집,366
55,임시정부,경남 밀양시 중앙로 256-1,한식,365
56,카페지엘,경남 밀양시 대사길 156-9,카페/찻집,358
57,카페평리,경남 밀양시 고례로 936-0,카페/찻집,352
58,마리옹,경남 밀양시 위양4길 8-0,카페/찻집,351
59,위양448,경남 밀양시 위양로 336-0,카페/찻집,342
60,항아리수제비,경남 밀양시 산외강변로 349-0,한식,340
61,위양루,경남 밀양시 위양3길 34-0,카페/찻집,319
62,길벗,경남 밀양시 표충로 1166-0,한식,305
63,더미량,경남 밀양시 방동길 126-0,카페/찻집,299
64,밀양콩나물해장국,경남 밀양시 북성로2길 21-0,한식,296
64,불향소반쭈꾸미,경남 밀양시 새미리벌로 15-0,전문음식,296
64,산수정,경남 밀양시 미리벌중앙로1길 24-8,전문음식,296
67,효와당,경남 밀양시 감천3길 29-14,외국식,295
68,수라간,경남 밀양시 시청로1길 3-0,한식,294
69,대나무횟집,경남 밀양시 삼랑1길 15-0,전문음식,281
69,에르모사,경남 밀양시 표충로 222-0,전문음식,281
71,콰이강의다리향어마을,경남 밀양시 삼랑1길 29-0,전문음식,277
72,원가본가가야밀면,경남 밀양시 중앙로 289-21,한식,276
73,동화반점[중식],경남 밀양시 중앙로 408-0,외국식,275
73,정직한장어,경남 밀양시 태동길 6-4,전문음식,275
75,소전껄,경남 밀양시 미리벌중앙로6길 35-11,한식,272
76,논두렁밭두렁가든,경남 밀양시 창밀로 2905-10,한식,268
77,십삼월,경남 밀양시 수산로 162-0,카페/찻집,266
77,교동오리,경남 밀양시 새미4길 29-0,전문음식,266
79,퇴로정밀양한옥카페,경남 밀양시 퇴로3길 12-3,카페/찻집,264
80,제비들가든,경남 밀양시 활성로 314-0,한식,263
81,빨강궁물본점,경남 밀양시 당촌2길 14-10,전문음식,262
82,삼문동면돈,경남 밀양시 미리벌중앙로1길 28-0,한식,256
83,신흥양어장횟집,경남 밀양시 산외로 522-0,전문음식,255
84,맷돌순두부돌솥밥,경남 밀양시 시청로1길 15-0,한식,250
85,아뜰리에,경남 밀양시 퇴로로 257-0,카페/찻집,248
86,도미노피자밀양점,경남 밀양시 백민로1길 1-0,간이음식,244
87,광명횟집,경남 밀양시 안인1길 32-1,전문음식,238
88,뚜레쥬르밀양미리벌,경남 밀양시 미리벌중앙로5길 7-0,간이음식,219
89,안태가든,경남 밀양시 천태로 421-1,한식,218
90,숲속갈치마을,경남 밀양시 밀양대로 2364-0,한식,217
91,산삼장어구이,경남 밀양시 영남루2길 7-0,전문음식,211
92,카페범도리,경남 밀양시 아불1길 14-0,카페/찻집,210
92,가지산흑염소,경남 밀양시 산내로 567-0,한식,210
94,할리스밀양킹콩점,경남 밀양시 삼문강변로 272-0,카페/찻집,208
95,아줌마우동,경남 밀양시 중앙로 289-24,간이음식,206
96,방갈로농원,경남 밀양시 시전중앙길 91-0,한식,202
97,황금명태본가밀양점,경남 밀양시 미리벌중앙로 92-0,한식,201
98,도프트커피로스터스,경남 밀양시 삼문4길 3-1,카페/찻집,199
99,강촌횟집,경남 밀양시 용평로 155-1,전문음식,196
