순위,업소명,주소,분류,현지인 검색 수
1,방목리카페,경남 산청군 석대로281번길 229-30,카페/찻집,1700
2,산청요,경남 산청군 강누방목로499번길 106-5,카페/찻집,578
3,돌담,경남 산청군 호암로 806-5,한식,424
4,열매랑뿌리랑약초산나물뷔페,경남 산청군 남명로 228-0,전문음식,362
5,타짜오리하우스본점,경남 산청군 원지로 178-0,전문음식,330
6,산청약초식당,경남 산청군 친환경로 2623-0,한식,317
7,동의약선관,경남 산청군 동의보감로555번길 150-0,한식,305
8,물장구식육식당,경남 산청군 지리산대로 4285-0,한식,304
9,억조민물장어구이,경남 산청군 옥단로1891번길 57-0,전문음식,275
10,홍화원식당,경남 산청군 둔철산로 39-0,한식,259
11,원지한우식육식당,경남 산청군 원지로 70-0,한식,245
12,청계닭집,경남 산청군 호암로701번길 287-0,한식,226
13,한빈갈비,경남 산청군 지리산대로 4058-0,한식,219
14,지리산바우덕이[한식],경남 산청군 남명로 91-0,한식,201
15,내리식당,경남 산청군 웅석봉로 169-0,한식,197
16,보현갈비식당,경남 산청군 남명로 223-0,한식,183
17,카페묵실,경남 산청군 성철로102번길 43-0,카페/찻집,180
18,늘비식당,경남 산청군 산수로 1030-18,한식,177
19,약초와버섯골,경남 산청군 동의보감로555번길 35-0,전문음식,171
20,춘산식당[한식],경남 산청군 친환경로2605번길 6-6,한식,159
21,플래닛커피산청점,경남 산청군 경호로 27-0,카페/찻집,147
22,대장금약선관,경남 산청군 친환경로2605번길 6-6,전문음식,138
23,강변식당,경남 산청군 꽃봉산로 30-5,한식,138
24,원조문산선지국,경남 산청군 옥단로 2100-0,한식,130
25,지리산버거,경남 산청군 지리산대로 473-0,간이음식,124
26,목화추어탕,경남 산청군 목화로 955-0,한식,120
27,단성갈비,경남 산청군 목화로 922-0,한식,120
28,해도담,경남 산청군 꽃봉산로91번길 31-0,한식,115
29,산청엔흑돼지,경남 산청군 꽃봉산로 115-0,한식,114
30,지리산거림가든,경남 산청군 세석길 203-0,한식,109
31,소북,경남 산청군 신차로 526-9,카페/찻집,107
32,영실한우프라자,경남 산청군 목화로 912-0,한식,102
33,우천정,경남 산청군 지리산대로 656-0,한식,101
34,정통손짜장[중식],경남 산청군 원지로 116-0,외국식,95
35,목화냉면,경남 산청군 목화로 892-0,한식,95
36,또랑메기국,경남 산청군 원지강변로61번길 25-0,한식,82
37,일신식당,경남 산청군 산수로 1022-1,한식,81
38,진주황포냉면산청직영점,경남 산청군 원지강변로 129-0,한식,79
39,엘리제커피,경남 산청군 남명로234번길 25-0,카페/찻집,75
40,산촌미학[한식],경남 산청군 원지로122번길 40-0,한식,74
41,산청한우숯불,경남 산청군 꽃봉산로 122-0,한식,73
42,송림산장,경남 산청군 산수로 316-6,한식,73
43,풍차카페수제버거,경남 산청군 동의보감로555번길 104-9,카페/찻집,73
44,남사별곡,경남 산청군 목화로 6-0,한식,72
45,마운틴독,경남 산청군 비량로417번길 2-23,카페/찻집,68
46,산청각,경남 산청군 동의보감로555번길 45-17,한식,66
47,지리산우렁쌈밥,경남 산청군 지리산대로 1717-0,한식,60
48,예담원,경남 산청군 지리산대로2897번길 10-3,한식,60
49,드라마산장가든,경남 산청군 지리산대로 670-6,한식,54
50,흑돼지와누렁이,경남 산청군 꽃봉산로 117-0,한식,52
51,영도숯불갈비,경남 산청군 원지강변로63번길 6-0,한식,52
52,명태어장산청점,경남 산청군 꽃봉산로162번길 3-0,한식,51
53,카페아모르,경남 산청군 친환경로2605번길 6-2,카페/찻집,51
54,갑을가든,경남 산청군 대원사길 572-0,한식,48
55,목가원지점,경남 산청군 원지강변로 121-4,한식,48
56,정원약초쌈밥,경남 산청군 꽃봉산로91번길 18-0,한식,47
57,강동회센터,경남 산청군 지리산대로 2419-0,전문음식,46
58,이화원[중식],경남 산청군 남명로234번길 36-0,외국식,45
59,담우정,경남 산청군 친환경로 2681-0,한식,43
60,영광돼지국밥,경남 산청군 원지로 32-0,한식,42
61,세자매밤꽃식당,경남 산청군 서당길 115-15,한식,42
62,외송석쇠불고기,경남 산청군 둔철산로 46-0,한식,42
63,거림계곡토종숯불닭갈비,경남 산청군 세석길 201-0,전문음식,40
64,자루,경남 산청군 경호로 553-7,외국식,40
65,송기원진주냉면산청원지점,경남 산청군 원지로 36-0,한식,39
66,산청식당,경남 산청군 꽃봉산로 77-0,전문음식,36
67,들뫼루[중식],경남 산청군 친환경로 3589-0,외국식,34
68,포엔식당,경남 산청군 웅석봉로62번길 23-7,외국식,34
69,구만횟집,경남 산청군 지리산대로 2411-0,전문음식,33
70,지리산거북이산장식당,경남 산청군 지리산대로 352-0,한식,33
71,오리랑순두부,경남 산청군 원지로4번길 51-0,전문음식,33
72,산엔휴산청한방가족호텔족욕카페,경남 산청군 동의보감로479번길 53-0,카페/찻집,33
73,카페칸타타147,경남 산청군 석대로 173-4,카페/찻집,32
74,돌담집,경남 산청군 지리산대로 665-0,한식,31
75,차이나웍,경남 산청군 꽃봉산로79번길 41-0,외국식,31
76,종가닭칼국수,경남 산청군 웅석봉로 36-0,한식,30
77,지리산NO.475버거앤커피,경남 산청군 지리산대로475번길 13-0,카페/찻집,30
78,지리산1094,경남 산청군 지리산대로 1094-0,카페/찻집,29
79,배스킨라빈스경남산청점,경남 산청군 웅석봉로 8-0,간이음식,29
80,조개골산장,경남 산청군 대원사길 943-0,한식,29
81,대표짜장[중식],경남 산청군 웅석봉로 30-0,외국식,28
82,목화식육식당,경남 산청군 목화로 955-0,한식,28
83,커피블라썸,경남 산청군 지리산대로 3454-0,카페/찻집,28
84,파란홍차,경남 산청군 문익점로 69-0,카페/찻집,28
85,송화가든,경남 산청군 삼신봉로 616-0,한식,27
86,타짜오리하우스2호점,경남 산청군 동의보감로555번길 27-0,한식,27
87,지리산동곡가든[한식],경남 산청군 삼신봉로 1040-0,한식,25
88,자연촌식당,경남 산청군 친환경로2653번길 12-0,한식,25
89,지리산약초장어,경남 산청군 친환경로2605번길 6-1,전문음식,25
90,산음마을,경남 산청군 친환경로 2572-10,한식,24
91,더웨이닝커피산청원지점,경남 산청군 원지로 23-0,카페/찻집,24
92,지리산털보산장,경남 산청군 세석길 34-0,한식,23
93,수정농원,경남 산청군,한식,23
94,고운동천,경남 산청군 고운동길 377-0,한식,22
95,산청이네,경남 산청군 둔철산로 483-38,한식,22
