순위,업소명,주소,분류,현지인 검색 수
1,맥도날드양산DT점,경남 양산시 남양산길 7-0,간이음식,9254
2,느티나무의사랑카페,경남 양산시 여락송정로 270-2,카페/찻집,5573
3,블랙업커피양산점,경남 양산시 물금역1길 11-0,카페/찻집,5181
4,트리폰즈,경남 양산시 충렬로 1346-0,카페/찻집,5003
5,스타벅스남양산IC DT점,경남 양산시 양산대로 532-0,카페/찻집,4986
6,코지하우스양산점,경남 양산시 황산로 605-0,전문음식,4544
7,소토,경남 양산시 충렬로 617-0,한식,4443
8,무이,경남 양산시 화산길 78-0,카페/찻집,4118
9,맥도날드양산북정DT점,경남 양산시 양산대로 925-0,간이음식,3558
10,신비숲가든,경남 양산시 학산2길 9-23,전문음식,3535
11,아덴원동점,경남 양산시 원동로 1289-0,카페/찻집,3328
12,무타블랑,경남 양산시 수서로 164-10,카페/찻집,3257
13,양산돼지국밥,경남 양산시 서일동로 17-0,한식,3092
14,초밥정식당,경남 양산시 목화로 40-0,외국식,3001
15,장모님곰탕,경남 양산시 북안남3길 26-0,한식,2988
16,스타벅스양산덕계DT점,경남 양산시 웅상대로 860-0,카페/찻집,2890
17,버거킹양산물금DT점,경남 양산시 황산로 372-0,간이음식,2795
18,옛날옛적에,경남 양산시 명곡로 492-0,전문음식,2764
19,스타벅스양산물금DT점,경남 양산시 황산로 346-0,카페/찻집,2686
20,오봉해물칼국수양산본점,경남 양산시 동중4길 15-0,한식,2540
21,호포갈비호포점,경남 양산시 양산대로 115-0,한식,2465
22,해월당양산점,경남 양산시 양산대로 83-0,간이음식,2410
23,가음당,경남 양산시 월리길 7-0,외국식,2278
24,초원참숯골증산점,경남 양산시 증산역로 180-0,한식,2158
25,아미드포레,경남 양산시 삼리2길 37-0,카페/찻집,2110
26,스타벅스양산증산역점,경남 양산시 증산역로 177-0,카페/찻집,2100
27,샤브20양산북정점,경남 양산시 중앙로 285-0,전문음식,1986
28,버거킹양산석산SK점,경남 양산시 양산대로 414-0,간이음식,1976
29,왓더버거,경남 양산시 백호2길 17-10,간이음식,1945
30,코끼리양분식,경남 양산시 일동4길 2-0,간이음식,1912
31,다이닝숲,경남 양산시 충렬로 541-0,외국식,1905
32,빡돈,경남 양산시 수서로 275-13,전문음식,1904
33,해초물회전문점,경남 양산시 삼성3길 17-12,전문음식,1898
34,백동소풍가는길,경남 양산시 백동길 123-0,한식,1897
