순위,업소명,주소,분류,현지인 검색 수
1,쿠우쿠우진주점,경남 진주시 에나로 100-0,전문음식,6434
2,천황식당[한식],경남 진주시 촉석로207번길 3-0,한식,5992
3,로스팅웨어,경남 진주시 가호방아길 51-8,카페/찻집,5737
4,스타벅스진주혁신도시점,경남 진주시 에나로127번길 30-0,카페/찻집,5562
5,하연옥본점,경남 진주시 진주대로 1317-20,한식,4436
6,맥도날드진주혁신GS DT점,경남 진주시 동진로 581-0,간이음식,4282
7,황포냉면,경남 진주시 호탄길34번길 10-0,한식,3847
8,하우스오브금산,경남 진주시 금산순환로80번길 7-0,카페/찻집,3500
9,남매식당,경남 진주시 영천강로119번길 27-47,전문음식,2921
10,맥도날드진주칠암DT점,경남 진주시 진주대로 838-0,간이음식,2887
11,제일식당,경남 진주시 중앙시장길 37-8,한식,2884
12,더웨이닝커피동부로점,경남 진주시 동부로 894-0,카페/찻집,2828
13,스타벅스진주칠암DT점,경남 진주시 진주대로829번길 4-0,카페/찻집,2806
14,성지원,경남 진주시 칠봉산길 170-0,한식,2749
15,스텝온더그라운드,경남 진주시 진주대로1808번길 94-0,카페/찻집,2620
16,진주냉면산홍금산본점,경남 진주시 금산로 62-0,한식,2444
17,천수식당,경남 진주시 향교로8번길 3-0,한식,2408
18,살롱드인사,경남 진주시 창렬로14번길 6-0,전문음식,2323
19,로터스커피,경남 진주시 강주길 24-0,카페/찻집,2284
20,수복빵집,경남 진주시 촉석로201번길 12-1,간이음식,2260
21,하연옥촉석루점,경남 진주시 남강로673번길 7-0,한식,2224
22,북경장진주점 [중식],경남 진주시 남강로 661-0,외국식,2152
23,화개마을,경남 진주시 진주대로 358-10,전문음식,2137
24,그라운드헤븐,경남 진주시 대신로 626-13,카페/찻집,2126
25,미드테이블진주점,경남 진주시 영천강로68번길 12-0,카페/찻집,2059
26,이늘카페,경남 진주시 금산순환로402번길 11-0,카페/찻집,1946
