순위,업소명,주소,분류,현지인 검색 수
1,도천진짜순대본점,경남 창녕군 일리새긴길 8-0,한식,920
2,송이네밥상,경남 창녕군 원앙로 116-0,한식,389
3,대중분식당,경남 창녕군 창녕대로 27-0,한식,372
4,우포한우프라자,경남 창녕군 영산계성로 457-0,한식,304
5,롯데리아경남남지점,경남 창녕군 문화길 35-4,간이음식,288
6,우포명당,경남 창녕군 사지동길 17-0,간이음식,284
7,석이네한우뜰,경남 창녕군 영산계성로 490-0,한식,266
8,옥산반점[중식],경남 창녕군 영산계성로 440-0,외국식,262
9,산과구름아래,경남 창녕군 자하곡길 25-0,카페/찻집,256
10,카페귀촌,경남 창녕군 원다리길 8-0,카페/찻집,252
11,이방식당,경남 창녕군 옥야길 1-0,한식,249
12,노리,경남 창녕군 노리2길 7-20,카페/찻집,243
13,오시우연,경남 창녕군 연지길 26-6,카페/찻집,242
14,알리스타케냐커피창녕점,경남 창녕군 향교골목길 28-57,카페/찻집,240
15,파리바게뜨경남창녕점,경남 창녕군 종로 39-0,간이음식,237
16,나루,경남 창녕군 낙동로 277-0,전문음식,230
17,시래기밥상,경남 창녕군 온천로 63-0,한식,229
18,갈비만창녕점,경남 창녕군 우포1대로 1606-0,한식,218
19,삼오식당창녕본점,경남 창녕군 창녕시장길 90-0,한식,216
20,양반청국장순두부,경남 창녕군 화왕산로 64-0,한식,207
21,남지학계식육식당,경남 창녕군 남지중앙로 107-0,한식,202
22,송이가,경남 창녕군 계성화왕산로 62-0,한식,169
23,진곰탕,경남 창녕군 영산계성로 497-0,한식,166
24,팔도국밥,경남 창녕군 남지중앙1길 79-6,한식,163
25,번지없는주막,경남 창녕군,한식,156
26,도리원,경남 창녕군 온천로 103-25,한식,152
27,물망초횟집,경남 창녕군 남지강변길 112-0,전문음식,141
28,돈토지왕족발남지본점,경남 창녕군 남지중앙1길 9-0,전문음식,138
29,도천통일냉면,경남 창녕군 개울길 29-8,한식,137
30,도천진짜순대창녕점,경남 창녕군 화왕산로 71-0,한식,135
31,마루야,경남 창녕군 영산계성로 489-12,한식,130
32,롯데리아경남창녕,경남 창녕군 명덕로 70-0,간이음식,128
33,파스쿠찌창녕점,경남 창녕군 화왕산로 134-0,카페/찻집,124
34,화덕본가,경남 창녕군 남지중앙1길 17-1,한식,120
34,이디야커피창녕남지점,경남 창녕군 동포옛길 21-44,카페/찻집,120
36,창녕대가,경남 창녕군 화왕산로 66-0,한식,117
36,북면자연농원창녕점,경남 창녕군 영산계성로 397-5,전문음식,117
38,일미석쇠불고기,경남 창녕군 경남대로 5344-0,한식,116
39,초우,경남 창녕군 동포로 45-0,한식,113
40,구계산장,경남 창녕군 구계로 138-0,한식,111
41,모다페,경남 창녕군 향교골목길 10-10,카페/찻집,109
42,황포냉면,경남 창녕군 시장2길 23-5,한식,108
43,현풍닭칼국수창녕점,경남 창녕군 창녕대로 30-1,한식,102
44,경원해물찜남지점,경남 창녕군 남지중앙1길 71-1,한식,100
45,이디야커피창녕점,경남 창녕군 화왕산로 50-0,카페/찻집,98
46,파리바게뜨창녕남지점,경남 창녕군 낙동로 494-0,간이음식,97
47,남마뮤지엄,경남 창녕군 남지강변길 100-0,카페/찻집,95
48,장룡수산,경남 창녕군 토평천길 40-0,전문음식,91
49,들국화보양탕,경남 창녕군 곽천대산로 1-0,한식,89
50,화왕돈까스,경남 창녕군 창밀로 145-0,전문음식,87
51,사우곰탕,경남 창녕군 우포2로 1138-0,한식,86
52,우포로와,경남 창녕군 쟁반1길 38-0,전문음식,84
52,탐진강면사무소남지점,경남 창녕군 낙동로 498-10,한식,84
54,퍼피&도그애견카페,경남 창녕군 길곡로 137-0,카페/찻집,83
54,남다른집,경남 창녕군 온천중앙로 32-0,한식,83
56,카페마실,경남 창녕군 안마실길 3-0,카페/찻집,82
56,현풍닭칼국수남지점,경남 창녕군 남지중앙로 128-0,한식,82
58,카페다옴,경남 창녕군 구계로 98-0,카페/찻집,80
59,장백산생칼국수,경남 창녕군 온천로 338-0,한식,79
60,텐퍼센트커피창녕남지점,경남 창녕군 남지중앙1길 71-6,카페/찻집,73
61,배스킨라빈스경남창녕점,경남 창녕군 창녕대로 18-1,간이음식,65
62,원오브,경남 창녕군 구례동길 20-29,카페/찻집,64
63,하삼동커피창녕점,경남 창녕군 군청길 26-0,카페/찻집,61
64,카페테라스43,경남 창녕군 향교길 43-0,카페/찻집,60
65,가현한우생고기전문점,경남 창녕군 경남대로 4897-48,한식,57
66,할매횟집,경남 창녕군 선창길 17-0,전문음식,56
67,수연궁,경남 창녕군 계교1길 11-0,한식,55
68,삼형제숯불한우,경남 창녕군 십이리2길 41-0,한식,51
69,뚜레쥬르경남창녕,경남 창녕군 명덕로 91-1,간이음식,48
69,도천양어장횟집,경남 창녕군 문화마을1길 55-0,전문음식,48
71,촌티카페,경남 창녕군 남고길 65-0,카페/찻집,47
72,영남한우식육식당,경남 창녕군 경남대로 4897-48,한식,46
72,명궁,경남 창녕군 원앙로 98-0,한식,46
74,대가야성[중식],경남 창녕군 우포2로 1178-0,외국식,44
75,바보형제쭈꾸미,경남 창녕군 우포1대로 1480-20,전문음식,40
76,남지가야밀면,경남 창녕군 낙동로 498-10,한식,36
76,미담칼국수,경남 창녕군 말흘5길 15-11,한식,36
78,장군식당,경남 창녕군,한식,35
79,부곡2509,경남 창녕군 온정청암로 440-0,카페/찻집,34
79,풍천장어구이,경남 창녕군 영산계성로 144-5,전문음식,34
79,고궁,경남 창녕군 탑금당길 16-0,한식,34
82,교촌치킨창녕점,경남 창녕군 종로 62-0,간이음식,33
82,서리식당,경남 창녕군 서리길 0-0,한식,33
82,로타리식육식당,경남 창녕군 온천로 69-0,한식,33
82,영산할머니강정,경남 창녕군 서리길 15-0,간이음식,33
86,카페봄봄창녕점,경남 창녕군 창녕대로 127-0,카페/찻집,32
86,남해바다돌판횟집,경남 창녕군 창녕시장길 27-20,전문음식,32
86,교동짬뽕남지점 [중식],경남 창녕군 남지중앙2길 69-0,외국식,32
89,고기굽는마을,경남 창녕군 우포1대로 0-0,한식,31
89,공원반점[중식],경남 창녕군 창한로 95-0,외국식,31
89,송림식육식당,경남 창녕군 로터리길 34-0,한식,31
89,옥천솔밭가든,경남 창녕군 새말길 18-3,한식,31
89,청솔파인,경남 창녕군 청련사길 3-0,카페/찻집,31
94,번개늪횟집,경남 창녕군 영산월령로 469-15,전문음식,30
95,교촌치킨남지점,경남 창녕군 남지중앙로 102-0,간이음식,29
95,노리마을매월당창녕점,경남 창녕군 낙동로 1977-31,카페/찻집,29
97,전통민속쌈밥,경남 창녕군 계성화왕산로 487-0,한식,28
97,용정농원횟집,경남 창녕군 창밀로 684-16,전문음식,28
97,오가다창녕부곡하와이점,경남 창녕군 온천로 639-0,카페/찻집,28
100,인교기사식당,경남 창녕군 인교길 7-0,한식,26
