순위,업소명,주소,분류,현지인 검색 수
1,동부회센터,경남 창원시 진해구 천자로 5-0,전문음식,5723
2,브라운핸즈창원점,경남 창원시 성산구 창원대로 520-0,카페/찻집,4788
3,성산명가경남본점,경남 창원시 성산구 마디미로63번길 7-0,한식,4250
4,샤브올창원상남점,경남 창원시 성산구 중앙대로100번길 9-0,전문음식,3620
5,목민정[한식],경남 창원시 의창구 읍성로34번길 23-0,한식,3482
6,더로드101귀산,경남 창원시 성산구 삼귀로486번길 61-8,카페/찻집,3471
7,토도스,경남 창원시 성산구 용호로 116-0,외국식,2805
8,임진각식당,경남 창원시 의창구 팔용로 515-0,한식,2776
9,시티베이,경남 창원시 마산회원구 무역로 111-0,카페/찻집,2723
10,고향에봄,경남 창원시 성산구 상남로 73-0,한식,2668
11,경복궁창원점,경남 창원시 성산구 중앙대로100번길 9-0,한식,2612
12,삿뽀로창원점,경남 창원시 성산구 중앙대로100번길 9-0,외국식,2584
13,브라운핸즈마산점,경남 창원시 마산합포구 가포순환로 109-0,카페/찻집,2536
14,라온하제,경남 창원시 성산구 삼귀로 361-0,외국식,2503
15,오브셀라,경남 창원시 의창구 용동로57번길 18-0,전문음식,2401
16,초가집,경남 창원시 성산구 용지로117번길 32-0,한식,2368
17,스시혼,경남 창원시 성산구 용지로249번길 1-0,외국식,2239
18,우동한그릇,경남 창원시 마산합포구 가포로 706-0,외국식,2182
19,상무초밥창원점,경남 창원시 성산구 마디미로16번길 9-0,외국식,2179
20,베이커리카페빵내음,경남 창원시 마산합포구 가포로 374-172,간이음식,2135
21,겐쇼심야라멘,경남 창원시 진해구 진해대로 648-0,전문음식,2131
22,나튀렐45,경남 창원시 의창구 내감1길 1-0,간이음식,2069
23,개성순대,경남 창원시 마산합포구 가포로 686-0,한식,2020
24,팬아시아창원가로수길점,경남 창원시 성산구 용지로239번길 4-0,외국식,2017
25,그린하우스,경남 창원시 의창구 원이대로81번길 10-0,전문음식,2015
26,수제국수,경남 창원시 진해구 진해대로975번길 7-7,한식,2008
27,코아양과,경남 창원시 마산합포구 불종거리로 28-0,간이음식,1963
28,홍익돈까스창원1호점,경남 창원시 성산구 동산로 191-0,전문음식,1937
29,푸주옥창원점,경남 창원시 성산구 용지로 257-0,한식,1890
30,스시로상남점,경남 창원시 성산구 중앙대로100번길 9-0,외국식,1764
31,우나돌체,경남 창원시 성산구 용지로127번길 3-0,간이음식,1752
32,주남저수지돌짜장,경남 창원시 의창구 동읍로 309-0,외국식,1729
33,갑오삼계탕창원직영점,경남 창원시 성산구 중앙대로100번길 14-0,한식,1728
34,한우미담,경남 창원시 마산합포구,한식,1717
35,엘리브,경남 창원시 성산구 귀산로 19-0,카페/찻집,1630
36,동굴집,경남 창원시 마산합포구 가포해안길 35-0,전문음식,1618
37,백제삼계탕13월진해점,경남 창원시 진해구 태백서로47번길 19-0,한식,1613
38,삼대초밥,경남 창원시 마산합포구 합포로 11-0,외국식,1581
39,주남한우식육식당,경남 창원시 의창구 동읍로457번길 7-0,한식,1570
40,맛있으면돼지,경남 창원시 진해구 덕산로14번길 15-0,한식,1556
41,Rest125,경남 창원시 진해구 돌리로30번안길 33-25,카페/찻집,1546
42,백제령삼계탕,경남 창원시 마산합포구 3·15대로 383-4,한식,1528
43,젬스톤창원점,경남 창원시 성산구 중앙대로 64-0,카페/찻집,1507
44,생과방,경남 창원시 진해구 자은로64번길 32-0,한식,1470
45,블루핀그랜드머큐어앰배서더창원,경남 창원시 성산구 원이대로 332-0,전문음식,1464
46,공명칼국수,경남 창원시 진해구 진해대로660번길 9-0,한식,1450
47,언양각식당,경남 창원시 성산구 용지로 253-1,한식,1370
48,초아수산,경남 창원시 의창구 신풍고개길 39-0,전문음식,1355
49,한국관[중식],경남 창원시 성산구 원이대로 450-0,외국식,1352
50,마당국수,경남 창원시 마산합포구 진동시장길 58-0,한식,1331
51,오우가,경남 창원시 의창구 의안로17번길 12-0,카페/찻집,1316
52,이창민밀면,경남 창원시 진해구 충장로597번길 17-0,한식,1312
53,타쿠소바,경남 창원시 성산구 용지로 90-0,외국식,1292
54,부자회관,경남 창원시 성산구 상남로 93-0,한식,1280
55,고유커피,경남 창원시 마산회원구 신감길 13-14,카페/찻집,1266
56,옛날영도집,경남 창원시 마산합포구 가포해안길 37-0,전문음식,1263
57,산수정,경남 창원시 의창구 천주로 240-10,한식,1254
58,만랩커피마산수정점,경남 창원시 마산합포구 안녕로 233-0,카페/찻집,1253
59,도유칼국수,경남 창원시 진해구 중원로 41-2,한식,1232
60,황실스탠다드,경남 창원시 성산구 중앙대로 78-0,카페/찻집,1224
61,고구려창원점,경남 창원시 성산구 중앙대로100번길 9-0,한식,1224
62,신월낙지한마리수제비창원본점,경남 창원시 성산구 동산로 207-0,전문음식,1222
63,사야카츠,경남 창원시 성산구 귀산로 19-0,전문음식,1217
64,할리스창원귀산점,경남 창원시 성산구 삼귀로 189-0,카페/찻집,1184
65,유화정삼계탕,경남 창원시 의창구 읍성로34번길 24-0,한식,1182
66,아르미르CC점스타트하우스,경남 창원시 진해구 수제로 36-0,한식,1180
67,섬마을,경남 창원시 진해구 자은로78번길 30-0,한식,1169
68,베리앙,경남 창원시 의창구 천주로1184번길 84-0,카페/찻집,1166
69,진가네촌국수,경남 창원시 의창구 천주로 512-0,한식,1158
70,바다로움,경남 창원시 마산합포구 회진로 1593-0,카페/찻집,1138
71,상하이717[중식],경남 창원시 성산구 삼귀로 167-0,외국식,1137
72,아뜰리에베이커리,경남 창원시 의창구 동전로 5-0,간이음식,1135
73,향원,경남 창원시 진해구 웅천북로39번길 4-18,한식,1125
74,원조꽃게탕,경남 창원시 성산구 외동반림로130번길 54-0,한식,1116
75,돌돌솥,경남 창원시 성산구 창이대로464번길 22-0,한식,1111
76,할리스진해속천점,경남 창원시 진해구 태평로 132-0,카페/찻집,1102
77,카페깜빠뉴,경남 창원시 진해구 충장로657번길 16-1,간이음식,1095
78,창원회센터,경남 창원시 성산구 상남로 113-0,전문음식,1092
79,가포영도장어구이,경남 창원시 마산합포구 가포해안길 47-0,전문음식,1082
80,석양삼겹살,경남 창원시 마산합포구 해양관광로 1393-0,한식,1074
81,1997영국집,경남 창원시 성산구 외동반림로248번길 25-0,카페/찻집,1066
82,소반,경남 창원시 의창구 의창대로70번길 1-0,한식,1064
83,마당있는집[한식],경남 창원시 진해구 냉천로 149-7,한식,1063
84,오프트,경남 창원시 성산구 외동반림로248번길 7-1,전문음식,1058
85,할리스창원팔용점,경남 창원시 의창구 창원대로18번길 6-8,카페/찻집,1053
86,지중해카페,경남 창원시 마산합포구 가포로 501-201,카페/찻집,1025
87,백중기와야순두부,경남 창원시 마산합포구 유산군령로 281-0,한식,1022
88,식당더원,경남 창원시 성산구 삼귀로486번길 19-6,한식,1018
89,손수갈비,경남 창원시 진해구 자은로64번가길 31-0,한식,1017
90,경성코페창원가로수길점,경남 창원시 성산구 외동반림로248번길 31-0,카페/찻집,1016
91,카페섬섬,경남 창원시 마산합포구 장구해안길 7-0,카페/찻집,1015
92,온센텐동창원점,경남 창원시 성산구 중앙대로 78-0,외국식,991
93,이탈리안717,경남 창원시 성산구 삼귀로 167-0,외국식,991
94,신포장어,경남 창원시 마산합포구 수산2길 113-0,전문음식,986
95,다다횟집,경남 창원시 성산구 용지로117번길 32-1,전문음식,980
96,마산집,경남 창원시 성산구 상남로 67-0,한식,972
97,목포밴댕이,경남 창원시 성산구 중앙대로 95-0,한식,972
98,풍성한고을,경남 창원시 의창구 동정길 57-33,한식,972
99,투핸즈,경남 창원시 성산구 창이대로460번길 20-0,전문음식,969
100,코지하우스귀산점,경남 창원시 성산구 삼귀로 203-0,전문음식,960
101,한촌설렁탕창원상남점,경남 창원시 성산구 마디미로10번길 12-0,한식,960
102,해운대양갈비,경남 창원시 성산구 중앙대로 77-0,한식,960
103,메르칼므,경남 창원시 마산합포구 가포로 485-40,카페/찻집,955
104,피콜로라떼,경남 창원시 성산구 비음로4번길 2-0,카페/찻집,948
105,벨그레이브,경남 창원시 성산구 창이대로464번길 20-0,전문음식,948
106,스위트랩,경남 창원시 진해구 속천로 73-1,카페/찻집,945
107,다림방,경남 창원시 진해구 천자로 71-0,한식,944
108,커피써니,경남 창원시 진해구 진희로 211-0,카페/찻집,922
109,커피산,경남 창원시 마산합포구 무학로 220-0,카페/찻집,920
110,오발탄창원점,경남 창원시 성산구 마디미로15번길 11-0,전문음식,920
111,돌담길,경남 창원시 진해구 충장로419번길 13-0,한식,917
112,용강포레,경남 창원시 의창구 의창대로 449-7,카페/찻집,916
113,춘천막국수닭보쌈,경남 창원시 의창구 천주로 472-0,한식,913
114,국일성[중식],경남 창원시 의창구 의안로31번길 26-0,외국식,909
115,마차이짬뽕창원점 [중식],경남 창원시 의창구 의창대로266번길 5-0,외국식,902
116,부자갈비탕본점,경남 창원시 진해구 중원로73번길 6-0,한식,899
117,청춘키친,경남 창원시 성산구 마디미로10번길 7-0,외국식,897
118,소반,경남 창원시 마산합포구 무학로 440-0,한식,886
119,무학산산수정,경남 창원시 마산합포구 완월북5길 82-0,전문음식,886
120,페리데스,경남 창원시 마산합포구 가포본동7길 9-0,카페/찻집,884
121,박말순,경남 창원시 의창구 읍성로34번길 17-8,외국식,881
122,신항대반점[중식],경남 창원시 진해구 용원북로5번길 3-0,외국식,875
123,언양닭칼국수상남점,경남 창원시 성산구 상남로 37-0,한식,874
124,오거리통통닭중앙점,경남 창원시 성산구 용지로117번길 12-0,간이음식,868
125,승리돼지국밥,경남 창원시 진해구 진해대로 640-0,한식,860
126,문카츠,경남 창원시 진해구 냉천로 164-0,전문음식,860
127,함흥집,경남 창원시 마산합포구 문화북1길 42-0,한식,851
128,설레움55테라스,경남 창원시 성산구 불모산로66번길 10-0,전문음식,849
129,호끼린커피로스터스,경남 창원시 진해구 청안로 251-0,카페/찻집,849
130,교동짬뽕창원점 [중식],경남 창원시 성산구 동산로73번길 15-0,외국식,848
131,미스터뽕[중식],경남 창원시 마산합포구 가포로 600-0,외국식,842
132,성민대게,경남 창원시 진해구 안골로89번길 3-0,전문음식,839
133,홍콩집[중식],경남 창원시 성산구 용지로239번길 12-0,외국식,837
134,이조돌솥밥,경남 창원시 의창구 태복산로31번길 28-0,한식,834
135,보타미,경남 창원시 성산구 외동반림로 270-1,카페/찻집,828
136,포넬로450,경남 창원시 마산합포구 현동7길 6-1,전문음식,819
137,성숙,경남 창원시 진해구 진해대로970번길 12-0,한식,817
138,카페인덕동,경남 창원시 마산합포구 덕동길 27-0,카페/찻집,815
139,북면마산설렁탕,경남 창원시 의창구 천주로 868-0,한식,814
140,온채당진해점,경남 창원시 진해구 이동로 37-0,한식,809
141,매드포갈릭창원점,경남 창원시 성산구 중앙대로100번길 9-0,전문음식,808
142,하우요커피,경남 창원시 성산구 삼귀로 524-6,카페/찻집,808
143,인코스타,경남 창원시 진해구 제덕로 155-0,카페/찻집,808
144,복면닭갈비,경남 창원시 의창구 천주로 1069-0,전문음식,807
145,서소문족발상남본점,경남 창원시 성산구 마디미로44번길 7-0,전문음식,798
146,로드60,경남 창원시 진해구 청안로 60-0,카페/찻집,793
147,샤브20창원점,경남 창원시 의창구 의안로2번길 11-0,전문음식,793
148,썬댄스,경남 창원시 성산구 용호로 118-0,전문음식,787
149,조선의한우본점,경남 창원시 성산구 용지로 58-0,한식,784
150,가월돈까스,경남 창원시 의창구 주남로71번길 7-8,전문음식,784
151,촌놈고기집본점,경남 창원시 성산구 마디미로21번길 10-0,한식,779
152,가고파생삼겹구이,경남 창원시 마산합포구 해양관광로 962-0,한식,778
153,향우본가,경남 창원시 의창구 천주로 1115-0,한식,778
154,청하횟집,경남 창원시 성산구 삼귀로486번길 35-0,전문음식,770
155,청수굴구이,경남 창원시 마산합포구 해양관광로 1573-0,전문음식,766
156,과수원세레나데,경남 창원시 의창구 동전로 179-71,카페/찻집,763
157,해운대신대구탕,경남 창원시 성산구 마디미로 61-0,한식,745
158,파스타공방창원가로수길점,경남 창원시 성산구 용지로239번길 36-0,전문음식,741
159,오리야놀자,경남 창원시 의창구 동읍로 246-20,전문음식,741
160,팔포집,경남 창원시 성산구 창원대로 726-0,한식,740
161,스시혼,경남 창원시 의창구 의창대로266번길 9-0,외국식,735
162,무쇠곱창,경남 창원시 성산구 가음로15번길 50-0,전문음식,732
163,백중기와야순두부상남점,경남 창원시 성산구 동산로65번길 26-12,한식,725
164,노렌스시,경남 창원시 마산합포구 해안대로 288-0,외국식,723
165,원돼지국밥집,경남 창원시 성산구 상남로 67-0,한식,716
166,라상떼베이커리카페,경남 창원시 마산회원구 제2금강산길 135-0,간이음식,714
167,계경목장성산옥,경남 창원시 성산구 마디미로70번길 14-0,한식,708
168,황금코다리창원북면점,경남 창원시 의창구 달천길 48-0,전문음식,705
169,명서밀면,경남 창원시 의창구 명지로84번길 6-0,한식,703
170,파파레,경남 창원시 진해구 속천로 86-0,외국식,702
171,원조반동굴구이,경남 창원시 마산합포구 해양관광로 1510-0,전문음식,698
172,소혜진구복제비,경남 창원시 마산합포구 해양관광로 1661-0,한식,697
173,땡큐자은동,경남 창원시 진해구 진해대로922번길 12-0,전문음식,695
174,카페솔,경남 창원시 성산구 삼귀로486번길 13-26,카페/찻집,695
175,고가,경남 창원시 진해구 웅동로29번길 62-0,한식,695
176,올리브장작창원점,경남 창원시 성산구 용호로 115-0,간이음식,694
177,카페모조,경남 창원시 성산구 삼귀로486번길 60-0,카페/찻집,688
178,동양카츠,경남 창원시 성산구 원이대로682번길 40-0,전문음식,681
179,약수터가든,경남 창원시 마산회원구 회성서1길 11-0,한식,680
180,언덕위의나폴리,경남 창원시 의창구 평산로159번길 17-0,전문음식,678
181,바당돌담,경남 창원시 마산합포구 해양관광로 1363-0,한식,677
182,합천삼가한우식육식당,경남 창원시 성산구 동산로220번길 21-0,한식,675
183,우등한우,경남 창원시 성산구 원이대로682번길 8-0,한식,671
184,새벽식당,경남 창원시 의창구 차상로18번길 45-0,한식,668
185,주남오리알,경남 창원시 의창구 주남로 93-21,전문음식,667
186,샤브테이,경남 창원시 성산구 마디미로73번길 20-0,전문음식,667
187,카페모드니,경남 창원시 마산회원구 광려천서로 199-0,카페/찻집,664
188,토리이에,경남 창원시 진해구 진해대로975번길 5-1,한식,661
189,오동동아구찜거리,경남 창원시 마산합포구,음식점기타,658
190,카페무이,경남 창원시 의창구 무동안길 42-1,카페/찻집,658
191,가월스시,경남 창원시 성산구 비음로 53-0,외국식,651
192,주남오리궁,경남 창원시 의창구 주남로17번길 3-10,전문음식,650
193,일레븐어클락본점,경남 창원시 진해구 진해대로 1163-0,전문음식,645
194,우정한우촌,경남 창원시 마산합포구 의산삼일로 13-0,한식,643
195,왓더버거창원상남점,경남 창원시 성산구 중앙대로 90-0,간이음식,641
196,녹우촌갈비,경남 창원시 성산구 중앙대로 111-0,한식,640
197,뮤트,경남 창원시 의창구 도계로4번길 36-0,카페/찻집,637
198,고향,경남 창원시 진해구 용원로78번안길 24-0,한식,636
199,비비돈가스,경남 창원시 의창구 평산로135번길 21-0,전문음식,634
200,파스타공방,경남 창원시 성산구 대암로101번길 5-0,전문음식,627
201,못난이집식당,경남 창원시 성산구 용지로113번길 20-0,한식,624
202,목구멍진해용원점,경남 창원시 진해구 용재로 69-1,한식,617
203,카페쿠,경남 창원시 마산합포구 해양관광로 1767-0,카페/찻집,615
204,참한식,경남 창원시 마산합포구 오동동4길 19-0,한식,615
205,마천산장,경남 창원시 진해구 남의로116번길 26-0,한식,615
206,전통순대촌,경남 창원시 의창구 천주로 869-0,한식,614
207,SD카페,경남 창원시 진해구 수도로 22-0,카페/찻집,607
208,카페백령,경남 창원시 마산합포구 안녕로 425-16,카페/찻집,606
