순위,업소명,주소,분류,현지인 검색 수
1,우주총동원,경남 하동군 구고속도로 392-0,카페/찻집,1397
2,더로드101,경남 하동군 화개로 357-0,카페/찻집,1261
3,하동솔잎한우프라자,경남 하동군 하동읍성로 9-0,한식,781
4,매암제다원,경남 하동군 악양서로 346-1,카페/찻집,679
5,고하버거앤카페,경남 하동군 하동읍성로 571-0,간이음식,545
6,밤톨,경남 하동군 화개로 17-1,카페/찻집,474
7,라라북천,경남 하동군 경서대로 2425-0,카페/찻집,446
8,청운식당,경남 하동군 쌍계사길 6-0,한식,414
9,혜성식당,경남 하동군 화개로 48-0,한식,393
10,카페포레,경남 하동군 산복1길 5-0,카페/찻집,389
11,목도식당,경남 하동군 목도2길 1-0,한식,383
12,금양가든,경남 하동군 섬진강대로 1877-0,한식,367
13,쉬어가기좋은날[한식],경남 하동군 쌍계사길 6-0,한식,320
14,쌍계명차,경남 하동군 화개로 30-0,카페/찻집,301
15,도심다원,경남 하동군 신촌도심길 43-22,카페/찻집,282
16,여명가든,경남 하동군 성두길 11-3,한식,281
17,해와달해양낚시공원,경남 하동군 장환길 104-122,카페/찻집,231
18,해성식당,경남 하동군 섬진강대로 1877-0,한식,227
19,원조강변할매재첩식당,경남 하동군 재첩길 286-1,한식,219
20,하옹촌식당,경남 하동군 섬진강대로 1877-0,전문음식,219
21,돌팀이횟집,경남 하동군 섬진강대로 2576-0,전문음식,215
22,카페녹음,경남 하동군 구고속도로 263-15,카페/찻집,198
23,산마루,경남 하동군 사기아름길 48-1,한식,189
24,황금재첩식당,경남 하동군 섬진강대로 3915-0,한식,188
25,신진식당,경남 하동군 석문길 12-0,한식,167
26,지리산흑돼지,경남 하동군 산업로 827-5,한식,161
27,진교반점[중식],경남 하동군 민다리길 81-1,외국식,160
28,신선산오리,경남 하동군 가리골길 49-19,전문음식,158
29,성화관[중식],경남 하동군 공설운동장로 254-0,외국식,158
30,찻잎마술,경남 하동군 화개로 519-0,한식,157
31,산해회식당,경남 하동군 금성중앙길 25-0,전문음식,155
32,플래닛1020,경남 하동군 쌍계로 318-0,카페/찻집,153
33,무량원[한식],경남 하동군 섬진강대로 2770-0,한식,151
34,평사리의아침,경남 하동군 대촌길 46-14,카페/찻집,143
35,청뫼향식당,경남 하동군 청학로 2524-0,한식,139
36,동흥재첩국,경남 하동군 경서대로 94-0,한식,134
37,브릿지130,경남 하동군 화개로 334-0,한식,126
38,선창횟집,경남 하동군 중평해안길 139-0,전문음식,119
39,나폴리,경남 하동군 화개로 74-0,간이음식,119
40,섬진강강굴식당,경남 하동군 재첩길 204-5,전문음식,117
41,벨라마레,경남 하동군 경충로 427-36,카페/찻집,101
42,벚꽃경양식,경남 하동군 화개로 18-1,전문음식,99
43,콩사랑차이야기,경남 하동군 화개로 52-0,한식,95
44,성남식당,경남 하동군 청학동길 15-18,한식,94
45,원조나루터재첩식당,경남 하동군 재첩길 286-0,한식,94
46,하늘호수차밭쉼터,경남 하동군 신촌도심길 178-25,카페/찻집,93
47,섬진강횟집,경남 하동군 섬진강대로 2539-8,전문음식,93
48,좋은세상식당[한식],경남 하동군 차시배지길 23-0,한식,91
49,지리산대박터고매감,경남 하동군 정서길 141-1,한식,88
50,범바구집,경남 하동군 범바위길 1-0,한식,86
51,명종식당,경남 하동군 경서대로 195-0,한식,84
52,노루골한옥식당,경남 하동군 화개로 1405-14,한식,77
53,횡천루[중식],경남 하동군 경서대로 1135-0,외국식,75
54,조양숯불갈비,경남 하동군 쌍계로 35-0,한식,74
55,풍년횟집,경남 하동군 노량해안길 219-0,전문음식,70
56,여여식당,경남 하동군 경서대로 92-0,한식,69
57,지리산면옥,경남 하동군 군청로 147-0,한식,66
58,양보제과,경남 하동군 진양로 1085-19,카페/찻집,65
59,부흥재첩식당,경남 하동군 경서대로 98-0,전문음식,64
60,횡천묵밥,경남 하동군 경서대로 1140-0,한식,59
61,벚굴식당,경남 하동군 재첩길 215-0,전문음식,58
62,동정산장,경남 하동군 화개로 796-0,한식,57
63,배스킨라빈스경남하동점,경남 하동군 경서대로 143-0,간이음식,54
64,화개골나주곰탕,경남 하동군 화개로 64-0,한식,53
65,신방촌집재첩벚굴식당,경남 하동군 재첩길 282-0,전문음식,52
66,원조섬진강재첩국,경남 하동군 경충로 503-0,음식점기타,51
67,로전문화원,경남 하동군 용강길 5-0,카페/찻집,50
68,은성식당,경남 하동군 섬진강대로 3917-0,한식,46
69,꽃님,경남 하동군 원탑1길 35-0,전문음식,45
70,만지횟집,경남 하동군 섬진강대로 2485-0,전문음식,44
71,장터국밥,경남 하동군 쌍계로 17-0,한식,44
72,원조하동할매재첩식당,경남 하동군 섬진강대로 980-0,한식,43
73,카페노량,경남 하동군 노량해안길 12-0,카페/찻집,42
74,향미가든,경남 하동군 쌍계로 12-0,한식,41
75,지리산쉼터,경남 하동군 청학로 2345-0,한식,41
76,착한구이,경남 하동군 강변길 29-0,한식,41
77,삼미식당,경남 하동군 악양동로 384-1,한식,37
78,홍이네갱조개,경남 하동군 섬진강대로 1880-0,전문음식,36
79,밀밭카페,경남 하동군 경서대로 2021-4,카페/찻집,36
80,오늘은짬뽕땡기는날[중식],경남 하동군 경서대로 356-0,외국식,35
81,물꽃정원,경남 하동군 섬진강대로 2186-0,전문음식,34
82,언더브릿지,경남 하동군 노량해안길 35-0,카페/찻집,32
83,팔도강산,경남 하동군 산복1길 3-0,한식,32
84,제일회센터,경남 하동군 노량해안길 217-0,전문음식,31
85,청하가마솥밥,경남 하동군 민다리길 106-0,한식,31
86,동해식당[한식],경남 하동군 옥종중앙길 52-1,한식,30
87,파이나무,경남 하동군 악양서로 129-0,간이음식,30
88,경전재첩식당,경남 하동군 재첩길 187-0,한식,29
89,명성콩국수,경남 하동군 중앙로 8-0,한식,29
90,온데이,경남 하동군 송림1길 17-0,외국식,28
91,학동식당,경남 하동군 청학로 2384-0,한식,28
92,대왕민물장어,경남 하동군 공설운동장로 325-0,전문음식,28
93,낙원한식뷔페,경남 하동군 산업로 744-0,전문음식,27
94,사랑채,경남 하동군 평사리길 45-0,한식,26
95,와이너리카페,경남 하동군 소축길 105-0,카페/찻집,26
96,연당,경남 하동군 화개로 461-0,한식,25
97,돌다리산장,경남 하동군 공설운동장로 319-0,한식,25
98,OK빌리지,경남 하동군 청학로 1825-5,전문음식,25
