순위,업소명,주소,분류,현지인 검색 수
1,쾌지나칭칭,경남 함안군 새터길 168-2,한식,2428
2,뜬,경남 함안군 부남1길 24-15,카페/찻집,1697
3,27도씨제빵소,경남 함안군 모곡5길 19-59,간이음식,1078
4,대구식당,경남 함안군 북촌2길 50-27,한식,910
5,매미궁뎅이,경남 함안군 운무로 105-0,한식,666
6,국보반상,경남 함안군 산인로 331-0,한식,632
7,자매식당,경남 함안군 송산로 356-8,한식,507
8,짹짹커피함안점,경남 함안군 주물2길 121-0,카페/찻집,500
9,산인길,경남 함안군 함마대로 2367-1,한식,432
10,커피와소나무,경남 함안군 광정로 145-0,카페/찻집,412
11,국보삼계탕,경남 함안군 산인로 333-0,한식,369
12,구가네솥밥한정식[한식],경남 함안군 예용로 122-0,한식,364
13,황포냉면,경남 함안군 함마대로 1423-0,한식,355
14,카페북촌,경남 함안군 북촌1길 15-15,전문음식,309
15,약수터산장,경남 함안군 주동2길 143-3,전문음식,296
16,무진정돌짜장[중식],경남 함안군 괴산4길 6-0,외국식,283
17,악양루[중식],경남 함안군 법수로 589-0,외국식,280
18,한식카페346.4S,경남 함안군 산인로 346-4,한식,279
19,카페1946,경남 함안군 하검길 125-3,카페/찻집,266
20,신풍식육식당본점,경남 함안군 석무길 130-0,한식,263
21,아라깨비카페,경남 함안군 산인로 180-0,카페/찻집,244
22,전원휴게소,경남 함안군 함마대로 332-0,한식,226
23,아라애연잎장어함안본점,경남 함안군 송산로 463-3,전문음식,220
24,식목일,경남 함안군 함안대로 255-0,카페/찻집,191
25,함안제일숯불갈비,경남 함안군 중앙본길 32-0,한식,144
26,식객,경남 함안군 내곡3길 47-0,한식,141
27,은아맛집,경남 함안군 삼봉로 157-0,한식,134
28,낙동강 칠백리,경남 함안군 삼칠로 1209-0,한식,130
29,명문가든,경남 함안군 월촌로 210-0,한식,128
30,메가커피함안점,경남 함안군 가야로 86-1,카페/찻집,126
31,별천지산장,경남 함안군 주동3길 1-60,전문음식,126
32,남다른생고기칠원점,경남 함안군 용산1길 16-4,한식,125
33,신성원[중식],경남 함안군 장백로 353-0,외국식,123
34,가야매미궁뎅이,경남 함안군 함안대로 520-0,한식,115
35,일기장,경남 함안군 가야로 242-0,카페/찻집,115
36,무진,경남 함안군 함안대로 257-0,카페/찻집,111
37,그린 프로그,경남 함안군 새터길 168-2,카페/찻집,108
38,신천유황오리,경남 함안군 왕궁길 186-0,전문음식,105
39,일송[일식],경남 함안군 검암천남길 48-1,외국식,105
40,지그시,경남 함안군 이룡3길 18-0,카페/찻집,98
41,강남오리,경남 함안군 이룡3길 20-6,전문음식,98
42,메가커피칠원점,경남 함안군 원서로 25-0,카페/찻집,97
43,문득그리움,경남 함안군 산인로 164-0,전문음식,97
44,스토브,경남 함안군 성내남길 31-20,전문음식,95
45,가원,경남 함안군 왕궁길 170-21,한식,94
46,구만식당,경남 함안군 함마대로 752-0,한식,93
47,함안어탕,경남 함안군 삼봉로 589-0,한식,93
48,군북얼음굴가든,경남 함안군 오곡4길 223-0,전문음식,92
49,하만스빅버거,경남 함안군 함안대로 253-0,간이음식,91
50,금동굴,경남 함안군 유장3길 297-0,한식,85
51,수담채[한식],경남 함안군 칠성로 264-0,한식,84
52,가빈,경남 함안군 오곡로 327-0,한식,84
53,제일횟집,경남 함안군 중앙본안길 10-0,전문음식,81
54,아라곰탕,경남 함안군 말산로 101-0,한식,80
55,참하누,경남 함안군 송평로 480-0,한식,80
56,풍천민물장어,경남 함안군 삼봉로 521-4,전문음식,80
57,아마키친,경남 함안군 중앙남길 34-0,전문음식,78
58,양평해장국,경남 함안군 함마대로 2280-0,한식,75
59,대박냉면,경남 함안군 유장길 7-2,한식,71
60,솔밭가든,경남 함안군 법수로 492-0,한식,69
61,요링,경남 함안군 중앙남2길 26-14,외국식,67
62,대영한우식당춘곡농장직영점,경남 함안군 충무길 63-0,한식,66
63,장가네촌국수,경남 함안군 함마대로 2297-0,간이음식,63
64,깜이네농가맛집,경남 함안군 주서3길 216-0,한식,63
65,악양루가든,경남 함안군 대법로 331-0,전문음식,56
66,전원초밥,경남 함안군 경남대로 1823-0,외국식,55
67,여항산횟집,경남 함안군 주서2길 203-0,전문음식,53
68,한별도그파크,경남 함안군 이묵골로 135-0,카페/찻집,53
69,큰섬,경남 함안군 성내남길 192-0,전문음식,52
70,꽃대궐카페,경남 함안군,카페/찻집,52
71,함안한우국밥촌,경남 함안군 북촌2길 50-25,한식,48
72,아름식당,경남 함안군 봉성7길 6-0,한식,48
73,함안가야국수,경남 함안군 경남대로 1524-0,한식,45
74,신풍식육식당,경남 함안군 운무로 244-0,한식,45
75,아젤리아,경남 함안군 대천길 197-0,카페/찻집,45
76,아라가야함안점,경남 함안군 중앙남길 19-0,한식,42
77,느티나무,경남 함안군 도항1길 46-4,한식,42
78,유가네칼국수,경남 함안군 함마대로 2267-0,한식,40
79,대밭횟집,경남 함안군,전문음식,40
80,통마루,경남 함안군 공단상가2길 10-0,한식,39
81,컴포즈커피함안가야점,경남 함안군 가야로 36-1,카페/찻집,38
82,시장한우국밥,경남 함안군 북촌2길 70-0,한식,38
83,카페다희,경남 함안군 함안대로 98-0,카페/찻집,37
84,맛고을한우마당,경남 함안군 함마대로 1814-0,한식,37
85,아라가야냉면석쇠불고기본점,경남 함안군 삼칠로 113-0,한식,36
86,이수정가든,경남 함안군 함안대로 281-0,한식,36
87,녹아촌산장가든,경남 함안군 주서4길 122-0,한식,36
88,루온카페,경남 함안군 신산로 224-0,카페/찻집,35
89,소나무집,경남 함안군 이묵골로 12-0,한식,33
90,사랑채,경남 함안군 진함로 943-0,한식,32
91,은하수생고기,경남 함안군 중검길 75-0,한식,32
92,진짜순대,경남 함안군 공단상가2길 87-0,한식,32
93,한솔버섯농장,경남 함안군 북원로 26-49,한식,32
94,태화궁,경남 함안군 중암1길 7-5,한식,32
