순위,업소명,주소,분류,현지인 검색 수
1,갑을식당,경남 함양군 함양로 1106-0,전문음식,459
2,늘봄가든,경남 함양군 필봉산길 65-1,한식,372
3,대가집,경남 함양군 칠형정뒷길 24-0,한식,256
4,케빈커피로스터스,경남 함양군 상림1길 26-0,카페/찻집,255
5,바래기암소한마리,경남 함양군 거안로 395-0,한식,247
6,안의원조갈비집,경남 함양군 광풍로 127-2,한식,237
7,나무달쉼터,경남 함양군 대실길 225-0,한식,229
8,옥연가,경남 함양군 상림3길 10-0,한식,221
9,대성식당,경남 함양군 용평6길 4-0,한식,205
10,조샌집,경남 함양군 학사루길 36-0,한식,205
11,함양집어탕,경남 함양군 용평5길 22-0,한식,171
12,수동메기매운탕,경남 함양군 거함대로 621-0,한식,157
13,청학산,경남 함양군 함양로 619-6,한식,137
14,이삼식당,경남 함양군 서상로 301-0,한식,130
15,운학정,경남 함양군 마천삼정로 65-0,한식,99
16,산에들에,경남 함양군 함양로 551-1,한식,73
17,덕유산산채비빔밥,경남 함양군 서상로 303-0,한식,73
18,옛날금호식당,경남 함양군 광풍로 107-0,한식,72
19,안의진갈비탕,경남 함양군 강변로 291-1,한식,63
20,마을카페안녕,경남 함양군 창원아랫길 25-12,카페/찻집,63
21,카페포레스트,경남 함양군 대맛길 3-0,카페/찻집,60
22,두메산골,경남 함양군 칠형정길 25-0,한식,60
23,로드44,경남 함양군 운림길 44-0,카페/찻집,58
24,파란지붕,경남 함양군 금성길 11-0,카페/찻집,58
25,하미앙레스토랑,경남 함양군 삼봉로 442-34,전문음식,56
26,학교종이땡땡땡,경남 함양군 칠형정길 8-30,한식,51
27,칠선산장식당,경남 함양군 칠선로 194-0,한식,50
28,마천흑돼지촌,경남 함양군 천왕봉로 1163-0,한식,49
29,예다믄,경남 함양군 필봉산길 60-0,한식,49
30,함양갈비탕,경남 함양군 용평길 8-0,한식,48
31,천궁산장식당[한식],경남 함양군 장자벌길 5-0,한식,45
32,1004화로구이,경남 함양군 필봉산길 63-0,한식,43
33,노가네,경남 함양군 뇌계길 283-0,한식,40
34,삼일식당,경남 함양군 광풍로 141-0,한식,39
35,얼음골가든식당,경남 함양군 육십령로 2516-113,전문음식,39
36,지리산태고재[한식],경남 함양군 개평길 39-2,한식,38
37,진성횟집,경남 함양군 섬동길 11-9,전문음식,38
38,흑돈정,경남 함양군 운림길 35-0,한식,37
39,뻘떡낙지,경남 함양군 필봉산길 10-0,전문음식,37
40,송림회관,경남 함양군 용추계곡로 410-0,한식,36
41,벽송산장,경남 함양군 광점길 30-0,한식,36
42,또랑메기국,경남 함양군 기동길 27-0,한식,36
43,지인공간,경남 함양군 병곡지곡로 905-0,카페/찻집,35
44,농월초계탕막국수,경남 함양군 육십령로 3102-0,한식,35
45,제일문산장,경남 함양군 송평원산로 478-0,한식,32
46,진짜루[중식],경남 함양군 약초시장길 25-15,외국식,32
47,스티브,경남 함양군 삼휴길 49-0,전문음식,32
48,호도수꽃산장,경남 함양군 백무동로 345-0,한식,30
49,월산식당,경남 함양군 천왕봉로 1144-2,한식,29
50,계림어탕,경남 함양군 수동길 10-0,전문음식,29
51,개평마을종가음식 고택향기,경남 함양군 병곡지곡로 935-0,한식,29
52,오리오리꿀꿀이,경남 함양군 용평길 4-0,전문음식,28
53,함양산청축협한우프라자,경남 함양군 뇌계길 6-0,한식,28
54,함양기찬면옥,경남 함양군 필봉산길 50-0,한식,27
55,칠구식당,경남 함양군 학사루3길 1-0,한식,26
56,래래향[중식],경남 함양군 서상로 309-0,외국식,26
57,병곡식당,경남 함양군 중앙시장길 2-27,한식,25
58,디마네 커피로스터스,경남 함양군 서위천길 11-0,카페/찻집,24
59,옛날할매순대,경남 함양군 석천길 11-16,한식,24
60,서상식육식당,경남 함양군 서상로 280-1,음식점기타,24
61,머문,경남 함양군 칠형정뒷길 46-0,카페/찻집,23
62,진주황포냉면,경남 함양군 함양로 1375-0,한식,23
63,연밭식육식당,경남 함양군 학사루1길 1-0,전문음식,23
64,청해수산,경남 함양군 용평길 12-4,전문음식,23
65,화림골,경남 함양군 칠형정뒷길 6-0,한식,23
66,산성가든,경남 함양군 용추계곡로 470-0,한식,22
67,샤브향함양점,경남 함양군 동위천1길 5-0,전문음식,22
68,배스킨라빈스경남함양점,경남 함양군 고운로 58-0,간이음식,22
69,용추특미가든,경남 함양군 용추계곡로 491-26,한식,22
70,박서방칼국수,경남 함양군 함양로 1127-1,한식,21
71,도하비건베이커리,경남 함양군 병곡지곡로 422-4,간이음식,20
72,궁전기사식당,경남 함양군 육십령로 2102-0,한식,20
73,까망꿀꿀이,경남 함양군 상림1길 20-0,한식,19
74,대웅한우촌식당,경남 함양군 용평중앙길 11-2,한식,19
75,차씨화덕,경남 함양군 상림3길 2-0,전문음식,19
76,동차선가,경남 함양군 개평길 59-0,카페/찻집,18
77,부부갈비,경남 함양군 수동내동길 7-28,한식,18
78,오매가매,경남 함양군 대맛길 29-0,한식,17
79,칠선휴게소식당,경남 함양군 칠선로 252-0,한식,16
80,골든차이나[중식],경남 함양군 동위천1길 1-0,외국식,16
81,본죽함양점,경남 함양군 용평중앙길 7-10,간이음식,15
82,농월정거창식당,경남 함양군 농월정길 9-0,한식,15
83,솥뚜껑삼겹살,경남 함양군 함양로 1149-0,한식,15
84,양지식당,경남 함양군 중앙시장길 2-32,한식,15
85,함양닭칼국수,경남 함양군 용평길 11-17,한식,14
86,사남오리하우스,경남 함양군 돌북새길 1-0,전문음식,14
87,서하민물장어,경남 함양군 봉전길 68-0,전문음식,14
88,대봉먹거리관,경남 함양군,한식,13
89,오륙도식당,경남 함양군 함양남서로 1201-0,전문음식,13
90,함양떡방아간,경남 함양군 용평5길 25-5,간이음식,13
91,상림숯불갈비,경남 함양군 서위천길 29-0,한식,13
92,양우연케익하우스함양점,경남 함양군 교산3길 5-0,간이음식,13
93,명태어장함양점,경남 함양군 상림1길 26-0,한식,13
94,안의갈비탕,경남 함양군 강변로 317-0,한식,12
